unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748040103826,19,Right,3.202222,5.840992,-0.003327442,0.9980469
1748040103827,19,Right,3.202222,5.840992,-0.003327442,0.9980469
1748040103827,19,Right,3.202222,5.840992,-0.003327442,0.9980469
1748040103833,20,Right,3.113425,5.926549,1.068794E-07,0.9980469
1748040103833,20,Right,3.113425,5.926549,1.068794E-07,0.9980469
1748040103833,20,Right,3.113425,5.926549,1.068794E-07,0.9980469
1748040103833,20,Right,3.113425,5.926549,1.068794E-07,0.9980469
1748040103850,21,Right,3.113425,5.926549,2.137589E-07,0.9980469
1748040103864,22,Right,3.113424,5.92655,6.679966E-08,0.9980469
1748040103864,22,Right,3.113424,5.92655,6.679966E-08,0.9980469
1748040103865,22,Right,3.113424,5.92655,6.679966E-08,0.9980469
1748040103865,22,Right,3.113424,5.92655,6.679966E-08,0.9980469
1748040103880,23,Right,2.857435,5.926908,6.678409E-08,0.9980469
1748040103880,23,Right,2.857435,5.926908,6.678409E-08,0.9980469
1748040103880,23,Right,2.857435,5.926908,6.678409E-08,0.9980469
1748040103894,24,Right,2.714686,5.757161,2.00328E-07,0.9980469
1748040103894,24,Right,2.714686,5.757161,2.00328E-07,0.9980469
1748040103894,24,Right,2.714686,5.757161,2.00328E-07,0.9980469
1748040103909,25,Right,2.714686,5.757162,6.6776E-08,0.9980469
1748040103909,25,Right,2.714686,5.757162,6.6776E-08,0.9980469
1748040103923,26,Right,2.714686,5.757161,1.469072E-07,0.9980469
1748040103923,26,Right,2.714686,5.757161,1.469072E-07,0.9980469
1748040103923,26,Right,2.714686,5.757161,1.469072E-07,0.9980469
1748040103937,27,Right,2.857534,5.756974,-1.46925E-07,0.9980469
1748040103937,27,Right,2.857534,5.756974,-1.46925E-07,0.9980469
1748040103937,27,Right,2.857534,5.756974,-1.46925E-07,0.9980469
1748040103952,28,Right,2.857534,5.756975,2.671364E-08,0.9980469
1748040103952,28,Right,2.857534,5.756975,2.671364E-08,0.9980469
1748040103953,28,Right,2.857534,5.756975,2.671364E-08,0.9980469
1748040103966,29,Right,2.656976,5.690753,-1.335457E-07,0.9980469
1748040103966,29,Right,2.656976,5.690753,-1.335457E-07,0.9980469
1748040103966,29,Right,2.656976,5.690753,-1.335457E-07,0.9980469
1748040103979,30,Right,2.656976,5.690752,4.006371E-08,0.9980469
1748040103981,30,Right,2.656976,5.690752,4.006371E-08,0.9980469
1748040103981,30,Right,2.656976,5.690752,4.006371E-08,0.9980469
1748040103993,31,Right,2.656976,5.690752,-1.201911E-07,0.9980469
1748040103993,31,Right,2.656976,5.690752,-1.201911E-07,0.9980469
1748040103995,31,Right,2.656976,5.690752,-1.201911E-07,0.9980469
1748040104009,32,Right,2.932989,4.803026,6.678854E-08,0.9980469
1748040104009,32,Right,2.932989,4.803026,6.678854E-08,0.9980469
1748040104023,33,Right,2.932988,4.803025,1.335771E-08,0.9980469
1748040104023,33,Right,2.932988,4.803025,1.335771E-08,0.9980469
1748040104023,33,Right,2.932988,4.803025,1.335771E-08,0.9980469
1748040104036,34,Right,2.935004,4.807207,0.002617007,0.9980469
1748040104037,34,Right,2.935004,4.807207,0.002617007,0.9980469
1748040104037,34,Right,2.935004,4.807207,0.002617007,0.9980469
1748040104051,35,Right,2.932988,4.803025,2.137234E-07,0.9980469
1748040104051,35,Right,2.932988,4.803025,2.137234E-07,0.9980469
1748040104051,35,Right,2.932988,4.803025,2.137234E-07,0.9980469
1748040104064,36,Right,2.987923,4.447124,-9.35086E-08,0.9980469
1748040104064,36,Right,2.987923,4.447124,-9.35086E-08,0.9980469
