unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748039544252,20,Left,1.744704,8.898666,0.005005541,0.9980469
1748039544253,20,Left,1.744704,8.898666,0.005005541,0.9980469
1748039544253,20,Left,1.744704,8.898666,0.005005541,0.9980469
1748039544260,21,Left,1.740612,8.895658,-2.669275E-08,0.9980469
1748039544260,21,Left,1.740612,8.895658,-2.669275E-08,0.9980469
1748039544261,21,Left,1.740612,8.895658,-2.669275E-08,0.9980469
1748039544261,21,Left,1.740612,8.895658,-2.669275E-08,0.9980469
1748039544261,21,Left,1.740612,8.895658,-2.669275E-08,0.9980469
1748039544274,22,Left,8.735849,1.659981,-4.049036E-08,0.9980469
1748039544287,23,Left,8.735847,1.659981,6.748395E-08,0.9980469
1748039544289,23,Left,8.735847,1.659981,6.748395E-08,0.9980469
1748039544289,23,Left,8.735847,1.659981,6.748395E-08,0.9980469
1748039544316,24,Left,8.749561,357.0589,6.748643E-08,0.9980469
1748039544316,24,Left,8.749561,357.0589,6.748643E-08,0.9980469
1748039544316,24,Left,8.749561,357.0589,6.748643E-08,0.9980469
1748039544347,25,Left,8.749561,357.0589,-1.349729E-08,0.9980469
1748039544348,25,Left,8.749561,357.0589,-1.349729E-08,0.9980469
1748039544348,25,Left,8.749561,357.0589,-1.349729E-08,0.9980469
1748039544348,25,Left,8.749561,357.0589,-1.349729E-08,0.9980469
1748039544348,25,Left,8.749561,357.0589,-1.349729E-08,0.9980469
1748039544384,26,Left,9.424392,347.2804,0,0.9980469
1748039544384,26,Left,9.424392,347.2804,0,0.9980469
1748039544384,26,Left,9.424392,347.2804,0,0.9980469
1748039544384,26,Left,9.424392,347.2804,0,0.9980469
1748039544384,26,Left,9.424392,347.2804,0,0.9980469
1748039544384,26,Left,9.424392,347.2804,0,0.9980469
1748039544411,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544411,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544411,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544411,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544411,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544412,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544412,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544412,27,Left,12.16067,347.2114,0.00534405,0.9980469
1748039544442,28,Left,12.27347,349.7806,0,0.9980469
1748039544442,28,Left,12.27347,349.7806,0,0.9980469
1748039544442,28,Left,12.27347,349.7806,0,0.9980469
1748039544443,28,Left,12.27347,349.7806,0,0.9980469
1748039544443,28,Left,12.27347,349.7806,0,0.9980469
1748039544443,28,Left,12.27347,349.7806,0,0.9980469
1748039544469,29,Left,12.27347,349.7806,2.184359E-07,0.9980469
1748039544469,29,Left,12.27347,349.7806,2.184359E-07,0.9980469
1748039544469,29,Left,12.27347,349.7806,2.184359E-07,0.9980469
1748039544471,29,Left,12.27347,349.7806,2.184359E-07,0.9980469
1748039544471,29,Left,12.27347,349.7806,2.184359E-07,0.9980469
1748039544499,30,Left,5.188305,359.6128,5.02316E-08,0.9980469
1748039544499,30,Left,5.188305,359.6128,5.02316E-08,0.9980469
1748039544499,30,Left,5.188305,359.6128,5.02316E-08,0.9980469
1748039544499,30,Left,5.188305,359.6128,5.02316E-08,0.9980469
1748039544499,30,Left,5.188305,359.6128,5.02316E-08,0.9980469
1748039544499,30,Left,5.188305,359.6128,5.02316E-08,0.9980469
1748039544526,31,Left,4.3951,359.8398,6.857024E-08,0.9980469
1748039544526,31,Left,4.3951,359.8398,6.857024E-08,0.9980469
1748039544528,31,Left,4.3951,359.8398,6.857024E-08,0.9980469
1748039544528,31,Left,4.3951,359.8398,6.857024E-08,0.9980469
1748039544528,31,Left,4.3951,359.8398,6.857024E-08,0.9980469
1748039544528,31,Left,4.3951,359.8398,6.857024E-08,0.9980469
1748039544554,32,Left,358.5417,1.229613,3.169327E-08,0.9980469
1748039544555,32,Left,358.5417,1.229613,3.169327E-08,0.9980469
1748039544555,32,Left,358.5417,1.229613,3.169327E-08,0.9980469
1748039544555,32,Left,358.5417,1.229613,3.169327E-08,0.9980469
1748039544555,32,Left,358.5417,1.229613,3.169327E-08,0.9980469
1748039544583,33,Left,358.5426,2.12215,-7.506297E-08,0.9980469
1748039544583,33,Left,358.5426,2.12215,-7.506297E-08,0.9980469
1748039544583,33,Left,358.5426,2.12215,-7.506297E-08,0.9980469
1748039544583,33,Left,358.5426,2.12215,-7.506297E-08,0.9980469
1748039544584,33,Left,358.5426,2.12215,-7.506297E-08,0.9980469
1748039544584,33,Left,358.5426,2.12215,-7.506297E-08,0.9980469
1748039544611,34,Left,358.3286,2.63029,4.003768E-08,0.9980469
1748039544611,34,Left,358.3286,2.63029,4.003768E-08,0.9980469
1748039544611,34,Left,358.3286,2.63029,4.003768E-08,0.9980469
1748039544611,34,Left,358.3286,2.63029,4.003768E-08,0.9980469
1748039544611,34,Left,358.3286,2.63029,4.003768E-08,0.9980469
1748039544611,34,Left,358.3286,2.63029,4.003768E-08,0.9980469
1748039544639,35,Left,358.3286,2.630289,-6.672945E-09,0.9980469
1748039544639,35,Left,358.3286,2.630289,-6.672945E-09,0.9980469
1748039544639,35,Left,358.3286,2.630289,-6.672945E-09,0.9980469
1748039544639,35,Left,358.3286,2.630289,-6.672945E-09,0.9980469
1748039544639,35,Left,358.3286,2.630289,-6.672945E-09,0.9980469
1748039544668,36,Left,358.3296,4.283608,6.672942E-08,0.9980469
1748039544668,36,Left,358.3296,4.283608,6.672942E-08,0.9980469
1748039544668,36,Left,358.3296,4.283608,6.672942E-08,0.9980469
1748039544668,36,Left,358.3296,4.283608,6.672942E-08,0.9980469
1748039544668,36,Left,358.3296,4.283608,6.672942E-08,0.9980469
1748039544668,36,Left,358.3296,4.283608,6.672942E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544695,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544696,37,Left,358.3296,4.283609,8.674824E-08,0.9980469
1748039544721,38,Left,358.5167,4.554579,-5.337874E-08,0.9980469
1748039544721,38,Left,358.5167,4.554579,-5.337874E-08,0.9980469
1748039544721,38,Left,358.5167,4.554579,-5.337874E-08,0.9980469
1748039544721,38,Left,358.5167,4.554579,-5.337874E-08,0.9980469
1748039544745,39,Left,358.619,4.554055,7.67285E-08,0.9980469
1748039544745,39,Left,358.619,4.554055,7.67285E-08,0.9980469
1748039544745,39,Left,358.619,4.554055,7.67285E-08,0.9980469
1748039544745,39,Left,358.619,4.554055,7.67285E-08,0.9980469
1748039544775,40,Left,358.619,4.554054,5.671238E-08,0.9980469
1748039544777,40,Left,358.619,4.554054,5.671238E-08,0.9980469
1748039544777,40,Left,358.619,4.554054,5.671238E-08,0.9980469
1748039544777,40,Left,358.619,4.554054,5.671238E-08,0.9980469
1748039544777,40,Left,358.619,4.554054,5.671238E-08,0.9980469
1748039544803,41,Left,358.619,4.554054,3.00242E-08,0.9980469
1748039544803,41,Left,358.619,4.554054,3.00242E-08,0.9980469
1748039544803,41,Left,358.619,4.554054,3.00242E-08,0.9980469
1748039544804,41,Left,358.619,4.554054,3.00242E-08,0.9980469
1748039544804,41,Left,358.619,4.554054,3.00242E-08,0.9980469
1748039544804,41,Left,358.619,4.554054,3.00242E-08,0.9980469
1748039544832,42,Left,359.4997,4.710779,8.337951E-09,0.9980469
1748039544833,42,Left,359.4997,4.710779,8.337951E-09,0.9980469
1748039544833,42,Left,359.4997,4.710779,8.337951E-09,0.9980469
