unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748039624749,18,Right,4.391274,2.793459,0.0006030269,0.9980469
1748039624749,18,Right,4.391274,2.793459,0.0006030269,0.9980469
1748039624749,18,Right,4.391274,2.793459,0.0006030269,0.9980469
1748039624759,19,Right,4.393326,2.787868,2.006929E-08,0.9980469
1748039624759,19,Right,4.393326,2.787868,2.006929E-08,0.9980469
1748039624760,19,Right,4.393326,2.787868,2.006929E-08,0.9980469
1748039624760,19,Right,4.393326,2.787868,2.006929E-08,0.9980469
1748039624773,20,Right,4.39354,2.729798,1.337953E-08,0.9980469
1748039624773,20,Right,4.39354,2.729798,1.337953E-08,0.9980469
1748039624784,21,Right,4.39354,2.729798,1.337953E-08,0.9980469
1748039624784,21,Right,4.39354,2.729798,1.337953E-08,0.9980469
1748039624803,22,Right,4.393541,2.729798,0,0.9980469
1748039624803,22,Right,4.393541,2.729798,0,0.9980469
1748039624817,23,Right,4.534648,2.729498,2.007316E-08,0.9980469
1748039624817,23,Right,4.534648,2.729498,2.007316E-08,0.9980469
1748039624817,23,Right,4.534648,2.729498,2.007316E-08,0.9980469
1748039624817,23,Right,4.534648,2.729498,2.007316E-08,0.9980469
1748039624832,24,Right,4.53573,2.732227,0.002775874,0.9980469
1748039624832,24,Right,4.53573,2.732227,0.002775874,0.9980469
1748039624833,24,Right,4.53573,2.732227,0.002775874,0.9980469
1748039624846,25,Right,4.163476,2.829614,1.337551E-08,0.9980469
1748039624846,25,Right,4.163476,2.829614,1.337551E-08,0.9980469
1748039624846,25,Right,4.163476,2.829614,1.337551E-08,0.9980469
1748039624860,26,Right,4.163475,2.829614,-6.687757E-09,0.9980469
1748039624861,26,Right,4.163475,2.829614,-6.687757E-09,0.9980469
1748039624861,26,Right,4.163475,2.829614,-6.687757E-09,0.9980469
1748039624875,27,Right,4.582932,2.847542,0,0.9980469
1748039624876,27,Right,4.582932,2.847542,0,0.9980469
1748039624876,27,Right,4.582932,2.847542,0,0.9980469
1748039624889,28,Right,4.582932,2.847542,-1.3383E-08,0.9980469
1748039624889,28,Right,4.582932,2.847542,-1.3383E-08,0.9980469
1748039624889,28,Right,4.582932,2.847542,-1.3383E-08,0.9980469
1748039624903,29,Right,4.582932,2.847542,0,0.9980469
1748039624903,29,Right,4.582932,2.847542,0,0.9980469
1748039624917,30,Right,3.968254,2.841999,0.001575408,0.9980469
1748039624917,30,Right,3.968254,2.841999,0.001575408,0.9980469
1748039624917,30,Right,3.968254,2.841999,0.001575408,0.9980469
1748039624931,31,Right,4.376203,2.98013,2.675844E-08,0.9980469
1748039624931,31,Right,4.376203,2.98013,2.675844E-08,0.9980469
1748039624932,31,Right,4.376203,2.98013,2.675844E-08,0.9980469
1748039624932,31,Right,4.376203,2.98013,2.675844E-08,0.9980469
1748039624944,32,Right,4.376203,2.98013,1.337922E-08,0.9980469
1748039624946,32,Right,4.376203,2.98013,1.337922E-08,0.9980469
1748039624959,33,Right,4.376203,2.98013,4.013766E-08,0.9980469
1748039624960,33,Right,4.376203,2.98013,4.013766E-08,0.9980469
1748039624960,33,Right,4.376203,2.98013,4.013766E-08,0.9980469
1748039624974,34,Right,4.376203,2.980129,2.675844E-08,0.9980469
1748039624974,34,Right,4.376203,2.980129,2.675844E-08,0.9980469
1748039624974,34,Right,4.376203,2.980129,2.675844E-08,0.9980469
1748039624987,35,Right,4.112397,3.071157,-6.687324E-09,0.9980469
1748039624987,35,Right,4.112397,3.071157,-6.687324E-09,0.9980469
1748039625002,36,Right,4.112397,3.071157,-6.687324E-09,0.9980469
1748039625002,36,Right,4.112397,3.071157,-6.687324E-09,0.9980469
1748039625002,36,Right,4.112397,3.071157,-6.687324E-09,0.9980469
1748039625015,37,Right,4.112396,3.071157,0,0.9980469
1748039625015,37,Right,4.112396,3.071157,0,0.9980469
1748039625015,37,Right,4.112396,3.071157,0,0.9980469
1748039625029,38,Right,4.090053,3.123777,0,0.9980469
1748039625030,38,Right,4.090053,3.123777,0,0.9980469
1748039625030,38,Right,4.090053,3.123777,0,0.9980469
1748039625044,39,Right,4.088395,3.118837,0.005364886,0.9980469
1748039625044,39,Right,4.088395,3.118837,0.005364886,0.9980469
1748039625057,40,Right,4.090053,3.123777,0,0.9980469
1748039625057,40,Right,4.090053,3.123777,0,0.9980469
1748039625057,40,Right,4.090053,3.123777,0,0.9980469
1748039625072,41,Right,4.090829,3.251879,0.00171869,0.9980469
1748039625072,41,Right,4.090829,3.251879,0.00171869,0.9980469
1748039625073,41,Right,4.090829,3.251879,0.00171869,0.9980469
1748039625085,42,Right,4.090612,3.252061,-1.337428E-08,0.9980469
1748039625085,42,Right,4.090612,3.252061,-1.337428E-08,0.9980469
1748039625085,42,Right,4.090612,3.252061,-1.337428E-08,0.9980469
1748039625099,43,Right,4.735792,3.253534,0,0.9980469
1748039625099,43,Right,4.735792,3.253534,0,0.9980469
1748039625099,43,Right,4.735792,3.253534,0,0.9980469
1748039625113,44,Right,4.735793,3.253534,0,0.9980469
1748039625113,44,Right,4.735793,3.253534,0,0.9980469
1748039625127,45,Right,4.73348,3.254129,-0.002010276,0.9980469
1748039625127,45,Right,4.73348,3.254129,-0.002010276,0.9980469
1748039625128,45,Right,4.73348,3.254129,-0.002010276,0.9980469
1748039625140,46,Right,4.735792,3.253534,1.338591E-08,0.9980469
1748039625142,46,Right,4.735792,3.253534,1.338591E-08,0.9980469
1748039625142,46,Right,4.735792,3.253534,1.338591E-08,0.9980469
1748039625156,47,Right,4.73629,3.14526,1.338592E-08,0.9980469
1748039625156,47,Right,4.73629,3.14526,1.338592E-08,0.9980469
1748039625156,47,Right,4.73629,3.14526,1.338592E-08,0.9980469
1748039625170,48,Right,4.736121,3.086224,-2.677184E-08,0.9980469
1748039625170,48,Right,4.736121,3.086224,-2.677184E-08,0.9980469
1748039625170,48,Right,4.736121,3.086224,-2.677184E-08,0.9980469
1748039625183,49,Right,4.736121,3.086224,0,0.9980469
1748039625183,49,Right,4.736121,3.086224,0,0.9980469
1748039625198,50,Right,4.629883,2.99959,0,0.9980469
1748039625198,50,Right,4.629883,2.99959,0,0.9980469
1748039625198,50,Right,4.629883,2.99959,0,0.9980469
1748039625211,51,Right,4.629883,2.99959,-2.676777E-08,0.9980469
1748039625211,51,Right,4.629883,2.99959,-2.676777E-08,0.9980469
1748039625211,51,Right,4.629883,2.99959,-2.676777E-08,0.9980469
1748039625224,52,Right,4.629883,2.99959,0,0.9980469
1748039625224,52,Right,4.629883,2.99959,0,0.9980469
1748039625226,52,Right,4.629883,2.99959,0,0.9980469
1748039625239,53,Right,3.941505,2.978053,-6.68592E-09,0.9980469
1748039625239,53,Right,3.941505,2.978053,-6.68592E-09,0.9980469
1748039625239,53,Right,3.941505,2.978053,-6.68592E-09,0.9980469
1748039625252,54,Right,3.941506,2.978053,-1.337184E-08,0.9980469
1748039625252,54,Right,3.941506,2.978053,-1.337184E-08,0.9980469
1748039625266,55,Right,3.941437,2.996858,-2.005776E-08,0.9980469
1748039625267,55,Right,3.941437,2.996858,-2.005776E-08,0.9980469
1748039625267,55,Right,3.941437,2.996858,-2.005776E-08,0.9980469
1748039625281,56,Right,3.941436,2.996858,-2.674368E-08,0.9980469
1748039625281,56,Right,3.941436,2.996858,-2.674368E-08,0.9980469
1748039625281,56,Right,3.941436,2.996858,-2.674368E-08,0.9980469
1748039625294,57,Right,3.941437,2.996858,-2.005776E-08,0.9980469
1748039625294,57,Right,3.941437,2.996858,-2.005776E-08,0.9980469
1748039625294,57,Right,3.941437,2.996858,-2.005776E-08,0.9980469
1748039625309,58,Right,3.941436,2.996858,-2.674368E-08,0.9980469
1748039625309,58,Right,3.941436,2.996858,-2.674368E-08,0.9980469
1748039625323,59,Right,3.959628,3.006078,1.337213E-08,0.9980469
1748039625323,59,Right,3.959628,3.006078,1.337213E-08,0.9980469
