unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748042820653,3,Left,30.25383,19.9705,5.222989,0.9980469
1748042820654,3,Left,30.25383,19.9705,5.222989,0.9980469
1748042820654,3,Left,30.25383,19.9705,5.222989,0.9980469
1748042820689,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820689,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820689,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820689,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820690,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820690,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820690,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820690,4,Left,30.61021,17.62351,4.708207,0.9980469
1748042820703,5,Left,30.66244,17.68126,4.692517,0.9980469
1748042820715,6,Left,25.72264,13.47789,3.024625,0.9980469
1748042820715,6,Left,25.72264,13.47789,3.024625,0.9980469
1748042820730,7,Left,25.73117,13.41336,3.035312,0.9980469
1748042820730,7,Left,25.73117,13.41336,3.035312,0.9980469
1748042820730,7,Left,25.73117,13.41336,3.035312,0.9980469
1748042820745,8,Left,25.72205,13.34201,3.04171,0.9980469
1748042820745,8,Left,25.72205,13.34201,3.04171,0.9980469
1748042820745,8,Left,25.72205,13.34201,3.04171,0.9980469
1748042820759,9,Left,24.80489,13.15601,2.933338,0.9980469
1748042820760,9,Left,24.80489,13.15601,2.933338,0.9980469
1748042820760,9,Left,24.80489,13.15601,2.933338,0.9980469
1748042820774,10,Left,24.79984,13.08018,2.929895,0.9980469
1748042820775,10,Left,24.79984,13.08018,2.929895,0.9980469
1748042820775,10,Left,24.79984,13.08018,2.929895,0.9980469
1748042820789,11,Left,20.83508,14.32135,2.696129,0.9980469
1748042820789,11,Left,20.83508,14.32135,2.696129,0.9980469
1748042820789,11,Left,20.83508,14.32135,2.696129,0.9980469
1748042820803,12,Left,20.84324,14.2687,2.690814,0.9980469
1748042820803,12,Left,20.84324,14.2687,2.690814,0.9980469
1748042820817,13,Left,15.89531,16.70251,2.398054,0.9980469
1748042820818,13,Left,15.89531,16.70251,2.398054,0.9980469
1748042820818,13,Left,15.89531,16.70251,2.398054,0.9980469
1748042820832,14,Left,15.91856,16.69399,2.415395,0.9980469
1748042820832,14,Left,15.91856,16.69399,2.415395,0.9980469
1748042820832,14,Left,15.91856,16.69399,2.415395,0.9980469
1748042820846,15,Left,9.163753,17.82133,1.472731,0.9980469
1748042820846,15,Left,9.163753,17.82133,1.472731,0.9980469
1748042820847,15,Left,9.163753,17.82133,1.472731,0.9980469
1748042820860,16,Left,9.175406,17.89144,1.510941,0.9980469
1748042820861,16,Left,9.175406,17.89144,1.510941,0.9980469
1748042820861,16,Left,9.175406,17.89144,1.510941,0.9980469
1748042820875,17,Left,9.172529,17.97783,1.548011,0.9980469
1748042820875,17,Left,9.172529,17.97783,1.548011,0.9980469
1748042820876,17,Left,9.172529,17.97783,1.548011,0.9980469
1748042820889,18,Left,9.150495,18.11326,1.504415,0.9980469
1748042820889,18,Left,9.150495,18.11326,1.504415,0.9980469
1748042820890,18,Left,9.150495,18.11326,1.504415,0.9980469
1748042820901,19,Left,9.166329,18.26299,1.463525,0.9980469
1748042820901,19,Left,9.166329,18.26299,1.463525,0.9980469
1748042820901,19,Left,9.166329,18.26299,1.463525,0.9980469
1748042820914,20,Left,9.187333,18.30774,1.403729,0.9980469
1748042820914,20,Left,9.187333,18.30774,1.403729,0.9980469
1748042820928,21,Left,9.257348,18.48476,1.369568,0.9980469
1748042820929,21,Left,9.257348,18.48476,1.369568,0.9980469
1748042820929,21,Left,9.257348,18.48476,1.369568,0.9980469
1748042820943,22,Left,9.319124,18.67972,1.293901,0.9980469
1748042820943,22,Left,9.319124,18.67972,1.293901,0.9980469
1748042820957,23,Left,10.03984,18.94168,1.364704,0.9980469
1748042820958,23,Left,10.03984,18.94168,1.364704,0.9980469
1748042820958,23,Left,10.03984,18.94168,1.364704,0.9980469
1748042820972,24,Left,10.11231,19.16988,1.28725,0.9980469
1748042820972,24,Left,10.11231,19.16988,1.28725,0.9980469
1748042820972,24,Left,10.11231,19.16988,1.28725,0.9980469
1748042820986,25,Left,12.71327,22.14484,2.117207,0.9980469
1748042820986,25,Left,12.71327,22.14484,2.117207,0.9980469
1748042820986,25,Left,12.71327,22.14484,2.117207,0.9980469
1748042820998,26,Left,12.78304,22.35288,2.031987,0.9980469
1748042820998,26,Left,12.78304,22.35288,2.031987,0.9980469
1748042820999,26,Left,12.78304,22.35288,2.031987,0.9980469
1748042821011,27,Left,12.86961,22.52249,1.939677,0.9980469
1748042821012,27,Left,12.86961,22.52249,1.939677,0.9980469
1748042821025,28,Left,14.50972,25.41027,2.780626,0.9980469
1748042821026,28,Left,14.50972,25.41027,2.780626,0.9980469
1748042821026,28,Left,14.50972,25.41027,2.780626,0.9980469
1748042821040,29,Left,14.57977,25.4601,2.706995,0.9980469
1748042821040,29,Left,14.57977,25.4601,2.706995,0.9980469
1748042821040,29,Left,14.57977,25.4601,2.706995,0.9980469
1748042821054,30,Left,14.80068,26.73096,3.102622,0.9980469
1748042821054,30,Left,14.80068,26.73096,3.102622,0.9980469
1748042821055,30,Left,14.80068,26.73096,3.102622,0.9980469
1748042821068,31,Left,14.85891,26.7277,3.017571,0.9980469
1748042821069,31,Left,14.85891,26.7277,3.017571,0.9980469
1748042821069,31,Left,14.85891,26.7277,3.017571,0.9980469
1748042821083,32,Left,15.35162,26.73107,3.333285,0.9980469
