unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748043063215,3,Left,4.167881,2.922287,358.4942,0.9980469
1748043063216,3,Left,4.167881,2.922287,358.4942,0.9980469
1748043063257,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063257,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063257,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063257,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063258,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063258,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063258,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063258,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063258,4,Left,2.190403,3.411534,358.854,0.9980469
1748043063264,5,Left,2.430854,3.73754,358.2678,0.9980469
1748043063265,5,Left,2.430854,3.73754,358.2678,0.9980469
1748043063274,6,Left,2.478558,3.979797,357.8028,0.9980469
1748043063287,7,Left,2.372652,3.879641,358.2494,0.9980469
1748043063287,7,Left,2.372652,3.879641,358.2494,0.9980469
1748043063300,8,Left,2.625862,4.054617,357.7011,0.9980469
1748043063300,8,Left,2.625862,4.054617,357.7011,0.9980469
1748043063301,8,Left,2.625862,4.054617,357.7011,0.9980469
1748043063315,9,Left,2.526249,3.68951,358.1319,0.9980469
1748043063315,9,Left,2.526249,3.68951,358.1319,0.9980469
1748043063330,10,Left,2.748957,3.719513,357.5616,0.9980469
1748043063330,10,Left,2.748957,3.719513,357.5616,0.9980469
1748043063330,10,Left,2.748957,3.719513,357.5616,0.9980469
1748043063344,11,Left,2.928828,3.705276,356.9814,0.9980469
1748043063345,11,Left,2.928828,3.705276,356.9814,0.9980469
1748043063345,11,Left,2.928828,3.705276,356.9814,0.9980469
1748043063359,12,Left,2.649726,1.797665,357.8161,0.9980469
1748043063359,12,Left,2.649726,1.797665,357.8161,0.9980469
1748043063359,12,Left,2.649726,1.797665,357.8161,0.9980469
1748043063373,13,Left,2.858762,1.658812,357.6304,0.9980469
1748043063374,13,Left,2.858762,1.658812,357.6304,0.9980469
1748043063374,13,Left,2.858762,1.658812,357.6304,0.9980469
1748043063388,14,Left,2.680326,1.005228,358.8934,0.9980469
1748043063388,14,Left,2.680326,1.005228,358.8934,0.9980469
1748043063388,14,Left,2.680326,1.005228,358.8934,0.9980469
1748043063402,15,Left,2.840301,0.7552345,359.1785,0.9980469
1748043063402,15,Left,2.840301,0.7552345,359.1785,0.9980469
1748043063402,15,Left,2.840301,0.7552345,359.1785,0.9980469
1748043063416,16,Left,2.54639,0.6600679,0.1592339,0.9980469
1748043063417,16,Left,2.54639,0.6600679,0.1592339,0.9980469
1748043063417,16,Left,2.54639,0.6600679,0.1592339,0.9980469
1748043063431,17,Left,2.887795,0.3368842,0.5844091,0.9980469
1748043063431,17,Left,2.887795,0.3368842,0.5844091,0.9980469
1748043063431,17,Left,2.887795,0.3368842,0.5844091,0.9980469
1748043063445,18,Left,3.234262,0.04428598,1.015671,0.9980469
1748043063445,18,Left,3.234262,0.04428598,1.015671,0.9980469
1748043063459,19,Left,3.717465,0.2228683,1.545513,0.9980469
1748043063459,19,Left,3.717465,0.2228683,1.545513,0.9980469
1748043063459,19,Left,3.717465,0.2228683,1.545513,0.9980469
1748043063473,20,Left,4.241713,359.8722,2.387409,0.9980469
1748043063474,20,Left,4.241713,359.8722,2.387409,0.9980469
1748043063474,20,Left,4.241713,359.8722,2.387409,0.9980469
1748043063487,21,Left,3.094848,0.2197202,2.440818,0.9980469
1748043063488,21,Left,3.094848,0.2197202,2.440818,0.9980469
1748043063488,21,Left,3.094848,0.2197202,2.440818,0.9980469
1748043063502,22,Left,3.573262,359.7219,3.583999,0.9980469
1748043063502,22,Left,3.573262,359.7219,3.583999,0.9980469
1748043063502,22,Left,3.573262,359.7219,3.583999,0.9980469
1748043063514,23,Left,2.715281,359.5391,2.634305,0.9980469
1748043063514,23,Left,2.715281,359.5391,2.634305,0.9980469
1748043063514,23,Left,2.715281,359.5391,2.634305,0.9980469
1748043063528,24,Left,2.50201,359.1487,3.237704,0.9980469
1748043063528,24,Left,2.50201,359.1487,3.237704,0.9980469
1748043063543,25,Left,3.146405,358.6453,3.692578,0.9980469
1748043063543,25,Left,3.146405,358.6453,3.692578,0.9980469
1748043063543,25,Left,3.146405,358.6453,3.692578,0.9980469
1748043063556,26,Left,2.866777,0.7500651,0.965359,0.9980469
1748043063557,26,Left,2.866777,0.7500651,0.965359,0.9980469
1748043063557,26,Left,2.866777,0.7500651,0.965359,0.9980469
1748043063569,27,Left,0.1752548,359.5315,3.127234,0.9980469
1748043063569,27,Left,0.1752548,359.5315,3.127234,0.9980469
1748043063569,27,Left,0.1752548,359.5315,3.127234,0.9980469
1748043063583,28,Left,2.738651,0.1789746,1.156908,0.9980469
1748043063583,28,Left,2.738651,0.1789746,1.156908,0.9980469
1748043063597,29,Left,2.799704,0.6135137,2.011921,0.9980469
1748043063597,29,Left,2.799704,0.6135137,2.011921,0.9980469
1748043063598,29,Left,2.799704,0.6135137,2.011921,0.9980469
1748043063611,30,Left,1.463636,0.8876501,1.588485,0.9980469
1748043063612,30,Left,1.463636,0.8876501,1.588485,0.9980469
1748043063612,30,Left,1.463636,0.8876501,1.588485,0.9980469
1748043063626,31,Left,2.747626,0.8707088,1.731982,0.9980469
1748043063626,31,Left,2.747626,0.8707088,1.731982,0.9980469
1748043063626,31,Left,2.747626,0.8707088,1.731982,0.9980469
1748043063640,32,Left,3.592185,0.7296563,2.480527,0.9980469
1748043063640,32,Left,3.592185,0.7296563,2.480527,0.9980469
1748043063654,33,Left,3.275366,0.2951972,1.984289,0.9980469
1748043063655,33,Left,3.275366,0.2951972,1.984289,0.9980469
1748043063655,33,Left,3.275366,0.2951972,1.984289,0.9980469
1748043063668,34,Left,4.003829,359.9074,2.642613,0.9980469
1748043063668,34,Left,4.003829,359.9074,2.642613,0.9980469
1748043063669,34,Left,4.003829,359.9074,2.642613,0.9980469
1748043063682,35,Left,3.746396,359.8622,1.86976,0.9980469
1748043063682,35,Left,3.746396,359.8622,1.86976,0.9980469
1748043063683,35,Left,3.746396,359.8622,1.86976,0.9980469
1748043063696,36,Left,4.304234,359.4217,2.215187,0.9980469
1748043063696,36,Left,4.304234,359.4217,2.215187,0.9980469
1748043063697,36,Left,4.304234,359.4217,2.215187,0.9980469
1748043063709,37,Left,4.781761,358.9444,2.523139,0.9980469
1748043063709,37,Left,4.781761,358.9444,2.523139,0.9980469
1748043063710,37,Left,4.781761,358.9444,2.523139,0.9980469
1748043063722,38,Left,4.159378,359.6097,1.441295,0.9980469
1748043063722,38,Left,4.159378,359.6097,1.441295,0.9980469
1748043063736,39,Left,4.68843,359.0646,1.525628,0.9980469
1748043063736,39,Left,4.68843,359.0646,1.525628,0.9980469
1748043063736,39,Left,4.68843,359.0646,1.525628,0.9980469
1748043063750,40,Left,3.624037,359.569,0.8281939,0.9980469
1748043063751,40,Left,3.624037,359.569,0.8281939,0.9980469
1748043063751,40,Left,3.624037,359.569,0.8281939,0.9980469
1748043063764,41,Left,3.943529,359.1406,0.6806108,0.9980469
1748043063765,41,Left,3.943529,359.1406,0.6806108,0.9980469
1748043063779,42,Left,2.841631,359.9473,359.9675,0.9980469
1748043063779,42,Left,2.841631,359.9473,359.9675,0.9980469
1748043063779,42,Left,2.841631,359.9473,359.9675,0.9980469
1748043063793,43,Left,2.994266,359.6304,359.5195,0.9980469
1748043063793,43,Left,2.994266,359.6304,359.5195,0.9980469
1748043063793,43,Left,2.994266,359.6304,359.5195,0.9980469
1748043063807,44,Left,3.298478,359.5257,359.1926,0.9980469
1748043063808,44,Left,3.298478,359.5257,359.1926,0.9980469
1748043063808,44,Left,3.298478,359.5257,359.1926,0.9980469
1748043063821,45,Left,2.065837,0.5216098,359.101,0.9980469
1748043063822,45,Left,2.065837,0.5216098,359.101,0.9980469
1748043063822,45,Left,2.065837,0.5216098,359.101,0.9980469
1748043063835,46,Left,2.256827,0.5732128,358.9201,0.9980469
1748043063836,46,Left,2.256827,0.5732128,358.9201,0.9980469
1748043063836,46,Left,2.256827,0.5732128,358.9201,0.9980469
1748043063849,47,Left,1.655285,1.448862,359.0249,0.9980469
1748043063850,47,Left,1.655285,1.448862,359.0249,0.9980469
1748043063850,47,Left,1.655285,1.448862,359.0249,0.9980469
1748043063862,48,Left,1.776194,1.51304,358.8224,0.9980469
1748043063862,48,Left,1.776194,1.51304,358.8224,0.9980469
1748043063876,49,Left,1.714808,1.669516,358.318,0.9980469
1748043063877,49,Left,1.714808,1.669516,358.318,0.9980469
1748043063877,49,Left,1.714808,1.669516,358.318,0.9980469
1748043063890,50,Left,1.573749,1.352444,358.9203,0.9980469
1748043063890,50,Left,1.573749,1.352444,358.9203,0.9980469
1748043063891,50,Left,1.573749,1.352444,358.9203,0.9980469
1748043063904,51,Left,1.47664,1.649792,358.6859,0.9980469
1748043063905,51,Left,1.47664,1.649792,358.6859,0.9980469
1748043063905,51,Left,1.47664,1.649792,358.6859,0.9980469
1748043063917,52,Left,1.322988,2.261771,359.4321,0.9980469
1748043063917,52,Left,1.322988,2.261771,359.4321,0.9980469
1748043063931,53,Left,1.280785,2.46276,359.4109,0.9980469
1748043063931,53,Left,1.280785,2.46276,359.4109,0.9980469
1748043063931,53,Left,1.280785,2.46276,359.4109,0.9980469
1748043063945,54,Left,1.474874,1.550145,359.7942,0.9980469
1748043063946,54,Left,1.474874,1.550145,359.7942,0.9980469
1748043063946,54,Left,1.474874,1.550145,359.7942,0.9980469
1748043063959,55,Left,1.574528,1.629181,359.7724,0.9980469
1748043063960,55,Left,1.574528,1.629181,359.7724,0.9980469
1748043063974,56,Left,1.616622,1.697559,359.8043,0.9980469
1748043063974,56,Left,1.616622,1.697559,359.8043,0.9980469
1748043063974,56,Left,1.616622,1.697559,359.8043,0.9980469
1748043063988,57,Left,1.383608,1.373761,0.2297479,0.9980469
1748043063988,57,Left,1.383608,1.373761,0.2297479,0.9980469
1748043063988,57,Left,1.383608,1.373761,0.2297479,0.9980469
1748043064002,58,Left,1.566699,1.295557,0.7170859,0.9980469
1748043064002,58,Left,1.566699,1.295557,0.7170859,0.9980469
1748043064002,58,Left,1.566699,1.295557,0.7170859,0.9980469
1748043064016,59,Left,8.152913,359.3923,3.647679,0.9980469
1748043064016,59,Left,8.152913,359.3923,3.647679,0.9980469
1748043064017,59,Left,8.152913,359.3923,3.647679,0.9980469
1748043064028,60,Left,8.021593,359.4989,4.189396,0.9980469
1748043064029,60,Left,8.021593,359.4989,4.189396,0.9980469
1748043064029,60,Left,8.021593,359.4989,4.189396,0.9980469
1748043064043,61,Left,5.967502,0.7124078,355.068,0.9980469
1748043064043,61,Left,5.967502,0.7124078,355.068,0.9980469
1748043064057,62,Left,1.50822,1.047926,352.8858,0.9980469
1748043064057,62,Left,1.50822,1.047926,352.8858,0.9980469
1748043064057,62,Left,1.50822,1.047926,352.8858,0.9980469
1748043064071,63,Left,2.503817,359.6147,352.6392,0.9980469
1748043064071,63,Left,2.503817,359.6147,352.6392,0.9980469
1748043064071,63,Left,2.503817,359.6147,352.6392,0.9980469
1748043064085,64,Left,2.216599,359.0938,357.1047,0.9980469
1748043064085,64,Left,2.216599,359.0938,357.1047,0.9980469
1748043064086,64,Left,2.216599,359.0938,357.1047,0.9980469
1748043064099,65,Left,0.8709134,359.907,357.7537,0.9980469
1748043064100,65,Left,0.8709134,359.907,357.7537,0.9980469
1748043064114,66,Left,0.3604154,359.3277,359.051,0.9980469
1748043064114,66,Left,0.3604154,359.3277,359.051,0.9980469
1748043064114,66,Left,0.3604154,359.3277,359.051,0.9980469
1748043064128,67,Left,0.5883059,359.782,359.2605,0.9980469
1748043064128,67,Left,0.5883059,359.782,359.2605,0.9980469
1748043064128,67,Left,0.5883059,359.782,359.2605,0.9980469
1748043064140,68,Left,0.4690664,359.8439,359.9066,0.9980469
1748043064141,68,Left,0.4690664,359.8439,359.9066,0.9980469
1748043064141,68,Left,0.4690664,359.8439,359.9066,0.9980469
1748043064154,69,Left,359.4582,3.579459,1.134318,0.9980469
1748043064155,69,Left,359.4582,3.579459,1.134318,0.9980469
1748043064155,69,Left,359.4582,3.579459,1.134318,0.9980469
1748043064168,70,Left,359.1375,3.203829,2.49876,0.9980469
1748043064169,70,Left,359.1375,3.203829,2.49876,0.9980469
1748043064183,71,Left,358.0301,4.892416,2.6609,0.9980469
1748043064183,71,Left,358.0301,4.892416,2.6609,0.9980469
1748043064183,71,Left,358.0301,4.892416,2.6609,0.9980469
1748043064197,72,Left,357.8636,5.664083,2.222699,0.9980469
1748043064197,72,Left,357.8636,5.664083,2.222699,0.9980469
1748043064197,72,Left,357.8636,5.664083,2.222699,0.9980469
1748043064211,73,Left,357.5581,5.210564,2.784188,0.9980469
1748043064211,73,Left,357.5581,5.210564,2.784188,0.9980469
1748043064211,73,Left,357.5581,5.210564,2.784188,0.9980469
1748043064225,74,Left,357.5912,7.02066,1.109115,0.9980469
1748043064225,74,Left,357.5912,7.02066,1.109115,0.9980469
1748043064225,74,Left,357.5912,7.02066,1.109115,0.9980469
1748043064239,75,Left,357.4664,7.077956,1.198493,0.9980469
1748043064239,75,Left,357.4664,7.077956,1.198493,0.9980469
1748043064253,76,Left,357.7138,7.323225,0.4223175,0.9980469
1748043064254,76,Left,357.7138,7.323225,0.4223175,0.9980469
1748043064254,76,Left,357.7138,7.323225,0.4223175,0.9980469
1748043064267,77,Left,357.759,6.991568,0.4670689,0.9980469
1748043064268,77,Left,357.759,6.991568,0.4670689,0.9980469
1748043064268,77,Left,357.759,6.991568,0.4670689,0.9980469
1748043064281,78,Left,357.987,3.398247,0.03380904,0.9980469
1748043064282,78,Left,357.987,3.398247,0.03380904,0.9980469
1748043064282,78,Left,357.987,3.398247,0.03380904,0.9980469
1748043064294,79,Left,358.0951,3.46949,359.9186,0.9980469
1748043064294,79,Left,358.0951,3.46949,359.9186,0.9980469
1748043064294,79,Left,358.0951,3.46949,359.9186,0.9980469
1748043064307,80,Left,358.1373,3.407526,359.6955,0.9980469
1748043064307,80,Left,358.1373,3.407526,359.6955,0.9980469
1748043064321,81,Left,359.9788,3.759461,359.5617,0.9980469
1748043064321,81,Left,359.9788,3.759461,359.5617,0.9980469
1748043064322,81,Left,359.9788,3.759461,359.5617,0.9980469
1748043064336,82,Left,359.9047,3.920855,359.6237,0.9980469
1748043064337,82,Left,359.9047,3.920855,359.6237,0.9980469
1748043064337,82,Left,359.9047,3.920855,359.6237,0.9980469
1748043064351,83,Left,0.06270091,3.483483,359.9539,0.9980469
1748043064351,83,Left,0.06270091,3.483483,359.9539,0.9980469
1748043064351,83,Left,0.06270091,3.483483,359.9539,0.9980469
1748043064365,84,Left,0.07120299,3.3384,0.2111454,0.9980469
1748043064365,84,Left,0.07120299,3.3384,0.2111454,0.9980469
1748043064379,85,Left,-0.003118503,3.300114,0.2620802,0.9980469
1748043064380,85,Left,-0.003118503,3.300114,0.2620802,0.9980469
1748043064380,85,Left,-0.003118503,3.300114,0.2620802,0.9980469
1748043064393,86,Left,1.568425,2.83852,0.3656068,0.9980469
1748043064394,86,Left,1.568425,2.83852,0.3656068,0.9980469
1748043064394,86,Left,1.568425,2.83852,0.3656068,0.9980469
1748043064407,87,Left,1.531922,2.848085,0.3316517,0.9980469
1748043064408,87,Left,1.531922,2.848085,0.3316517,0.9980469
1748043064408,87,Left,1.531922,2.848085,0.3316517,0.9980469
1748043064422,88,Left,1.598606,2.740471,0.1049566,0.9980469
1748043064422,88,Left,1.598606,2.740471,0.1049566,0.9980469
1748043064422,88,Left,1.598606,2.740471,0.1049566,0.9980469
1748043064436,89,Left,1.629129,2.730684,0.08326588,0.9980469
1748043064436,89,Left,1.629129,2.730684,0.08326588,0.9980469
1748043064436,89,Left,1.629129,2.730684,0.08326588,0.9980469
1748043064450,90,Left,1.640175,2.721904,0.01531999,0.9980469
1748043064450,90,Left,1.640175,2.721904,0.01531999,0.9980469
1748043064450,90,Left,1.640175,2.721904,0.01531999,0.9980469
1748043064464,91,Left,1.634621,2.759856,-0.004574289,0.9980469
1748043064464,91,Left,1.634621,2.759856,-0.004574289,0.9980469
1748043064478,92,Left,2.038945,1.805833,359.9366,0.9980469
1748043064478,92,Left,2.038945,1.805833,359.9366,0.9980469
1748043064478,92,Left,2.038945,1.805833,359.9366,0.9980469
1748043064492,93,Left,1.88013,1.340962,0.006544168,0.9980469
1748043064492,93,Left,1.88013,1.340962,0.006544168,0.9980469
1748043064492,93,Left,1.88013,1.340962,0.006544168,0.9980469
1748043064506,94,Left,1.876386,1.327149,0.1001543,0.9980469
1748043064506,94,Left,1.876386,1.327149,0.1001543,0.9980469
1748043064506,94,Left,1.876386,1.327149,0.1001543,0.9980469
1748043064520,95,Left,2.201874,1.322409,0.3279702,0.9980469
1748043064520,95,Left,2.201874,1.322409,0.3279702,0.9980469
1748043064520,95,Left,2.201874,1.322409,0.3279702,0.9980469
1748043064534,96,Left,2.116942,1.264229,0.5083108,0.9980469
1748043064534,96,Left,2.116942,1.264229,0.5083108,0.9980469
1748043064547,97,Left,1.744941,1.671861,0.5595425,0.9980469
1748043064548,97,Left,1.744941,1.671861,0.5595425,0.9980469
1748043064548,97,Left,1.744941,1.671861,0.5595425,0.9980469
1748043064561,98,Left,1.681177,1.596802,0.8290339,0.9980469
1748043064562,98,Left,1.681177,1.596802,0.8290339,0.9980469
1748043064562,98,Left,1.681177,1.596802,0.8290339,0.9980469
1748043064576,99,Left,1.599901,1.571071,1.115739,0.9980469
1748043064576,99,Left,1.599901,1.571071,1.115739,0.9980469
1748043064577,99,Left,1.599901,1.571071,1.115739,0.9980469
1748043064589,100,Left,1.948998,1.57373,0.9868926,0.9980469
1748043064590,100,Left,1.948998,1.57373,0.9868926,0.9980469
1748043064590,100,Left,1.948998,1.57373,0.9868926,0.9980469
1748043064603,101,Left,2.089235,1.906604,0.0496857,0.9980469
1748043064604,101,Left,2.089235,1.906604,0.0496857,0.9980469
1748043064617,102,Left,2.727118,2.023258,0.02126382,0.9980469
1748043064617,102,Left,2.727118,2.023258,0.02126382,0.9980469
1748043064618,102,Left,2.727118,2.023258,0.02126382,0.9980469
1748043064631,103,Left,3.359532,2.017791,359.8575,0.9980469
1748043064631,103,Left,3.359532,2.017791,359.8575,0.9980469
1748043064632,103,Left,3.359532,2.017791,359.8575,0.9980469
1748043064645,104,Left,2.52824,1.169827,0.1045375,0.9980469
1748043064645,104,Left,2.52824,1.169827,0.1045375,0.9980469
1748043064646,104,Left,2.52824,1.169827,0.1045375,0.9980469
1748043064659,105,Left,3.095522,1.88129,359.9857,0.9980469
1748043064659,105,Left,3.095522,1.88129,359.9857,0.9980469
1748043064673,106,Left,3.0853,2.048763,0.03615046,0.9980469
1748043064673,106,Left,3.0853,2.048763,0.03615046,0.9980469
1748043064674,106,Left,3.0853,2.048763,0.03615046,0.9980469
1748043064687,107,Left,2.97038,1.402343,0.1458117,0.9980469
1748043064687,107,Left,2.97038,1.402343,0.1458117,0.9980469
1748043064687,107,Left,2.97038,1.402343,0.1458117,0.9980469
1748043064701,108,Left,2.997958,1.556804,0.4898001,0.9980469
1748043064701,108,Left,2.997958,1.556804,0.4898001,0.9980469
1748043064701,108,Left,2.997958,1.556804,0.4898001,0.9980469
1748043064715,109,Left,3.169608,1.309433,0.2613898,0.9980469
1748043064715,109,Left,3.169608,1.309433,0.2613898,0.9980469
1748043064715,109,Left,3.169608,1.309433,0.2613898,0.9980469
1748043064729,110,Left,3.216605,1.437705,0.07778316,0.9980469
1748043064729,110,Left,3.216605,1.437705,0.07778316,0.9980469
1748043064743,111,Left,3.228588,1.509041,0.05929268,0.9980469
1748043064743,111,Left,3.228588,1.509041,0.05929268,0.9980469
1748043064743,111,Left,3.228588,1.509041,0.05929268,0.9980469
1748043064757,112,Left,2.599396,1.831775,359.9617,0.9980469
1748043064757,112,Left,2.599396,1.831775,359.9617,0.9980469
1748043064757,112,Left,2.599396,1.831775,359.9617,0.9980469
1748043064770,113,Left,2.554854,1.890463,0.06636921,0.9980469
1748043064771,113,Left,2.554854,1.890463,0.06636921,0.9980469
1748043064771,113,Left,2.554854,1.890463,0.06636921,0.9980469
1748043064784,114,Left,3.2962,1.907755,0.2202245,0.9980469
1748043064785,114,Left,3.2962,1.907755,0.2202245,0.9980469
1748043064798,115,Left,3.233407,1.981656,0.445803,0.9980469
1748043064799,115,Left,3.233407,1.981656,0.445803,0.9980469
1748043064799,115,Left,3.233407,1.981656,0.445803,0.9980469
1748043064812,116,Left,2.952618,2.309311,0.7377403,0.9980469
1748043064813,116,Left,2.952618,2.309311,0.7377403,0.9980469
1748043064813,116,Left,2.952618,2.309311,0.7377403,0.9980469
1748043064826,117,Left,2.667324,2.475528,1.139184,0.9980469
1748043064827,117,Left,2.667324,2.475528,1.139184,0.9980469
1748043064827,117,Left,2.667324,2.475528,1.139184,0.9980469
1748043064840,118,Left,2.5134,2.856233,1.566472,0.9980469
1748043064841,118,Left,2.5134,2.856233,1.566472,0.9980469
1748043064841,118,Left,2.5134,2.856233,1.566472,0.9980469
1748043064854,119,Left,3.802641,3.203744,1.239524,0.9980469
1748043064855,119,Left,3.802641,3.203744,1.239524,0.9980469
1748043064855,119,Left,3.802641,3.203744,1.239524,0.9980469
1748043064868,120,Left,3.768035,3.57298,1.412149,0.9980469
1748043064868,120,Left,3.768035,3.57298,1.412149,0.9980469
1748043064882,121,Left,3.932409,1.440759,0.4433222,0.9980469
1748043064882,121,Left,3.932409,1.440759,0.4433222,0.9980469
1748043064883,121,Left,3.932409,1.440759,0.4433222,0.9980469
1748043064896,122,Left,4.195859,1.406842,0.1567728,0.9980469
1748043064896,122,Left,4.195859,1.406842,0.1567728,0.9980469
1748043064896,122,Left,4.195859,1.406842,0.1567728,0.9980469
1748043064910,123,Left,4.392275,0.9196715,359.6513,0.9980469
1748043064910,123,Left,4.392275,0.9196715,359.6513,0.9980469
1748043064911,123,Left,4.392275,0.9196715,359.6513,0.9980469
1748043064924,124,Left,5.744062,359.7043,359.1333,0.9980469
1748043064924,124,Left,5.744062,359.7043,359.1333,0.9980469
1748043064938,125,Left,5.905894,358.8979,358.8671,0.9980469
1748043064938,125,Left,5.905894,358.8979,358.8671,0.9980469
1748043064938,125,Left,5.905894,358.8979,358.8671,0.9980469
1748043064952,126,Left,6.399004,358.6164,359.3289,0.9980469
1748043064952,126,Left,6.399004,358.6164,359.3289,0.9980469
1748043064952,126,Left,6.399004,358.6164,359.3289,0.9980469
1748043064966,127,Left,5.966642,358.5625,359.4543,0.9980469
1748043064966,127,Left,5.966642,358.5625,359.4543,0.9980469
1748043064966,127,Left,5.966642,358.5625,359.4543,0.9980469
1748043064980,128,Left,8.824944,353.365,359.7306,0.9980469
1748043064980,128,Left,8.824944,353.365,359.7306,0.9980469
1748043064980,128,Left,8.824944,353.365,359.7306,0.9980469
1748043064994,129,Left,8.633225,353.653,359.86,0.9980469
1748043064994,129,Left,8.633225,353.653,359.86,0.9980469
1748043065008,130,Left,8.825785,353.6848,359.685,0.9980469
1748043065008,130,Left,8.825785,353.6848,359.685,0.9980469
1748043065009,130,Left,8.825785,353.6848,359.685,0.9980469
1748043065022,131,Left,15.17287,353.6233,359.0316,0.9980469
1748043065022,131,Left,15.17287,353.6233,359.0316,0.9980469
1748043065022,131,Left,15.17287,353.6233,359.0316,0.9980469
1748043065036,132,Left,15.1831,353.776,358.9108,0.9980469
1748043065036,132,Left,15.1831,353.776,358.9108,0.9980469
1748043065036,132,Left,15.1831,353.776,358.9108,0.9980469
1748043065050,133,Left,15.15785,353.7115,358.8757,0.9980469
1748043065050,133,Left,15.15785,353.7115,358.8757,0.9980469
1748043065050,133,Left,15.15785,353.7115,358.8757,0.9980469
1748043065064,134,Left,15.16796,353.5954,358.9702,0.9980469
1748043065064,134,Left,15.16796,353.5954,358.9702,0.9980469
1748043065078,135,Left,15.1996,353.5947,358.9852,0.9980469
1748043065078,135,Left,15.1996,353.5947,358.9852,0.9980469
1748043065078,135,Left,15.1996,353.5947,358.9852,0.9980469
1748043065092,136,Left,10.62238,353.9,359.3535,0.9980469
1748043065092,136,Left,10.62238,353.9,359.3535,0.9980469
1748043065092,136,Left,10.62238,353.9,359.3535,0.9980469
1748043065105,137,Left,10.63648,353.8898,359.3488,0.9980469
1748043065106,137,Left,10.63648,353.8898,359.3488,0.9980469
1748043065106,137,Left,10.63648,353.8898,359.3488,0.9980469
1748043065119,138,Left,9.421238,353.0869,359.3024,0.9980469
1748043065120,138,Left,9.421238,353.0869,359.3024,0.9980469
1748043065120,138,Left,9.421238,353.0869,359.3024,0.9980469
