unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748043063216,3,Right,4.085972,359.8133,358.3875,0.9980469
1748043063216,3,Right,4.085972,359.8133,358.3875,0.9980469
1748043063257,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063257,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063257,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063258,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063258,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063258,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063258,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063258,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063258,4,Right,2.127732,0.3080007,358.7881,0.9980469
1748043063264,5,Right,2.33612,0.6343419,358.1898,0.9980469
1748043063265,5,Right,2.33612,0.6343419,358.1898,0.9980469
1748043063274,6,Right,2.358611,0.8773877,357.723,0.9980469
1748043063287,7,Right,2.2771,0.7767268,358.1745,0.9980469
1748043063287,7,Right,2.2771,0.7767268,358.1745,0.9980469
1748043063300,8,Right,2.500293,0.9522178,357.6134,0.9980469
1748043063300,8,Right,2.500293,0.9522178,357.6134,0.9980469
1748043063301,8,Right,2.500293,0.9522178,357.6134,0.9980469
1748043063315,9,Right,2.424119,0.5864783,358.0489,0.9980469
1748043063315,9,Right,2.424119,0.5864783,358.0489,0.9980469
1748043063330,10,Right,2.615668,0.6171585,357.4675,0.9980469
1748043063330,10,Right,2.615668,0.6171585,357.4675,0.9980469
1748043063330,10,Right,2.615668,0.6171585,357.4675,0.9980469
1748043063344,11,Right,2.763919,0.6040143,356.8784,0.9980469
1748043063345,11,Right,2.763919,0.6040143,356.8784,0.9980469
1748043063345,11,Right,2.763919,0.6040143,356.8784,0.9980469
1748043063359,12,Right,2.529144,358.6941,357.7275,0.9980469
1748043063359,12,Right,2.529144,358.6941,357.7275,0.9980469
1748043063359,12,Right,2.529144,358.6941,357.7275,0.9980469
1748043063373,13,Right,2.727832,358.5551,357.5308,0.9980469
1748043063374,13,Right,2.727832,358.5551,357.5308,0.9980469
1748043063374,13,Right,2.727832,358.5551,357.5308,0.9980469
1748043063388,14,Right,2.61774,357.8998,358.8046,0.9980469
1748043063388,14,Right,2.61774,357.8998,358.8046,0.9980469
1748043063388,14,Right,2.61774,357.8998,358.8046,0.9980469
1748043063402,15,Right,2.79291,357.6491,359.0806,0.9980469
1748043063402,15,Right,2.79291,357.6491,359.0806,0.9980469
1748043063402,15,Right,2.79291,357.6491,359.0806,0.9980469
1748043063417,16,Right,2.552441,357.5543,0.0727131,0.9980469
1748043063417,16,Right,2.552441,357.5543,0.0727131,0.9980469
1748043063417,16,Right,2.552441,357.5543,0.0727131,0.9980469
1748043063431,17,Right,2.916358,357.2303,0.4787489,0.9980469
1748043063431,17,Right,2.916358,357.2303,0.4787489,0.9980469
1748043063431,17,Right,2.916358,357.2303,0.4787489,0.9980469
1748043063445,18,Right,3.285657,356.937,0.8905873,0.9980469
1748043063445,18,Right,3.285657,356.937,0.8905873,0.9980469
1748043063459,19,Right,3.797147,357.1145,1.407754,0.9980469
1748043063459,19,Right,3.797147,357.1145,1.407754,0.9980469
1748043063460,19,Right,3.797147,357.1145,1.407754,0.9980469
1748043063473,20,Right,4.36617,356.7632,2.220015,0.9980469
1748043063474,20,Right,4.36617,356.7632,2.220015,0.9980469
1748043063474,20,Right,4.36617,356.7632,2.220015,0.9980469
1748043063487,21,Right,3.223501,357.1149,2.314994,0.9980469
1748043063488,21,Right,3.223501,357.1149,2.314994,0.9980469
1748043063488,21,Right,3.223501,357.1149,2.314994,0.9980469
1748043063502,22,Right,3.763013,356.6186,3.430731,0.9980469
1748043063502,22,Right,3.763013,356.6186,3.430731,0.9980469
1748043063502,22,Right,3.763013,356.6186,3.430731,0.9980469
1748043063514,23,Right,2.854458,356.4361,2.527096,0.9980469
1748043063514,23,Right,2.854458,356.4361,2.527096,0.9980469
1748043063515,23,Right,2.854458,356.4361,2.527096,0.9980469
1748043063528,24,Right,2.674118,356.0478,3.141242,0.9980469
1748043063528,24,Right,2.674118,356.0478,3.141242,0.9980469
1748043063543,25,Right,3.342147,355.544,3.560616,0.9980469
1748043063543,25,Right,3.342147,355.544,3.560616,0.9980469
1748043063543,25,Right,3.342147,355.544,3.560616,0.9980469
1748043063556,26,Right,2.916026,357.6437,0.8518912,0.9980469
1748043063557,26,Right,2.916026,357.6437,0.8518912,0.9980469
1748043063557,26,Right,2.916026,357.6437,0.8518912,0.9980469
1748043063569,27,Right,0.345385,356.4334,3.156417,0.9980469
1748043063569,27,Right,0.345385,356.4334,3.156417,0.9980469
1748043063569,27,Right,0.345385,356.4334,3.156417,0.9980469
1748043063583,28,Right,2.79844,357.0732,1.050449,0.9980469
1748043063583,28,Right,2.79844,357.0732,1.050449,0.9980469
1748043063597,29,Right,2.905668,357.5087,1.900955,0.9980469
1748043063597,29,Right,2.905668,357.5087,1.900955,0.9980469
1748043063598,29,Right,2.905668,357.5087,1.900955,0.9980469
1748043063611,30,Right,1.548835,357.785,1.557303,0.9980469
