unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748041769763,3,Left,31.82941,334.0848,352.574,0.9980469
1748041769764,3,Left,31.82941,334.0848,352.574,0.9980469
1748041769765,3,Left,31.82941,334.0848,352.574,0.9980469
1748041769806,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769807,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769807,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769808,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769808,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769809,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769809,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769809,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769809,4,Left,32.48176,334.8401,352.48,0.9980469
1748041769815,5,Left,32.4762,334.7987,352.3838,0.9980469
1748041769829,6,Left,32.49529,334.7089,352.307,0.9980469
1748041769829,6,Left,32.49529,334.7089,352.307,0.9980469
1748041769842,7,Left,32.47575,334.7357,352.2669,0.9980469
1748041769842,7,Left,32.47575,334.7357,352.2669,0.9980469
1748041769857,8,Left,32.33331,334.465,352.2682,0.9980469
1748041769857,8,Left,32.33331,334.465,352.2682,0.9980469
1748041769858,8,Left,32.33331,334.465,352.2682,0.9980469
1748041769873,9,Left,32.29094,334.4202,352.2325,0.9980469
1748041769873,9,Left,32.29094,334.4202,352.2325,0.9980469
1748041769874,9,Left,32.29094,334.4202,352.2325,0.9980469
1748041769888,10,Left,32.37815,334.2609,352.307,0.9980469
1748041769888,10,Left,32.37815,334.2609,352.307,0.9980469
1748041769888,10,Left,32.37815,334.2609,352.307,0.9980469
1748041769903,11,Left,32.44265,334.069,352.2854,0.9980469
1748041769904,11,Left,32.44265,334.069,352.2854,0.9980469
1748041769904,11,Left,32.44265,334.069,352.2854,0.9980469
1748041769918,12,Left,33.81965,334.9166,352.3336,0.9980469
1748041769919,12,Left,33.81965,334.9166,352.3336,0.9980469
1748041769919,12,Left,33.81965,334.9166,352.3336,0.9980469
1748041769933,13,Left,33.86498,334.5902,352.2135,0.9980469
1748041769933,13,Left,33.86498,334.5902,352.2135,0.9980469
1748041769934,13,Left,33.86498,334.5902,352.2135,0.9980469
1748041769948,14,Left,34.81412,334.829,352.0235,0.9980469
1748041769948,14,Left,34.81412,334.829,352.0235,0.9980469
1748041769948,14,Left,34.81412,334.829,352.0235,0.9980469
1748041769962,15,Left,34.81885,334.466,351.9377,0.9980469
1748041769963,15,Left,34.81885,334.466,351.9377,0.9980469
1748041769963,15,Left,34.81885,334.466,351.9377,0.9980469
1748041769977,16,Left,37.36841,336.3972,351.9959,0.9980469
1748041769977,16,Left,37.36841,336.3972,351.9959,0.9980469
1748041769977,16,Left,37.36841,336.3972,351.9959,0.9980469
1748041769991,17,Left,37.36664,335.9561,351.8671,0.9980469
1748041769992,17,Left,37.36664,335.9561,351.8671,0.9980469
1748041769992,17,Left,37.36664,335.9561,351.8671,0.9980469
1748041770006,18,Left,37.39719,335.5119,351.7805,0.9980469
1748041770007,18,Left,37.39719,335.5119,351.7805,0.9980469
1748041770007,18,Left,37.39719,335.5119,351.7805,0.9980469
1748041770020,19,Left,39.46155,338.9848,352.6213,0.9980469
1748041770020,19,Left,39.46155,338.9848,352.6213,0.9980469
1748041770021,19,Left,39.46155,338.9848,352.6213,0.9980469
1748041770032,20,Left,39.53102,338.5228,352.5944,0.9980469
1748041770032,20,Left,39.53102,338.5228,352.5944,0.9980469
1748041770033,20,Left,39.53102,338.5228,352.5944,0.9980469
1748041770045,21,Left,39.69221,339.2225,352.8003,0.9980469
1748041770046,21,Left,39.69221,339.2225,352.8003,0.9980469
1748041770060,22,Left,39.77035,338.7284,352.674,0.9980469
1748041770060,22,Left,39.77035,338.7284,352.674,0.9980469
1748041770060,22,Left,39.77035,338.7284,352.674,0.9980469
1748041770074,23,Left,39.83421,338.2219,352.569,0.9980469
1748041770074,23,Left,39.83421,338.2219,352.569,0.9980469
1748041770074,23,Left,39.83421,338.2219,352.569,0.9980469
1748041770088,24,Left,40.45048,339.9144,352.95,0.9980469
1748041770089,24,Left,40.45048,339.9144,352.95,0.9980469
1748041770089,24,Left,40.45048,339.9144,352.95,0.9980469
1748041770103,25,Left,40.46634,339.3578,352.8318,0.9980469
1748041770103,25,Left,40.46634,339.3578,352.8318,0.9980469
1748041770117,26,Left,40.54472,341.2518,353.4222,0.9980469
1748041770117,26,Left,40.54472,341.2518,353.4222,0.9980469
1748041770118,26,Left,40.54472,341.2518,353.4222,0.9980469
1748041770129,27,Left,40.51612,340.6204,353.3398,0.9980469
1748041770130,27,Left,40.51612,340.6204,353.3398,0.9980469
1748041770130,27,Left,40.51612,340.6204,353.3398,0.9980469
1748041770142,28,Left,40.4746,339.9662,353.2355,0.9980469
1748041770143,28,Left,40.4746,339.9662,353.2355,0.9980469
1748041770143,28,Left,40.4746,339.9662,353.2355,0.9980469
1748041770157,29,Left,40.59937,341.6998,353.7392,0.9980469
