unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748041769763,3,Right,31.08208,330.8664,351.8147,0.9980469
1748041769764,3,Right,31.08208,330.8664,351.8147,0.9980469
1748041769765,3,Right,31.08208,330.8664,351.8147,0.9980469
1748041769806,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769807,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769807,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769808,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769808,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769809,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769809,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769809,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769809,4,Right,31.73321,331.5727,351.684,0.9980469
1748041769816,5,Right,31.72303,331.533,351.5891,0.9980469
1748041769829,6,Right,31.7384,331.4438,351.5117,0.9980469
1748041769829,6,Right,31.7384,331.4438,351.5117,0.9980469
1748041769842,7,Right,31.71696,331.472,351.4734,0.9980469
1748041769842,7,Right,31.71696,331.472,351.4734,0.9980469
1748041769857,8,Right,31.57277,331.2137,351.4855,0.9980469
1748041769857,8,Right,31.57277,331.2137,351.4855,0.9980469
1748041769858,8,Right,31.57277,331.2137,351.4855,0.9980469
1748041769873,9,Right,31.52876,331.1709,351.4528,0.9980469
1748041769873,9,Right,31.52876,331.1709,351.4528,0.9980469
1748041769874,9,Right,31.52876,331.1709,351.4528,0.9980469
1748041769888,10,Right,31.61855,331.0084,351.5229,0.9980469
1748041769888,10,Right,31.61855,331.0084,351.5229,0.9980469
1748041769888,10,Right,31.61855,331.0084,351.5229,0.9980469
1748041769903,11,Right,31.6819,330.8146,351.4973,0.9980469
1748041769904,11,Right,31.6819,330.8146,351.4973,0.9980469
1748041769904,11,Right,31.6819,330.8146,351.4973,0.9980469
1748041769918,12,Right,33.06005,331.5823,351.4711,0.9980469
1748041769919,12,Right,33.06005,331.5823,351.4711,0.9980469
1748041769919,12,Right,33.06005,331.5823,351.4711,0.9980469
1748041769933,13,Right,33.09951,331.2562,351.3492,0.9980469
1748041769934,13,Right,33.09951,331.2562,351.3492,0.9980469
1748041769934,13,Right,33.09951,331.2562,351.3492,0.9980469
1748041769948,14,Right,34.03403,331.4514,351.118,0.9980469
1748041769948,14,Right,34.03403,331.4514,351.118,0.9980469
1748041769948,14,Right,34.03403,331.4514,351.118,0.9980469
1748041769963,15,Right,34.0346,331.0897,351.0327,0.9980469
1748041769963,15,Right,34.0346,331.0897,351.0327,0.9980469
1748041769963,15,Right,34.0346,331.0897,351.0327,0.9980469
1748041769977,16,Right,36.58617,332.8616,350.9477,0.9980469
1748041769977,16,Right,36.58617,332.8616,350.9477,0.9980469
1748041769977,16,Right,36.58617,332.8616,350.9477,0.9980469
1748041769991,17,Right,36.5781,332.4228,350.8205,0.9980469
1748041769992,17,Right,36.5781,332.4228,350.8205,0.9980469
1748041769992,17,Right,36.5781,332.4228,350.8205,0.9980469
1748041770006,18,Right,36.60435,331.9789,350.7327,0.9980469
1748041770007,18,Right,36.60435,331.9789,350.7327,0.9980469
1748041770007,18,Right,36.60435,331.9789,350.7327,0.9980469
1748041770020,19,Right,38.73423,335.264,351.4077,0.9980469
1748041770020,19,Right,38.73423,335.264,351.4077,0.9980469
1748041770021,19,Right,38.73423,335.264,351.4077,0.9980469
1748041770032,20,Right,38.8022,334.7988,351.3754,0.9980469
1748041770032,20,Right,38.8022,334.7988,351.3754,0.9980469
1748041770033,20,Right,38.8022,334.7988,351.3754,0.9980469
1748041770045,21,Right,38.97578,335.4817,351.5652,0.9980469
1748041770046,21,Right,38.97578,335.4817,351.5652,0.9980469
1748041770060,22,Right,39.04742,334.9857,351.4339,0.9980469
1748041770060,22,Right,39.04742,334.9857,351.4339,0.9980469
1748041770060,22,Right,39.04742,334.9857,351.4339,0.9980469
1748041770074,23,Right,39.10585,334.4776,351.3249,0.9980469
1748041770074,23,Right,39.10585,334.4776,351.3249,0.9980469
1748041770074,23,Right,39.10585,334.4776,351.3249,0.9980469
1748041770089,24,Right,39.75125,336.1072,351.6529,0.9980469
1748041770089,24,Right,39.75125,336.1072,351.6529,0.9980469
1748041770089,24,Right,39.75125,336.1072,351.6529,0.9980469
1748041770103,25,Right,39.7611,335.5518,351.5348,0.9980469
1748041770103,25,Right,39.7611,335.5518,351.5348,0.9980469
1748041770117,26,Right,39.88545,337.4073,352.0995,0.9980469
1748041770117,26,Right,39.88545,337.4073,352.0995,0.9980469
1748041770118,26,Right,39.88545,337.4073,352.0995,0.9980469
1748041770129,27,Right,39.85272,336.7789,352.0206,0.9980469
1748041770130,27,Right,39.85272,336.7789,352.0206,0.9980469
1748041770130,27,Right,39.85272,336.7789,352.0206,0.9980469
1748041770143,28,Right,39.80598,336.1288,351.9212,0.9980469
1748041770143,28,Right,39.80598,336.1288,351.9212,0.9980469
1748041770143,28,Right,39.80598,336.1288,351.9212,0.9980469
1748041770157,29,Right,39.97007,337.8279,352.4007,0.9980469
1748041770157,29,Right,39.97007,337.8279,352.4007,0.9980469
1748041770171,30,Right,39.89582,337.2481,352.3474,0.9980469
1748041770171,30,Right,39.89582,337.2481,352.3474,0.9980469
1748041770172,30,Right,39.89582,337.2481,352.3474,0.9980469
1748041770186,31,Right,40.29576,338.0049,352.4583,0.9980469
1748041770186,31,Right,40.29576,338.0049,352.4583,0.9980469
1748041770186,31,Right,40.29576,338.0049,352.4583,0.9980469
1748041770200,32,Right,40.24358,337.4272,352.4203,0.9980469
1748041770201,32,Right,40.24358,337.4272,352.4203,0.9980469
1748041770201,32,Right,40.24358,337.4272,352.4203,0.9980469
1748041770214,33,Right,40.28516,338.2737,352.5534,0.9980469
1748041770215,33,Right,40.28516,338.2737,352.5534,0.9980469
1748041770215,33,Right,40.28516,338.2737,352.5534,0.9980469
1748041770227,34,Right,40.18786,337.7648,352.5176,0.9980469
1748041770227,34,Right,40.18786,337.7648,352.5176,0.9980469
1748041770227,34,Right,40.18786,337.7648,352.5176,0.9980469
