unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748041946032,47,Right,13.21566,359.4661,359.9386,0.9980469
1748041946033,47,Right,13.21566,359.4661,359.9386,0.9980469
1748041946033,47,Right,13.21566,359.4661,359.9386,0.9980469
1748041946046,48,Right,13.21345,359.4597,359.9343,0.9980469
1748041946047,48,Right,13.21345,359.4597,359.9343,0.9980469
1748041946047,48,Right,13.21345,359.4597,359.9343,0.9980469
1748041946060,49,Right,13.20731,359.461,359.9415,0.9980469
1748041946061,49,Right,13.20731,359.461,359.9415,0.9980469
1748041946061,49,Right,13.20731,359.461,359.9415,0.9980469
1748041946075,50,Right,13.20753,359.4648,359.9462,0.9980469
1748041946075,50,Right,13.20753,359.4648,359.9462,0.9980469
1748041946075,50,Right,13.20753,359.4648,359.9462,0.9980469
1748041946089,51,Right,4.488595,359.392,359.9755,0.9980469
1748041946089,51,Right,4.488595,359.392,359.9755,0.9980469
1748041946089,51,Right,4.488595,359.392,359.9755,0.9980469
1748041946103,52,Right,4.487169,359.3916,359.9683,0.9980469
1748041946103,52,Right,4.487169,359.3916,359.9683,0.9980469
1748041946116,53,Right,4.480961,359.0714,359.9567,0.9980469
1748041946116,53,Right,4.480961,359.0714,359.9567,0.9980469
1748041946116,53,Right,4.480961,359.0714,359.9567,0.9980469
1748041946129,54,Right,4.47575,359.0793,359.971,0.9980469
1748041946129,54,Right,4.47575,359.0793,359.971,0.9980469
1748041946129,54,Right,4.47575,359.0793,359.971,0.9980469
1748041946143,55,Right,4.483093,359.0805,359.9678,0.9980469
1748041946143,55,Right,4.483093,359.0805,359.9678,0.9980469
1748041946157,56,Right,4.498866,358.2779,359.9346,0.9980469
1748041946157,56,Right,4.498866,358.2779,359.9346,0.9980469
1748041946157,56,Right,4.498866,358.2779,359.9346,0.9980469
1748041946171,57,Right,4.498541,358.2678,359.9215,0.9980469
1748041946171,57,Right,4.498541,358.2678,359.9215,0.9980469
1748041946172,57,Right,4.498541,358.2678,359.9215,0.9980469
1748041946185,58,Right,4.505502,358.271,359.9278,0.9980469
1748041946186,58,Right,4.505502,358.271,359.9278,0.9980469
1748041946186,58,Right,4.505502,358.271,359.9278,0.9980469
1748041946200,59,Right,4.501543,358.269,359.9352,0.9980469
1748041946200,59,Right,4.501543,358.269,359.9352,0.9980469
1748041946200,59,Right,4.501543,358.269,359.9352,0.9980469
1748041946214,60,Right,4.504599,358.539,359.9593,0.9980469
1748041946214,60,Right,4.504599,358.539,359.9593,0.9980469
1748041946228,61,Right,4.49366,358.5435,359.946,0.9980469
1748041946228,61,Right,4.49366,358.5435,359.946,0.9980469
1748041946229,61,Right,4.49366,358.5435,359.946,0.9980469
1748041946242,62,Right,4.505206,358.5324,359.9468,0.9980469
1748041946242,62,Right,4.505206,358.5324,359.9468,0.9980469
1748041946242,62,Right,4.505206,358.5324,359.9468,0.9980469
1748041946256,63,Right,4.517881,358.5938,359.9344,0.9980469
1748041946256,63,Right,4.517881,358.5938,359.9344,0.9980469
1748041946256,63,Right,4.517881,358.5938,359.9344,0.9980469
1748041946270,64,Right,4.513667,358.6009,359.9454,0.9980469
1748041946270,64,Right,4.513667,358.6009,359.9454,0.9980469
1748041946271,64,Right,4.513667,358.6009,359.9454,0.9980469
1748041946284,65,Right,4.508885,358.5996,359.9547,0.9980469
1748041946284,65,Right,4.508885,358.5996,359.9547,0.9980469
1748041946285,65,Right,4.508885,358.5996,359.9547,0.9980469
1748041946298,66,Right,4.512225,358.6007,359.9508,0.9980469
1748041946298,66,Right,4.512225,358.6007,359.9508,0.9980469
1748041946310,67,Right,4.466184,358.0473,359.923,0.9980469
1748041946311,67,Right,4.466184,358.0473,359.923,0.9980469
1748041946311,67,Right,4.466184,358.0473,359.923,0.9980469
1748041946324,68,Right,4.462474,358.05,359.9181,0.9980469
1748041946324,68,Right,4.462474,358.05,359.9181,0.9980469
1748041946324,68,Right,4.462474,358.05,359.9181,0.9980469
1748041946338,69,Right,4.461795,358.0459,359.9272,0.9980469
1748041946338,69,Right,4.461795,358.0459,359.9272,0.9980469
1748041946352,70,Right,4.461029,358.0558,359.9328,0.9980469
1748041946352,70,Right,4.461029,358.0558,359.9328,0.9980469
1748041946353,70,Right,4.461029,358.0558,359.9328,0.9980469
1748041946366,71,Right,4.456624,358.0602,359.9386,0.9980469
1748041946366,71,Right,4.456624,358.0602,359.9386,0.9980469
1748041946367,71,Right,4.456624,358.0602,359.9386,0.9980469
1748041946380,72,Right,4.472185,358.183,359.9239,0.9980469
1748041946381,72,Right,4.472185,358.183,359.9239,0.9980469
1748041946381,72,Right,4.472185,358.183,359.9239,0.9980469
1748041946394,73,Right,4.472976,358.1813,359.919,0.9980469
1748041946395,73,Right,4.472976,358.1813,359.919,0.9980469
1748041946395,73,Right,4.472976,358.1813,359.919,0.9980469
