unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748043444824,3,Right,9.198385,5.215436,0.4141092,0.9980469
1748043444824,3,Right,9.198385,5.215436,0.4141092,0.9980469
1748043444824,3,Right,9.198385,5.215436,0.4141092,0.9980469
1748043444868,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444869,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444869,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444870,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444870,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444870,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444870,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444870,4,Right,9.127579,4.744214,0.3842111,0.9980469
1748043444884,5,Right,9.109872,4.790712,0.3928438,0.9980469
1748043444885,5,Right,9.109872,4.790712,0.3928438,0.9980469
1748043444885,5,Right,9.109872,4.790712,0.3928438,0.9980469
1748043444898,6,Right,9.083262,4.809742,0.3727069,0.9980469
1748043444898,6,Right,9.083262,4.809742,0.3727069,0.9980469
1748043444898,6,Right,9.083262,4.809742,0.3727069,0.9980469
1748043444912,7,Right,9.051765,4.835631,0.3697957,0.9980469
1748043444912,7,Right,9.051765,4.835631,0.3697957,0.9980469
1748043444927,8,Right,9.125815,4.881345,0.3819222,0.9980469
1748043444927,8,Right,9.125815,4.881345,0.3819222,0.9980469
1748043444927,8,Right,9.125815,4.881345,0.3819222,0.9980469
1748043444941,9,Right,9.100121,4.894205,0.3772084,0.9980469
1748043444942,9,Right,9.100121,4.894205,0.3772084,0.9980469
1748043444942,9,Right,9.100121,4.894205,0.3772084,0.9980469
1748043444954,10,Right,9.153841,4.924679,0.3622698,0.9980469
1748043444955,10,Right,9.153841,4.924679,0.3622698,0.9980469
1748043444955,10,Right,9.153841,4.924679,0.3622698,0.9980469
1748043444969,11,Right,9.140553,4.926743,0.3299964,0.9980469
1748043444969,11,Right,9.140553,4.926743,0.3299964,0.9980469
1748043444969,11,Right,9.140553,4.926743,0.3299964,0.9980469
1748043444982,12,Right,8.956035,4.885268,0.3068299,0.9980469
1748043444983,12,Right,8.956035,4.885268,0.3068299,0.9980469
1748043444983,12,Right,8.956035,4.885268,0.3068299,0.9980469
1748043444996,13,Right,8.922912,4.871934,0.3104657,0.9980469
1748043444996,13,Right,8.922912,4.871934,0.3104657,0.9980469
1748043445010,14,Right,8.868311,4.857229,0.3202936,0.9980469
1748043445011,14,Right,8.868311,4.857229,0.3202936,0.9980469
1748043445011,14,Right,8.868311,4.857229,0.3202936,0.9980469
1748043445023,15,Right,8.81598,4.820237,0.3447151,0.9980469
1748043445024,15,Right,8.81598,4.820237,0.3447151,0.9980469
1748043445025,15,Right,8.81598,4.820237,0.3447151,0.9980469
1748043445037,16,Right,8.772319,4.793761,0.329006,0.9980469
1748043445037,16,Right,8.772319,4.793761,0.329006,0.9980469
1748043445037,16,Right,8.772319,4.793761,0.329006,0.9980469
1748043445051,17,Right,8.415406,4.810184,0.3132029,0.9980469
1748043445051,17,Right,8.415406,4.810184,0.3132029,0.9980469
1748043445065,18,Right,8.362816,4.798375,0.3294856,0.9980469
1748043445065,18,Right,8.362816,4.798375,0.3294856,0.9980469
1748043445065,18,Right,8.362816,4.798375,0.3294856,0.9980469
1748043445080,19,Right,8.340729,4.790611,0.3565179,0.9980469
1748043445080,19,Right,8.340729,4.790611,0.3565179,0.9980469
1748043445081,19,Right,8.340729,4.790611,0.3565179,0.9980469
1748043445093,20,Right,8.441196,4.854215,0.4056986,0.9980469
1748043445094,20,Right,8.441196,4.854215,0.4056986,0.9980469
1748043445094,20,Right,8.441196,4.854215,0.4056986,0.9980469
1748043445107,21,Right,8.451843,4.859035,0.4254515,0.9980469
1748043445107,21,Right,8.451843,4.859035,0.4254515,0.9980469
1748043445108,21,Right,8.451843,4.859035,0.4254515,0.9980469
1748043445121,22,Right,8.193799,4.89086,0.4216744,0.9980469
1748043445121,22,Right,8.193799,4.89086,0.4216744,0.9980469
1748043445135,23,Right,8.185489,4.907053,0.4445094,0.9980469
1748043445135,23,Right,8.185489,4.907053,0.4445094,0.9980469
1748043445135,23,Right,8.185489,4.907053,0.4445094,0.9980469
1748043445149,24,Right,8.197641,4.933031,0.425904,0.9980469
1748043445150,24,Right,8.197641,4.933031,0.425904,0.9980469
1748043445150,24,Right,8.197641,4.933031,0.425904,0.9980469
1748043445162,25,Right,8.184088,4.939481,0.4482282,0.9980469
1748043445163,25,Right,8.184088,4.939481,0.4482282,0.9980469
1748043445163,25,Right,8.184088,4.939481,0.4482282,0.9980469
1748043445177,26,Right,8.178048,4.934538,0.4659496,0.9980469
1748043445178,26,Right,8.178048,4.934538,0.4659496,0.9980469
1748043445191,27,Right,8.262128,4.839132,0.4348822,0.9980469
1748043445191,27,Right,8.262128,4.839132,0.4348822,0.9980469
1748043445191,27,Right,8.262128,4.839132,0.4348822,0.9980469
1748043445206,28,Right,8.27169,4.812539,0.4424003,0.9980469
1748043445206,28,Right,8.27169,4.812539,0.4424003,0.9980469
1748043445207,28,Right,8.27169,4.812539,0.4424003,0.9980469
