unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748042482262,42,Left,2.407656,1.784407,0.2374192,0.8964844
1748042482263,42,Left,2.407656,1.784407,0.2374192,0.8964844
1748042482263,42,Left,2.407656,1.784407,0.2374192,0.8964844
1748042482276,43,Left,2.754438,2.198081,0.3433238,0.8964844
1748042482277,43,Left,2.754438,2.198081,0.3433238,0.8964844
1748042482291,44,Left,2.281159,2.116192,0.2146242,0.8964844
1748042482291,44,Left,2.281159,2.116192,0.2146242,0.8964844
1748042482291,44,Left,2.281159,2.116192,0.2146242,0.8964844
1748042482305,45,Left,2.206049,2.725004,0.1578235,0.8964844
1748042482305,45,Left,2.206049,2.725004,0.1578235,0.8964844
1748042482305,45,Left,2.206049,2.725004,0.1578235,0.8964844
1748042482319,46,Left,2.334436,1.642684,358.8815,0.8964844
1748042482319,46,Left,2.334436,1.642684,358.8815,0.8964844
1748042482320,46,Left,2.334436,1.642684,358.8815,0.8964844
1748042482333,47,Left,1.855419,1.271986,358.7959,0.8964844
1748042482334,47,Left,1.855419,1.271986,358.7959,0.8964844
1748042482334,47,Left,1.855419,1.271986,358.7959,0.8964844
1748042482347,48,Left,1.611342,359.2851,359.6604,0.8964844
1748042482348,48,Left,1.611342,359.2851,359.6604,0.8964844
1748042482348,48,Left,1.611342,359.2851,359.6604,0.8964844
1748042482361,49,Left,1.565511,359.5336,358.6306,0.8964844
1748042482362,49,Left,1.565511,359.5336,358.6306,0.8964844
1748042482376,50,Left,1.340501,359.9402,359.2762,0.8964844
1748042482376,50,Left,1.340501,359.9402,359.2762,0.8964844
1748042482377,50,Left,1.340501,359.9402,359.2762,0.8964844
1748042482390,51,Left,0.6876865,358.3746,0.01542934,0.8964844
1748042482390,51,Left,0.6876865,358.3746,0.01542934,0.8964844
1748042482390,51,Left,0.6876865,358.3746,0.01542934,0.8964844
1748042482402,52,Left,0.6996728,358.2979,0.51313,0.8964844
1748042482402,52,Left,0.6996728,358.2979,0.51313,0.8964844
1748042482402,52,Left,0.6996728,358.2979,0.51313,0.8964844
1748042482415,53,Left,358.9218,357.4893,0.6169273,0.8964844
1748042482415,53,Left,358.9218,357.4893,0.6169273,0.8964844
1748042482429,54,Left,358.9643,357.6079,0.5049939,0.8964844
1748042482430,54,Left,358.9643,357.6079,0.5049939,0.8964844
1748042482430,54,Left,358.9643,357.6079,0.5049939,0.8964844
1748042482443,55,Left,358.9966,357.4905,359.9659,0.8964844
1748042482444,55,Left,358.9966,357.4905,359.9659,0.8964844
1748042482444,55,Left,358.9966,357.4905,359.9659,0.8964844
1748042482458,56,Left,359.0415,357.3717,359.8511,0.8964844
1748042482458,56,Left,359.0415,357.3717,359.8511,0.8964844
1748042482458,56,Left,359.0415,357.3717,359.8511,0.8964844
1748042482472,57,Left,359.0344,357.3483,359.8484,0.8964844
1748042482472,57,Left,359.0344,357.3483,359.8484,0.8964844
1748042482486,58,Left,359.1657,357.2701,359.9346,0.8964844
1748042482486,58,Left,359.1657,357.2701,359.9346,0.8964844
1748042482486,58,Left,359.1657,357.2701,359.9346,0.8964844
1748042482500,59,Left,359.1382,357.2614,0.06908218,0.8964844
1748042482500,59,Left,359.1382,357.2614,0.06908218,0.8964844
1748042482501,59,Left,359.1382,357.2614,0.06908218,0.8964844
1748042482514,60,Left,359.5107,357.266,0.1321464,0.8964844
1748042482515,60,Left,359.5107,357.266,0.1321464,0.8964844
1748042482515,60,Left,359.5107,357.266,0.1321464,0.8964844
1748042482529,61,Left,359.5209,357.2707,0.08527966,0.8964844
1748042482529,61,Left,359.5209,357.2707,0.08527966,0.8964844
1748042482529,61,Left,359.5209,357.2707,0.08527966,0.8964844
1748042482543,62,Left,359.5249,357.2569,0.03089591,0.8964844
1748042482543,62,Left,359.5249,357.2569,0.03089591,0.8964844
1748042482543,62,Left,359.5249,357.2569,0.03089591,0.8964844
1748042482557,63,Left,359.5373,357.2309,359.9528,0.8964844
1748042482557,63,Left,359.5373,357.2309,359.9528,0.8964844
1748042482569,64,Left,359.535,357.243,359.9764,0.8964844
1748042482570,64,Left,359.535,357.243,359.9764,0.8964844
1748042482570,64,Left,359.535,357.243,359.9764,0.8964844
1748042482582,65,Left,359.5949,356.762,0.04153451,0.8964844
1748042482583,65,Left,359.5949,356.762,0.04153451,0.8964844
1748042482583,65,Left,359.5949,356.762,0.04153451,0.8964844
1748042482596,66,Left,359.595,356.7643,0.04371877,0.8964844
1748042482597,66,Left,359.595,356.7643,0.04371877,0.8964844
1748042482611,67,Left,359.5944,356.7489,0.001866022,0.8964844
1748042482611,67,Left,359.5944,356.7489,0.001866022,0.8964844
1748042482611,67,Left,359.5944,356.7489,0.001866022,0.8964844
1748042482625,68,Left,359.5869,356.7516,359.994,0.8964844
1748042482625,68,Left,359.5869,356.7516,359.994,0.8964844
1748042482625,68,Left,359.5869,356.7516,359.994,0.8964844
1748042482639,69,Left,359.626,356.8249,0.006997681,0.8964844
1748042482639,69,Left,359.626,356.8249,0.006997681,0.8964844
1748042482639,69,Left,359.626,356.8249,0.006997681,0.8964844
1748042482653,70,Left,0.3579757,358.3254,0.004743741,0.8964844
1748042482653,70,Left,0.3579757,358.3254,0.004743741,0.8964844
1748042482654,70,Left,0.3579757,358.3254,0.004743741,0.8964844
1748042482667,71,Left,0.8205137,358.3889,0.4046557,0.8964844
1748042482668,71,Left,0.8205137,358.3889,0.4046557,0.8964844
1748042482668,71,Left,0.8205137,358.3889,0.4046557,0.8964844
1748042482681,72,Left,0.4684613,358.741,0.1169595,0.8964844
1748042482682,72,Left,0.4684613,358.741,0.1169595,0.8964844
1748042482696,73,Left,0.6929109,359.3009,0.4606439,0.8964844
1748042482696,73,Left,0.6929109,359.3009,0.4606439,0.8964844
1748042482696,73,Left,0.6929109,359.3009,0.4606439,0.8964844
1748042482710,74,Left,0.934134,359.5726,0.6448196,0.8964844
1748042482710,74,Left,0.934134,359.5726,0.6448196,0.8964844
1748042482710,74,Left,0.934134,359.5726,0.6448196,0.8964844
1748042482722,75,Left,359.7554,358.4626,0.8154742,0.8964844
1748042482723,75,Left,359.7554,358.4626,0.8154742,0.8964844
1748042482723,75,Left,359.7554,358.4626,0.8154742,0.8964844
1748042482735,76,Left,359.698,359.2932,0.9604323,0.8964844
1748042482736,76,Left,359.698,359.2932,0.9604323,0.8964844
1748042482749,77,Left,359.4691,359.0491,0.9890209,0.8964844
1748042482750,77,Left,359.4691,359.0491,0.9890209,0.8964844
1748042482750,77,Left,359.4691,359.0491,0.9890209,0.8964844
1748042482764,78,Left,359.4827,359.6574,1.050868,0.8964844
1748042482764,78,Left,359.4827,359.6574,1.050868,0.8964844
1748042482764,78,Left,359.4827,359.6574,1.050868,0.8964844
1748042482778,79,Left,358.1596,358.7393,0.6358606,0.8964844
1748042482778,79,Left,358.1596,358.7393,0.6358606,0.8964844
1748042482778,79,Left,358.1596,358.7393,0.6358606,0.8964844
1748042482792,80,Left,358.1931,358.8965,0.6196932,0.8964844
1748042482792,80,Left,358.1931,358.8965,0.6196932,0.8964844
1748042482793,80,Left,358.1931,358.8965,0.6196932,0.8964844
1748042482806,81,Left,358.1699,358.8425,0.7057066,0.8964844
1748042482807,81,Left,358.1699,358.8425,0.7057066,0.8964844
1748042482821,82,Left,359.1588,358.9102,359.7322,0.8964844
1748042482822,82,Left,359.1588,358.9102,359.7322,0.8964844
1748042482822,82,Left,359.1588,358.9102,359.7322,0.8964844
1748042482836,83,Left,359.0453,358.6393,359.3333,0.8964844
1748042482836,83,Left,359.0453,358.6393,359.3333,0.8964844
1748042482836,83,Left,359.0453,358.6393,359.3333,0.8964844
1748042482850,84,Left,357.9243,358.6506,359.4818,0.8964844
1748042482850,84,Left,357.9243,358.6506,359.4818,0.8964844
1748042482850,84,Left,357.9243,358.6506,359.4818,0.8964844
1748042482864,85,Left,357.8957,358.8491,359.3477,0.8964844
1748042482864,85,Left,357.8957,358.8491,359.3477,0.8964844
1748042482865,85,Left,357.8957,358.8491,359.3477,0.8964844
1748042482878,86,Left,1.08857,358.9096,0.3364386,0.8964844
1748042482878,86,Left,1.08857,358.9096,0.3364386,0.8964844
1748042482879,86,Left,1.08857,358.9096,0.3364386,0.8964844
1748042482892,87,Left,1.204012,358.9467,0.3532205,0.8964844
1748042482892,87,Left,1.204012,358.9467,0.3532205,0.8964844
1748042482893,87,Left,1.204012,358.9467,0.3532205,0.8964844
1748042482906,88,Left,1.179508,359.0106,0.4087851,0.8964844
1748042482906,88,Left,1.179508,359.0106,0.4087851,0.8964844
1748042482920,89,Left,1.024551,356.1183,0.07368971,0.8964844
1748042482920,89,Left,1.024551,356.1183,0.07368971,0.8964844
1748042482921,89,Left,1.024551,356.1183,0.07368971,0.8964844
1748042482934,90,Left,1.106474,355.8788,359.9444,0.8964844
1748042482935,90,Left,1.106474,355.8788,359.9444,0.8964844
1748042482935,90,Left,1.106474,355.8788,359.9444,0.8964844
1748042482948,91,Left,0.9967866,355.5599,359.8454,0.8964844
1748042482948,91,Left,0.9967866,355.5599,359.8454,0.8964844
1748042482949,91,Left,0.9967866,355.5599,359.8454,0.8964844
1748042482962,92,Left,0.9189398,355.6551,359.9657,0.8964844
1748042482962,92,Left,0.9189398,355.6551,359.9657,0.8964844
1748042482962,92,Left,0.9189398,355.6551,359.9657,0.8964844
1748042482976,93,Left,0.7691945,355.7064,0.1346839,0.8964844
1748042482976,93,Left,0.7691945,355.7064,0.1346839,0.8964844
1748042482990,94,Left,2.114893,356.1924,0.4540312,0.8964844
1748042482990,94,Left,2.114893,356.1924,0.4540312,0.8964844
1748042482990,94,Left,2.114893,356.1924,0.4540312,0.8964844
