unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748042482262,42,Right,2.418157,358.679,0.1717177,0.8964844
1748042482263,42,Right,2.418157,358.679,0.1717177,0.8964844
1748042482263,42,Right,2.418157,358.679,0.1717177,0.8964844
1748042482276,43,Right,2.770161,359.0919,0.2586593,0.8964844
1748042482277,43,Right,2.770161,359.0919,0.2586593,0.8964844
1748042482291,44,Right,2.290612,359.0111,0.1558136,0.8964844
1748042482291,44,Right,2.290612,359.0111,0.1558136,0.8964844
1748042482291,44,Right,2.290612,359.0111,0.1558136,0.8964844
1748042482305,45,Right,2.212537,359.6201,0.1031673,0.8964844
1748042482305,45,Right,2.212537,359.6201,0.1031673,0.8964844
1748042482305,45,Right,2.212537,359.6201,0.1031673,0.8964844
1748042482319,46,Right,2.271662,358.5382,358.8218,0.8964844
1748042482319,46,Right,2.271662,358.5382,358.8218,0.8964844
1748042482320,46,Right,2.271662,358.5382,358.8218,0.8964844
1748042482333,47,Right,1.788713,358.1685,358.7623,0.8964844
1748042482334,47,Right,1.788713,358.1685,358.7623,0.8964844
1748042482334,47,Right,1.788713,358.1685,358.7623,0.8964844
1748042482347,48,Right,1.590294,356.1832,359.6104,0.8964844
1748042482348,48,Right,1.590294,356.1832,359.6104,0.8964844
1748042482348,48,Right,1.590294,356.1832,359.6104,0.8964844
1748042482361,49,Right,1.488835,356.4326,358.5846,0.8964844
1748042482362,49,Right,1.488835,356.4326,358.5846,0.8964844
1748042482376,50,Right,1.29907,356.8389,359.2415,0.8964844
1748042482376,50,Right,1.29907,356.8389,359.2415,0.8964844
1748042482377,50,Right,1.29907,356.8389,359.2415,0.8964844
1748042482390,51,Right,0.6869162,355.2771,-0.003158362,0.8964844
1748042482390,51,Right,0.6869162,355.2771,-0.003158362,0.8964844
1748042482390,51,Right,0.6869162,355.2771,-0.003158362,0.8964844
1748042482402,52,Right,0.7257761,355.2005,0.4931685,0.8964844
1748042482402,52,Right,0.7257761,355.2005,0.4931685,0.8964844
1748042482402,52,Right,0.7257761,355.2005,0.4931685,0.8964844
1748042482415,53,Right,358.9578,354.3937,0.6474836,0.8964844
1748042482416,53,Right,358.9578,354.3937,0.6474836,0.8964844
1748042482429,54,Right,358.9942,354.5122,0.5334176,0.8964844
1748042482430,54,Right,358.9942,354.5122,0.5334176,0.8964844
1748042482430,54,Right,358.9942,354.5122,0.5334176,0.8964844
1748042482443,55,Right,358.9975,354.3954,359.9934,0.8964844
1748042482444,55,Right,358.9975,354.3954,359.9934,0.8964844
1748042482444,55,Right,358.9975,354.3954,359.9934,0.8964844
1748042482458,56,Right,359.036,354.2766,359.8763,0.8964844
1748042482458,56,Right,359.036,354.2766,359.8763,0.8964844
1748042482458,56,Right,359.036,354.2766,359.8763,0.8964844
1748042482472,57,Right,359.0288,354.2532,359.874,0.8964844
1748042482472,57,Right,359.0288,354.2532,359.874,0.8964844
1748042482486,58,Right,359.1645,354.1758,359.9565,0.8964844
1748042482486,58,Right,359.1645,354.1758,359.9565,0.8964844
1748042482486,58,Right,359.1645,354.1758,359.9565,0.8964844
1748042482500,59,Right,359.1443,354.1671,0.09223402,0.8964844
1748042482500,59,Right,359.1443,354.1671,0.09223402,0.8964844
1748042482501,59,Right,359.1443,354.1671,0.09223402,0.8964844
1748042482514,60,Right,359.5191,354.1719,0.145561,0.8964844
1748042482515,60,Right,359.5191,354.1719,0.145561,0.8964844
1748042482515,60,Right,359.5191,354.1719,0.145561,0.8964844
1748042482529,61,Right,359.5268,354.1766,0.09821027,0.8964844
1748042482529,61,Right,359.5268,354.1766,0.09821027,0.8964844
1748042482529,61,Right,359.5268,354.1766,0.09821027,0.8964844
1748042482543,62,Right,359.5279,354.1628,0.04369026,0.8964844
1748042482543,62,Right,359.5279,354.1628,0.04369026,0.8964844
1748042482543,62,Right,359.5279,354.1628,0.04369026,0.8964844
1748042482557,63,Right,359.536,354.1367,359.9651,0.8964844
1748042482557,63,Right,359.536,354.1367,359.9651,0.8964844
1748042482569,64,Right,359.535,354.1489,359.9887,0.8964844
1748042482570,64,Right,359.535,354.1489,359.9887,0.8964844
1748042482570,64,Right,359.535,354.1489,359.9887,0.8964844
1748042482582,65,Right,359.5984,353.67,0.05234161,0.8964844
1748042482583,65,Right,359.5984,353.67,0.05234161,0.8964844
1748042482583,65,Right,359.5984,353.67,0.05234161,0.8964844
1748042482597,66,Right,359.5986,353.6724,0.05451853,0.8964844
