unix_ms,frame,current_fps,smoothed_fps,dt
1748109587047,1,1,0,0.6585386
1748109587100,2,5,1,0.1809848
1748109587119,3,39,11,0.02538719
1748109587170,4,19,13,0.05058881
1748109587181,5,56,24,0.01773839
1748109587191,6,94,41,0.01058453
1748109587204,7,84,52,0.01179151
1748109587218,8,95,63,0.01045422
1748109587233,9,71,65,0.01407224
1748109587248,10,63,64,0.01579073
1748109587263,11,69,66,0.01429584
1748109587277,12,65,66,0.01515235
1748109587292,13,73,67,0.01357948
1748109587306,14,67,67,0.01484188
1748109587321,15,68,68,0.01449318
1748109587336,16,68,68,0.01455245
1748109587350,17,64,67,0.01541193
1748109587365,18,73,69,0.01351823
1748109587379,19,65,68,0.01523807
1748109587394,20,70,68,0.01419667
1748109587408,21,70,69,0.01418391
1748109587422,22,70,69,0.01425625
1748109587436,23,68,69,0.01465714
1748109587451,24,73,70,0.01369771
1748109587465,25,71,70,0.01401922
1748109587479,26,68,69,0.01455078
1748109587494,27,69,69,0.01437589
1748109587508,28,66,68,0.01508094
1748109587521,29,74,70,0.01333375
1748109587536,30,69,70,0.01436068
1748109587549,31,73,71,0.01364953
1748109587563,32,73,71,0.01352531
1748109587577,33,74,72,0.0135087
1748109587591,34,71,72,0.01402771
1748109587605,35,72,72,0.01385464
1748109587620,36,69,71,0.01435375
1748109587633,37,68,70,0.0146663
1748109587647,38,74,71,0.01337729
1748109587661,39,71,71,0.01396365
1748109587675,40,72,71,0.01384354
1748109587689,41,68,70,0.01460886
1748109587703,42,71,71,0.01389073
1748109587717,43,75,72,0.01326985
1748109587731,44,71,72,0.01391781
1748109587746,45,69,71,0.01448297
1748109587759,46,67,70,0.01488089
1748109587771,47,77,72,0.01292531
1748109587785,48,80,74,0.01247229
1748109587800,49,71,73,0.01397511
1748109587814,50,68,72,0.01452594
1748109587828,51,69,71,0.01445177
1748109587842,52,71,71,0.01389542
1748109587856,53,68,70,0.01459406
1748109587870,54,75,71,0.01326688
1748109587884,55,71,71,0.01397188
1748109587898,56,72,72,0.01374974
1748109587913,57,68,71,0.01451438
1748109587926,58,68,70,0.01451662
1748109587940,59,76,72,0.01300839
1748109587954,60,63,70,0.01576521
1748109587968,61,80,72,0.01249547
1748109587982,62,72,72,0.01384318
1748109587996,63,73,72,0.01364083
1748109588012,64,66,71,0.01505271
1748109588024,65,61,68,0.01639089
1748109588036,66,83,72,0.01191021
1748109588049,67,90,76,0.01108839
1748109588063,68,76,76,0.01314047
1748109588079,69,69,74,0.01431604
1748109588093,70,66,72,0.01499755
1748109588106,71,69,72,0.01431787
1748109588121,72,68,71,0.01460734
1748109588135,73,75,72,0.01324396
1748109588149,74,71,72,0.01394943
1748109588163,75,70,71,0.0141038
1748109588178,76,68,70,0.01461953
1748109588191,77,68,70,0.01451735
1748109588205,78,76,72,0.01303136
1748109588220,79,69,71,0.01430932
1748109588233,80,60,68,0.0164636
1748109588247,81,91,74,0.01094656
1748109588261,82,70,73,0.01419818
1748109588275,83,70,72,0.01423938
1748109588289,84,68,71,0.01466662
1748109588304,85,73,72,0.01355235
1748109588317,86,67,70,0.01488458
1748109588331,87,79,73,0.0125762
1748109588346,88,72,72,0.01374792
1748109588359,89,65,71,0.01528521
1748109588373,90,74,71,0.01340917
1748109588387,91,67,70,0.01485031
1748109588401,92,79,72,0.0126538
1748109588415,93,70,72,0.01426313
1748109588429,94,72,72,0.01370927
1748109588444,95,71,72,0.01396703
1748109588457,96,67,70,0.0148275
1748109588470,97,78,72,0.01267589
1748109588485,98,72,72,0.01382969
1748109588499,99,68,71,0.01466896
1748109588514,100,70,71,0.01412927
1748109588527,101,64,69,0.01560859
1748109588541,102,78,71,0.01268198
1748109588555,103,72,72,0.0138188
1748109588569,104,70,71,0.01411797
1748109588583,105,73,72,0.01363422
1748109588597,106,70,71,0.01416287
1748109588612,107,71,71,0.01404276
1748109588626,108,64,69,0.01548709
1748109588639,109,74,70,0.01349224
1748109588652,110,68,70,0.01468427
1748109588666,111,83,73,0.01194734
1748109588681,112,73,73,0.01365912
1748109588695,113,71,72,0.01403063
1748109588709,114,68,71,0.01457734
1748109588723,115,68,70,0.01463761
1748109588737,116,73,71,0.01364485
