unix_ms,frame,id,position_x,position_y,position_z,forward_x,forward_y,forward_z,rotation_x,rotation_y,rotation_z,target_x,target_y,target_z,confidence
1748038462472,19,Left,0,0,0,0.1142408,-0.1163928,0.9866112,6.683969,6.604928,5.372601E-08,5.712041,-5.819642,49.33056,0.9980469
1748038462473,19,Left,0,0,0,0.1142408,-0.1163928,0.9866112,6.683969,6.604928,5.372601E-08,5.712041,-5.819642,49.33056,0.9980469
1748038462473,19,Left,0,0,0,0.1142408,-0.1163928,0.9866112,6.683969,6.604928,5.372601E-08,5.712041,-5.819642,49.33056,0.9980469
1748038462479,20,Left,-0.03144344,1.190554,-0.2443291,0.01860353,-0.03757179,0.9991208,2.153212,1.066718,356.7871,0.898733,-0.6880354,49.71171,0.9980469
1748038462479,20,Left,-0.03144344,1.190554,-0.2443291,0.01860353,-0.03757179,0.9991208,2.153212,1.066718,356.7871,0.898733,-0.6880354,49.71171,0.9980469
1748038462479,20,Left,-0.03144344,1.190554,-0.2443291,0.01860353,-0.03757179,0.9991208,2.153212,1.066718,356.7871,0.898733,-0.6880354,49.71171,0.9980469
1748038462480,20,Left,-0.03144344,1.190554,-0.2443291,0.01860353,-0.03757179,0.9991208,2.153212,1.066718,356.7871,0.898733,-0.6880354,49.71171,0.9980469
1748038462496,21,Left,-0.03142855,1.190531,-0.244307,0.01866806,-0.03783477,0.9991096,2.168291,1.070429,356.7882,0.9019742,-0.7012079,49.71117,0.9980469
1748038462511,22,Left,-0.03141182,1.190511,-0.2442874,0.01894526,-0.03790425,0.9991018,2.172274,1.086329,356.787,0.9158511,-0.7047015,49.7108,0.9980469
1748038462511,22,Left,-0.03141182,1.190511,-0.2442874,0.01894526,-0.03790425,0.9991018,2.172274,1.086329,356.787,0.9158511,-0.7047015,49.7108,0.9980469
1748038462511,22,Left,-0.03141182,1.190511,-0.2442874,0.01894526,-0.03790425,0.9991018,2.172274,1.086329,356.787,0.9158511,-0.7047015,49.7108,0.9980469
1748038462526,23,Left,-0.03138528,1.190495,-0.244283,0.01908714,-0.03809372,0.9990919,2.183138,1.094473,356.7809,0.9229718,-0.7141906,49.71031,0.9980469
1748038462526,23,Left,-0.03138528,1.190495,-0.244283,0.01908714,-0.03809372,0.9990919,2.183138,1.094473,356.7809,0.9229718,-0.7141906,49.71031,0.9980469
1748038462526,23,Left,-0.03138528,1.190495,-0.244283,0.01908714,-0.03809372,0.9990919,2.183138,1.094473,356.7809,0.9229718,-0.7141906,49.71031,0.9980469
1748038462538,24,Left,-0.03136868,1.190495,-0.2442806,0.01930291,-0.0380467,0.9990895,2.180442,1.106845,356.7688,0.9337769,-0.7118404,49.71019,0.9980469
1748038462538,24,Left,-0.03136868,1.190495,-0.2442806,0.01930291,-0.0380467,0.9990895,2.180442,1.106845,356.7688,0.9337769,-0.7118404,49.71019,0.9980469
1748038462538,24,Left,-0.03136868,1.190495,-0.2442806,0.01930291,-0.0380467,0.9990895,2.180442,1.106845,356.7688,0.9337769,-0.7118404,49.71019,0.9980469
1748038462555,25,Left,-0.03134758,1.190509,-0.2442791,0.01649737,-0.04116303,0.9990162,2.359135,0.9460744,356.769,0.7935208,-0.8676429,49.70653,0.9980469
1748038462555,25,Left,-0.03134758,1.190509,-0.2442791,0.01649737,-0.04116303,0.9990162,2.359135,0.9460744,356.769,0.7935208,-0.8676429,49.70653,0.9980469
1748038462569,26,Left,-0.03132034,1.190539,-0.2442659,0.01654796,-0.04103825,0.9990205,2.351979,0.9489709,356.7637,0.7960774,-0.8613738,49.70676,0.9980469
1748038462571,26,Left,-0.03132034,1.190539,-0.2442659,0.01654796,-0.04103825,0.9990205,2.351979,0.9489709,356.7637,0.7960774,-0.8613738,49.70676,0.9980469
1748038462571,26,Left,-0.03132034,1.190539,-0.2442659,0.01654796,-0.04103825,0.9990205,2.351979,0.9489709,356.7637,0.7960774,-0.8613738,49.70676,0.9980469
1748038462571,26,Left,-0.03132034,1.190539,-0.2442659,0.01654796,-0.04103825,0.9990205,2.351979,0.9489709,356.7637,0.7960774,-0.8613738,49.70676,0.9980469
1748038462585,27,Left,-0.03130588,1.19057,-0.2442623,0.01657538,-0.04098426,0.9990223,2.348884,0.9505417,356.7539,0.7974632,-0.8586427,49.70685,0.9980469
1748038462585,27,Left,-0.03130588,1.19057,-0.2442623,0.01657538,-0.04098426,0.9990223,2.348884,0.9505417,356.7539,0.7974632,-0.8586427,49.70685,0.9980469
1748038462585,27,Left,-0.03130588,1.19057,-0.2442623,0.01657538,-0.04098426,0.9990223,2.348884,0.9505417,356.7539,0.7974632,-0.8586427,49.70685,0.9980469
1748038462599,28,Left,-0.03125639,1.190581,-0.2442472,0.01662399,-0.04096203,0.9990224,2.347608,0.9533284,356.7567,0.799943,-0.8575208,49.70687,0.9980469
1748038462599,28,Left,-0.03125639,1.190581,-0.2442472,0.01662399,-0.04096203,0.9990224,2.347608,0.9533284,356.7567,0.799943,-0.8575208,49.70687,0.9980469
1748038462599,28,Left,-0.03125639,1.190581,-0.2442472,0.01662399,-0.04096203,0.9990224,2.347608,0.9533284,356.7567,0.799943,-0.8575208,49.70687,0.9980469
1748038462613,29,Left,-0.03118525,1.190592,-0.2442168,0.0167159,-0.04067312,0.9990327,2.331041,0.9585879,356.7615,0.8046095,-0.8430638,49.70742,0.9980469
1748038462613,29,Left,-0.03118525,1.190592,-0.2442168,0.0167159,-0.04067312,0.9990327,2.331041,0.9585879,356.7615,0.8046095,-0.8430638,49.70742,0.9980469
1748038462613,29,Left,-0.03118525,1.190592,-0.2442168,0.0167159,-0.04067312,0.9990327,2.331041,0.9585879,356.7615,0.8046095,-0.8430638,49.70742,0.9980469
1748038462627,30,Left,-0.03114917,1.190619,-0.2442007,-0.01033631,-0.03616055,0.9992926,2.072299,359.4074,356.8862,-0.5479644,-0.617408,49.72042,0.9980469
1748038462627,30,Left,-0.03114917,1.190619,-0.2442007,-0.01033631,-0.03616055,0.9992926,2.072299,359.4074,356.8862,-0.5479644,-0.617408,49.72042,0.9980469
1748038462627,30,Left,-0.03114917,1.190619,-0.2442007,-0.01033631,-0.03616055,0.9992926,2.072299,359.4074,356.8862,-0.5479644,-0.617408,49.72042,0.9980469
1748038462641,31,Left,-0.03113636,1.19066,-0.2441756,-0.01029472,-0.03577358,0.9993069,2.050112,359.4098,356.8815,-0.5458724,-0.5980194,49.72117,0.9980469
1748038462641,31,Left,-0.03113636,1.19066,-0.2441756,-0.01029472,-0.03577358,0.9993069,2.050112,359.4098,356.8815,-0.5458724,-0.5980194,49.72117,0.9980469
1748038462655,32,Left,-0.03112258,1.190676,-0.2441556,-0.01711371,-0.03514799,0.9992356,2.014246,359.0188,356.9058,-0.8868082,-0.5667237,49.71762,0.9980469
1748038462656,32,Left,-0.03112258,1.190676,-0.2441556,-0.01711371,-0.03514799,0.9992356,2.014246,359.0188,356.9058,-0.8868082,-0.5667237,49.71762,0.9980469
1748038462656,32,Left,-0.03112258,1.190676,-0.2441556,-0.01711371,-0.03514799,0.9992356,2.014246,359.0188,356.9058,-0.8868082,-0.5667237,49.71762,0.9980469
1748038462666,33,Left,-0.03111263,1.19068,-0.2441502,-0.01699752,-0.03505111,0.9992409,2.008692,359.0255,356.9067,-0.8809885,-0.5618759,49.7179,0.9980469
1748038462666,33,Left,-0.03111263,1.19068,-0.2441502,-0.01699752,-0.03505111,0.9992409,2.008692,359.0255,356.9067,-0.8809885,-0.5618759,49.7179,0.9980469
1748038462666,33,Left,-0.03111263,1.19068,-0.2441502,-0.01699752,-0.03505111,0.9992409,2.008692,359.0255,356.9067,-0.8809885,-0.5618759,49.7179,0.9980469
1748038462684,34,Left,-0.03111185,1.190665,-0.2441419,-0.009886553,-0.03595401,0.9993045,2.060457,359.4332,356.8765,-0.5254395,-0.6070353,49.72108,0.9980469
1748038462684,34,Left,-0.03111185,1.190665,-0.2441419,-0.009886553,-0.03595401,0.9993045,2.060457,359.4332,356.8765,-0.5254395,-0.6070353,49.72108,0.9980469
1748038462697,35,Left,-0.03111721,1.190631,-0.2441439,-0.009994948,-0.03637502,0.9992882,2.084595,359.4269,356.8917,-0.5308647,-0.6281195,49.72026,0.9980469
1748038462697,35,Left,-0.03111721,1.190631,-0.2441439,-0.009994948,-0.03637502,0.9992882,2.084595,359.4269,356.8917,-0.5308647,-0.6281195,49.72026,0.9980469
1748038462697,35,Left,-0.03111721,1.190631,-0.2441439,-0.009994948,-0.03637502,0.9992882,2.084595,359.4269,356.8917,-0.5308647,-0.6281195,49.72026,0.9980469
1748038462699,35,Left,-0.03111721,1.190631,-0.2441439,-0.009994948,-0.03637502,0.9992882,2.084595,359.4269,356.8917,-0.5308647,-0.6281195,49.72026,0.9980469
1748038462712,36,Left,-0.03113586,1.190608,-0.2441425,-0.01733772,-0.0506103,0.998568,2.900995,359.0053,356.9256,-0.8980218,-1.339907,49.68426,0.9980469
1748038462712,36,Left,-0.03113586,1.190608,-0.2441425,-0.01733772,-0.0506103,0.998568,2.900995,359.0053,356.9256,-0.8980218,-1.339907,49.68426,0.9980469
1748038462725,37,Left,-0.03113659,1.19057,-0.2441319,-0.01750743,-0.05087967,0.9985513,2.91645,358.9955,356.9326,-0.9065079,-1.353414,49.68343,0.9980469
