unix_ms,frame,id,position_x,position_y,position_z,forward_x,forward_y,forward_z,rotation_x,rotation_y,rotation_z,target_x,target_y,target_z,confidence
1748038540146,20,Right,0,0,0,-0.01348399,-0.1856251,0.9825281,10.69758,359.2137,-6.78808E-09,-0.6741995,-9.281256,49.1264,0.9980469
1748038540148,20,Right,0,0,0,-0.01348399,-0.1856251,0.9825281,10.69758,359.2137,-6.78808E-09,-0.6741995,-9.281256,49.1264,0.9980469
1748038540148,20,Right,0,0,0,-0.01348399,-0.1856251,0.9825281,10.69758,359.2137,-6.78808E-09,-0.6741995,-9.281256,49.1264,0.9980469
1748038540156,21,Right,0.02590601,1.175041,-0.2480917,-0.1187096,-0.07959414,0.9897337,4.565236,353.1606,358.1625,-5.909572,-2.804666,49.23859,0.9980469
1748038540156,21,Right,0.02590601,1.175041,-0.2480917,-0.1187096,-0.07959414,0.9897337,4.565236,353.1606,358.1625,-5.909572,-2.804666,49.23859,0.9980469
1748038540157,21,Right,0.02590601,1.175041,-0.2480917,-0.1187096,-0.07959414,0.9897337,4.565236,353.1606,358.1625,-5.909572,-2.804666,49.23859,0.9980469
1748038540157,21,Right,0.02590601,1.175041,-0.2480917,-0.1187096,-0.07959414,0.9897337,4.565236,353.1606,358.1625,-5.909572,-2.804666,49.23859,0.9980469
1748038540171,22,Right,0.02593153,1.175006,-0.2480504,-0.1188499,-0.07996405,0.989687,4.586499,353.1522,358.1544,-5.916565,-2.823197,49.2363,0.9980469
1748038540171,22,Right,0.02593153,1.175006,-0.2480504,-0.1188499,-0.07996405,0.989687,4.586499,353.1522,358.1544,-5.916565,-2.823197,49.2363,0.9980469
1748038540185,23,Right,0.02592493,1.174989,-0.2480078,-0.1208061,-0.08587553,0.9889547,4.926373,353.0355,358.1683,-6.01438,-3.118788,49.19973,0.9980469
1748038540185,23,Right,0.02592493,1.174989,-0.2480078,-0.1208061,-0.08587553,0.9889547,4.926373,353.0355,358.1683,-6.01438,-3.118788,49.19973,0.9980469
1748038540185,23,Right,0.02592493,1.174989,-0.2480078,-0.1208061,-0.08587553,0.9889547,4.926373,353.0355,358.1683,-6.01438,-3.118788,49.19973,0.9980469
1748038540200,24,Right,0.02591401,1.174969,-0.2479784,-0.120854,-0.08612768,0.9889269,4.940875,353.0326,358.157,-6.016784,-3.131415,49.19836,0.9980469
1748038540200,24,Right,0.02591401,1.174969,-0.2479784,-0.120854,-0.08612768,0.9889269,4.940875,353.0326,358.157,-6.016784,-3.131415,49.19836,0.9980469
1748038540200,24,Right,0.02591401,1.174969,-0.2479784,-0.120854,-0.08612768,0.9889269,4.940875,353.0326,358.157,-6.016784,-3.131415,49.19836,0.9980469
1748038540214,25,Right,0.02589924,1.174954,-0.2479395,-0.1236075,-0.08915623,0.988318,5.115069,352.8711,358.1668,-6.154476,-3.282857,49.16796,0.9980469
1748038540214,25,Right,0.02589924,1.174954,-0.2479395,-0.1236075,-0.08915623,0.988318,5.115069,352.8711,358.1668,-6.154476,-3.282857,49.16796,0.9980469
1748038540214,25,Right,0.02589924,1.174954,-0.2479395,-0.1236075,-0.08915623,0.988318,5.115069,352.8711,358.1668,-6.154476,-3.282857,49.16796,0.9980469
1748038540229,26,Right,0.0258686,1.174941,-0.2479095,-0.1237276,-0.08918922,0.9882999,5.116966,352.8641,358.1659,-6.160514,-3.28452,49.16709,0.9980469
1748038540229,26,Right,0.0258686,1.174941,-0.2479095,-0.1237276,-0.08918922,0.9882999,5.116966,352.8641,358.1659,-6.160514,-3.28452,49.16709,0.9980469
1748038540229,26,Right,0.0258686,1.174941,-0.2479095,-0.1237276,-0.08918922,0.9882999,5.116966,352.8641,358.1659,-6.160514,-3.28452,49.16709,0.9980469
1748038540244,27,Right,0.02584362,1.174932,-0.2478815,-0.1239025,-0.08933379,0.988265,5.125282,352.8539,358.1678,-6.169282,-3.291757,49.16537,0.9980469
