unix_ms,frame,id,position_x,position_y,position_z,forward_x,forward_y,forward_z,rotation_x,rotation_y,rotation_z,target_x,target_y,target_z,confidence
1748035005002,55,Left,-0.09151578,1.159828,-0.02706386,-0.4707433,-0.02207191,0.8819941,1.26473,331.91,4.685624,-23.62868,0.05623269,44.07264,0.9980469
1748035005003,55,Left,-0.09151578,1.159828,-0.02706386,-0.4707433,-0.02207191,0.8819941,1.26473,331.91,4.685624,-23.62868,0.05623269,44.07264,0.9980469
1748035005017,56,Left,-0.09144323,1.159808,-0.02709087,-0.4707191,-0.02202471,0.8820082,1.262025,331.9116,4.702963,-23.6274,0.05857217,44.07332,0.9980469
1748035005017,56,Left,-0.09144323,1.159808,-0.02709087,-0.4707191,-0.02202471,0.8820082,1.262025,331.9116,4.702963,-23.6274,0.05857217,44.07332,0.9980469
1748035005017,56,Left,-0.09144323,1.159808,-0.02709087,-0.4707191,-0.02202471,0.8820082,1.262025,331.9116,4.702963,-23.6274,0.05857217,44.07332,0.9980469
1748035005029,57,Left,-0.09137125,1.159837,-0.02708728,-0.2336093,-0.3343668,0.913031,19.53403,345.6481,5.398131,-11.77184,-15.55851,45.62446,0.9980469
1748035005029,57,Left,-0.09137125,1.159837,-0.02708728,-0.2336093,-0.3343668,0.913031,19.53403,345.6481,5.398131,-11.77184,-15.55851,45.62446,0.9980469
1748035005030,57,Left,-0.09137125,1.159837,-0.02708728,-0.2336093,-0.3343668,0.913031,19.53403,345.6481,5.398131,-11.77184,-15.55851,45.62446,0.9980469
1748035005042,58,Left,-0.09130756,1.15988,-0.02709119,-0.2333903,-0.3345925,0.9130043,19.54776,345.6606,5.405348,-11.76082,-15.56974,45.62312,0.9980469
1748035005043,58,Left,-0.09130756,1.15988,-0.02709119,-0.2333903,-0.3345925,0.9130043,19.54776,345.6606,5.405348,-11.76082,-15.56974,45.62312,0.9980469
1748035005043,58,Left,-0.09130756,1.15988,-0.02709119,-0.2333903,-0.3345925,0.9130043,19.54776,345.6606,5.405348,-11.76082,-15.56974,45.62312,0.9980469
1748035005055,59,Left,-0.09125091,1.159947,-0.02708707,-0.06541461,-0.4452576,0.8930099,26.43981,355.8105,5.83633,-3.361982,-21.10293,44.62341,0.9980469
1748035005056,59,Left,-0.09125091,1.159947,-0.02708707,-0.06541461,-0.4452576,0.8930099,26.43981,355.8105,5.83633,-3.361982,-21.10293,44.62341,0.9980469
1748035005069,60,Left,-0.09120119,1.160031,-0.0270797,-0.06512796,-0.4455172,0.8929013,26.45644,355.8282,5.827837,-3.347599,-21.11583,44.61798,0.9980469
1748035005070,60,Left,-0.09120119,1.160031,-0.0270797,-0.06512796,-0.4455172,0.8929013,26.45644,355.8282,5.827837,-3.347599,-21.11583,44.61798,0.9980469
1748035005070,60,Left,-0.09120119,1.160031,-0.0270797,-0.06512796,-0.4455172,0.8929013,26.45644,355.8282,5.827837,-3.347599,-21.11583,44.61798,0.9980469
1748035005084,61,Left,-0.09114974,1.160158,-0.0270361,-0.0651739,-0.4454757,0.8929187,26.45378,355.8254,5.771738,-3.349845,-21.11362,44.6189,0.9980469
1748035005085,61,Left,-0.09114974,1.160158,-0.0270361,-0.0651739,-0.4454757,0.8929187,26.45378,355.8254,5.771738,-3.349845,-21.11362,44.6189,0.9980469
1748035005085,61,Left,-0.09114974,1.160158,-0.0270361,-0.0651739,-0.4454757,0.8929187,26.45378,355.8254,5.771738,-3.349845,-21.11362,44.6189,0.9980469
1748035005099,62,Left,-0.09109315,1.160299,-0.02696303,0.08989196,-0.4693401,0.87843,27.99147,5.842883,5.768781,4.403505,-22.3067,43.89454,0.9980469
1748035005099,62,Left,-0.09109315,1.160299,-0.02696303,0.08989196,-0.4693401,0.87843,27.99147,5.842883,5.768781,4.403505,-22.3067,43.89454,0.9980469
1748035005099,62,Left,-0.09109315,1.160299,-0.02696303,0.08989196,-0.4693401,0.87843,27.99147,5.842883,5.768781,4.403505,-22.3067,43.89454,0.9980469
1748035005113,63,Left,-0.09103522,1.160407,-0.02688629,0.08993337,-0.4693198,0.8784367,27.99014,5.84551,5.724654,4.405633,-22.30558,43.89495,0.9980469
1748035005113,63,Left,-0.09103522,1.160407,-0.02688629,0.08993337,-0.4693198,0.8784367,27.99014,5.84551,5.724654,4.405633,-22.30558,43.89495,0.9980469
1748035005113,63,Left,-0.09103522,1.160407,-0.02688629,0.08993337,-0.4693198,0.8784367,27.99014,5.84551,5.724654,4.405633,-22.30558,43.89495,0.9980469
1748035005127,64,Left,-0.09101602,1.160478,-0.026843,0.0903882,-0.4769231,0.874285,28.48464,5.902571,5.724327,4.428394,-22.68568,43.6874,0.9980469
1748035005128,64,Left,-0.09101602,1.160478,-0.026843,0.0903882,-0.4769231,0.874285,28.48464,5.902571,5.724327,4.428394,-22.68568,43.6874,0.9980469
1748035005142,65,Left,-0.09100385,1.160498,-0.02681697,0.09045029,-0.4767487,0.8743737,28.47327,5.905999,5.709071,4.43151,-22.67694,43.69187,0.9980469
1748035005142,65,Left,-0.09100385,1.160498,-0.02681697,0.09045029,-0.4767487,0.8743737,28.47327,5.905999,5.709071,4.43151,-22.67694,43.69187,0.9980469
1748035005142,65,Left,-0.09100385,1.160498,-0.02681697,0.09045029,-0.4767487,0.8743737,28.47327,5.905999,5.709071,4.43151,-22.67694,43.69187,0.9980469
1748035005154,66,Left,-0.09099232,1.160482,-0.02679756,0.09030424,-0.4766132,0.8744627,28.46443,5.895936,5.707938,4.42422,-22.67018,43.69634,0.9980469
1748035005154,66,Left,-0.09099232,1.160482,-0.02679756,0.09030424,-0.4766132,0.8744627,28.46443,5.895936,5.707938,4.42422,-22.67018,43.69634,0.9980469
1748035005154,66,Left,-0.09099232,1.160482,-0.02679756,0.09030424,-0.4766132,0.8744627,28.46443,5.895936,5.707938,4.42422,-22.67018,43.69634,0.9980469
1748035005167,67,Left,-0.09098758,1.160436,-0.02679923,0.05975896,-0.488995,0.8702372,29.27455,3.928319,5.776574,2.89696,-23.28932,43.48506,0.9980469
1748035005167,67,Left,-0.09098758,1.160436,-0.02679923,0.05975896,-0.488995,0.8702372,29.27455,3.928319,5.776574,2.89696,-23.28932,43.48506,0.9980469
1748035005167,67,Left,-0.09098758,1.160436,-0.02679923,0.05975896,-0.488995,0.8702372,29.27455,3.928319,5.776574,2.89696,-23.28932,43.48506,0.9980469
1748035005181,68,Left,-0.091,1.160364,-0.02683671,0.05986763,-0.4888676,0.8703012,29.26618,3.935151,5.788958,2.902381,-23.28302,43.48822,0.9980469
1748035005181,68,Left,-0.091,1.160364,-0.02683671,0.05986763,-0.4888676,0.8703012,29.26618,3.935151,5.788958,2.902381,-23.28302,43.48822,0.9980469
1748035005196,69,Left,-0.09103504,1.160293,-0.02691776,0.04985306,-0.4921739,0.8690682,29.48357,3.283105,5.798386,2.401618,-23.4484,43.42649,0.9980469
1748035005196,69,Left,-0.09103504,1.160293,-0.02691776,0.04985306,-0.4921739,0.8690682,29.48357,3.283105,5.798386,2.401618,-23.4484,43.42649,0.9980469
1748035005196,69,Left,-0.09103504,1.160293,-0.02691776,0.04985306,-0.4921739,0.8690682,29.48357,3.283105,5.798386,2.401618,-23.4484,43.42649,0.9980469
1748035005210,70,Left,-0.09109157,1.160234,-0.0270083,0.04961605,-0.4921843,0.8690759,29.48425,3.267502,5.782671,2.389711,-23.44898,43.42679,0.9980469
1748035005210,70,Left,-0.09109157,1.160234,-0.0270083,0.04961605,-0.4921843,0.8690759,29.48425,3.267502,5.782671,2.389711,-23.44898,43.42679,0.9980469
1748035005211,70,Left,-0.09109157,1.160234,-0.0270083,0.04961605,-0.4921843,0.8690759,29.48425,3.267502,5.782671,2.389711,-23.44898,43.42679,0.9980469
1748035005224,71,Left,-0.09111001,1.160193,-0.02707515,0.05908322,-0.4885245,0.8705475,29.24364,3.882654,5.761613,2.863051,-23.26603,43.5003,0.9980469
1748035005225,71,Left,-0.09111001,1.160193,-0.02707515,0.05908322,-0.4885245,0.8705475,29.24364,3.882654,5.761613,2.863051,-23.26603,43.5003,0.9980469
1748035005225,71,Left,-0.09111001,1.160193,-0.02707515,0.05908322,-0.4885245,0.8705475,29.24364,3.882654,5.761613,2.863051,-23.26603,43.5003,0.9980469
1748035005237,72,Left,-0.09110796,1.160173,-0.02712418,0.05890337,-0.4886193,0.8705065,29.24987,3.871054,5.773221,2.854061,-23.27079,43.4982,0.9980469
1748035005237,72,Left,-0.09110796,1.160173,-0.02712418,0.05890337,-0.4886193,0.8705065,29.24987,3.871054,5.773221,2.854061,-23.27079,43.4982,0.9980469
1748035005237,72,Left,-0.09110796,1.160173,-0.02712418,0.05890337,-0.4886193,0.8705065,29.24987,3.871054,5.773221,2.854061,-23.27079,43.4982,0.9980469
1748035005251,73,Left,-0.09111088,1.160158,-0.02718096,0.05836971,-0.4886914,0.870502,29.25461,3.836107,5.798181,2.827375,-23.27441,43.49792,0.9980469
1748035005252,73,Left,-0.09111088,1.160158,-0.02718096,0.05836971,-0.4886914,0.870502,29.25461,3.836107,5.798181,2.827375,-23.27441,43.49792,0.9980469
1748035005266,74,Left,-0.09111519,1.160136,-0.02723474,0.05489988,-0.4917746,0.8689901,29.45729,3.614952,5.849109,2.653879,-23.42859,43.42227,0.9980469
1748035005266,74,Left,-0.09111519,1.160136,-0.02723474,0.05489988,-0.4917746,0.8689901,29.45729,3.614952,5.849109,2.653879,-23.42859,43.42227,0.9980469
1748035005266,74,Left,-0.09111519,1.160136,-0.02723474,0.05489988,-0.4917746,0.8689901,29.45729,3.614952,5.849109,2.653879,-23.42859,43.42227,0.9980469
