unix_ms,frame,id,position_x,position_y,position_z,forward_x,forward_y,forward_z,rotation_x,rotation_y,rotation_z,target_x,target_y,target_z,confidence
1748035448604,3,Left,-0.05636868,1.181869,0.002770341,0.02966904,-0.2566512,0.9660486,14.87145,1.7591,0.9320901,1.427083,-11.65069,48.3052,0.9980469
1748035448604,3,Left,-0.05636868,1.181869,0.002770341,0.02966904,-0.2566512,0.9660486,14.87145,1.7591,0.9320901,1.427083,-11.65069,48.3052,0.9980469
1748035448652,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448652,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448652,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448652,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448653,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448653,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448653,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448653,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448654,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448654,4,Left,-0.05583283,1.182247,0.002439575,0.03244396,-0.2678005,0.962928,15.53342,1.929738,0.8893598,1.566365,-12.20778,48.14884,0.9980469
1748035448663,5,Left,-0.05499551,1.182758,0.001652432,0.03452889,-0.2682156,0.9627399,15.55811,2.054046,0.8833951,1.671449,-12.22802,48.13865,0.9980469
1748035448663,5,Left,-0.05499551,1.182758,0.001652432,0.03452889,-0.2682156,0.9627399,15.55811,2.054046,0.8833951,1.671449,-12.22802,48.13865,0.9980469
1748035448664,5,Left,-0.05499551,1.182758,0.001652432,0.03452889,-0.2682156,0.9627399,15.55811,2.054046,0.8833951,1.671449,-12.22802,48.13865,0.9980469
1748035448676,6,Left,-0.05467462,1.182963,0.001252173,0.03391355,-0.2684713,0.9626905,15.57332,2.017574,0.9033406,1.641003,-12.2406,48.13578,0.9980469
1748035448691,7,Left,-0.05465221,1.183075,0.001079767,0.0318496,-0.2671646,0.9631245,15.49561,1.894026,0.8955718,1.537828,-12.17515,48.1573,0.9980469
1748035448691,7,Left,-0.05465221,1.183075,0.001079767,0.0318496,-0.2671646,0.9631245,15.49561,1.894026,0.8955718,1.537828,-12.17515,48.1573,0.9980469
1748035448691,7,Left,-0.05465221,1.183075,0.001079767,0.0318496,-0.2671646,0.9631245,15.49561,1.894026,0.8955718,1.537828,-12.17515,48.1573,0.9980469
1748035448706,8,Left,-0.05468087,1.183218,0.0009625882,0.03186111,-0.2671192,0.9631367,15.49292,1.894686,0.9063851,1.538375,-12.17274,48.15779,0.9980469
1748035448706,8,Left,-0.05468087,1.183218,0.0009625882,0.03186111,-0.2671192,0.9631367,15.49292,1.894686,0.9063851,1.538375,-12.17274,48.15779,0.9980469
