unix_ms,frame,id,position_x,position_y,position_z,forward_x,forward_y,forward_z,rotation_x,rotation_y,rotation_z,target_x,target_y,target_z,confidence
1748035376117,3,Right,0.001802931,1.172401,0.01189283,0.197743,-0.831054,0.5198529,56.20716,20.82594,9.661952,9.888952,-40.3803,26.00454,0.9980469
1748035376117,3,Right,0.001802931,1.172401,0.01189283,0.197743,-0.831054,0.5198529,56.20716,20.82594,9.661952,9.888952,-40.3803,26.00454,0.9980469
1748035376117,3,Right,0.001802931,1.172401,0.01189283,0.197743,-0.831054,0.5198529,56.20716,20.82594,9.661952,9.888952,-40.3803,26.00454,0.9980469
1748035376161,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376162,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376162,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376162,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376162,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376163,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376163,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376163,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376163,4,Right,0.002275698,1.172451,0.01179009,0.1977666,-0.8272101,0.525939,55.8132,20.60755,9.38553,9.890606,-40.18805,26.30874,0.9980469
1748035376176,5,Right,0.003402136,1.172545,0.01146803,0.1985493,-0.8270496,0.5258967,55.79684,20.68374,9.116173,9.930865,-40.17993,26.3063,0.9980469
1748035376176,5,Right,0.003402136,1.172545,0.01146803,0.1985493,-0.8270496,0.5258967,55.79684,20.68374,9.116173,9.930865,-40.17993,26.3063,0.9980469
1748035376182,6,Right,0.003581353,1.17256,0.01138045,0.1986276,-0.8270618,0.5258479,55.79808,20.69296,9.052285,9.934962,-40.18053,26.30378,0.9980469
1748035376183,6,Right,0.003581353,1.17256,0.01138045,0.1986276,-0.8270618,0.5258479,55.79808,20.69296,9.052285,9.934962,-40.18053,26.30378,0.9980469
1748035376193,7,Right,0.004058545,1.172596,0.01120031,0.1986531,-0.821546,0.5344148,55.23986,20.39114,8.697492,9.936714,-39.90471,26.73194,0.9980469
1748035376193,7,Right,0.004058545,1.172596,0.01120031,0.1986531,-0.821546,0.5344148,55.23986,20.39114,8.697492,9.936714,-39.90471,26.73194,0.9980469
1748035376208,8,Right,0.004288152,1.172645,0.01109467,0.1983314,-0.8216569,0.5343639,55.25098,20.36262,8.582361,9.920859,-39.9102,26.72929,0.9980469
1748035376209,8,Right,0.004288152,1.172645,0.01109467,0.1983314,-0.8216569,0.5343639,55.25098,20.36262,8.582361,9.920859,-39.9102,26.72929,0.9980469
1748035376223,9,Right,0.004549257,1.172732,0.01096521,0.1982297,-0.8217246,0.5342973,55.25781,20.35537,8.476212,9.916036,-39.9135,26.72583,0.9980469
1748035376223,9,Right,0.004549257,1.172732,0.01096521,0.1982297,-0.8217246,0.5342973,55.25781,20.35537,8.476212,9.916036,-39.9135,26.72583,0.9980469
1748035376224,9,Right,0.004549257,1.172732,0.01096521,0.1982297,-0.8217246,0.5342973,55.25781,20.35537,8.476212,9.916036,-39.9135,26.72583,0.9980469
1748035376239,10,Right,0.004860491,1.172834,0.01085012,0.164209,-0.8021647,0.5740796,53.33731,15.96258,6.707869,8.21531,-38.9354,28.71483,0.9980469
1748035376240,10,Right,0.004860491,1.172834,0.01085012,0.164209,-0.8021647,0.5740796,53.33731,15.96258,6.707869,8.21531,-38.9354,28.71483,0.9980469
1748035376240,10,Right,0.004860491,1.172834,0.01085012,0.164209,-0.8021647,0.5740796,53.33731,15.96258,6.707869,8.21531,-38.9354,28.71483,0.9980469
1748035376256,11,Right,0.005198224,1.172974,0.01073848,0.1639571,-0.8023371,0.5739105,53.35386,15.9438,6.562472,8.203055,-38.94388,28.70626,0.9980469
1748035376256,11,Right,0.005198224,1.172974,0.01073848,0.1639571,-0.8023371,0.5739105,53.35386,15.9438,6.562472,8.203055,-38.94388,28.70626,0.9980469
1748035376257,11,Right,0.005198224,1.172974,0.01073848,0.1639571,-0.8023371,0.5739105,53.35386,15.9438,6.562472,8.203055,-38.94388,28.70626,0.9980469
1748035376269,12,Right,0.005432457,1.173055,0.0106593,0.08679266,-0.7091497,0.6996956,45.16576,7.071045,3.192518,4.345066,-34.28443,34.99544,0.9980469
1748035376270,12,Right,0.005432457,1.173055,0.0106593,0.08679266,-0.7091497,0.6996956,45.16576,7.071045,3.192518,4.345066,-34.28443,34.99544,0.9980469
1748035376270,12,Right,0.005432457,1.173055,0.0106593,0.08679266,-0.7091497,0.6996956,45.16576,7.071045,3.192518,4.345066,-34.28443,34.99544,0.9980469
1748035376284,13,Right,0.005716318,1.173158,0.01060529,0.08669823,-0.7091279,0.6997293,45.16401,7.063094,3.115113,4.340628,-34.28324,34.99707,0.9980469
1748035376284,13,Right,0.005716318,1.173158,0.01060529,0.08669823,-0.7091279,0.6997293,45.16401,7.063094,3.115113,4.340628,-34.28324,34.99707,0.9980469
1748035376284,13,Right,0.005716318,1.173158,0.01060529,0.08669823,-0.7091279,0.6997293,45.16401,7.063094,3.115113,4.340628,-34.28324,34.99707,0.9980469
1748035376298,14,Right,0.005927186,1.173274,0.01051028,0.01692223,-0.5299689,0.8478482,32.00335,1.143416,1.118062,0.8520385,-25.32517,42.40292,0.9980469
1748035376299,14,Right,0.005927186,1.173274,0.01051028,0.01692223,-0.5299689,0.8478482,32.00335,1.143416,1.118062,0.8520385,-25.32517,42.40292,0.9980469
1748035376299,14,Right,0.005927186,1.173274,0.01051028,0.01692223,-0.5299689,0.8478482,32.00335,1.143416,1.118062,0.8520385,-25.32517,42.40292,0.9980469
1748035376313,15,Right,0.00617693,1.173339,0.01039172,0.01692587,-0.5296867,0.8480245,31.98429,1.143425,1.034989,0.8524703,-25.311,42.41162,0.9980469
1748035376314,15,Right,0.00617693,1.173339,0.01039172,0.01692587,-0.5296867,0.8480245,31.98429,1.143425,1.034989,0.8524703,-25.311,42.41162,0.9980469
1748035376314,15,Right,0.00617693,1.173339,0.01039172,0.01692587,-0.5296867,0.8480245,31.98429,1.143425,1.034989,0.8524703,-25.311,42.41162,0.9980469
1748035376328,16,Right,0.006485645,1.173458,0.01027796,-0.06120965,-0.3804472,0.9227748,22.36138,356.205,359.6272,-3.053997,-17.8489,46.14902,0.9980469
1748035376328,16,Right,0.006485645,1.173458,0.01027796,-0.06120965,-0.3804472,0.9227748,22.36138,356.205,359.6272,-3.053997,-17.8489,46.14902,0.9980469
1748035376328,16,Right,0.006485645,1.173458,0.01027796,-0.06120965,-0.3804472,0.9227748,22.36138,356.205,359.6272,-3.053997,-17.8489,46.14902,0.9980469
1748035376342,17,Right,0.006735358,1.173485,0.0101101,-0.06130798,-0.3802474,0.9228506,22.34901,356.1992,359.5705,-3.058664,-17.83889,46.15264,0.9980469
1748035376343,17,Right,0.006735358,1.173485,0.0101101,-0.06130798,-0.3802474,0.9228506,22.34901,356.1992,359.5705,-3.058664,-17.83889,46.15264,0.9980469
1748035376343,17,Right,0.006735358,1.173485,0.0101101,-0.06130798,-0.3802474,0.9228506,22.34901,356.1992,359.5705,-3.058664,-17.83889,46.15264,0.9980469
1748035376357,18,Right,0.007013222,1.173555,0.009966602,-0.08112648,-0.2253033,0.9709052,13.02071,355.2236,359.282,-4.049311,-10.09161,48.55523,0.9980469
1748035376357,18,Right,0.007013222,1.173555,0.009966602,-0.08112648,-0.2253033,0.9709052,13.02071,355.2236,359.282,-4.049311,-10.09161,48.55523,0.9980469
1748035376357,18,Right,0.007013222,1.173555,0.009966602,-0.08112648,-0.2253033,0.9709052,13.02071,355.2236,359.282,-4.049311,-10.09161,48.55523,0.9980469
1748035376371,19,Right,0.007256934,1.173663,0.00988208,-0.0810887,-0.2252055,0.9709311,13.01496,355.226,359.2755,-4.047178,-10.08661,48.55644,0.9980469
1748035376372,19,Right,0.007256934,1.173663,0.00988208,-0.0810887,-0.2252055,0.9709311,13.01496,355.226,359.2755,-4.047178,-10.08661,48.55644,0.9980469
1748035376386,20,Right,0.007462051,1.173693,0.009787956,-0.08062711,-0.2252003,0.9709707,13.01466,355.2532,359.29,-4.023893,-10.08632,48.55832,0.9980469
1748035376387,20,Right,0.007462051,1.173693,0.009787956,-0.08062711,-0.2252003,0.9709707,13.01466,355.2532,359.29,-4.023893,-10.08632,48.55832,0.9980469
1748035376387,20,Right,0.007462051,1.173693,0.009787956,-0.08062711,-0.2252003,0.9709707,13.01466,355.2532,359.29,-4.023893,-10.08632,48.55832,0.9980469
1748035376400,21,Right,0.007620636,1.17372,0.009712711,-0.09477556,-0.2234837,0.970089,12.91373,354.42,359.0778,-4.731157,-10.00047,48.51416,0.9980469
1748035376401,21,Right,0.007620636,1.17372,0.009712711,-0.09477556,-0.2234837,0.970089,12.91373,354.42,359.0778,-4.731157,-10.00047,48.51416,0.9980469
1748035376401,21,Right,0.007620636,1.17372,0.009712711,-0.09477556,-0.2234837,0.970089,12.91373,354.42,359.0778,-4.731157,-10.00047,48.51416,0.9980469
1748035376415,22,Right,0.00775435,1.173758,0.009608474,-0.09452415,-0.2233981,0.9701332,12.9087,354.435,359.0745,-4.718453,-9.996148,48.51627,0.9980469
1748035376415,22,Right,0.00775435,1.173758,0.009608474,-0.09452415,-0.2233981,0.9701332,12.9087,354.435,359.0745,-4.718453,-9.996148,48.51627,0.9980469
1748035376415,22,Right,0.00775435,1.173758,0.009608474,-0.09452415,-0.2233981,0.9701332,12.9087,354.435,359.0745,-4.718453,-9.996148,48.51627,0.9980469
1748035376429,23,Right,0.007858854,1.173787,0.009518723,-0.09204879,-0.2274792,0.9694226,13.14871,354.5759,359.0961,-4.594581,-10.20017,48.48065,0.9980469
1748035376430,23,Right,0.007858854,1.173787,0.009518723,-0.09204879,-0.2274792,0.9694226,13.14871,354.5759,359.0961,-4.594581,-10.20017,48.48065,0.9980469
1748035376431,23,Right,0.007858854,1.173787,0.009518723,-0.09204879,-0.2274792,0.9694226,13.14871,354.5759,359.0961,-4.594581,-10.20017,48.48065,0.9980469
1748035376444,24,Right,0.007941067,1.173814,0.0094124,-0.09184562,-0.2277803,0.9693712,13.16642,354.5875,359.0946,-4.58434,-10.2152,48.47797,0.9980469
1748035376444,24,Right,0.007941067,1.173814,0.0094124,-0.09184562,-0.2277803,0.9693712,13.16642,354.5875,359.0946,-4.58434,-10.2152,48.47797,0.9980469
1748035376444,24,Right,0.007941067,1.173814,0.0094124,-0.09184562,-0.2277803,0.9693712,13.16642,354.5875,359.0946,-4.58434,-10.2152,48.47797,0.9980469
1748035376458,25,Right,0.008031605,1.173853,0.009329077,-0.1139561,-0.2519657,0.9610033,14.59386,353.2374,358.7463,-5.689774,-11.42443,48.05949,0.9980469
1748035376459,25,Right,0.008031605,1.173853,0.009329077,-0.1139561,-0.2519657,0.9610033,14.59386,353.2374,358.7463,-5.689774,-11.42443,48.05949,0.9980469
1748035376459,25,Right,0.008031605,1.173853,0.009329077,-0.1139561,-0.2519657,0.9610033,14.59386,353.2374,358.7463,-5.689774,-11.42443,48.05949,0.9980469
1748035376473,26,Right,0.008101648,1.173898,0.009254841,-0.1135989,-0.2520641,0.9610198,14.59969,353.2585,358.7493,-5.671842,-11.42931,48.06024,0.9980469
1748035376473,26,Right,0.008101648,1.173898,0.009254841,-0.1135989,-0.2520641,0.9610198,14.59969,353.2585,358.7493,-5.671842,-11.42931,48.06024,0.9980469
1748035376473,26,Right,0.008101648,1.173898,0.009254841,-0.1135989,-0.2520641,0.9610198,14.59969,353.2585,358.7493,-5.671842,-11.42931,48.06024,0.9980469
1748035376487,27,Right,0.008160437,1.173936,0.009210106,-0.1132958,-0.2519338,0.9610897,14.59198,353.2769,358.7605,-5.656629,-11.42276,48.06369,0.9980469
1748035376488,27,Right,0.008160437,1.173936,0.009210106,-0.1132958,-0.2519338,0.9610897,14.59198,353.2769,358.7605,-5.656629,-11.42276,48.06369,0.9980469
1748035376488,27,Right,0.008160437,1.173936,0.009210106,-0.1132958,-0.2519338,0.9610897,14.59198,353.2769,358.7605,-5.656629,-11.42276,48.06369,0.9980469
1748035376501,28,Right,0.008185109,1.173959,0.009185508,-0.1176467,-0.252886,0.9603166,14.64835,353.0156,358.6917,-5.874151,-11.47034,48.02502,0.9980469
1748035376502,28,Right,0.008185109,1.173959,0.009185508,-0.1176467,-0.252886,0.9603166,14.64835,353.0156,358.6917,-5.874151,-11.47034,48.02502,0.9980469
1748035376502,28,Right,0.008185109,1.173959,0.009185508,-0.1176467,-0.252886,0.9603166,14.64835,353.0156,358.6917,-5.874151,-11.47034,48.02502,0.9980469
1748035376515,29,Right,0.00819768,1.173985,0.009155832,-0.1176231,-0.2530617,0.9602732,14.65876,353.0167,358.6886,-5.872956,-11.4791,48.02282,0.9980469
1748035376516,29,Right,0.00819768,1.173985,0.009155832,-0.1176231,-0.2530617,0.9602732,14.65876,353.0167,358.6886,-5.872956,-11.4791,48.02282,0.9980469
1748035376530,30,Right,0.008183913,1.174002,0.009119561,-0.1199446,-0.2517367,0.9603342,14.58031,352.8807,358.6467,-5.989047,-11.41284,48.02583,0.9980469
1748035376530,30,Right,0.008183913,1.174002,0.009119561,-0.1199446,-0.2517367,0.9603342,14.58031,352.8807,358.6467,-5.989047,-11.41284,48.02583,0.9980469
1748035376530,30,Right,0.008183913,1.174002,0.009119561,-0.1199446,-0.2517367,0.9603342,14.58031,352.8807,358.6467,-5.989047,-11.41284,48.02583,0.9980469
1748035376544,31,Right,0.008180015,1.174027,0.009085848,-0.1200001,-0.2517364,0.9603274,14.58029,352.8774,358.6415,-5.991827,-11.4128,48.02546,0.9980469
1748035376544,31,Right,0.008180015,1.174027,0.009085848,-0.1200001,-0.2517364,0.9603274,14.58029,352.8774,358.6415,-5.991827,-11.4128,48.02546,0.9980469
1748035376544,31,Right,0.008180015,1.174027,0.009085848,-0.1200001,-0.2517364,0.9603274,14.58029,352.8774,358.6415,-5.991827,-11.4128,48.02546,0.9980469
1748035376558,32,Right,0.008181253,1.174051,0.009040164,-0.1203883,-0.2474353,0.9613961,14.32579,352.8624,358.6301,-6.011235,-11.19772,48.07885,0.9980469
1748035376558,32,Right,0.008181253,1.174051,0.009040164,-0.1203883,-0.2474353,0.9613961,14.32579,352.8624,358.6301,-6.011235,-11.19772,48.07885,0.9980469
1748035376558,32,Right,0.008181253,1.174051,0.009040164,-0.1203883,-0.2474353,0.9613961,14.32579,352.8624,358.6301,-6.011235,-11.19772,48.07885,0.9980469
1748035376572,33,Right,0.008197973,1.174054,0.008984499,-0.1205635,-0.2475833,0.961336,14.33455,352.8517,358.6118,-6.019979,-11.20511,48.07578,0.9980469
1748035376573,33,Right,0.008197973,1.174054,0.008984499,-0.1205635,-0.2475833,0.961336,14.33455,352.8517,358.6118,-6.019979,-11.20511,48.07578,0.9980469
1748035376573,33,Right,0.008197973,1.174054,0.008984499,-0.1205635,-0.2475833,0.961336,14.33455,352.8517,358.6118,-6.019979,-11.20511,48.07578,0.9980469
1748035376586,34,Right,0.008248176,1.174045,0.008929754,-0.1208946,-0.2475187,0.9613111,14.33073,352.8321,358.5969,-6.036481,-11.20189,48.07449,0.9980469
1748035376587,34,Right,0.008248176,1.174045,0.008929754,-0.1208946,-0.2475187,0.9613111,14.33073,352.8321,358.5969,-6.036481,-11.20189,48.07449,0.9980469
1748035376587,34,Right,0.008248176,1.174045,0.008929754,-0.1208946,-0.2475187,0.9613111,14.33073,352.8321,358.5969,-6.036481,-11.20189,48.07449,0.9980469
1748035376601,35,Right,0.008314863,1.174035,0.00887073,-0.1200914,-0.2469407,0.9615604,14.29655,352.8811,358.587,-5.996255,-11.173,48.08689,0.9980469
1748035376601,35,Right,0.008314863,1.174035,0.00887073,-0.1200914,-0.2469407,0.9615604,14.29655,352.8811,358.587,-5.996255,-11.173,48.08689,0.9980469
1748035376601,35,Right,0.008314863,1.174035,0.00887073,-0.1200914,-0.2469407,0.9615604,14.29655,352.8811,358.587,-5.996255,-11.173,48.08689,0.9980469
1748035376614,36,Right,0.008392168,1.174025,0.008820849,-0.119864,-0.2471593,0.9615326,14.30947,352.8942,358.5829,-5.984806,-11.18394,48.08545,0.9980469
1748035376615,36,Right,0.008392168,1.174025,0.008820849,-0.119864,-0.2471593,0.9615326,14.30947,352.8942,358.5829,-5.984806,-11.18394,48.08545,0.9980469
1748035376628,37,Right,0.008473275,1.174018,0.008795374,-0.1193202,-0.246952,0.9616535,14.29722,352.927,358.6078,-5.957535,-11.17358,48.09147,0.9980469
1748035376628,37,Right,0.008473275,1.174018,0.008795374,-0.1193202,-0.246952,0.9616535,14.29722,352.927,358.6078,-5.957535,-11.17358,48.09147,0.9980469
1748035376629,37,Right,0.008473275,1.174018,0.008795374,-0.1193202,-0.246952,0.9616535,14.29722,352.927,358.6078,-5.957535,-11.17358,48.09147,0.9980469
1748035376642,38,Right,0.008568868,1.174015,0.008774938,-0.1195581,-0.2471608,0.9615703,14.30956,352.9124,358.6148,-5.969337,-11.18402,48.08729,0.9980469
1748035376642,38,Right,0.008568868,1.174015,0.008774938,-0.1195581,-0.2471608,0.9615703,14.30956,352.9124,358.6148,-5.969337,-11.18402,48.08729,0.9980469
1748035376642,38,Right,0.008568868,1.174015,0.008774938,-0.1195581,-0.2471608,0.9615703,14.30956,352.9124,358.6148,-5.969337,-11.18402,48.08729,0.9980469
1748035376655,39,Right,0.008664627,1.174033,0.008741438,-0.1193848,-0.2470442,0.9616218,14.30267,352.923,358.6197,-5.960575,-11.17818,48.08983,0.9980469
1748035376655,39,Right,0.008664627,1.174033,0.008741438,-0.1193848,-0.2470442,0.9616218,14.30267,352.923,358.6197,-5.960575,-11.17818,48.08983,0.9980469
1748035376668,40,Right,0.00874472,1.174049,0.008705982,-0.1212591,-0.2510474,0.9603496,14.5395,352.8036,358.5913,-6.054212,-11.37832,48.02619,0.9980469
1748035376668,40,Right,0.00874472,1.174049,0.008705982,-0.1212591,-0.2510474,0.9603496,14.5395,352.8036,358.5913,-6.054212,-11.37832,48.02619,0.9980469
1748035376668,40,Right,0.00874472,1.174049,0.008705982,-0.1212591,-0.2510474,0.9603496,14.5395,352.8036,358.5913,-6.054212,-11.37832,48.02619,0.9980469
1748035376682,41,Right,0.008842312,1.174051,0.008690285,-0.1214117,-0.2509308,0.9603608,14.5326,352.7947,358.5847,-6.061742,-11.37249,48.02673,0.9980469
1748035376682,41,Right,0.008842312,1.174051,0.008690285,-0.1214117,-0.2509308,0.9603608,14.5326,352.7947,358.5847,-6.061742,-11.37249,48.02673,0.9980469
1748035376682,41,Right,0.008842312,1.174051,0.008690285,-0.1214117,-0.2509308,0.9603608,14.5326,352.7947,358.5847,-6.061742,-11.37249,48.02673,0.9980469
