unix_ms,frame,current_fps,smoothed_fps,dt
1748118290588,1,0,0,18.38936
1748118291271,2,1,0,0.7420866
1748118291315,3,26,6,0.0383716
1748118291348,4,27,11,0.0365578
1748118291381,5,30,16,0.032962
1748118291413,6,30,20,0.0324839
1748118291448,7,29,22,0.0340756
1748118291482,8,30,24,0.0330388
1748118291514,9,28,25,0.0345922
1748118291551,10,30,26,0.0330424
1748118291583,11,25,26,0.0390737
1748118291617,12,32,27,0.0306235
1748118291650,13,29,28,0.0340076
1748118291683,14,33,29,0.0298987
1748118291717,15,29,29,0.0343692
1748118291751,16,30,29,0.03308
1748118291782,17,30,29,0.0330883
1748118291809,18,31,30,0.0316643
1748118291840,19,37,32,0.0263422
1748118291871,20,32,32,0.0309283
1748118291907,21,31,31,0.0322538
1748118291940,22,28,30,0.0356981
1748118291973,23,30,30,0.0332105
1748118292007,24,29,30,0.0335561
1748118292041,25,29,30,0.0340631
1748118292074,26,30,30,0.0323596
1748118292108,27,30,30,0.0332591
1748118292141,28,29,30,0.0334488
1748118292174,29,29,30,0.033738
1748118292208,30,29,29,0.0343451
1748118292241,31,30,30,0.0327375
1748118292274,32,29,29,0.0334036
1748118292308,33,30,29,0.0332991
1748118292341,34,30,30,0.0328696
1748118292375,35,29,29,0.0338509
1748118292408,36,29,29,0.0334859
1748118292441,37,27,29,0.0366216
1748118292475,38,34,30,0.0292675
1748118292508,39,29,30,0.0334824
1748118292542,40,29,30,0.0334269
1748118292575,41,28,29,0.0347986
1748118292609,42,30,30,0.0326914
1748118292642,43,30,30,0.0330638
1748118292676,44,29,29,0.0342862
1748118292709,45,30,29,0.0332934
1748118292742,46,30,29,0.033183
1748118292776,47,29,29,0.0336095
1748118292810,48,29,29,0.0334132
1748118292843,49,30,29,0.0332263
1748118292876,50,29,29,0.0338397
1748118292909,51,29,29,0.033415
1748118292944,52,30,29,0.0331236
1748118292977,53,29,29,0.0334364
1748118293011,54,29,29,0.0336311
1748118293044,55,29,29,0.0341429
1748118293077,56,29,29,0.0333716
1748118293111,57,30,29,0.0329608
1748118293143,58,30,30,0.0328936
1748118293177,59,29,29,0.0336671
1748118293211,60,29,29,0.0336693
1748118293244,61,29,29,0.0334328
1748118293277,62,30,29,0.0330912
1748118293311,63,29,29,0.0343351
1748118293344,64,30,30,0.0325551
1748118293377,65,29,29,0.0334683
1748118293411,66,29,29,0.0335283
1748118293444,67,29,29,0.0343883
1748118293478,68,30,29,0.0327359
1748118293511,69,29,29,0.0334112
1748118293545,70,30,29,0.0331764
1748118293579,71,29,29,0.0336557
1748118293612,72,30,30,0.0330049
1748118293645,73,29,29,0.033869
1748118293678,74,29,29,0.03359
1748118293711,75,29,29,0.0340674
1748118293746,76,30,29,0.0324973
1748118293779,77,29,29,0.0334209
1748118293813,78,30,30,0.0332032
1748118293845,79,29,29,0.0338242
1748118293880,80,29,29,0.0333615
1748118293913,81,29,29,0.0336967
1748118293946,82,29,29,0.0334259
1748118293980,83,29,29,0.0335025
1748118294014,84,30,29,0.033124
1748118294046,85,30,29,0.0333144
1748118294080,86,29,29,0.0340474
1748118294114,87,29,29,0.0333988
1748118294147,88,29,29,0.0338954
1748118294180,89,30,29,0.032589
1748118294213,90,30,30,0.0327094
1748118294248,91,29,29,0.0339871
1748118294281,92,29,29,0.0334735
1748118294314,93,29,29,0.0343512
1748118294347,94,30,29,0.0329028
1748118294381,95,29,29,0.033434
1748118294413,96,30,30,0.0328492
1748118294447,97,29,30,0.0333496
1748118294482,98,29,29,0.0335975
1748118294514,99,29,29,0.0335854
1748118294547,100,30,29,0.0330912
1748118294581,101,29,29,0.033538
1748118294614,102,29,29,0.0337011
1748118294648,103,30,29,0.0330596
1748118294682,104,29,29,0.0340289
1748118294716,105,29,29,0.0334584
1748118294748,106,30,29,0.0328524
1748118294782,107,29,29,0.0336106
1748118294816,108,29,29,0.033507
1748118294848,109,29,29,0.0336918
1748118294882,110,30,29,0.0332365
1748118294916,111,30,29,0.0333078
1748118294950,112,30,29,0.0333321
1748118294983,113,29,29,0.0335641
1748118295016,114,30,29,0.0333325
1748118295049,115,29,29,0.0339134
1748118295083,116,30,29,0.0332885
1748118295116,117,30,29,0.0329793
1748118295150,118,29,29,0.0333579
1748118295184,119,29,29,0.033536
1748118295216,120,29,29,0.0342768
1748118295250,121,30,29,0.0326582
1748118295284,122,29,29,0.0334113
1748118295316,123,29,29,0.0337392
1748118295351,124,30,29,0.0330722
1748118295384,125,29,29,0.03373
1748118295417,126,30,29,0.033006
1748118295451,127,29,29,0.0336004
1748118295485,128,29,29,0.0339812
1748118295517,129,30,29,0.0331716
1748118295551,130,29,29,0.0333542
1748118295585,131,29,29,0.0334183
1748118295618,132,30,29,0.0331789
1748118295651,133,29,29,0.0339235
1748118295685,134,30,29,0.0331175
1748118295718,135,29,29,0.0337146
1748118295751,136,30,29,0.0330912
1748118295786,137,29,29,0.0336966
1748118295819,138,29,29,0.0334874
1748118295852,139,30,29,0.0331953
1748118295886,140,29,29,0.0334312
1748118295919,141,29,29,0.0335915
1748118295954,142,25,28,0.0390503
1748118295988,143,32,29,0.0308914
1748118296014,144,31,30,0.0321497
1748118296046,145,37,31,0.0266479
1748118296079,146,31,31,0.0318391
1748118296106,147,29,31,0.0334425
1748118296138,148,38,33,0.0262423
1748118296171,149,30,32,0.0323022
1748118296207,150,28,31,0.0349254
1748118296241,151,28,30,0.0352406
1748118296273,152,31,30,0.0321774
1748118296307,153,29,30,0.0338021
1748118296342,154,30,30,0.0332661
1748118296374,155,29,30,0.0336002
1748118296408,156,29,30,0.0338577
1748118296442,157,29,29,0.0342842
1748118296475,158,30,30,0.0328103
1748118296509,159,29,29,0.0336275
1748118296541,160,30,29,0.0332256
1748118296576,161,30,30,0.0327638
1748118296609,162,29,30,0.033464
1748118296643,163,29,29,0.0336983
1748118296676,164,29,29,0.0333579
1748118296709,165,29,29,0.0339995
1748118296742,166,29,29,0.0333485
1748118296776,167,30,29,0.0332263
