unix_ms,frame,current_fps,smoothed_fps,dt
1748118188489,1,0,0,18.47152
1748118189147,2,1,0,0.7088006
1748118189169,3,43,11,0.0228331
1748118189181,4,89,30,0.0111632
1748118189191,5,93,46,0.0106433
1748118189202,6,109,62,0.0091598
1748118189213,7,84,67,0.011792
1748118189224,8,84,71,0.0118685
1748118189236,9,98,78,0.0101148
1748118189248,10,90,81,0.0110796
1748118189258,11,88,83,0.0112931
1748118189268,12,90,85,0.0110345
1748118189279,13,94,87,0.010595
1748118189291,14,83,86,0.0119783
1748118189303,15,91,87,0.0109821
1748118189313,16,98,90,0.0101955
1748118189325,17,88,89,0.0113482
1748118189336,18,83,88,0.0119724
1748118189347,19,92,89,0.0107677
1748118189356,20,87,88,0.0114574
1748118189367,21,116,95,0.0086121
1748118189381,22,91,94,0.0109154
1748118189391,23,72,89,0.0137158
1748118189404,24,84,88,0.0118023
1748118189416,25,91,89,0.0108856
1748118189424,26,70,84,0.0140854
1748118189438,27,159,103,0.006265
1748118189450,28,72,95,0.0138033
1748118189462,29,82,92,0.0121286
1748118189473,30,87,91,0.0113835
1748118189485,31,88,90,0.0113111
1748118189496,32,80,87,0.0124904
1748118189508,33,92,88,0.0108343
1748118189520,34,84,87,0.0118631
1748118189531,35,84,86,0.0118336
1748118189542,36,91,88,0.0109175
1748118189553,37,89,88,0.0111508
1748118189564,38,87,88,0.0114096
1748118189576,39,86,87,0.0115389
1748118189586,40,90,88,0.0110874
1748118189599,41,85,87,0.0116801
1748118189609,42,88,87,0.0113364
1748118189621,43,90,88,0.0110215
1748118189632,44,90,88,0.0110909
1748118189643,45,89,89,0.0111694
1748118189655,46,89,89,0.0111909
1748118189666,47,87,88,0.0114104
1748118189677,48,90,89,0.0110109
1748118189688,49,89,89,0.0111739
1748118189699,50,88,89,0.0113054
1748118189710,51,88,89,0.011245
1748118189721,52,90,89,0.0110848
1748118189733,53,89,89,0.011221
1748118189744,54,91,89,0.0109329
1748118189754,55,86,88,0.0116042
1748118189766,56,91,89,0.0109584
1748118189777,57,90,89,0.0110837
1748118189788,58,88,89,0.0113006
1748118189799,59,89,89,0.0111576
1748118189811,60,92,90,0.0108616
1748118189822,61,89,89,0.0112304
1748118189833,62,88,89,0.0112678
1748118189844,63,90,89,0.0110868
1748118189856,64,88,89,0.0113176
1748118189866,65,90,89,0.0110162
1748118189877,66,88,89,0.011267
1748118189889,67,89,89,0.0111746
1748118189900,68,88,89,0.0113212
1748118189911,69,91,89,0.0109355
1748118189922,70,89,89,0.0111346
1748118189933,71,90,89,0.0110802
1748118189945,72,90,89,0.0110904
1748118189955,73,87,89,0.0114405
1748118189967,74,91,89,0.0109219
1748118189977,75,89,89,0.0111267
1748118189989,76,89,89,0.0111652
1748118190000,77,88,89,0.011315
1748118190011,78,93,90,0.0107182
1748118190021,79,90,90,0.0110766
1748118190033,80,87,89,0.0114046
1748118190045,81,89,89,0.0112075
1748118190055,82,92,90,0.0108503
1748118190066,83,88,89,0.0113461
1748118190078,84,90,89,0.0110956
1748118190089,85,87,89,0.011394
1748118190100,86,88,89,0.0112851
1748118190112,87,93,90,0.0107122
1748118190122,88,90,90,0.0110798
1748118190134,89,89,90,0.0111456
1748118190144,90,89,89,0.0111951
1748118190156,91,90,90,0.0110232
1748118190168,92,88,89,0.0113422
1748118190178,93,89,89,0.0111721
1748118190189,94,90,89,0.011108
1748118190201,95,90,89,0.0110299
1748118190212,96,90,90,0.0110693
1748118190222,97,88,89,0.0112786
1748118190234,98,89,89,0.0111947
1748118190245,99,88,89,0.0112867
1748118190257,100,92,90,0.0107834
1748118190268,101,88,89,0.0112635
1748118190278,102,90,89,0.0111015
1748118190290,103,88,89,0.011253
1748118190301,104,88,89,0.0113534
1748118190312,105,91,89,0.0109185
1748118190323,106,88,89,0.0112362
1748118190335,107,88,89,0.0113482
1748118190346,108,90,89,0.0109936
1748118190357,109,90,89,0.0110789
1748118190368,110,91,90,0.0109334
1748118190378,111,87,89,0.0113812
1748118190389,112,91,90,0.0109558
1748118190402,113,91,90,0.0109752
1748118190413,114,89,90,0.0111258
1748118190424,115,89,90,0.011183
1748118190434,116,87,89,0.0114288
1748118190446,117,89,89,0.0111615
1748118190456,118,91,89,0.0109231
1748118190467,119,90,89,0.0110991
1748118190479,120,89,89,0.0111353
1748118190490,121,88,89,0.01134
1748118190502,122,90,89,0.0110482
1748118190513,123,89,89,0.0112303
1748118190523,124,91,90,0.0109334
1748118190535,125,87,89,0.0113871
1748118190546,126,91,89,0.0109673
1748118190556,127,89,89,0.0111168
1748118190569,128,88,89,0.0112602
1748118190580,129,89,89,0.0111858
1748118190591,130,89,89,0.0111185
1748118190601,131,90,89,0.0110167
1748118190613,132,89,89,0.0111151
1748118190624,133,90,90,0.0110233
1748118190635,134,87,89,0.0114552
1748118190647,135,90,89,0.0110058
1748118190658,136,87,89,0.0113801
1748118190669,137,91,89,0.0109004
1748118190680,138,88,89,0.0112625
1748118190691,139,91,89,0.0109795
1748118190701,140,89,89,0.0111564
1748118190713,141,90,90,0.0110523
1748118190724,142,89,89,0.0111966
1748118190736,143,89,89,0.0112116
1748118190747,144,90,89,0.0111066
1748118190758,145,90,89,0.0110624
1748118190769,146,89,89,0.0111154
1748118190780,147,86,89,0.0115173
1748118190791,148,92,90,0.0107893
1748118190802,149,89,90,0.0111183
1748118190813,150,89,90,0.0111134
1748118190825,151,88,89,0.0112505
1748118190836,152,88,89,0.0113596
1748118190846,153,91,89,0.0108955
1748118190858,154,89,89,0.0111984
