unix_ms,frame,current_fps,smoothed_fps,dt
1748117181180,1,0,0,8.496766
1748117181856,2,1,0,0.7300748
1748117181886,3,28,7,0.0354831
1748117181909,4,43,16,0.023223
1748117181932,5,44,23,0.0226066
1748117181953,6,42,27,0.0237167
1748117181975,7,47,32,0.0209115
1748117181998,8,45,36,0.0218514
1748117182021,9,46,38,0.021719
1748117182043,10,43,39,0.0231861
1748117182064,11,45,41,0.0221553
1748117182088,12,45,42,0.0220575
1748117182115,13,42,42,0.0236517
1748117182145,14,33,40,0.0298014
1748117182167,15,34,38,0.0286021
1748117182199,16,43,39,0.023172
1748117182221,17,35,38,0.02817
1748117182243,18,45,40,0.022108
1748117182264,19,45,41,0.0218162
1748117182287,20,45,42,0.0221464
1748117182309,21,44,42,0.0226999
1748117182332,22,46,43,0.0214509
1748117182353,23,44,44,0.0223518
1748117182376,24,45,44,0.0221005
1748117182399,25,45,44,0.0221913
1748117182421,26,44,44,0.0223878
1748117182443,27,44,44,0.0222531
1748117182465,28,44,44,0.022683
1748117182487,29,46,45,0.0213839
1748117182511,30,38,43,0.0259703
1748117182542,31,44,43,0.0226346
1748117182564,32,35,41,0.0282198
1748117182586,33,44,42,0.0226123
1748117182609,34,44,42,0.0227147
1748117182632,35,44,43,0.0222839
1748117182653,36,44,43,0.0224341
1748117182676,37,45,44,0.0219466
1748117182699,38,44,44,0.0223875
1748117182721,39,42,43,0.0233041
1748117182753,40,38,42,0.0257188
1748117182776,41,33,40,0.0301638
1748117182798,42,47,42,0.0209624
1748117182821,43,44,42,0.0223211
1748117182842,44,43,42,0.0231744
1748117182864,45,47,44,0.0209943
1748117182887,46,44,44,0.0224976
1748117182910,47,44,44,0.0224211
1748117182933,48,44,44,0.0222284
1748117182955,49,42,43,0.0236673
1748117182977,50,47,44,0.0210942
1748117183000,51,43,44,0.0227502
1748117183022,52,45,44,0.0217923
1748117183044,53,44,44,0.0226845
1748117183066,54,45,44,0.0218932
1748117183089,55,44,44,0.0223524
1748117183111,56,42,44,0.0236009
1748117183133,57,41,43,0.0238296
1748117183154,58,52,45,0.0190487
1748117183177,59,44,45,0.0223589
1748117183199,60,44,45,0.0227002
1748117183221,61,45,45,0.0220233
1748117183244,62,44,45,0.0225374
1748117183267,63,45,45,0.0220925
1748117183289,64,44,44,0.022681
1748117183312,65,45,45,0.0218512
1748117183333,66,42,44,0.0235023
1748117183356,67,47,45,0.0210293
1748117183379,68,43,44,0.0227955
1748117183401,69,45,44,0.0221532
1748117183423,70,44,44,0.0222315
1748117183446,71,43,44,0.0230881
1748117183467,72,46,45,0.0214218
1748117183490,73,45,45,0.0221712
1748117183511,74,43,44,0.0228518
1748117183535,75,44,44,0.022302
1748117183556,76,45,44,0.0219824
1748117183579,77,44,44,0.0223592
1748117183602,78,44,44,0.0224485
1748117183623,79,45,44,0.0220235
1748117183646,80,44,44,0.022566
1748117183669,81,45,44,0.0221659
1748117183691,82,44,44,0.0225475
1748117183712,83,44,44,0.0223812
1748117183736,84,44,44,0.0226076
1748117183757,85,43,44,0.0228234
1748117183780,86,47,45,0.0210738
1748117183802,87,43,44,0.0228092
1748117183823,88,45,44,0.0220812
1748117183847,89,45,45,0.0219319
1748117183868,90,45,45,0.022168
1748117183891,91,43,44,0.0229284
1748117183914,92,45,45,0.0218122
1748117183936,93,45,45,0.0219511
1748117183958,94,42,44,0.0233003
1748117183980,95,45,44,0.0217398
1748117184003,96,43,44,0.0229641
1748117184025,97,46,44,0.0216454
1748117184047,98,45,45,0.022035
1748117184069,99,42,44,0.0233933
1748117184092,100,44,44,0.0224964
1748117184113,101,46,45,0.0213628
1748117184136,102,45,45,0.021861
1748117184158,103,45,45,0.0221339
1748117184181,104,44,44,0.0225993
1748117184202,105,44,44,0.0225341
1748117184225,106,45,44,0.0221038
1748117184247,107,44,44,0.0226579
1748117184270,108,45,44,0.0220796
1748117184291,109,45,44,0.0220719
1748117184314,110,44,44,0.0224321
1748117184337,111,44,44,0.022604
1748117184358,112,46,45,0.0217008
1748117184382,113,42,44,0.0233532
1748117184404,114,46,45,0.0213753
1748117184426,115,45,45,0.0218999
1748117184449,116,43,44,0.0228216
1748117184471,117,44,44,0.0225497
1748117184493,118,45,44,0.0218983
1748117184515,119,44,44,0.0226162
1748117184538,120,44,44,0.0226158
1748117184560,121,46,44,0.021733
1748117184581,122,45,45,0.0220588
1748117184604,123,44,44,0.0223622
1748117184627,124,44,44,0.0225992
1748117184648,125,44,44,0.0225451
1748117184672,126,46,45,0.0216893
1748117184694,127,44,44,0.0225991
1748117184716,128,44,44,0.0223458
1748117184739,129,45,45,0.0218636
1748117184761,130,44,44,0.0226306
1748117184783,131,44,44,0.0222562
1748117184806,132,44,44,0.0224237
1748117184827,133,43,44,0.0232488
1748117184850,134,43,44,0.0228921
1748117184872,135,47,45,0.0208631
1748117184894,136,45,45,0.0219078
1748117184916,137,44,45,0.0223476
1748117184939,138,45,45,0.0219039
1748117184961,139,43,44,0.0229326
1748117184983,140,45,44,0.02212
1748117185005,141,45,45,0.0219247
1748117185028,142,45,45,0.0220186
1748117185050,143,43,44,0.0227504
1748117185072,144,45,45,0.02195
1748117185095,145,44,44,0.0225295
1748117185117,146,44,44,0.0222901
1748117185139,147,44,44,0.0224936
1748117185162,148,45,44,0.0221606
1748117185184,149,44,44,0.02267
1748117185207,150,46,45,0.0215316
1748117185228,151,43,44,0.0227439
1748117185251,152,44,44,0.0226688
1748117185273,153,46,45,0.0216268
1748117185295,154,43,44,0.0229269
1748117185318,155,45,44,0.0218034
1748117185340,156,44,44,0.0224416
1748117185363,157,45,44,0.0222137
1748117185384,158,44,44,0.0225337
1748117185407,159,39,43,0.0250343
1748117185429,160,44,43,0.0222258
1748117185452,161,50,45,0.0199859
1748117185474,162,46,45,0.0217164
1748117185496,163,45,45,0.0222039
1748117185518,164,44,45,0.0223411
1748117185541,165,44,45,0.0223603
1748117185563,166,44,44,0.0224552
1748117185585,167,45,45,0.0221213
1748117185608,168,45,45,0.0221873
1748117185629,169,44,44,0.0223467
1748117185652,170,44,44,0.0222626
1748117185674,171,44,44,0.0225413
1748117185697,172,46,45,0.0215282
1748117185719,173,44,45,0.0224483
1748117185741,174,44,44,0.0223214
1748117185763,175,44,44,0.0223992
1748117185786,176,43,44,0.0228458
1748117185808,177,44,44,0.0222791
1748117185829,178,45,44,0.0219249
1748117185852,179,44,44,0.0225855
1748117185875,180,46,45,0.0217049
1748117185897,181,45,45,0.0221519
1748117185918,182,43,44,0.0227592
1748117185942,183,45,44,0.0219667
1748117185964,184,43,44,0.0228121
1748117185986,185,46,45,0.0217219
1748117186009,186,44,44,0.0226096
1748117186031,187,45,44,0.0221455
1748117186053,188,45,45,0.0219847
1748117186075,189,44,44,0.0223962
1748117186097,190,43,44,0.0229529
1748117186120,191,45,44,0.0218637
1748117186143,192,45,45,0.0219181
1748117186164,193,43,44,0.022745
1748117186187,194,44,44,0.0226702
1748117186209,195,45,44,0.0217605
1748117186231,196,45,45,0.0221211
1748117186254,197,44,44,0.0225792
1748117186276,198,44,44,0.0223504
1748117186299,199,44,44,0.0224263
1748117186320,200,44,44,0.0226427
1748117186343,201,44,44,0.0222536
1748117186366,202,45,44,0.0218774
1748117186387,203,43,44,0.0227951
1748117186409,204,43,44,0.0231344
1748117186431,205,47,45,0.0210393
1748117186453,206,45,45,0.0218735
1748117186476,207,45,45,0.0218489
1748117186498,208,44,45,0.0224829
1748117186521,209,44,44,0.0226288
1748117186543,210,45,45,0.0220692
1748117186566,211,44,44,0.0225718
1748117186589,212,45,44,0.0221452
1748117186611,213,44,44,0.0225578
1748117186633,214,45,44,0.0221743
1748117186654,215,44,44,0.0226179
1748117186678,216,46,45,0.0216461
1748117186700,217,44,44,0.0224618
1748117186722,218,44,44,0.022283
1748117186744,219,44,44,0.0225739
1748117186766,220,45,44,0.0220837
1748117186788,221,43,44,0.022747
1748117186811,222,45,44,0.0219288
1748117186834,223,44,44,0.0226356
1748117186855,224,43,44,0.0230214
1748117186877,225,47,45,0.0211994
1748117186900,226,45,45,0.0219371
1748117186922,227,40,44,0.0246228
1748117186944,228,47,44,0.0212401
1748117186967,229,45,44,0.0221577
1748117186989,230,44,44,0.0223539
1748117187010,231,47,45,0.0210257
1748117187033,232,44,45,0.022607
1748117187055,233,45,45,0.0220237
1748117187077,234,46,45,0.0216652
1748117187100,235,43,45,0.0229511
1748117187122,236,46,45,0.021575
1748117187145,237,44,45,0.0226561
1748117187167,238,44,44,0.0222945
1748117187189,239,43,44,0.0228545
1748117187211,240,46,45,0.0215771
1748117187234,241,43,44,0.0227882
1748117187257,242,45,44,0.0221905
1748117187279,243,44,44,0.0222427
1748117187301,244,45,44,0.0222124
1748117187323,245,44,44,0.0223035
1748117187346,246,44,44,0.022454
1748117187367,247,45,44,0.0220975
1748117187390,248,45,44,0.0222075
1748117187412,249,43,44,0.0227884
1748117187435,250,45,44,0.022143
1748117187456,251,44,44,0.0223998
1748117187479,252,44,44,0.0222947
1748117187502,253,46,45,0.021671
1748117187523,254,44,45,0.0223692
1748117187546,255,44,44,0.0224713
1748117187569,256,44,44,0.0223089
1748117187591,257,44,44,0.0226753
1748117187613,258,46,45,0.0215419
1748117187635,259,44,44,0.022536
