unix_ms,frame,current_fps,smoothed_fps,dt
1748117098517,1,0,0,8.328263
1748117099180,2,1,0,0.7149763
1748117099199,3,65,16,0.0153271
1748117099211,4,92,35,0.0108418
1748117099221,5,88,48,0.0113239
1748117099233,6,89,58,0.0112015
1748117099244,7,91,66,0.0109871
1748117099254,8,93,73,0.0106385
1748117099265,9,83,76,0.0119155
1748117099276,10,101,82,0.0098715
1748117099288,11,88,83,0.0113172
1748117099300,12,86,84,0.0115504
1748117099311,13,86,85,0.0115188
1748117099322,14,84,85,0.0118074
1748117099332,15,104,89,0.0095375
1748117099344,16,90,90,0.0110523
1748117099355,17,85,89,0.0116713
1748117099367,18,86,88,0.0115149
1748117099377,19,92,89,0.0108404
1748117099389,20,88,89,0.0112854
1748117099400,21,90,89,0.0109955
1748117099409,22,88,89,0.0112542
1748117099420,23,112,95,0.0088551
1748117099433,24,88,93,0.0113062
1748117099447,25,72,88,0.013747
1748117099455,26,57,80,0.0175247
1748117099467,27,112,88,0.0088686
1748117099479,28,131,99,0.007627
1748117099491,29,87,96,0.0113835
1748117099501,30,87,94,0.0113935
1748117099513,31,88,92,0.011339
1748117099526,32,85,90,0.0117194
1748117099537,33,84,89,0.0117951
1748117099548,34,88,89,0.0112761
1748117099560,35,87,88,0.01149
1748117099572,36,87,88,0.0113993
1748117099583,37,85,87,0.0116496
1748117099594,38,88,87,0.01131
1748117099606,39,89,88,0.0112031
1748117099616,40,86,87,0.011604
1748117099628,41,89,88,0.0111367
1748117099639,42,89,88,0.011126
1748117099651,43,86,88,0.0116185
1748117099661,44,88,88,0.0113342
1748117099673,45,90,88,0.0110433
1748117099684,46,89,89,0.0111166
1748117099695,47,87,88,0.0113853
1748117099706,48,90,89,0.0110562
1748117099717,49,91,89,0.0109453
1748117099728,50,87,89,0.0113665
1748117099741,51,87,88,0.0113969
1748117099751,52,91,89,0.0109828
1748117099761,53,87,88,0.0114244
1748117099773,54,92,89,0.0108234
1748117099784,55,88,89,0.0112868
1748117099796,56,90,89,0.0110156
1748117099806,57,87,89,0.0113982
1748117099817,58,92,90,0.0107805
1748117099829,59,88,89,0.0112475
1748117099841,60,88,89,0.01125
1748117099852,61,89,89,0.0111741
1748117099862,62,90,89,0.0110995
1748117099874,63,91,90,0.0109809
1748117099886,64,88,89,0.0112578
1748117099896,65,88,89,0.011291
1748117099907,66,90,89,0.0109944
1748117099919,67,88,89,0.0112431
1748117099930,68,89,89,0.0111477
1748117099941,69,90,89,0.0110107
1748117099952,70,88,89,0.0112707
1748117099964,71,88,89,0.0112443
1748117099975,72,90,89,0.0110644
1748117099985,73,89,89,0.0111333
1748117099996,74,89,89,0.01123
1748117100007,75,90,89,0.0110859
1748117100019,76,85,88,0.0117179
1748117100030,77,90,89,0.0110004
1748117100041,78,92,89,0.0108349
1748117100051,79,92,90,0.0108473
1748117100063,80,90,90,0.0110476
1748117100074,81,89,90,0.0111617
1748117100085,82,88,89,0.0113594
1748117100097,83,88,89,0.0112912
1748117100107,84,92,90,0.010857
1748117100119,85,88,89,0.0113345
1748117100131,86,90,89,0.0110341
1748117100141,87,90,89,0.0110768
1748117100153,88,90,90,0.0110792
1748117100164,89,89,89,0.0111438
1748117100174,90,89,89,0.0111191
1748117100186,91,89,89,0.0111975
1748117100197,92,87,89,0.011366
1748117100209,93,91,89,0.0108939
1748117100219,94,89,89,0.0111941
1748117100231,95,88,89,0.0113215
1748117100241,96,89,89,0.0112182
1748117100253,97,92,90,0.010836
1748117100264,98,88,89,0.0112713
1748117100276,99,89,89,0.0111528
1748117100286,100,89,89,0.0112097
1748117100297,101,90,89,0.0110427
1748117100309,102,89,89,0.0112056
1748117100319,103,89,89,0.0111116
1748117100331,104,90,89,0.0110718
1748117100342,105,88,89,0.0112647
1748117100353,106,90,89,0.0110685
1748117100364,107,90,89,0.0110608
1748117100375,108,89,89,0.0112306
1748117100386,109,88,89,0.0113194
1748117100397,110,90,89,0.011015
1748117100409,111,88,89,0.0113298
1748117100420,112,92,90,0.0108005
1748117100432,113,88,89,0.011311
1748117100443,114,88,89,0.0113395
1748117100454,115,92,90,0.0108317
1748117100464,116,90,90,0.0110891
1748117100475,117,89,90,0.0111206
1748117100486,118,88,89,0.0113415
1748117100498,119,89,89,0.0111962
1748117100509,120,90,89,0.0110352
1748117100521,121,89,89,0.0111166
1748117100531,122,89,89,0.0112176
1748117100542,123,90,89,0.0109949
1748117100553,124,89,89,0.0112124
1748117100564,125,89,89,0.0112305
1748117100576,126,89,89,0.0111501
1748117100587,127,90,89,0.0110947
1748117100599,128,90,89,0.0110556
1748117100609,129,90,90,0.0110464
1748117100621,130,89,90,0.0111254
1748117100631,131,87,89,0.0114892
1748117100643,132,89,89,0.0111848
1748117100654,133,86,88,0.0115901
1748117100665,134,92,89,0.0108437
1748117100677,135,91,89,0.0109795
1748117100687,136,82,88,0.0121207
1748117100698,137,94,89,0.0106155
1748117100710,138,93,90,0.0106958
1748117100721,139,88,90,0.011281
1748117100731,140,93,90,0.0107099
1748117100743,141,92,91,0.0108486
1748117100754,142,88,90,0.0113042
1748117100766,143,90,90,0.011033
1748117100776,144,89,90,0.0112333
1748117100787,145,91,90,0.0109022
1748117100798,146,89,90,0.0112058
1748117100809,147,89,90,0.011185
1748117100821,148,89,89,0.0111473
1748117100831,149,87,89,0.0114885
1748117100843,150,91,89,0.0108766
1748117100853,151,90,90,0.01099
1748117100865,152,90,90,0.0110789
1748117100877,153,87,89,0.0113904
1748117100887,154,89,89,0.0111123
1748117100899,155,90,89,0.0110935
1748117100910,156,89,89,0.0111245
1748117100921,157,88,89,0.0112554
1748117100932,158,90,89,0.0110565
1748117100943,159,90,89,0.0110997
1748117100954,160,88,89,0.0112818
1748117100965,161,86,88,0.0115033
1748117100976,162,90,89,0.0109994
1748117100987,163,93,90,0.0107252
1748117100999,164,90,90,0.011088
1748117101010,165,88,89,0.011323
1748117101021,166,88,89,0.0112752
1748117101033,167,91,90,0.0109385
1748117101043,168,89,89,0.0112235
1748117101054,169,89,89,0.0111876
1748117101065,170,90,89,0.0110297
1748117101077,171,89,89,0.0111516
1748117101088,172,90,90,0.0110254
1748117101099,173,88,89,0.0113222
1748117101111,174,90,89,0.0110653
1748117101122,175,88,89,0.0112806
