unix_ms,frame,current_fps,smoothed_fps,dt
1748117010559,1,0,0,8.279799
1748117011233,2,1,0,0.7186421
1748117011245,3,47,12,0.0210765
1748117011255,4,236,68,0.0042234
1748117011265,5,105,77,0.009483
1748117011277,6,90,80,0.0110667
1748117011289,7,82,81,0.0121809
1748117011301,8,88,82,0.0112881
1748117011309,9,86,83,0.0115992
1748117011321,10,112,91,0.008866
1748117011333,11,92,91,0.0108302
1748117011344,12,77,87,0.0129449
1748117011356,13,86,87,0.0116119
1748117011367,14,90,88,0.0111049
1748117011376,15,88,88,0.0112747
1748117011388,16,109,93,0.009148
1748117011399,17,89,92,0.0112323
1748117011411,18,84,90,0.0118636
1748117011422,19,82,88,0.0120526
1748117011433,20,91,89,0.0109624
1748117011444,21,99,91,0.0100939
1748117011456,22,81,89,0.0123359
1748117011466,23,85,88,0.0117514
1748117011483,24,85,87,0.0117376
1748117011490,25,69,82,0.0144422
1748117011501,26,132,95,0.0075632
1748117011513,27,89,93,0.0111115
1748117011524,28,88,92,0.0112496
1748117011536,29,82,90,0.0121542
1748117011549,30,86,89,0.0116117
1748117011559,31,80,86,0.012448
1748117011572,32,89,87,0.0112083
1748117011582,33,87,87,0.011443
1748117011594,34,88,87,0.0112494
1748117011606,35,86,87,0.0115589
1748117011618,36,87,87,0.0114152
1748117011628,37,84,86,0.0118232
1748117011640,38,90,87,0.0110006
1748117011651,39,90,88,0.0110552
1748117011661,40,88,88,0.0113322
1748117011674,41,90,88,0.0110279
1748117011684,42,85,88,0.0117027
1748117011696,43,91,88,0.0109142
1748117011707,44,88,88,0.0113161
1748117011717,45,91,89,0.0109322
1748117011730,46,84,88,0.0118382
1748117011741,47,87,87,0.0114743
1748117011751,48,89,88,0.011193
1748117011763,49,93,89,0.0106956
1748117011774,50,91,89,0.0109883
1748117011785,51,90,90,0.0110886
1748117011797,52,88,89,0.0112744
1748117011808,53,89,89,0.0112337
1748117011818,54,85,88,0.011748
1748117011829,55,94,89,0.0105587
1748117011841,56,90,90,0.0110572
1748117011852,57,88,89,0.0113068
1748117011863,58,91,90,0.0109883
1748117011875,59,90,90,0.0110833
1748117011886,60,88,89,0.0112728
1748117011897,61,88,89,0.0113375
1748117011907,62,91,90,0.0108698
1748117011919,63,90,90,0.0110699
1748117011930,64,89,89,0.0111804
1748117011942,65,89,89,0.0112352
1748117011953,66,88,89,0.0113155
1748117011963,67,92,90,0.0108529
1748117011974,68,88,89,0.0112771
1748117011986,69,90,89,0.0110455
1748117011997,70,88,89,0.0112673
1748117012008,71,91,90,0.0109711
1748117012020,72,89,89,0.0111421
1748117012031,73,88,89,0.0113322
1748117012041,74,89,89,0.0111122
1748117012053,75,90,89,0.0110559
1748117012064,76,89,89,0.0111689
1748117012074,77,90,89,0.0110603
1748117012086,78,88,89,0.0112419
1748117012098,79,87,89,0.0113639
1748117012109,80,90,89,0.0109947
1748117012119,81,90,89,0.0110372
1748117012131,82,88,89,0.0112411
1748117012142,83,89,89,0.0111755
1748117012154,84,85,88,0.0117277
1748117012165,85,87,88,0.0113967
1748117012176,86,88,88,0.0112385
