unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748118189416,25,Left,356.1205,351.7125,358.9785,0.9980469
1748118189416,25,Left,356.1205,351.7125,358.9785,0.9980469
1748118189422,26,Left,356.117,351.7106,358.9763,0.9980469
1748118189422,26,Left,356.117,351.7106,358.9763,0.9980469
1748118189424,26,Left,356.117,351.7106,358.9763,0.9980469
1748118189438,27,Left,356.1185,351.7173,358.9804,0.9980469
1748118189449,28,Left,356.119,351.6112,358.9909,0.9980469
1748118189449,28,Left,356.119,351.6112,358.9909,0.9980469
1748118189450,28,Left,356.119,351.6112,358.9909,0.9980469
1748118189461,29,Left,356.1212,351.6097,358.9924,0.9980469
1748118189461,29,Left,356.1212,351.6097,358.9924,0.9980469
1748118189472,30,Left,356.1186,351.6121,358.9934,0.9980469
1748118189472,30,Left,356.1186,351.6121,358.9934,0.9980469
1748118189483,31,Left,355.8153,351.1994,359.0499,0.9980469
1748118189485,31,Left,355.8153,351.1994,359.0499,0.9980469
1748118189485,31,Left,355.8153,351.1994,359.0499,0.9980469
1748118189496,32,Left,355.8136,351.2025,359.0473,0.9980469
1748118189496,32,Left,355.8136,351.2025,359.0473,0.9980469
1748118189506,33,Left,355.9161,351.1985,359.0471,0.9980469
1748118189506,33,Left,355.9161,351.1985,359.0471,0.9980469
1748118189518,34,Left,355.9184,351.201,359.0503,0.9980469
1748118189518,34,Left,355.9184,351.201,359.0503,0.9980469
1748118189518,34,Left,355.9184,351.201,359.0503,0.9980469
1748118189530,35,Left,355.9154,351.1985,359.05,0.9980469
1748118189530,35,Left,355.9154,351.1985,359.05,0.9980469
1748118189542,36,Left,355.9133,351.1998,359.0506,0.9980469
1748118189542,36,Left,355.9133,351.1998,359.0506,0.9980469
1748118189552,37,Left,355.8171,351.5985,358.9955,0.9980469
1748118189552,37,Left,355.8171,351.5985,358.9955,0.9980469
1748118189563,38,Left,355.8215,351.5974,358.9959,0.9980469
1748118189564,38,Left,355.8215,351.5974,358.9959,0.9980469
1748118189564,38,Left,355.8215,351.5974,358.9959,0.9980469
1748118189574,39,Left,355.9251,351.6863,358.9838,0.9980469
1748118189574,39,Left,355.9251,351.6863,358.9838,0.9980469
1748118189586,40,Left,355.9219,351.6844,358.9811,0.9980469
1748118189586,40,Left,355.9219,351.6844,358.9811,0.9980469
1748118189597,41,Left,355.9205,351.6822,358.9813,0.9980469
1748118189597,41,Left,355.9205,351.6822,358.9813,0.9980469
1748118189609,42,Left,355.9229,351.6836,358.981,0.9980469
1748118189609,42,Left,355.9229,351.6836,358.981,0.9980469
1748118189609,42,Left,355.9229,351.6836,358.981,0.9980469
1748118189620,43,Left,357.0302,351.6645,358.9815,0.9980469
1748118189621,43,Left,357.0302,351.6645,358.9815,0.9980469
1748118189632,44,Left,357.0319,351.672,358.9841,0.9980469
1748118189632,44,Left,357.0319,351.672,358.9841,0.9980469
1748118189643,45,Left,357.0322,351.67,358.9826,0.9980469
1748118189643,45,Left,357.0322,351.67,358.9826,0.9980469
1748118189653,46,Left,357.0268,351.4802,359.0083,0.9980469
1748118189653,46,Left,357.0268,351.4802,359.0083,0.9980469
1748118189653,46,Left,357.0268,351.4802,359.0083,0.9980469
1748118189664,47,Left,357.0281,351.4768,359.0052,0.9980469
1748118189666,47,Left,357.0281,351.4768,359.0052,0.9980469
1748118189677,48,Left,356.5854,351.4833,359.0103,0.9980469
1748118189677,48,Left,356.5854,351.4833,359.0103,0.9980469
1748118189688,49,Left,356.5851,351.4873,359.0073,0.9980469
1748118189688,49,Left,356.5851,351.4873,359.0073,0.9980469
1748118189699,50,Left,356.5841,351.4845,359.0112,0.9980469
1748118189699,50,Left,356.5841,351.4845,359.0112,0.9980469
1748118189699,50,Left,356.5841,351.4845,359.0112,0.9980469
1748118189710,51,Left,356.5865,351.4868,359.0097,0.9980469
1748118189710,51,Left,356.5865,351.4868,359.0097,0.9980469
1748118189721,52,Left,356.3502,351.6116,358.9884,0.9980469
1748118189721,52,Left,356.3502,351.6116,358.9884,0.9980469
1748118189733,53,Left,356.3496,351.6086,358.9903,0.9980469
1748118189733,53,Left,356.3496,351.6086,358.9903,0.9980469
1748118189744,54,Left,356.3459,351.7096,358.9808,0.9980469
1748118189744,54,Left,356.3459,351.7096,358.9808,0.9980469
1748118189744,54,Left,356.3459,351.7096,358.9808,0.9980469
1748118189754,55,Left,356.3462,351.7039,358.9803,0.9980469
1748118189754,55,Left,356.3462,351.7039,358.9803,0.9980469
1748118189765,56,Left,356.3485,351.7059,358.9797,0.9980469
1748118189766,56,Left,356.3485,351.7059,358.9797,0.9980469
1748118189777,57,Left,356.3514,351.7044,358.9778,0.9980469
1748118189777,57,Left,356.3514,351.7044,358.9778,0.9980469
