unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748117182111,13,Left,359.6671,0.8426418,357.5746,0.9980469
1748117182111,13,Left,359.6671,0.8426418,357.5746,0.9980469
1748117182111,13,Left,359.6671,0.8426418,357.5746,0.9980469
1748117182113,13,Left,359.6671,0.8426418,357.5746,0.9980469
1748117182113,13,Left,359.6671,0.8426418,357.5746,0.9980469
1748117182143,14,Left,359.6752,0.9259231,357.5675,0.9980469
1748117182143,14,Left,359.6752,0.9259231,357.5675,0.9980469
1748117182143,14,Left,359.6752,0.9259231,357.5675,0.9980469
1748117182143,14,Left,359.6752,0.9259231,357.5675,0.9980469
1748117182143,14,Left,359.6752,0.9259231,357.5675,0.9980469
1748117182143,14,Left,359.6752,0.9259231,357.5675,0.9980469
1748117182167,15,Left,359.7513,1.239419,357.5296,0.9980469
1748117182167,15,Left,359.7513,1.239419,357.5296,0.9980469
1748117182167,15,Left,359.7513,1.239419,357.5296,0.9980469
1748117182167,15,Left,359.7513,1.239419,357.5296,0.9980469
1748117182167,15,Left,359.7513,1.239419,357.5296,0.9980469
1748117182197,16,Left,359.6891,1.239101,357.5322,0.9980469
1748117182197,16,Left,359.6891,1.239101,357.5322,0.9980469
1748117182197,16,Left,359.6891,1.239101,357.5322,0.9980469
1748117182199,16,Left,359.6891,1.239101,357.5322,0.9980469
1748117182199,16,Left,359.6891,1.239101,357.5322,0.9980469
1748117182220,17,Left,359.722,0.9808356,357.5389,0.9980469
1748117182220,17,Left,359.722,0.9808356,357.5389,0.9980469
1748117182220,17,Left,359.722,0.9808356,357.5389,0.9980469
1748117182220,17,Left,359.722,0.9808356,357.5389,0.9980469
1748117182221,17,Left,359.722,0.9808356,357.5389,0.9980469
1748117182221,17,Left,359.722,0.9808356,357.5389,0.9980469
1748117182242,18,Left,359.721,0.9783819,357.5312,0.9980469
1748117182242,18,Left,359.721,0.9783819,357.5312,0.9980469
1748117182242,18,Left,359.721,0.9783819,357.5312,0.9980469
1748117182242,18,Left,359.721,0.9783819,357.5312,0.9980469
1748117182264,19,Left,359.7472,0.9728169,357.5517,0.9980469
1748117182264,19,Left,359.7472,0.9728169,357.5517,0.9980469
1748117182264,19,Left,359.7472,0.9728169,357.5517,0.9980469
1748117182264,19,Left,359.7472,0.9728169,357.5517,0.9980469
1748117182286,20,Left,359.7762,1.079345,357.5352,0.9980469
1748117182287,20,Left,359.7762,1.079345,357.5352,0.9980469
1748117182287,20,Left,359.7762,1.079345,357.5352,0.9980469
1748117182287,20,Left,359.7762,1.079345,357.5352,0.9980469
1748117182287,20,Left,359.7762,1.079345,357.5352,0.9980469
1748117182309,21,Left,359.777,1.083448,357.5329,0.9980469
1748117182309,21,Left,359.777,1.083448,357.5329,0.9980469
1748117182309,21,Left,359.777,1.083448,357.5329,0.9980469
1748117182309,21,Left,359.777,1.083448,357.5329,0.9980469
1748117182331,22,Left,359.684,1.096932,357.5288,0.9980469
1748117182331,22,Left,359.684,1.096932,357.5288,0.9980469
1748117182331,22,Left,359.684,1.096932,357.5288,0.9980469
1748117182332,22,Left,359.684,1.096932,357.5288,0.9980469
1748117182332,22,Left,359.684,1.096932,357.5288,0.9980469
1748117182353,23,Left,359.6785,0.9845041,357.5362,0.9980469
1748117182353,23,Left,359.6785,0.9845041,357.5362,0.9980469
1748117182353,23,Left,359.6785,0.9845041,357.5362,0.9980469
1748117182353,23,Left,359.6785,0.9845041,357.5362,0.9980469
1748117182376,24,Left,359.6823,0.9778635,357.5323,0.9980469
1748117182376,24,Left,359.6823,0.9778635,357.5323,0.9980469
1748117182376,24,Left,359.6823,0.9778635,357.5323,0.9980469
1748117182376,24,Left,359.6823,0.9778635,357.5323,0.9980469
1748117182397,25,Left,359.8368,0.9750759,357.5247,0.9980469
1748117182397,25,Left,359.8368,0.9750759,357.5247,0.9980469
1748117182397,25,Left,359.8368,0.9750759,357.5247,0.9980469
1748117182399,25,Left,359.8368,0.9750759,357.5247,0.9980469
1748117182399,25,Left,359.8368,0.9750759,357.5247,0.9980469
1748117182420,26,Left,359.8359,0.9756555,357.5269,0.9980469
1748117182420,26,Left,359.8359,0.9756555,357.5269,0.9980469
1748117182420,26,Left,359.8359,0.9756555,357.5269,0.9980469
1748117182421,26,Left,359.8359,0.9756555,357.5269,0.9980469
1748117182441,27,Left,359.8393,1.183302,357.4965,0.9980469
1748117182443,27,Left,359.8393,1.183302,357.4965,0.9980469
1748117182443,27,Left,359.8393,1.183302,357.4965,0.9980469
1748117182443,27,Left,359.8393,1.183302,357.4965,0.9980469
1748117182443,27,Left,359.8393,1.183302,357.4965,0.9980469
1748117182464,28,Left,359.7238,1.188868,357.5041,0.9980469
1748117182464,28,Left,359.7238,1.188868,357.5041,0.9980469
1748117182464,28,Left,359.7238,1.188868,357.5041,0.9980469
1748117182464,28,Left,359.7238,1.188868,357.5041,0.9980469
1748117182486,29,Left,359.7152,1.133279,357.5007,0.9980469
1748117182487,29,Left,359.7152,1.133279,357.5007,0.9980469
1748117182487,29,Left,359.7152,1.133279,357.5007,0.9980469
1748117182487,29,Left,359.7152,1.133279,357.5007,0.9980469
1748117182487,29,Left,359.7152,1.133279,357.5007,0.9980469
1748117182509,30,Left,359.7237,1.149489,357.4752,0.9980469
1748117182509,30,Left,359.7237,1.149489,357.4752,0.9980469
1748117182510,30,Left,359.7237,1.149489,357.4752,0.9980469
1748117182510,30,Left,359.7237,1.149489,357.4752,0.9980469
1748117182510,30,Left,359.7237,1.149489,357.4752,0.9980469
1748117182541,31,Left,0.004663033,0.9893683,357.5045,0.9980469
1748117182541,31,Left,0.004663033,0.9893683,357.5045,0.9980469
1748117182542,31,Left,0.004663033,0.9893683,357.5045,0.9980469
1748117182542,31,Left,0.004663033,0.9893683,357.5045,0.9980469
1748117182563,32,Left,0.1469778,0.9466152,357.5193,0.9980469
1748117182563,32,Left,0.1469778,0.9466152,357.5193,0.9980469
1748117182564,32,Left,0.1469778,0.9466152,357.5193,0.9980469
1748117182564,32,Left,0.1469778,0.9466152,357.5193,0.9980469
1748117182564,32,Left,0.1469778,0.9466152,357.5193,0.9980469
1748117182564,32,Left,0.1469778,0.9466152,357.5193,0.9980469
1748117182585,33,Left,0.1815218,0.9347485,357.5251,0.9980469
1748117182586,33,Left,0.1815218,0.9347485,357.5251,0.9980469
1748117182586,33,Left,0.1815218,0.9347485,357.5251,0.9980469
1748117182586,33,Left,0.1815218,0.9347485,357.5251,0.9980469
1748117182586,33,Left,0.1815218,0.9347485,357.5251,0.9980469
1748117182607,34,Left,0.2970548,0.5640144,357.5611,0.9980469
1748117182607,34,Left,0.2970548,0.5640144,357.5611,0.9980469
1748117182609,34,Left,0.2970548,0.5640144,357.5611,0.9980469
1748117182609,34,Left,0.2970548,0.5640144,357.5611,0.9980469
1748117182630,35,Left,0.2489131,0.5428585,357.5563,0.9980469
1748117182630,35,Left,0.2489131,0.5428585,357.5563,0.9980469
1748117182630,35,Left,0.2489131,0.5428585,357.5563,0.9980469
1748117182631,35,Left,0.2489131,0.5428585,357.5563,0.9980469
1748117182631,35,Left,0.2489131,0.5428585,357.5563,0.9980469
1748117182653,36,Left,0.2707377,0.7760615,357.5316,0.9980469
1748117182653,36,Left,0.2707377,0.7760615,357.5316,0.9980469
1748117182653,36,Left,0.2707377,0.7760615,357.5316,0.9980469
1748117182653,36,Left,0.2707377,0.7760615,357.5316,0.9980469
1748117182675,37,Left,0.279567,0.7711428,357.5353,0.9980469
1748117182675,37,Left,0.279567,0.7711428,357.5353,0.9980469
1748117182675,37,Left,0.279567,0.7711428,357.5353,0.9980469
1748117182675,37,Left,0.279567,0.7711428,357.5353,0.9980469
1748117182698,38,Left,0.002818539,0.7866369,357.536,0.9980469
1748117182698,38,Left,0.002818539,0.7866369,357.536,0.9980469
1748117182698,38,Left,0.002818539,0.7866369,357.536,0.9980469
1748117182698,38,Left,0.002818539,0.7866369,357.536,0.9980469
1748117182698,38,Left,0.002818539,0.7866369,357.536,0.9980469
1748117182720,39,Left,0.003056065,0.6061922,357.5574,0.9980469
1748117182720,39,Left,0.003056065,0.6061922,357.5574,0.9980469
1748117182721,39,Left,0.003056065,0.6061922,357.5574,0.9980469
1748117182721,39,Left,0.003056065,0.6061922,357.5574,0.9980469
1748117182721,39,Left,0.003056065,0.6061922,357.5574,0.9980469
1748117182751,40,Left,0.0003820445,0.6165555,357.5757,0.9980469
1748117182753,40,Left,0.0003820445,0.6165555,357.5757,0.9980469
1748117182753,40,Left,0.0003820445,0.6165555,357.5757,0.9980469
1748117182753,40,Left,0.0003820445,0.6165555,357.5757,0.9980469
