unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748117099446,25,Left,1.815662,0.5585975,358.0152,0.9980469
1748117099447,25,Left,1.815662,0.5585975,358.0152,0.9980469
1748117099447,25,Left,1.815662,0.5585975,358.0152,0.9980469
1748117099455,26,Left,1.803993,0.5526785,358.0184,0.9980469
1748117099455,26,Left,1.803993,0.5526785,358.0184,0.9980469
1748117099455,26,Left,1.803993,0.5526785,358.0184,0.9980469
1748117099467,27,Left,1.792859,0.5513005,358.0236,0.9980469
1748117099467,27,Left,1.792859,0.5513005,358.0236,0.9980469
1748117099478,28,Left,1.787869,0.5462794,358.0293,0.9980469
1748117099490,29,Left,1.775628,0.4518297,358.0373,0.9980469
1748117099490,29,Left,1.775628,0.4518297,358.0373,0.9980469
1748117099491,29,Left,1.775628,0.4518297,358.0373,0.9980469
1748117099501,30,Left,1.769432,0.4471282,358.0381,0.9980469
1748117099501,30,Left,1.769432,0.4471282,358.0381,0.9980469
1748117099513,31,Left,1.764109,0.4484262,358.0386,0.9980469
1748117099513,31,Left,1.764109,0.4484262,358.0386,0.9980469
1748117099524,32,Left,1.8375,0.3496799,358.0443,0.9980469
1748117099524,32,Left,1.8375,0.3496799,358.0443,0.9980469
1748117099526,32,Left,1.8375,0.3496799,358.0443,0.9980469
1748117099536,33,Left,1.830037,0.3510579,358.045,0.9980469
1748117099536,33,Left,1.830037,0.3510579,358.045,0.9980469
1748117099548,34,Left,1.825802,0.3560561,358.0467,0.9980469
1748117099548,34,Left,1.825802,0.3560561,358.0467,0.9980469
1748117099559,35,Left,2.017907,0.11201,358.055,0.9980469
1748117099560,35,Left,2.017907,0.11201,358.055,0.9980469
1748117099571,36,Left,2.016663,0.1138412,358.0565,0.9980469
1748117099571,36,Left,2.016663,0.1138412,358.0565,0.9980469
1748117099572,36,Left,2.016663,0.1138412,358.0565,0.9980469
1748117099581,37,Left,2.010267,0.1185849,358.0564,0.9980469
1748117099583,37,Left,2.010267,0.1185849,358.0564,0.9980469
1748117099593,38,Left,2.004607,0.1173656,358.059,0.9980469
1748117099593,38,Left,2.004607,0.1173656,358.059,0.9980469
1748117099605,39,Left,2.001199,0.1223883,358.0638,0.9980469
1748117099605,39,Left,2.001199,0.1223883,358.0638,0.9980469
1748117099605,39,Left,2.001199,0.1223883,358.0638,0.9980469
1748117099616,40,Left,2.109785,0.1099325,358.0609,0.9980469
1748117099616,40,Left,2.109785,0.1099325,358.0609,0.9980469
1748117099627,41,Left,2.102288,0.1068618,358.0642,0.9980469
1748117099627,41,Left,2.102288,0.1068618,358.0642,0.9980469
1748117099639,42,Left,2.092177,0.1060295,358.0564,0.9980469
1748117099639,42,Left,2.092177,0.1060295,358.0564,0.9980469
1748117099650,43,Left,2.085592,0.1046343,358.0527,0.9980469
1748117099650,43,Left,2.085592,0.1046343,358.0527,0.9980469
1748117099650,43,Left,2.085592,0.1046343,358.0527,0.9980469
1748117099661,44,Left,2.511268,359.5636,358.069,0.9980469
1748117099661,44,Left,2.511268,359.5636,358.069,0.9980469
1748117099673,45,Left,2.505349,359.5625,358.0706,0.9980469
1748117099673,45,Left,2.505349,359.5625,358.0706,0.9980469
1748117099684,46,Left,2.500498,359.5613,358.0689,0.9980469
1748117099684,46,Left,2.500498,359.5613,358.0689,0.9980469
1748117099695,47,Left,2.506711,359.5594,358.0716,0.9980469
1748117099695,47,Left,2.506711,359.5594,358.0716,0.9980469
1748117099695,47,Left,2.506711,359.5594,358.0716,0.9980469
1748117099706,48,Left,2.505219,359.5563,358.0739,0.9980469
1748117099706,48,Left,2.505219,359.5563,358.0739,0.9980469
1748117099717,49,Left,2.505251,359.5566,358.074,0.9980469
1748117099717,49,Left,2.505251,359.5566,358.074,0.9980469
1748117099728,50,Left,2.369912,359.5626,358.0807,0.9980469
1748117099728,50,Left,2.369912,359.5626,358.0807,0.9980469
1748117099739,51,Left,2.369648,359.566,358.0826,0.9980469
1748117099739,51,Left,2.369648,359.566,358.0826,0.9980469
1748117099739,51,Left,2.369648,359.566,358.0826,0.9980469
1748117099751,52,Left,2.372325,359.5688,358.0841,0.9980469
1748117099751,52,Left,2.372325,359.5688,358.0841,0.9980469
1748117099761,53,Left,2.209518,359.5825,358.0864,0.9980469
1748117099761,53,Left,2.209518,359.5825,358.0864,0.9980469
1748117099773,54,Left,2.214945,359.5835,358.0869,0.9980469
1748117099773,54,Left,2.214945,359.5835,358.0869,0.9980469
1748117099784,55,Left,2.237634,359.5806,358.0834,0.9980469
1748117099784,55,Left,2.237634,359.5806,358.0834,0.9980469
1748117099794,56,Left,2.240573,359.5811,358.0835,0.9980469
1748117099796,56,Left,2.240573,359.5811,358.0835,0.9980469
1748117099796,56,Left,2.240573,359.5811,358.0835,0.9980469
1748117099806,57,Left,2.238881,359.5761,358.0891,0.9980469
1748117099806,57,Left,2.238881,359.5761,358.0891,0.9980469
1748117099817,58,Left,2.227233,359.5753,358.0917,0.9980469
1748117099817,58,Left,2.227233,359.5753,358.0917,0.9980469
1748117099829,59,Left,2.202425,359.5794,358.0857,0.9980469
1748117099829,59,Left,2.202425,359.5794,358.0857,0.9980469
1748117099840,60,Left,2.194065,359.5742,358.0766,0.9980469
1748117099840,60,Left,2.194065,359.5742,358.0766,0.9980469
1748117099840,60,Left,2.194065,359.5742,358.0766,0.9980469
1748117099851,61,Left,2.217272,359.6374,358.0664,0.9980469
1748117099852,61,Left,2.217272,359.6374,358.0664,0.9980469
1748117099862,62,Left,2.219023,359.6366,358.0657,0.9980469
1748117099862,62,Left,2.219023,359.6366,358.0657,0.9980469
1748117099873,63,Left,2.233039,359.6367,358.0704,0.9980469
1748117099873,63,Left,2.233039,359.6367,358.0704,0.9980469
1748117099884,64,Left,2.291196,359.7679,358.0734,0.9980469
1748117099884,64,Left,2.291196,359.7679,358.0734,0.9980469
1748117099884,64,Left,2.291196,359.7679,358.0734,0.9980469
1748117099896,65,Left,2.310197,359.765,358.0865,0.9980469
1748117099896,65,Left,2.310197,359.765,358.0865,0.9980469
1748117099907,66,Left,2.322464,359.7594,358.0903,0.9980469
1748117099907,66,Left,2.322464,359.7594,358.0903,0.9980469
1748117099917,67,Left,2.32552,359.7578,358.0942,0.9980469
1748117099917,67,Left,2.32552,359.7578,358.0942,0.9980469
1748117099930,68,Left,2.323783,359.7563,358.09,0.9980469
1748117099930,68,Left,2.323783,359.7563,358.09,0.9980469
1748117099940,69,Left,2.313931,359.756,358.0944,0.9980469
1748117099940,69,Left,2.313931,359.756,358.0944,0.9980469
1748117099941,69,Left,2.313931,359.756,358.0944,0.9980469
1748117099952,70,Left,1.843795,1.40851,358.0291,0.9980469
1748117099952,70,Left,1.843795,1.40851,358.0291,0.9980469
1748117099963,71,Left,1.830077,1.406215,358.0291,0.9980469
1748117099963,71,Left,1.830077,1.406215,358.0291,0.9980469
1748117099973,72,Left,1.823012,1.402762,358.028,0.9980469
1748117099973,72,Left,1.823012,1.402762,358.028,0.9980469
1748117099985,73,Left,1.81295,1.400137,358.0276,0.9980469
1748117099985,73,Left,1.81295,1.400137,358.0276,0.9980469
1748117099985,73,Left,1.81295,1.400137,358.0276,0.9980469
1748117099996,74,Left,0.3789279,3.895251,357.9261,0.9980469
1748117099996,74,Left,0.3789279,3.895251,357.9261,0.9980469
1748117100007,75,Left,0.3726618,3.892651,357.9286,0.9980469
1748117100007,75,Left,0.3726618,3.892651,357.9286,0.9980469
1748117100019,76,Left,0.3672361,3.897297,357.9265,0.9980469
1748117100019,76,Left,0.3672361,3.897297,357.9265,0.9980469
1748117100030,77,Left,359.6215,3.944479,357.9274,0.9980469
1748117100030,77,Left,359.6215,3.944479,357.9274,0.9980469
1748117100030,77,Left,359.6215,3.944479,357.9274,0.9980469
1748117100041,78,Left,359.6068,3.943167,357.9218,0.9980469
1748117100041,78,Left,359.6068,3.943167,357.9218,0.9980469
1748117100051,79,Left,359.5977,3.943997,357.9192,0.9980469
1748117100051,79,Left,359.5977,3.943997,357.9192,0.9980469
1748117100062,80,Left,359.6197,4.719533,357.8751,0.9980469
1748117100063,80,Left,359.6197,4.719533,357.8751,0.9980469
1748117100074,81,Left,359.6107,4.727305,357.8714,0.9980469
1748117100074,81,Left,359.6107,4.727305,357.8714,0.9980469
1748117100085,82,Left,359.5992,4.729201,357.8754,0.9980469
1748117100085,82,Left,359.5992,4.729201,357.8754,0.9980469
1748117100085,82,Left,359.5992,4.729201,357.8754,0.9980469
1748117100095,83,Left,358.8885,5.469944,357.8396,0.9980469
1748117100097,83,Left,358.8885,5.469944,357.8396,0.9980469
1748117100107,84,Left,358.8776,5.479496,357.8334,0.9980469
1748117100107,84,Left,358.8776,5.479496,357.8334,0.9980469
1748117100119,85,Left,359.0275,14.22479,357.4894,0.9980469
1748117100119,85,Left,359.0275,14.22479,357.4894,0.9980469
1748117100130,86,Left,359.0288,14.23723,357.4727,0.9980469
1748117100130,86,Left,359.0288,14.23723,357.4727,0.9980469
1748117100130,86,Left,359.0288,14.23723,357.4727,0.9980469
1748117100141,87,Left,359.0339,14.24847,357.4749,0.9980469
1748117100141,87,Left,359.0339,14.24847,357.4749,0.9980469
1748117100151,88,Left,359.0523,14.25507,357.4753,0.9980469
1748117100151,88,Left,359.0523,14.25507,357.4753,0.9980469
1748117100164,89,Left,358.3882,21.79464,357.2458,0.9980469
1748117100164,89,Left,358.3882,21.79464,357.2458,0.9980469
1748117100174,90,Left,358.4041,21.7979,357.2509,0.9980469
1748117100174,90,Left,358.4041,21.7979,357.2509,0.9980469
1748117100186,91,Left,358.6558,26.61557,357.1378,0.9980469
1748117100186,91,Left,358.6558,26.61557,357.1378,0.9980469
1748117100186,91,Left,358.6558,26.61557,357.1378,0.9980469
1748117100197,92,Left,358.6631,26.61614,357.1454,0.9980469
1748117100197,92,Left,358.6631,26.61614,357.1454,0.9980469
1748117100207,93,Left,358.6668,26.60394,357.1543,0.9980469
1748117100209,93,Left,358.6668,26.60394,357.1543,0.9980469
1748117100219,94,Left,0.9802673,29.15685,357.0946,0.9980469
1748117100219,94,Left,0.9802673,29.15685,357.0946,0.9980469
1748117100230,95,Left,0.9832438,29.14538,357.0979,0.9980469
1748117100231,95,Left,0.9832438,29.14538,357.0979,0.9980469
1748117100231,95,Left,0.9832438,29.14538,357.0979,0.9980469
1748117100241,96,Left,0.9865343,29.13054,357.0947,0.9980469
1748117100241,96,Left,0.9865343,29.13054,357.0947,0.9980469
1748117100252,97,Left,3.325772,29.13611,357.0847,0.9980469
1748117100252,97,Left,3.325772,29.13611,357.0847,0.9980469
1748117100264,98,Left,3.327099,29.12045,357.0811,0.9980469
1748117100264,98,Left,3.327099,29.12045,357.0811,0.9980469
1748117100274,99,Left,3.329833,29.11303,357.0796,0.9980469
1748117100274,99,Left,3.329833,29.11303,357.0796,0.9980469
1748117100274,99,Left,3.329833,29.11303,357.0796,0.9980469
1748117100286,100,Left,5.224419,28.86819,357.0771,0.9980469
1748117100286,100,Left,5.224419,28.86819,357.0771,0.9980469
1748117100297,101,Left,5.224367,28.86922,357.0822,0.9980469
1748117100297,101,Left,5.224367,28.86922,357.0822,0.9980469
1748117100307,102,Left,5.228689,28.86462,357.0915,0.9980469
1748117100309,102,Left,5.228689,28.86462,357.0915,0.9980469
1748117100319,103,Left,5.227146,28.86458,357.0958,0.9980469
1748117100319,103,Left,5.227146,28.86458,357.0958,0.9980469
1748117100330,104,Left,8.231878,25.79728,357.1416,0.9980469
1748117100331,104,Left,8.231878,25.79728,357.1416,0.9980469
1748117100331,104,Left,8.231878,25.79728,357.1416,0.9980469
1748117100342,105,Left,8.231564,25.7979,357.1467,0.9980469
1748117100342,105,Left,8.231564,25.7979,357.1467,0.9980469
1748117100353,106,Left,11.58118,17.62666,357.3431,0.9980469
1748117100353,106,Left,11.58118,17.62666,357.3431,0.9980469
1748117100364,107,Left,11.57419,17.63357,357.3539,0.9980469
1748117100364,107,Left,11.57419,17.63357,357.3539,0.9980469
1748117100375,108,Left,11.57276,17.63775,357.3661,0.9980469
1748117100375,108,Left,11.57276,17.63775,357.3661,0.9980469
1748117100375,108,Left,11.57276,17.63775,357.3661,0.9980469
1748117100386,109,Left,11.56727,17.64086,357.3738,0.9980469
1748117100386,109,Left,11.56727,17.64086,357.3738,0.9980469
1748117100397,110,Left,12.0366,9.110003,357.6719,0.9980469
1748117100397,110,Left,12.0366,9.110003,357.6719,0.9980469
1748117100408,111,Left,12.03256,9.105451,357.6756,0.9980469
1748117100408,111,Left,12.03256,9.105451,357.6756,0.9980469
1748117100420,112,Left,11.92059,1.849097,357.9729,0.9980469
1748117100420,112,Left,11.92059,1.849097,357.9729,0.9980469
1748117100431,113,Left,11.92222,1.838622,357.9738,0.9980469
1748117100431,113,Left,11.92222,1.838622,357.9738,0.9980469
1748117100432,113,Left,11.92222,1.838622,357.9738,0.9980469
1748117100442,114,Left,11.91906,1.823656,357.9743,0.9980469
1748117100442,114,Left,11.91906,1.823656,357.9743,0.9980469
1748117100452,115,Left,11.54466,353.3198,358.3555,0.9980469
1748117100452,115,Left,11.54466,353.3198,358.3555,0.9980469
1748117100464,116,Left,11.54529,353.3069,358.3555,0.9980469
1748117100464,116,Left,11.54529,353.3069,358.3555,0.9980469
1748117100475,117,Left,11.54628,353.2977,358.3537,0.9980469
1748117100475,117,Left,11.54628,353.2977,358.3537,0.9980469
1748117100475,117,Left,11.54628,353.2977,358.3537,0.9980469
1748117100486,118,Left,11.54887,353.2902,358.3572,0.9980469
1748117100486,118,Left,11.54887,353.2902,358.3572,0.9980469
1748117100497,119,Left,9.73684,347.4017,358.6676,0.9980469
1748117100497,119,Left,9.73684,347.4017,358.6676,0.9980469
1748117100509,120,Left,9.735504,347.4027,358.6666,0.9980469
1748117100509,120,Left,9.735504,347.4027,358.6666,0.9980469
1748117100520,121,Left,8.418529,341.8366,358.9648,0.9980469
1748117100520,121,Left,8.418529,341.8366,358.9648,0.9980469
1748117100520,121,Left,8.418529,341.8366,358.9648,0.9980469
1748117100531,122,Left,8.417626,341.8397,358.9669,0.9980469
1748117100531,122,Left,8.417626,341.8397,358.9669,0.9980469
1748117100542,123,Left,8.408868,341.8445,358.969,0.9980469
1748117100542,123,Left,8.408868,341.8445,358.969,0.9980469
1748117100553,124,Left,6.267585,337.5159,359.202,0.9980469
1748117100553,124,Left,6.267585,337.5159,359.202,0.9980469
1748117100564,125,Left,6.263995,337.5223,359.21,0.9980469
1748117100564,125,Left,6.263995,337.5223,359.21,0.9980469
1748117100564,125,Left,6.263995,337.5223,359.21,0.9980469
1748117100576,126,Left,6.265582,337.5287,359.2075,0.9980469
1748117100576,126,Left,6.265582,337.5287,359.2075,0.9980469
1748117100587,127,Left,6.259786,334.5545,359.3595,0.9980469
1748117100587,127,Left,6.259786,334.5545,359.3595,0.9980469
1748117100597,128,Left,6.254459,334.559,359.3654,0.9980469
1748117100597,128,Left,6.254459,334.559,359.3654,0.9980469
1748117100609,129,Left,6.254282,334.5671,359.3589,0.9980469
1748117100609,129,Left,6.254282,334.5671,359.3589,0.9980469
1748117100620,130,Left,6.286654,334.5678,359.3605,0.9980469
1748117100620,130,Left,6.286654,334.5678,359.3605,0.9980469
1748117100621,130,Left,6.286654,334.5678,359.3605,0.9980469
1748117100631,131,Left,6.286391,334.5702,359.3568,0.9980469
1748117100631,131,Left,6.286391,334.5702,359.3568,0.9980469
1748117100643,132,Left,6.289855,334.5761,359.3596,0.9980469
1748117100643,132,Left,6.289855,334.5761,359.3596,0.9980469
1748117100654,133,Left,6.286648,334.5777,359.3549,0.9980469
1748117100654,133,Left,6.286648,334.5777,359.3549,0.9980469
1748117100664,134,Left,6.535735,334.7306,359.3449,0.9980469
1748117100665,134,Left,6.535735,334.7306,359.3449,0.9980469
1748117100665,134,Left,6.535735,334.7306,359.3449,0.9980469
1748117100676,135,Left,6.538448,334.7292,359.3424,0.9980469
1748117100676,135,Left,6.538448,334.7292,359.3424,0.9980469
1748117100687,136,Left,6.452873,346.2647,358.7347,0.9980469
1748117100687,136,Left,6.452873,346.2647,358.7347,0.9980469
