unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748117011480,24,Left,0.4930908,0.8255568,357.9517,0.9980469
1748117011481,24,Left,0.4930908,0.8255568,357.9517,0.9980469
1748117011490,25,Left,0.4871258,0.8246553,357.9514,0.9980469
1748117011490,25,Left,0.4871258,0.8246553,357.9514,0.9980469
1748117011490,25,Left,0.4871258,0.8246553,357.9514,0.9980469
1748117011501,26,Left,0.4696399,0.822143,357.955,0.9980469
1748117011501,26,Left,0.4696399,0.822143,357.955,0.9980469
1748117011511,27,Left,0.4541946,0.8217437,357.9667,0.9980469
1748117011511,27,Left,0.4541946,0.8217437,357.9667,0.9980469
1748117011524,28,Left,0.7576442,358.68,358.098,0.9980469
1748117011524,28,Left,0.7576442,358.68,358.098,0.9980469
1748117011536,29,Left,0.7448881,358.6837,358.092,0.9980469
1748117011536,29,Left,0.7448881,358.6837,358.092,0.9980469
1748117011536,29,Left,0.7448881,358.6837,358.092,0.9980469
1748117011547,30,Left,0.8319795,358.3342,358.0996,0.9980469
1748117011547,30,Left,0.8319795,358.3342,358.0996,0.9980469
1748117011559,31,Left,0.8298945,358.3427,358.0965,0.9980469
1748117011559,31,Left,0.8298945,358.3427,358.0965,0.9980469
1748117011570,32,Left,0.8436494,358.3481,358.0984,0.9980469
1748117011571,32,Left,0.8436494,358.3481,358.0984,0.9980469
1748117011571,32,Left,0.8436494,358.3481,358.0984,0.9980469
1748117011582,33,Left,0.8497813,358.355,358.1034,0.9980469
1748117011582,33,Left,0.8497813,358.355,358.1034,0.9980469
1748117011593,34,Left,0.863323,358.3506,358.1133,0.9980469
1748117011593,34,Left,0.863323,358.3506,358.1133,0.9980469
1748117011605,35,Left,0.8731182,358.3514,358.1188,0.9980469
1748117011606,35,Left,0.8731182,358.3514,358.1188,0.9980469
1748117011616,36,Left,0.9162522,358.1259,358.1367,0.9980469
1748117011616,36,Left,0.9162522,358.1259,358.1367,0.9980469
1748117011616,36,Left,0.9162522,358.1259,358.1367,0.9980469
1748117011628,37,Left,0.923461,358.1165,358.1439,0.9980469
1748117011628,37,Left,0.923461,358.1165,358.1439,0.9980469
1748117011638,38,Left,0.9337609,358.113,358.1463,0.9980469
1748117011638,38,Left,0.9337609,358.113,358.1463,0.9980469
1748117011650,39,Left,0.941045,358.0943,358.1398,0.9980469
1748117011651,39,Left,0.941045,358.0943,358.1398,0.9980469
1748117011651,39,Left,0.941045,358.0943,358.1398,0.9980469
1748117011661,40,Left,1.431121,358.0709,358.135,0.9980469
1748117011661,40,Left,1.431121,358.0709,358.135,0.9980469
1748117011673,41,Left,1.436308,358.061,358.1319,0.9980469
1748117011673,41,Left,1.436308,358.061,358.1319,0.9980469
1748117011684,42,Left,1.438732,358.0521,358.1277,0.9980469
1748117011684,42,Left,1.438732,358.0521,358.1277,0.9980469
1748117011695,43,Left,1.442639,358.0609,358.1193,0.9980469
1748117011695,43,Left,1.442639,358.0609,358.1193,0.9980469
1748117011695,43,Left,1.442639,358.0609,358.1193,0.9980469
1748117011706,44,Left,1.445932,358.0567,358.119,0.9980469
1748117011706,44,Left,1.445932,358.0567,358.119,0.9980469
1748117011717,45,Left,1.621565,358.1964,358.1016,0.9980469
1748117011717,45,Left,1.621565,358.1964,358.1016,0.9980469
1748117011728,46,Left,1.622167,358.2022,358.0989,0.9980469
1748117011730,46,Left,1.622167,358.2022,358.0989,0.9980469
1748117011740,47,Left,1.62876,358.2039,358.0966,0.9980469
1748117011741,47,Left,1.62876,358.2039,358.0966,0.9980469
1748117011741,47,Left,1.62876,358.2039,358.0966,0.9980469
1748117011751,48,Left,1.630021,358.2123,358.0911,0.9980469
1748117011751,48,Left,1.630021,358.2123,358.0911,0.9980469
1748117011762,49,Left,1.635033,358.2757,358.0862,0.9980469
1748117011762,49,Left,1.635033,358.2757,358.0862,0.9980469
1748117011774,50,Left,1.638105,358.2824,358.0815,0.9980469
1748117011774,50,Left,1.638105,358.2824,358.0815,0.9980469
1748117011785,51,Left,1.774401,358.291,358.0774,0.9980469
1748117011785,51,Left,1.774401,358.291,358.0774,0.9980469
1748117011795,52,Left,1.781376,358.3004,358.0744,0.9980469
1748117011795,52,Left,1.781376,358.3004,358.0744,0.9980469
1748117011795,52,Left,1.781376,358.3004,358.0744,0.9980469
1748117011806,53,Left,1.781891,358.3084,358.0703,0.9980469
1748117011808,53,Left,1.781891,358.3084,358.0703,0.9980469
1748117011818,54,Left,1.782558,358.3163,358.0665,0.9980469
1748117011818,54,Left,1.782558,358.3163,358.0665,0.9980469
1748117011829,55,Left,1.643498,358.2903,358.0636,0.9980469
1748117011829,55,Left,1.643498,358.2903,358.0636,0.9980469
1748117011840,56,Left,1.643135,358.2937,358.0611,0.9980469
1748117011841,56,Left,1.643135,358.2937,358.0611,0.9980469
1748117011841,56,Left,1.643135,358.2937,358.0611,0.9980469
1748117011852,57,Left,1.696744,358.2597,358.0586,0.9980469
1748117011852,57,Left,1.696744,358.2597,358.0586,0.9980469
1748117011863,58,Left,1.699091,358.2596,358.0533,0.9980469
1748117011863,58,Left,1.699091,358.2596,358.0533,0.9980469
1748117011874,59,Left,1.702122,358.2564,358.0541,0.9980469
1748117011874,59,Left,1.702122,358.2564,358.0541,0.9980469
1748117011885,60,Left,1.648801,358.2554,358.0456,0.9980469
1748117011886,60,Left,1.648801,358.2554,358.0456,0.9980469
1748117011886,60,Left,1.648801,358.2554,358.0456,0.9980469
1748117011897,61,Left,1.649781,358.2551,358.0381,0.9980469
1748117011897,61,Left,1.649781,358.2551,358.0381,0.9980469
1748117011907,62,Left,1.652272,358.2517,358.0352,0.9980469
1748117011907,62,Left,1.652272,358.2517,358.0352,0.9980469
1748117011918,63,Left,1.657644,358.2444,358.0296,0.9980469
1748117011918,63,Left,1.657644,358.2444,358.0296,0.9980469
1748117011930,64,Left,1.574705,358.0294,358.0393,0.9980469
1748117011930,64,Left,1.574705,358.0294,358.0393,0.9980469
1748117011941,65,Left,1.578262,358.032,358.0312,0.9980469
1748117011941,65,Left,1.578262,358.032,358.0312,0.9980469
1748117011942,65,Left,1.578262,358.032,358.0312,0.9980469
1748117011952,66,Left,1.512895,358.0313,358.0333,0.9980469
1748117011953,66,Left,1.512895,358.0313,358.0333,0.9980469
1748117011963,67,Left,1.509957,358.035,358.0297,0.9980469
1748117011963,67,Left,1.509957,358.035,358.0297,0.9980469
1748117011974,68,Left,1.510911,358.0381,358.026,0.9980469
1748117011974,68,Left,1.510911,358.0381,358.026,0.9980469
1748117011984,69,Left,1.513176,358.0473,358.0199,0.9980469
1748117011986,69,Left,1.513176,358.0473,358.0199,0.9980469
1748117011986,69,Left,1.513176,358.0473,358.0199,0.9980469
1748117011996,70,Left,359.7644,356.0953,358.1445,0.9980469
1748117011997,70,Left,359.7644,356.0953,358.1445,0.9980469
1748117012008,71,Left,359.7675,356.0974,358.1366,0.9980469
1748117012008,71,Left,359.7675,356.0974,358.1366,0.9980469
1748117012018,72,Left,359.7706,356.1053,358.1298,0.9980469
1748117012018,72,Left,359.7706,356.1053,358.1298,0.9980469
1748117012030,73,Left,359.4876,355.5417,358.166,0.9980469
1748117012030,73,Left,359.4876,355.5417,358.166,0.9980469
1748117012041,74,Left,359.4878,355.5487,358.1638,0.9980469
1748117012041,74,Left,359.4878,355.5487,358.1638,0.9980469
1748117012041,74,Left,359.4878,355.5487,358.1638,0.9980469
1748117012053,75,Left,359.4478,355.5528,358.1633,0.9980469
1748117012053,75,Left,359.4478,355.5528,358.1633,0.9980469
1748117012063,76,Left,359.4464,355.5604,358.1561,0.9980469
1748117012063,76,Left,359.4464,355.5604,358.1561,0.9980469
1748117012074,77,Left,359.4497,355.563,358.1459,0.9980469
1748117012074,77,Left,359.4497,355.563,358.1459,0.9980469
1748117012086,78,Left,359.4514,355.5661,358.1401,0.9980469
1748117012086,78,Left,359.4514,355.5661,358.1401,0.9980469
1748117012086,78,Left,359.4514,355.5661,358.1401,0.9980469
1748117012096,79,Left,359.4234,356.0158,358.1106,0.9980469
1748117012096,79,Left,359.4234,356.0158,358.1106,0.9980469
1748117012108,80,Left,359.4102,356.0117,358.1118,0.9980469
1748117012108,80,Left,359.4102,356.0117,358.1118,0.9980469
1748117012119,81,Left,359.3107,356.1308,358.1048,0.9980469
1748117012119,81,Left,359.3107,356.1308,358.1048,0.9980469
1748117012130,82,Left,359.3006,356.1243,358.0942,0.9980469
1748117012131,82,Left,359.3006,356.1243,358.0942,0.9980469
1748117012131,82,Left,359.3006,356.1243,358.0942,0.9980469
1748117012142,83,Left,359.2989,356.1249,358.0802,0.9980469
1748117012142,83,Left,359.2989,356.1249,358.0802,0.9980469
1748117012152,84,Left,359.2964,356.1208,358.075,0.9980469
1748117012152,84,Left,359.2964,356.1208,358.075,0.9980469
1748117012163,85,Left,359.3436,356.1205,358.0751,0.9980469
1748117012163,85,Left,359.3436,356.1205,358.0751,0.9980469
1748117012175,86,Left,359.3568,356.1169,358.0877,0.9980469
1748117012175,86,Left,359.3568,356.1169,358.0877,0.9980469
1748117012175,86,Left,359.3568,356.1169,358.0877,0.9980469
1748117012186,87,Left,359.3345,356.2571,358.0926,0.9980469
1748117012186,87,Left,359.3345,356.2571,358.0926,0.9980469
1748117012197,88,Left,359.3505,356.2524,358.0973,0.9980469
1748117012198,88,Left,359.3505,356.2524,358.0973,0.9980469
1748117012208,89,Left,359.3556,356.2486,358.092,0.9980469
1748117012209,89,Left,359.3556,356.2486,358.092,0.9980469
1748117012219,90,Left,359.4088,356.2935,358.0795,0.9980469
1748117012220,90,Left,359.4088,356.2935,358.0795,0.9980469
1748117012231,91,Left,359.4089,356.2871,358.0746,0.9980469
1748117012231,91,Left,359.4089,356.2871,358.0746,0.9980469
1748117012231,91,Left,359.4089,356.2871,358.0746,0.9980469
1748117012241,92,Left,359.4088,356.2924,358.0733,0.9980469
1748117012242,92,Left,359.4088,356.2924,358.0733,0.9980469
1748117012253,93,Left,359.4041,356.2879,358.0694,0.9980469
1748117012253,93,Left,359.4041,356.2879,358.0694,0.9980469
1748117012263,94,Left,359.2301,356.2929,358.0723,0.9980469
1748117012263,94,Left,359.2301,356.2929,358.0723,0.9980469
1748117012274,95,Left,359.2306,356.2904,358.0706,0.9980469
1748117012274,95,Left,359.2306,356.2904,358.0706,0.9980469
1748117012285,96,Left,359.2298,356.3026,358.0709,0.9980469
1748117012285,96,Left,359.2298,356.3026,358.0709,0.9980469
1748117012287,96,Left,359.2298,356.3026,358.0709,0.9980469
1748117012297,97,Left,359.2316,356.3063,358.0759,0.9980469
1748117012297,97,Left,359.2316,356.3063,358.0759,0.9980469
1748117012309,98,Left,359.2299,356.3059,358.0708,0.9980469
1748117012309,98,Left,359.2299,356.3059,358.0708,0.9980469
1748117012319,99,Left,359.2357,356.3066,358.0706,0.9980469
