unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748118189416,25,Right,356.0795,348.603,359.4081,0.9980469
1748118189416,25,Right,356.0795,348.603,359.4081,0.9980469
1748118189422,26,Right,356.076,348.6011,359.4061,0.9980469
1748118189422,26,Right,356.076,348.6011,359.4061,0.9980469
1748118189424,26,Right,356.076,348.6011,359.4061,0.9980469
1748118189438,27,Right,356.0777,348.6078,359.4101,0.9980469
1748118189449,28,Right,356.0783,348.5016,359.4206,0.9980469
1748118189449,28,Right,356.0783,348.5016,359.4206,0.9980469
1748118189450,28,Right,356.0783,348.5016,359.4206,0.9980469
1748118189461,29,Right,356.0806,348.5002,359.4219,0.9980469
1748118189461,29,Right,356.0806,348.5002,359.4219,0.9980469
1748118189472,30,Right,356.0781,348.5026,359.4231,0.9980469
1748118189472,30,Right,356.0781,348.5026,359.4231,0.9980469
1748118189483,31,Right,355.7762,348.0885,359.4798,0.9980469
1748118189485,31,Right,355.7762,348.0885,359.4798,0.9980469
1748118189485,31,Right,355.7762,348.0885,359.4798,0.9980469
1748118189496,32,Right,355.7744,348.0916,359.4773,0.9980469
1748118189496,32,Right,355.7744,348.0916,359.4773,0.9980469
1748118189506,33,Right,355.8769,348.0881,359.4771,0.9980469
1748118189506,33,Right,355.8769,348.0881,359.4771,0.9980469
1748118189518,34,Right,355.8793,348.0905,359.4801,0.9980469
1748118189518,34,Right,355.8793,348.0905,359.4801,0.9980469
1748118189518,34,Right,355.8793,348.0905,359.4801,0.9980469
1748118189530,35,Right,355.8763,348.088,359.48,0.9980469
1748118189530,35,Right,355.8763,348.088,359.48,0.9980469
1748118189542,36,Right,355.8743,348.0893,359.4807,0.9980469
1748118189542,36,Right,355.8743,348.0893,359.4807,0.9980469
1748118189552,37,Right,355.7765,348.4878,359.4253,0.9980469
1748118189552,37,Right,355.7765,348.4878,359.4253,0.9980469
1748118189563,38,Right,355.7809,348.4868,359.4254,0.9980469
1748118189564,38,Right,355.7809,348.4868,359.4254,0.9980469
1748118189564,38,Right,355.7809,348.4868,359.4254,0.9980469
1748118189574,39,Right,355.8842,348.5761,359.4132,0.9980469
1748118189574,39,Right,355.8842,348.5761,359.4132,0.9980469
1748118189586,40,Right,355.8809,348.5742,359.4108,0.9980469
1748118189586,40,Right,355.8809,348.5742,359.4108,0.9980469
1748118189597,41,Right,355.8794,348.572,359.4111,0.9980469
1748118189597,41,Right,355.8794,348.572,359.4111,0.9980469
1748118189609,42,Right,355.8819,348.5733,359.4106,0.9980469
1748118189609,42,Right,355.8819,348.5733,359.4106,0.9980469
1748118189609,42,Right,355.8819,348.5733,359.4106,0.9980469
1748118189620,43,Right,356.9898,348.558,359.4112,0.9980469
1748118189621,43,Right,356.9898,348.558,359.4112,0.9980469
1748118189632,44,Right,356.9917,348.5655,359.4137,0.9980469
1748118189632,44,Right,356.9917,348.5655,359.4137,0.9980469
1748118189643,45,Right,356.9919,348.5635,359.4122,0.9980469
1748118189643,45,Right,356.9919,348.5635,359.4122,0.9980469
1748118189653,46,Right,356.9871,348.3736,359.4382,0.9980469
1748118189653,46,Right,356.9871,348.3736,359.4382,0.9980469
1748118189653,46,Right,356.9871,348.3736,359.4382,0.9980469
1748118189664,47,Right,356.9882,348.3701,359.435,0.9980469
1748118189666,47,Right,356.9882,348.3701,359.435,0.9980469
1748118189677,48,Right,356.5456,348.3753,359.4401,0.9980469
1748118189677,48,Right,356.5456,348.3753,359.4401,0.9980469
1748118189688,49,Right,356.5451,348.3793,359.4371,0.9980469
1748118189688,49,Right,356.5451,348.3793,359.4371,0.9980469
1748118189699,50,Right,356.5443,348.3766,359.4411,0.9980469
1748118189699,50,Right,356.5443,348.3766,359.4411,0.9980469
1748118189699,50,Right,356.5443,348.3766,359.4411,0.9980469
1748118189710,51,Right,356.5466,348.3788,359.4394,0.9980469
1748118189710,51,Right,356.5466,348.3788,359.4394,0.9980469
1748118189721,52,Right,356.3095,348.503,359.4179,0.9980469
1748118189721,52,Right,356.3095,348.503,359.4179,0.9980469
1748118189733,53,Right,356.3091,348.5,359.4199,0.9980469
1748118189733,53,Right,356.3091,348.5,359.4199,0.9980469
1748118189744,54,Right,356.3052,348.601,359.4105,0.9980469
1748118189744,54,Right,356.3052,348.601,359.4105,0.9980469
1748118189744,54,Right,356.3052,348.601,359.4105,0.9980469
1748118189754,55,Right,356.3055,348.5953,359.41,0.9980469
1748118189754,55,Right,356.3055,348.5953,359.41,0.9980469
1748118189765,56,Right,356.3077,348.5973,359.4093,0.9980469
1748118189766,56,Right,356.3077,348.5973,359.4093,0.9980469
1748118189777,57,Right,356.3105,348.5958,359.4073,0.9980469
1748118189777,57,Right,356.3105,348.5958,359.4073,0.9980469
1748118189788,58,Right,355.8261,348.6002,359.4085,0.9980469
1748118189788,58,Right,355.8261,348.6002,359.4085,0.9980469
1748118189788,58,Right,355.8261,348.6002,359.4085,0.9980469
1748118189799,59,Right,355.8235,348.6016,359.4084,0.9980469
1748118189799,59,Right,355.8235,348.6016,359.4084,0.9980469
1748118189809,60,Right,355.8245,348.6006,359.4088,0.9980469
1748118189811,60,Right,355.8245,348.6006,359.4088,0.9980469
1748118189822,61,Right,355.8245,348.5997,359.4084,0.9980469
1748118189822,61,Right,355.8245,348.5997,359.4084,0.9980469
1748118189832,62,Right,355.8248,348.6007,359.4088,0.9980469
1748118189833,62,Right,355.8248,348.6007,359.4088,0.9980469
1748118189843,63,Right,356.1656,348.5375,359.419,0.9980469
1748118189844,63,Right,356.1656,348.5375,359.419,0.9980469
1748118189844,63,Right,356.1656,348.5375,359.419,0.9980469
1748118189854,64,Right,356.1703,348.5372,359.4173,0.9980469
1748118189856,64,Right,356.1703,348.5372,359.4173,0.9980469
1748118189866,65,Right,356.1698,348.5329,359.4171,0.9980469
1748118189866,65,Right,356.1698,348.5329,359.4171,0.9980469
1748118189877,66,Right,356.1679,348.5365,359.4175,0.9980469
1748118189877,66,Right,356.1679,348.5365,359.4175,0.9980469
1748118189887,67,Right,356.1941,348.3633,359.4396,0.9980469
1748118189889,67,Right,356.1941,348.3633,359.4396,0.9980469
1748118189889,67,Right,356.1941,348.3633,359.4396,0.9980469
1748118189900,68,Right,356.1917,348.3586,359.4397,0.9980469
1748118189900,68,Right,356.1917,348.3586,359.4397,0.9980469
1748118189910,69,Right,356.4677,347.9677,359.4965,0.9980469
1748118189911,69,Right,356.4677,347.9677,359.4965,0.9980469
1748118189921,70,Right,356.4758,347.9646,359.4935,0.9980469
1748118189922,70,Right,356.4758,347.9646,359.4935,0.9980469
1748118189933,71,Right,356.474,347.965,359.4957,0.9980469
1748118189933,71,Right,356.474,347.965,359.4957,0.9980469
1748118189943,72,Right,356.4729,347.9631,359.4963,0.9980469
1748118189945,72,Right,356.4729,347.9631,359.4963,0.9980469
1748118189945,72,Right,356.4729,347.9631,359.4963,0.9980469
1748118189955,73,Right,356.2225,347.9713,359.4956,0.9980469
1748118189955,73,Right,356.2225,347.9713,359.4956,0.9980469
1748118189965,74,Right,356.2188,347.9695,359.4961,0.9980469
1748118189967,74,Right,356.2188,347.9695,359.4961,0.9980469
1748118189977,75,Right,356.4043,348.6233,359.406,0.9980469
1748118189977,75,Right,356.4043,348.6233,359.406,0.9980469
1748118189989,76,Right,356.4067,348.6157,359.4056,0.9980469
1748118189989,76,Right,356.4067,348.6157,359.4056,0.9980469
1748118189989,76,Right,356.4067,348.6157,359.4056,0.9980469
1748118189999,77,Right,356.4077,348.6221,359.4038,0.9980469
1748118190000,77,Right,356.4077,348.6221,359.4038,0.9980469
1748118190011,78,Right,356.4048,348.6222,359.4056,0.9980469
1748118190011,78,Right,356.4048,348.6222,359.4056,0.9980469
1748118190021,79,Right,356.4057,348.6211,359.4057,0.9980469
1748118190021,79,Right,356.4057,348.6211,359.4057,0.9980469
1748118190033,80,Right,356.4023,348.6243,359.4049,0.9980469
1748118190033,80,Right,356.4023,348.6243,359.4049,0.9980469
1748118190033,80,Right,356.4023,348.6243,359.4049,0.9980469
1748118190043,81,Right,356.4103,348.6217,359.4061,0.9980469
1748118190045,81,Right,356.4103,348.6217,359.4061,0.9980469
1748118190055,82,Right,356.6191,348.6179,359.4067,0.9980469
1748118190055,82,Right,356.6191,348.6179,359.4067,0.9980469
1748118190066,83,Right,356.6171,348.6187,359.406,0.9980469
1748118190066,83,Right,356.6171,348.6187,359.406,0.9980469
1748118190078,84,Right,356.616,348.5264,359.4221,0.9980469
1748118190078,84,Right,356.616,348.5264,359.4221,0.9980469
1748118190089,85,Right,356.6179,348.5258,359.4174,0.9980469
1748118190089,85,Right,356.6179,348.5258,359.4174,0.9980469
1748118190089,85,Right,356.6179,348.5258,359.4174,0.9980469
1748118190100,86,Right,356.62,348.5262,359.4173,0.9980469
1748118190100,86,Right,356.62,348.5262,359.4173,0.9980469
1748118190111,87,Right,356.6185,348.5264,359.4202,0.9980469
1748118190112,87,Right,356.6185,348.5264,359.4202,0.9980469
