unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748117182111,13,Right,359.5412,357.7426,357.8949,0.9980469
1748117182111,13,Right,359.5412,357.7426,357.8949,0.9980469
1748117182111,13,Right,359.5412,357.7426,357.8949,0.9980469
1748117182113,13,Right,359.5412,357.7426,357.8949,0.9980469
1748117182113,13,Right,359.5412,357.7426,357.8949,0.9980469
1748117182143,14,Right,359.5492,357.8258,357.8875,0.9980469
1748117182143,14,Right,359.5492,357.8258,357.8875,0.9980469
1748117182143,14,Right,359.5492,357.8258,357.8875,0.9980469
1748117182143,14,Right,359.5492,357.8258,357.8875,0.9980469
1748117182143,14,Right,359.5492,357.8258,357.8875,0.9980469
1748117182143,14,Right,359.5492,357.8258,357.8875,0.9980469
1748117182167,15,Right,359.6248,358.1392,357.8485,0.9980469
1748117182167,15,Right,359.6248,358.1392,357.8485,0.9980469
1748117182167,15,Right,359.6248,358.1392,357.8485,0.9980469
1748117182167,15,Right,359.6248,358.1392,357.8485,0.9980469
1748117182167,15,Right,359.6248,358.1392,357.8485,0.9980469
1748117182197,16,Right,359.5629,358.1389,357.8516,0.9980469
1748117182197,16,Right,359.5629,358.1389,357.8516,0.9980469
1748117182197,16,Right,359.5629,358.1389,357.8516,0.9980469
1748117182199,16,Right,359.5629,358.1389,357.8516,0.9980469
1748117182199,16,Right,359.5629,358.1389,357.8516,0.9980469
1748117182220,17,Right,359.5949,357.8807,357.8592,0.9980469
1748117182220,17,Right,359.5949,357.8807,357.8592,0.9980469
1748117182220,17,Right,359.5949,357.8807,357.8592,0.9980469
1748117182220,17,Right,359.5949,357.8807,357.8592,0.9980469
1748117182221,17,Right,359.5949,357.8807,357.8592,0.9980469
1748117182221,17,Right,359.5949,357.8807,357.8592,0.9980469
1748117182242,18,Right,359.5934,357.8783,357.8515,0.9980469
1748117182242,18,Right,359.5934,357.8783,357.8515,0.9980469
1748117182242,18,Right,359.5934,357.8783,357.8515,0.9980469
1748117182242,18,Right,359.5934,357.8783,357.8515,0.9980469
1748117182264,19,Right,359.6207,357.8727,357.8705,0.9980469
1748117182264,19,Right,359.6207,357.8727,357.8705,0.9980469
1748117182264,19,Right,359.6207,357.8727,357.8705,0.9980469
1748117182264,19,Right,359.6207,357.8727,357.8705,0.9980469
1748117182286,20,Right,359.6493,357.9792,357.8525,0.9980469
1748117182287,20,Right,359.6493,357.9792,357.8525,0.9980469
1748117182287,20,Right,359.6493,357.9792,357.8525,0.9980469
1748117182287,20,Right,359.6493,357.9792,357.8525,0.9980469
1748117182287,20,Right,359.6493,357.9792,357.8525,0.9980469
1748117182309,21,Right,359.65,357.9833,357.8502,0.9980469
1748117182309,21,Right,359.65,357.9833,357.8502,0.9980469
1748117182309,21,Right,359.65,357.9833,357.8502,0.9980469
1748117182309,21,Right,359.65,357.9833,357.8502,0.9980469
1748117182331,22,Right,359.5568,357.9968,357.8463,0.9980469
1748117182331,22,Right,359.5568,357.9968,357.8463,0.9980469
1748117182331,22,Right,359.5568,357.9968,357.8463,0.9980469
1748117182332,22,Right,359.5568,357.9968,357.8463,0.9980469
1748117182332,22,Right,359.5568,357.9968,357.8463,0.9980469
1748117182353,23,Right,359.5511,357.8844,357.854,0.9980469
1748117182353,23,Right,359.5511,357.8844,357.854,0.9980469
1748117182353,23,Right,359.5511,357.8844,357.854,0.9980469
1748117182353,23,Right,359.5511,357.8844,357.854,0.9980469
1748117182376,24,Right,359.5547,357.8778,357.85,0.9980469
1748117182376,24,Right,359.5547,357.8778,357.85,0.9980469
1748117182376,24,Right,359.5547,357.8778,357.85,0.9980469
1748117182376,24,Right,359.5547,357.8778,357.85,0.9980469
1748117182397,25,Right,359.7087,357.8751,357.8421,0.9980469
1748117182397,25,Right,359.7087,357.8751,357.8421,0.9980469
1748117182397,25,Right,359.7087,357.8751,357.8421,0.9980469
1748117182399,25,Right,359.7087,357.8751,357.8421,0.9980469
1748117182399,25,Right,359.7087,357.8751,357.8421,0.9980469
1748117182420,26,Right,359.7079,357.8756,357.8443,0.9980469
1748117182420,26,Right,359.7079,357.8756,357.8443,0.9980469
1748117182420,26,Right,359.7079,357.8756,357.8443,0.9980469
1748117182421,26,Right,359.7079,357.8756,357.8443,0.9980469
1748117182443,27,Right,359.7108,358.0832,357.8137,0.9980469
1748117182443,27,Right,359.7108,358.0832,357.8137,0.9980469
1748117182443,27,Right,359.7108,358.0832,357.8137,0.9980469
1748117182443,27,Right,359.7108,358.0832,357.8137,0.9980469
1748117182443,27,Right,359.7108,358.0832,357.8137,0.9980469
