unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748117099447,25,Right,1.709951,357.4562,358.141,0.9980469
1748117099447,25,Right,1.709951,357.4562,358.141,0.9980469
1748117099447,25,Right,1.709951,357.4562,358.141,0.9980469
1748117099455,26,Right,1.698476,357.4503,358.1449,0.9980469
1748117099455,26,Right,1.698476,357.4503,358.1449,0.9980469
1748117099455,26,Right,1.698476,357.4503,358.1449,0.9980469
1748117099467,27,Right,1.687636,357.449,358.1506,0.9980469
1748117099467,27,Right,1.687636,357.449,358.1506,0.9980469
1748117099478,28,Right,1.682961,357.4439,358.1566,0.9980469
1748117099490,29,Right,1.670815,357.3495,358.1652,0.9980469
1748117099490,29,Right,1.670815,357.3495,358.1652,0.9980469
1748117099491,29,Right,1.670815,357.3495,358.1652,0.9980469
1748117099501,30,Right,1.664675,357.3449,358.1665,0.9980469
1748117099501,30,Right,1.664675,357.3449,358.1665,0.9980469
1748117099513,31,Right,1.659383,357.3462,358.1672,0.9980469
1748117099513,31,Right,1.659383,357.3462,358.1672,0.9980469
1748117099524,32,Right,1.732691,357.2473,358.1735,0.9980469
1748117099524,32,Right,1.732691,357.2473,358.1735,0.9980469
1748117099526,32,Right,1.732691,357.2473,358.1735,0.9980469
1748117099536,33,Right,1.725273,357.2487,358.1745,0.9980469
1748117099536,33,Right,1.725273,357.2487,358.1745,0.9980469
1748117099548,34,Right,1.721137,357.2538,358.1765,0.9980469
1748117099548,34,Right,1.721137,357.2538,358.1765,0.9980469
1748117099559,35,Right,1.912645,357.0096,358.1857,0.9980469
1748117099560,35,Right,1.912645,357.0096,358.1857,0.9980469
1748117099571,36,Right,1.911483,357.0114,358.1873,0.9980469
1748117099571,36,Right,1.911483,357.0114,358.1873,0.9980469
1748117099572,36,Right,1.911483,357.0114,358.1873,0.9980469
1748117099583,37,Right,1.905091,357.0161,358.1875,0.9980469
1748117099583,37,Right,1.905091,357.0161,358.1875,0.9980469
1748117099593,38,Right,1.899577,357.0149,358.1904,0.9980469
1748117099593,38,Right,1.899577,357.0149,358.1904,0.9980469
1748117099605,39,Right,1.896434,357.0199,358.1954,0.9980469
1748117099605,39,Right,1.896434,357.0199,358.1954,0.9980469
1748117099605,39,Right,1.896434,357.0199,358.1954,0.9980469
1748117099616,40,Right,2.004747,357.0073,358.1929,0.9980469
1748117099616,40,Right,2.004747,357.0073,358.1929,0.9980469
1748117099627,41,Right,1.99744,357.0042,358.1966,0.9980469
1748117099627,41,Right,1.99744,357.0042,358.1966,0.9980469
1748117099639,42,Right,1.986921,357.0034,358.1893,0.9980469
1748117099639,42,Right,1.986921,357.0034,358.1893,0.9980469
1748117099650,43,Right,1.980145,357.002,358.186,0.9980469
1748117099650,43,Right,1.980145,357.002,358.186,0.9980469
1748117099650,43,Right,1.980145,357.002,358.186,0.9980469
1748117099661,44,Right,2.403946,356.4607,358.204,0.9980469
1748117099661,44,Right,2.403946,356.4607,358.204,0.9980469
1748117099673,45,Right,2.398126,356.4596,358.206,0.9980469
1748117099673,45,Right,2.398126,356.4596,358.206,0.9980469
1748117099684,46,Right,2.393187,356.4585,358.2045,0.9980469
1748117099684,46,Right,2.393187,356.4585,358.2045,0.9980469
1748117099695,47,Right,2.399526,356.4566,358.2069,0.9980469
1748117099695,47,Right,2.399526,356.4566,358.2069,0.9980469
1748117099695,47,Right,2.399526,356.4566,358.2069,0.9980469
1748117099706,48,Right,2.398164,356.4535,358.2093,0.9980469
1748117099706,48,Right,2.398164,356.4535,358.2093,0.9980469
1748117099717,49,Right,2.398197,356.4537,358.2094,0.9980469
1748117099717,49,Right,2.398197,356.4537,358.2094,0.9980469
1748117099728,50,Right,2.263407,356.46,358.2158,0.9980469
1748117099728,50,Right,2.263407,356.46,358.2158,0.9980469
1748117099739,51,Right,2.263248,356.4634,358.2177,0.9980469
1748117099739,51,Right,2.263248,356.4634,358.2177,0.9980469
1748117099739,51,Right,2.263248,356.4634,358.2177,0.9980469
1748117099751,52,Right,2.266002,356.4662,358.2191,0.9980469
1748117099751,52,Right,2.266002,356.4662,358.2191,0.9980469
1748117099761,53,Right,2.103572,356.4802,358.2215,0.9980469
1748117099761,53,Right,2.103572,356.4802,358.2215,0.9980469
1748117099773,54,Right,2.109017,356.4813,358.2217,0.9980469
1748117099773,54,Right,2.109017,356.4813,358.2217,0.9980469
1748117099784,55,Right,2.131486,356.4783,358.2182,0.9980469
1748117099784,55,Right,2.131486,356.4783,358.2182,0.9980469
1748117099794,56,Right,2.134427,356.4788,358.2181,0.9980469
1748117099796,56,Right,2.134427,356.4788,358.2181,0.9980469
1748117099796,56,Right,2.134427,356.4788,358.2181,0.9980469
1748117099806,57,Right,2.133039,356.4737,358.2238,0.9980469
1748117099806,57,Right,2.133039,356.4737,358.2238,0.9980469
1748117099817,58,Right,2.121551,356.4731,358.2271,0.9980469
1748117099817,58,Right,2.121551,356.4731,358.2271,0.9980469
1748117099829,59,Right,2.096482,356.4772,358.2212,0.9980469
1748117099829,59,Right,2.096482,356.4772,358.2212,0.9980469
1748117099840,60,Right,2.087643,356.4719,358.2126,0.9980469
1748117099840,60,Right,2.087643,356.4719,358.2126,0.9980469
1748117099840,60,Right,2.087643,356.4719,358.2126,0.9980469
1748117099851,61,Right,2.110526,356.535,358.2023,0.9980469
1748117099852,61,Right,2.110526,356.535,358.2023,0.9980469
1748117099862,62,Right,2.112238,356.5342,358.2015,0.9980469
1748117099862,62,Right,2.112238,356.5342,358.2015,0.9980469
1748117099873,63,Right,2.126488,356.5343,358.2055,0.9980469
1748117099873,63,Right,2.126488,356.5343,358.2055,0.9980469
1748117099884,64,Right,2.185322,356.6652,358.2076,0.9980469
1748117099884,64,Right,2.185322,356.6652,358.2076,0.9980469
1748117099884,64,Right,2.185322,356.6652,358.2076,0.9980469
1748117099896,65,Right,2.205004,356.6623,358.2197,0.9980469
1748117099896,65,Right,2.205004,356.6623,358.2197,0.9980469
1748117099907,66,Right,2.217458,356.6566,358.2228,0.9980469
1748117099907,66,Right,2.217458,356.6566,358.2228,0.9980469
1748117099917,67,Right,2.220724,356.655,358.2266,0.9980469
1748117099917,67,Right,2.220724,356.655,358.2266,0.9980469
1748117099930,68,Right,2.218759,356.6536,358.2224,0.9980469
1748117099930,68,Right,2.218759,356.6536,358.2224,0.9980469
1748117099940,69,Right,2.209161,356.6532,358.2274,0.9980469
1748117099940,69,Right,2.209161,356.6532,358.2274,0.9980469
1748117099941,69,Right,2.209161,356.6532,358.2274,0.9980469
1748117099952,70,Right,1.742473,358.306,358.1595,0.9980469
1748117099952,70,Right,1.742473,358.306,358.1595,0.9980469
1748117099963,71,Right,1.728778,358.3037,358.1603,0.9980469
1748117099963,71,Right,1.728778,358.3037,358.1603,0.9980469
1748117099973,72,Right,1.721661,358.3003,358.1595,0.9980469
1748117099973,72,Right,1.721661,358.3003,358.1595,0.9980469
1748117099985,73,Right,1.711593,358.2977,358.1597,0.9980469
1748117099985,73,Right,1.711593,358.2977,358.1597,0.9980469
1748117099985,73,Right,1.711593,358.2977,358.1597,0.9980469
1748117099996,74,Right,0.2776163,0.798135,358.0534,0.9980469
1748117099996,74,Right,0.2776163,0.798135,358.0534,0.9980469
1748117100007,75,Right,0.2714984,0.7955321,358.0563,0.9980469
1748117100007,75,Right,0.2714984,0.7955321,358.0563,0.9980469
1748117100019,76,Right,0.2659661,0.8001841,358.0545,0.9980469
1748117100019,76,Right,0.2659661,0.8001841,358.0545,0.9980469
1748117100030,77,Right,359.5182,0.8474619,358.0555,0.9980469
1748117100030,77,Right,359.5182,0.8474619,358.0555,0.9980469
1748117100030,77,Right,359.5182,0.8474619,358.0555,0.9980469
1748117100041,78,Right,359.5033,0.8461519,358.0507,0.9980469
1748117100041,78,Right,359.5033,0.8461519,358.0507,0.9980469
1748117100051,79,Right,359.494,0.8469821,358.0485,0.9980469
1748117100051,79,Right,359.494,0.8469821,358.0485,0.9980469
1748117100062,80,Right,359.5151,1.624996,358.0032,0.9980469
1748117100063,80,Right,359.5151,1.624996,358.0032,0.9980469
1748117100074,81,Right,359.506,1.632772,358,0.9980469
1748117100074,81,Right,359.506,1.632772,358,0.9980469
1748117100085,82,Right,359.4947,1.634655,358.0046,0.9980469
1748117100085,82,Right,359.4947,1.634655,358.0046,0.9980469
1748117100085,82,Right,359.4947,1.634655,358.0046,0.9980469
1748117100095,83,Right,358.7804,2.377702,357.9679,0.9980469
1748117100097,83,Right,358.7804,2.377702,357.9679,0.9980469
1748117100107,84,Right,358.7691,2.387253,357.9623,0.9980469
1748117100107,84,Right,358.7691,2.387253,357.9623,0.9980469
1748117100119,85,Right,358.9106,11.20577,357.5975,0.9980469
1748117100119,85,Right,358.9106,11.20577,357.5975,0.9980469
1748117100130,86,Right,358.9111,11.21825,357.5808,0.9980469
1748117100130,86,Right,358.9111,11.21825,357.5808,0.9980469
1748117100130,86,Right,358.9111,11.21825,357.5808,0.9980469
1748117100141,87,Right,358.9162,11.22949,357.5827,0.9980469
1748117100141,87,Right,358.9162,11.22949,357.5827,0.9980469
1748117100151,88,Right,358.9346,11.2361,357.5822,0.9980469
1748117100151,88,Right,358.9346,11.2361,357.5822,0.9980469
1748117100164,89,Right,358.2509,18.89528,357.3306,0.9980469
1748117100164,89,Right,358.2509,18.89528,357.3306,0.9980469
1748117100174,90,Right,358.267,18.89855,357.3349,0.9980469
1748117100174,90,Right,358.267,18.89855,357.3349,0.9980469
1748117100186,91,Right,358.5176,23.82071,357.2066,0.9980469
1748117100186,91,Right,358.5176,23.82071,357.2066,0.9980469
1748117100186,91,Right,358.5176,23.82071,357.2066,0.9980469
1748117100197,92,Right,358.5254,23.82127,357.2137,0.9980469
1748117100197,92,Right,358.5254,23.82127,357.2137,0.9980469
1748117100207,93,Right,358.5294,23.80905,357.2225,0.9980469
1748117100209,93,Right,358.5294,23.80905,357.2225,0.9980469
1748117100219,94,Right,0.8999324,26.42619,357.155,0.9980469
1748117100219,94,Right,0.8999324,26.42619,357.155,0.9980469
1748117100230,95,Right,0.9030632,26.41471,357.1582,0.9980469
1748117100231,95,Right,0.9030632,26.41471,357.1582,0.9980469
1748117100231,95,Right,0.9030632,26.41471,357.1582,0.9980469
1748117100241,96,Right,0.9061974,26.39987,357.1548,0.9980469
1748117100241,96,Right,0.9061974,26.39987,357.1548,0.9980469
1748117100252,97,Right,3.30638,26.40162,357.1449,0.9980469
1748117100253,97,Right,3.30638,26.40162,357.1449,0.9980469
1748117100264,98,Right,3.307531,26.38596,357.1411,0.9980469
1748117100264,98,Right,3.307531,26.38596,357.1411,0.9980469
1748117100274,99,Right,3.31019,26.37852,357.1395,0.9980469
1748117100274,99,Right,3.31019,26.37852,357.1395,0.9980469
1748117100274,99,Right,3.31019,26.37852,357.1395,0.9980469
1748117100286,100,Right,5.253176,26.12056,357.1376,0.9980469
1748117100286,100,Right,5.253176,26.12056,357.1376,0.9980469
1748117100297,101,Right,5.253369,26.12159,357.1427,0.9980469
1748117100297,101,Right,5.253369,26.12159,357.1427,0.9980469
1748117100307,102,Right,5.258128,26.11698,357.1517,0.9980469
1748117100309,102,Right,5.258128,26.11698,357.1517,0.9980469
1748117100319,103,Right,5.256793,26.11695,357.1561,0.9980469
1748117100319,103,Right,5.256793,26.11695,357.1561,0.9980469
1748117100331,104,Right,8.317215,22.95615,357.2116,0.9980469
1748117100331,104,Right,8.317215,22.95615,357.2116,0.9980469
1748117100331,104,Right,8.317215,22.95615,357.2116,0.9980469
1748117100342,105,Right,8.31715,22.95678,357.2167,0.9980469
1748117100342,105,Right,8.31715,22.95678,357.2167,0.9980469
1748117100353,106,Right,11.65905,14.59386,357.4395,0.9980469
1748117100353,106,Right,11.65905,14.59386,357.4395,0.9980469
1748117100364,107,Right,11.65263,14.60086,357.4507,0.9980469
1748117100364,107,Right,11.65263,14.60086,357.4507,0.9980469
1748117100375,108,Right,11.65184,14.60507,357.463,0.9980469
1748117100375,108,Right,11.65184,14.60507,357.463,0.9980469
1748117100375,108,Right,11.65184,14.60507,357.463,0.9980469
1748117100386,109,Right,11.64675,14.60825,357.4709,0.9980469
1748117100386,109,Right,11.64675,14.60825,357.4709,0.9980469
1748117100397,110,Right,12.0288,5.970879,357.7944,0.9980469
1748117100397,110,Right,12.0288,5.970879,357.7944,0.9980469
1748117100408,111,Right,12.02495,5.966372,357.7983,0.9980469
1748117100408,111,Right,12.02495,5.966372,357.7983,0.9980469
1748117100420,112,Right,11.83145,358.6805,358.113,0.9980469
1748117100420,112,Right,11.83145,358.6805,358.113,0.9980469
1748117100431,113,Right,11.83313,358.67,358.1139,0.9980469
1748117100431,113,Right,11.83313,358.67,358.1139,0.9980469
1748117100432,113,Right,11.83313,358.67,358.1139,0.9980469
1748117100442,114,Right,11.83,358.6551,358.1145,0.9980469
1748117100442,114,Right,11.83,358.6551,358.1145,0.9980469
1748117100452,115,Right,11.36384,350.1836,358.5092,0.9980469
1748117100452,115,Right,11.36384,350.1836,358.5092,0.9980469
1748117100464,116,Right,11.36447,350.1707,358.5092,0.9980469
1748117100464,116,Right,11.36447,350.1707,358.5092,0.9980469
1748117100475,117,Right,11.36536,350.1614,358.5073,0.9980469
1748117100475,117,Right,11.36536,350.1614,358.5073,0.9980469
1748117100475,117,Right,11.36536,350.1614,358.5073,0.9980469
1748117100486,118,Right,11.36814,350.154,358.5107,0.9980469
1748117100486,118,Right,11.36814,350.154,358.5107,0.9980469
1748117100497,119,Right,9.516995,344.3427,358.8242,0.9980469
1748117100497,119,Right,9.516995,344.3427,358.8242,0.9980469
1748117100509,120,Right,9.515606,344.3437,358.8232,0.9980469
1748117100509,120,Right,9.515606,344.3437,358.8232,0.9980469
1748117100520,121,Right,8.173744,338.8729,359.1217,0.9980469
1748117100520,121,Right,8.173744,338.8729,359.1217,0.9980469
1748117100520,121,Right,8.173744,338.8729,359.1217,0.9980469
1748117100531,122,Right,8.17295,338.876,359.1237,0.9980469
1748117100531,122,Right,8.17295,338.876,359.1237,0.9980469
1748117100542,123,Right,8.164308,338.8808,359.1263,0.9980469
1748117100542,123,Right,8.164308,338.8808,359.1263,0.9980469
1748117100553,124,Right,6.036522,334.6503,359.356,0.9980469
1748117100553,124,Right,6.036522,334.6503,359.356,0.9980469
1748117100564,125,Right,6.033334,334.6566,359.3642,0.9980469
1748117100564,125,Right,6.033334,334.6566,359.3642,0.9980469
1748117100564,125,Right,6.033334,334.6566,359.3642,0.9980469
1748117100576,126,Right,6.034793,334.6631,359.3615,0.9980469
1748117100576,126,Right,6.034793,334.6631,359.3615,0.9980469
1748117100587,127,Right,6.013392,331.7559,359.5117,0.9980469
1748117100587,127,Right,6.013392,331.7559,359.5117,0.9980469
1748117100597,128,Right,6.008362,331.7604,359.5179,0.9980469
1748117100597,128,Right,6.008362,331.7604,359.5179,0.9980469
1748117100609,129,Right,6.007869,331.7686,359.5114,0.9980469
1748117100609,129,Right,6.007869,331.7686,359.5114,0.9980469
1748117100620,130,Right,6.039505,331.7691,359.5131,0.9980469
1748117100621,130,Right,6.039505,331.7691,359.5131,0.9980469
1748117100621,130,Right,6.039505,331.7691,359.5131,0.9980469
1748117100631,131,Right,6.039061,331.7715,359.5094,0.9980469
1748117100631,131,Right,6.039061,331.7715,359.5094,0.9980469
1748117100643,132,Right,6.042657,331.7774,359.5121,0.9980469
1748117100643,132,Right,6.042657,331.7774,359.5121,0.9980469
1748117100654,133,Right,6.039227,331.7791,359.5076,0.9980469
1748117100654,133,Right,6.039227,331.7791,359.5076,0.9980469
1748117100664,134,Right,6.28344,331.927,359.4974,0.9980469
1748117100665,134,Right,6.28344,331.927,359.4974,0.9980469
1748117100665,134,Right,6.28344,331.927,359.4974,0.9980469
1748117100676,135,Right,6.286032,331.9257,359.4948,0.9980469
1748117100676,135,Right,6.286032,331.9257,359.4948,0.9980469
1748117100687,136,Right,6.2659,343.2452,358.8892,0.9980469
1748117100687,136,Right,6.2659,343.2452,358.8892,0.9980469
1748117100698,137,Right,6.269354,343.216,358.8839,0.9980469
1748117100698,137,Right,6.269354,343.216,358.8839,0.9980469
1748117100709,138,Right,6.27573,343.1504,358.8693,0.9980469
1748117100709,138,Right,6.27573,343.1504,358.8693,0.9980469
1748117100710,138,Right,6.27573,343.1504,358.8693,0.9980469
1748117100720,139,Right,6.281046,343.0966,358.8566,0.9980469
1748117100720,139,Right,6.281046,343.0966,358.8566,0.9980469
1748117100731,140,Right,5.705607,356.8709,358.1953,0.9980469
1748117100731,140,Right,5.705607,356.8709,358.1953,0.9980469
1748117100741,141,Right,5.712628,356.8381,358.1968,0.9980469
1748117100743,141,Right,5.712628,356.8381,358.1968,0.9980469
1748117100753,142,Right,5.50037,7.370737,357.7925,0.9980469
1748117100753,142,Right,5.50037,7.370737,357.7925,0.9980469
1748117100764,143,Right,5.484427,7.389423,357.8235,0.9980469
1748117100764,143,Right,5.484427,7.389423,357.8235,0.9980469
1748117100764,143,Right,5.484427,7.389423,357.8235,0.9980469
1748117100776,144,Right,5.478848,7.414585,357.8477,0.9980469
1748117100776,144,Right,5.478848,7.414585,357.8477,0.9980469
1748117100786,145,Right,5.831423,15.29455,357.5712,0.9980469
