unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748117011481,24,Right,0.3961746,357.7269,358.1398,0.9980469
1748117011481,24,Right,0.3961746,357.7269,358.1398,0.9980469
1748117011490,25,Right,0.390208,357.726,358.1399,0.9980469
1748117011490,25,Right,0.390208,357.726,358.1399,0.9980469
1748117011490,25,Right,0.390208,357.726,358.1399,0.9980469
1748117011501,26,Right,0.372941,357.7235,358.1444,0.9980469
1748117011501,26,Right,0.372941,357.7235,358.1444,0.9980469
1748117011511,27,Right,0.3581512,357.7231,358.157,0.9980469
1748117011511,27,Right,0.3581512,357.7231,358.157,0.9980469
1748117011524,28,Right,0.6609855,355.5785,358.2932,0.9980469
1748117011524,28,Right,0.6609855,355.5785,358.2932,0.9980469
1748117011536,29,Right,0.6479223,355.5822,358.2879,0.9980469
1748117011536,29,Right,0.6479223,355.5822,358.2879,0.9980469
1748117011536,29,Right,0.6479223,355.5822,358.2879,0.9980469
1748117011547,30,Right,0.7340395,355.2327,358.2968,0.9980469
1748117011547,30,Right,0.7340395,355.2327,358.2968,0.9980469
1748117011559,31,Right,0.7317891,355.2412,358.2938,0.9980469
1748117011559,31,Right,0.7317891,355.2412,358.2938,0.9980469
1748117011570,32,Right,0.7456306,355.2466,358.295,0.9980469
1748117011571,32,Right,0.7456306,355.2466,358.295,0.9980469
1748117011571,32,Right,0.7456306,355.2466,358.295,0.9980469
1748117011582,33,Right,0.7520222,355.2535,358.2996,0.9980469
1748117011582,33,Right,0.7520222,355.2535,358.2996,0.9980469
1748117011593,34,Right,0.7660803,355.2491,358.3088,0.9980469
1748117011593,34,Right,0.7660803,355.2491,358.3088,0.9980469
1748117011605,35,Right,0.7761575,355.2498,358.3137,0.9980469
1748117011606,35,Right,0.7761575,355.2498,358.3137,0.9980469
1748117011616,36,Right,0.8193001,355.0244,358.3311,0.9980469
1748117011616,36,Right,0.8193001,355.0244,358.3311,0.9980469
1748117011616,36,Right,0.8193001,355.0244,358.3311,0.9980469
1748117011628,37,Right,0.8268896,355.015,358.338,0.9980469
1748117011628,37,Right,0.8268896,355.015,358.338,0.9980469
1748117011638,38,Right,0.8373047,355.0114,358.3398,0.9980469
1748117011638,38,Right,0.8373047,355.0114,358.3398,0.9980469
1748117011650,39,Right,0.8442253,354.9927,358.3329,0.9980469
1748117011651,39,Right,0.8442253,354.9927,358.3329,0.9980469
1748117011651,39,Right,0.8442253,354.9927,358.3329,0.9980469
1748117011661,40,Right,1.333891,354.9688,358.328,0.9980469
1748117011661,40,Right,1.333891,354.9688,358.328,0.9980469
1748117011673,41,Right,1.338902,354.959,358.3246,0.9980469
1748117011673,41,Right,1.338902,354.959,358.3246,0.9980469
1748117011684,42,Right,1.341094,354.95,358.3203,0.9980469
1748117011684,42,Right,1.341094,354.95,358.3203,0.9980469
1748117011695,43,Right,1.344635,354.9588,358.3118,0.9980469
