unix_ms,frame,current_fps,smoothed_fps,dt
1748121428813,315,71,17,0.01391417
1748121428858,316,1,13,0.6602886
1748121428893,317,24,16,0.04122953
1748121428932,318,28,19,0.03472641
1748121428968,319,25,20,0.03978558
1748121429003,320,28,22,0.03512
1748121429038,321,28,24,0.03488302
1748121429073,322,28,25,0.03508604
1748121429109,323,27,25,0.03629829
1748121429144,324,28,26,0.03519453
1748121429184,325,28,26,0.03558459
1748121429219,326,25,26,0.03966245
1748121429254,327,28,27,0.0349912
1748121429289,328,28,27,0.03494282
1748121429324,329,28,27,0.034955
1748121429360,330,28,27,0.03530214
1748121429395,331,28,27,0.03523318
1748121429436,332,28,28,0.03514271
1748121429472,333,24,27,0.04114459
1748121429507,334,28,27,0.0355761
1748121429548,335,27,27,0.03575198
1748121429589,336,24,26,0.04022802
1748121429631,337,23,26,0.04191105
1748121429672,338,23,25,0.041825
1748121429708,339,24,25,0.04087917
1748121429744,340,27,25,0.0366186
1748121429784,341,28,26,0.0352424
1748121429825,342,24,26,0.04007667
1748121429867,343,23,25,0.04209141
1748121429908,344,24,25,0.04144828
1748121429950,345,24,24,0.04089641
1748121429992,346,24,24,0.04165433
1748121430034,347,23,24,0.0420549
1748121430076,348,23,24,0.0425512
1748121430117,349,24,24,0.04087318
1748121430159,350,23,24,0.04175459
1748121430201,351,23,24,0.04175214
1748121430243,352,23,24,0.04229417
1748121430284,353,23,23,0.04179375
1748121430326,354,24,24,0.0415137
1748121430368,355,23,23,0.04177428
1748121430410,356,23,23,0.04199526
1748121430452,357,23,23,0.04169834
1748121430493,358,24,24,0.04109474
1748121430535,359,24,24,0.04162303
1748121430577,360,23,23,0.04265542
1748121430619,361,24,23,0.04130896
1748121430664,362,23,23,0.04230532
1748121430706,363,22,23,0.04500808
1748121430748,364,23,23,0.04213464
1748121430790,365,24,23,0.0415724
1748121430832,366,23,23,0.04193662
1748121430873,367,23,23,0.04222735
1748121430915,368,24,23,0.04089688
1748121430957,369,23,23,0.04189954
1748121430998,370,23,23,0.04220875
1748121431040,371,23,23,0.04178433
