unix_ms,frame,current_fps,smoothed_fps,dt
1748119975117,314,72,18,0.01382609
1748119975162,315,1,13,0.6456198
1748119975198,316,23,16,0.0418636
1748119975237,317,28,19,0.03530485
1748119975272,318,25,20,0.03884261
1748119975307,319,28,22,0.03499021
1748119975342,320,28,24,0.03531922
1748119975377,321,28,25,0.03508292
1748119975412,322,28,26,0.03492453
1748119975448,323,27,26,0.03596203
1748119975489,324,28,26,0.03566183
1748119975525,325,24,26,0.04056141
1748119975560,326,28,26,0.0355262
1748119975601,327,28,27,0.03523693
1748119975642,328,24,26,0.04161854
1748119975684,329,24,25,0.0412661
1748119975720,330,24,25,0.04143282
1748119975756,331,28,26,0.03533021
1748119975796,332,27,26,0.03672469
1748119975838,333,25,26,0.03977865
1748119975880,334,23,25,0.0420861
1748119975921,335,24,25,0.0413988
1748119975963,336,24,24,0.04165469
1748119976005,337,23,24,0.04203386
1748119976046,338,23,24,0.04204125
1748119976088,339,24,24,0.04128193
1748119976130,340,24,24,0.04151271
1748119976171,341,23,24,0.04179021
1748119976213,342,24,24,0.04140896
1748119976255,343,23,24,0.04227771
1748119976296,344,24,24,0.04161454
1748119976338,345,24,24,0.04139516
1748119976380,346,23,24,0.04205813
1748119976422,347,24,24,0.04142381
1748119976463,348,23,23,0.04199287
1748119976505,349,24,24,0.04140849
1748119976547,350,23,23,0.04219198
1748119976589,351,23,23,0.04245641
1748119976630,352,24,23,0.04154214
1748119976672,353,23,23,0.0424135
1748119976713,354,24,24,0.04032693
1748119976755,355,24,24,0.04110396
1748119976798,356,23,24,0.04218532
1748119976839,357,23,23,0.04287229
1748119976880,358,24,24,0.04062808
1748119976922,359,24,24,0.0413087
1748119976964,360,23,24,0.0417861
1748119977010,361,23,23,0.04236537
1748119977052,362,21,23,0.04605662
1748119977094,363,23,23,0.04202099
1748119977136,364,24,23,0.04131844
1748119977178,365,23,23,0.04205198
1748119977219,366,24,23,0.04160766
1748119977261,367,23,23,0.04181058
1748119977303,368,23,23,0.04212849
1748119977345,369,24,23,0.04148849
1748119977386,370,23,23,0.04206172
1748119977428,371,24,23,0.04112448
1748119977470,372,23,23,0.04258433
1748119977512,373,24,23,0.04102818
1748119977554,374,23,23,0.04235703
1748119977595,375,23,23,0.04208771
1748119977637,376,23,23,0.04191547
1748119977679,377,23,23,0.04211266
1748119977720,378,24,24,0.04046427
1748119977762,379,23,23,0.04211547
1748119977804,380,24,23,0.04166505
1748119977846,381,23,23,0.04177282
1748119977887,382,23,23,0.04193068
1748119977929,383,24,24,0.04103402
1748119977971,384,23,23,0.04200938
1748119978013,385,23,23,0.04182912
1748119978054,386,23,23,0.04249938
1748119978096,387,24,23,0.04110787
1748119978138,388,23,23,0.04184412
1748119978180,389,23,23,0.04216146
1748119978221,390,24,24,0.04094594
1748119978263,391,23,23,0.04190855
1748119978305,392,23,23,0.04231688
1748119978347,393,23,23,0.04182167
1748119978389,394,23,23,0.04229677
1748119978430,395,24,24,0.04062355
1748119978472,396,23,23,0.04205276
1748119978514,397,24,24,0.04149573
1748119978555,398,23,23,0.04233964
1748119978597,399,24,23,0.04122849
1748119978639,400,23,23,0.04191386
1748119978681,401,23,23,0.04274224
1748119978723,402,24,24,0.04014115
1748119978764,403,23,24,0.04202032
1748119978806,404,23,24,0.04167954
1748119978848,405,23,23,0.04248271
1748119978889,406,23,23,0.04212005
1748119978931,407,24,24,0.04068589
1748119978973,408,23,23,0.04233729
1748119979015,409,23,23,0.04233089
1748119979057,410,24,24,0.04083355
1748119979099,411,23,23,0.04181662
1748119979140,412,23,23,0.04259219
1748119979182,413,23,23,0.04195751
1748119979224,414,24,24,0.04059365
1748119979266,415,23,23,0.04204391
1748119979308,416,23,23,0.04172245
1748119979349,417,23,23,0.04241391
1748119979391,418,24,23,0.04119412
1748119979433,419,24,23,0.04160683
1748119979475,420,23,23,0.04248511
1748119979516,421,23,23,0.04177172
1748119979558,422,24,23,0.04164089
1748119979600,423,24,24,0.04111443
1748119979642,424,23,23,0.04188443
1748119979683,425,23,23,0.04302167
1748119979725,426,24,24,0.04025725
1748119979767,427,24,24,0.04159386
1748119979809,428,23,23,0.04257511
1748119979851,429,23,23,0.04201834
1748119979892,430,23,23,0.04191667
1748119979934,431,24,24,0.04059089
1748119979976,432,23,23,0.04296073
1748119980017,433,24,23,0.04146428
1748119980059,434,24,24,0.04095875
1748119980101,435,24,24,0.04154657
1748119980143,436,23,23,0.04219594
1748119980184,437,23,23,0.04245568
1748119980226,438,24,24,0.04055797
1748119980268,439,23,24,0.04192417
1748119980309,440,23,23,0.04242828
1748119980351,441,24,23,0.04117532
1748119980393,442,23,23,0.04193381
1748119980435,443,24,24,0.04141573
1748119980477,444,23,23,0.04222485
1748119980518,445,23,23,0.04181354
1748119980560,446,23,23,0.04219813
1748119980602,447,24,23,0.04138969
1748119980644,448,24,23,0.04145027
1748119980685,449,23,23,0.04304542
1748119980727,450,24,24,0.0402961
1748119980769,451,23,23,0.04198313
1748119980810,452,23,23,0.04190787
1748119980852,453,23,23,0.04258787
1748119980894,454,24,23,0.04163526
1748119980936,455,24,24,0.0406086
1748119980978,456,23,23,0.04209594
1748119981019,457,24,24,0.04135469
1748119981061,458,23,23,0.04193417
1748119981103,459,23,23,0.04193938
1748119981145,460,23,23,0.04224068
1748119981187,461,23,23,0.04221438
1748119981228,462,24,23,0.04088251
1748119981270,463,23,23,0.04188573
1748119981312,464,24,24,0.04124204
1748119981353,465,23,23,0.04214438
1748119981396,466,23,23,0.04179016
1748119981437,467,23,23,0.04195178
1748119981479,468,23,23,0.04170052
1748119981521,469,23,23,0.04172547
1748119981562,470,23,23,0.0418049
1748119981604,471,23,23,0.04235433
1748119981646,472,24,23,0.04123422
1748119981688,473,23,23,0.04248454
1748119981730,474,24,23,0.04112563
1748119981771,475,23,23,0.04207714
1748119981813,476,24,24,0.04108771
1748119981855,477,23,23,0.04181927
1748119981897,478,23,23,0.04260787
1748119981938,479,24,23,0.04111594
1748119981980,480,23,23,0.0418662
1748119982022,481,24,24,0.04105099
1748119982064,482,23,23,0.04210177
1748119982105,483,23,23,0.04206433
1748119982147,484,24,23,0.04152229
1748119982189,485,23,23,0.04245146
1748119982230,486,24,23,0.0413675
1748119982272,487,23,23,0.04187823
1748119982314,488,24,23,0.04137855
1748119982356,489,24,23,0.04160229
1748119982398,490,23,23,0.04174199
1748119982439,491,23,23,0.04183959
1748119982481,492,23,23,0.04195448
1748119982523,493,24,23,0.0413723
1748119982565,494,23,23,0.04225823
1748119982607,495,23,23,0.04233584
1748119982648,496,24,23,0.04141969
1748119982690,497,23,23,0.04183099
1748119982732,498,24,24,0.04095094
1748119982773,499,23,23,0.04212297
1748119982815,500,24,23,0.04161782
1748119982857,501,23,23,0.04196974
1748119982899,502,23,23,0.04218349
1748119982940,503,24,23,0.04152183
1748119982982,504,23,23,0.04238745
1748119983024,505,24,24,0.04069714
1748119983066,506,24,24,0.04155755
1748119983108,507,23,23,0.04199167
1748119983149,508,23,23,0.04240313
1748119983191,509,24,23,0.04142818
1748119983233,510,24,23,0.04159714
1748119983275,511,23,23,0.0421512
1748119983316,512,24,23,0.04153042
1748119983358,513,24,23,0.04143021
1748119983400,514,23,23,0.04211828
1748119983442,515,23,23,0.04175589
1748119983484,516,23,23,0.04270318
1748119983525,517,24,24,0.04046829
1748119983567,518,23,23,0.04226527
1748119983609,519,24,23,0.04146141
1748119983650,520,23,23,0.04234558
1748119983692,521,24,23,0.04118188
1748119983734,522,23,23,0.04216719
1748119983776,523,23,23,0.0417837
1748119983818,524,24,24,0.0410798
1748119983859,525,23,23,0.04197657
1748119983901,526,23,23,0.04203818
1748119983943,527,23,23,0.04174995
1748119983985,528,23,23,0.04227396
1748119984026,529,24,24,0.04073855
1748119984069,530,23,23,0.04195631
1748119984110,531,23,23,0.04185761
1748119984152,532,24,23,0.0415887
1748119984193,533,23,23,0.04197813
1748119984235,534,24,23,0.0416248
1748119984277,535,23,23,0.0418412
1748119984319,536,24,23,0.04141042
1748119984361,537,23,23,0.04220386
1748119984403,538,23,23,0.04179787
1748119984444,539,23,23,0.04182011
1748119984486,540,23,23,0.04216599
1748119984528,541,24,23,0.04100287
1748119984570,542,23,23,0.04308501
1748119984611,543,24,23,0.04092735
1748119984653,544,24,24,0.04113204
1748119984694,545,23,23,0.0422985
1748119984736,546,23,23,0.04201907
1748119984778,547,23,23,0.04219235
1748119984820,548,24,24,0.04061506
1748119984861,549,24,24,0.04166396
1748119984903,550,23,23,0.04238823
1748119984945,551,24,23,0.04153396
1748119984987,552,23,23,0.04192797
1748119985028,553,24,24,0.04121084
1748119985070,554,23,23,0.04193876
1748119985112,555,24,24,0.0412212
1748119985154,556,23,23,0.04201303
1748119985196,557,23,23,0.04216745
1748119985238,558,23,23,0.04189261
1748119985279,559,23,23,0.04171714
1748119985321,560,23,23,0.04173334
1748119985363,561,24,23,0.04154688
1748119985404,562,23,23,0.0423912
1748119985446,563,24,23,0.04127334
1748119985488,564,23,23,0.04220584
1748119985530,565,24,24,0.04108224
1748119985571,566,23,23,0.04242605
1748119985613,567,24,24,0.04103053
1748119985655,568,23,23,0.04235381
1748119985697,569,24,24,0.04108875
1748119985739,570,23,23,0.04250844
1748119985780,571,23,23,0.04202678
1748119985822,572,24,24,0.04061646
1748119985864,573,23,24,0.0417223
1748119985905,574,23,23,0.04259094
1748119985948,575,23,23,0.04241214
1748119985989,576,23,23,0.04237787
1748119986031,577,24,24,0.04003766
1748119986073,578,23,24,0.04200052
1748119986114,579,23,23,0.04253412
1748119986156,580,24,23,0.04106157
1748119986198,581,23,23,0.04185459
1748119986240,582,23,23,0.04185771
