unix_ms,frame,current_fps,smoothed_fps,dt
1748119902934,316,72,18,0.01384307
1748119902943,317,1,13,0.6205053
1748119902956,318,164,51,0.006071927
1748119902971,319,76,57,0.01300396
1748119902986,320,68,60,0.01468438
1748119903002,321,64,61,0.01542698
1748119903017,322,63,61,0.01581453
1748119903032,323,66,63,0.01494396
1748119903046,324,66,64,0.01503323
1748119903061,325,67,64,0.01485052
1748119903075,326,69,66,0.01431031
1748119903090,327,68,66,0.01456458
1748119903104,328,68,67,0.01467912
1748119903118,329,70,67,0.01423261
1748119903133,330,70,68,0.01418709
1748119903147,331,69,68,0.01441141
1748119903161,332,69,68,0.01444745
1748119903175,333,72,69,0.01379136
1748119903189,334,70,70,0.01413615
1748119903204,335,70,70,0.01415969
1748119903217,336,69,70,0.01438412
1748119903231,337,73,70,0.01355792
1748119903245,338,71,71,0.01393698
1748119903260,339,69,70,0.01431182
1748119903274,340,71,70,0.01402865
1748119903287,341,72,71,0.01387214
1748119903301,342,70,71,0.01413453
1748119903315,343,72,71,0.01378193
1748119903329,344,72,71,0.01380438
1748119903343,345,69,71,0.01430807
1748119903357,346,73,71,0.01358719
1748119903371,347,71,71,0.01403271
1748119903385,348,72,71,0.01374734
1748119903399,349,70,71,0.01412141
1748119903413,350,71,71,0.01404698
1748119903427,351,71,71,0.01400396
1748119903441,352,71,71,0.01392209
1748119903455,353,73,72,0.01361406
1748119903469,354,69,71,0.01428698
1748119903483,355,69,71,0.01429833
1748119903497,356,73,71,0.01366771
1748119903511,357,71,71,0.01391849
1748119903525,358,72,71,0.01386776
1748119903539,359,72,71,0.01387302
1748119903553,360,70,71,0.01418755
1748119903567,361,70,71,0.01422583
1748119903581,362,71,71,0.01391026
1748119903595,363,71,71,0.01395511
1748119903609,364,72,71,0.01388005
1748119903623,365,70,71,0.01417026
1748119903637,366,72,71,0.01376422
1748119903651,367,70,71,0.01411984
1748119903665,368,72,71,0.01374307
1748119903678,369,71,71,0.01407724
1748119903692,370,72,71,0.01386839
1748119903706,371,71,71,0.01393099
1748119903720,372,70,71,0.01419672
1748119903734,373,73,71,0.0136174
1748119903748,374,71,71,0.0140411
1748119903762,375,72,71,0.01387594
1748119903776,376,72,72,0.01375323
1748119903790,377,71,71,0.01393245
1748119903804,378,71,71,0.01403344
1748119903818,379,70,71,0.01412766
1748119903832,380,72,71,0.01386198
1748119903845,381,72,71,0.01380333
1748119903860,382,71,71,0.01390802
1748119903874,383,71,71,0.01401781
1748119903888,384,68,71,0.01449932
1748119903901,385,73,71,0.01352859
1748119903916,386,73,72,0.0135788
1748119903929,387,66,70,0.01497047
1748119903943,388,77,72,0.01295177
1748119903957,389,71,72,0.01402537
1748119903971,390,72,72,0.01372099
1748119903985,391,71,72,0.01405313
1748119903999,392,70,71,0.01419125
1748119904013,393,72,71,0.01382776
1748119904027,394,71,71,0.01389839
1748119904041,395,72,71,0.01384167
1748119904055,396,68,71,0.01459182
1748119904069,397,75,72,0.01326604
1748119904083,398,69,71,0.01431162
1748119904097,399,72,71,0.01383318
1748119904110,400,71,71,0.01407344
1748119904124,401,73,72,0.01363542
1748119904138,402,72,72,0.01374526
1748119904152,403,70,71,0.01425188
1748119904166,404,71,71,0.0139261
1748119904180,405,74,72,0.0134886
1748119904194,406,69,71,0.01443656
1748119904208,407,72,71,0.01370047
1748119904222,408,69,71,0.01441365
1748119904236,409,74,72,0.01339125
1748119904250,410,71,72,0.01389136
1748119904264,411,71,71,0.01402859
1748119904278,412,71,71,0.01391021
1748119904291,413,71,71,0.01396297
1748119904305,414,73,72,0.01366995
1748119904320,415,70,71,0.01424099
1748119904333,416,70,71,0.01417672
1748119904347,417,72,71,0.0138199
