unix_ms,frame,current_fps,smoothed_fps,dt
1748119824956,317,70,17,0.01410115
1748119824965,318,1,13,0.6215221
1748119824978,319,190,57,0.005241772
1748119824992,320,76,62,0.01301208
1748119825007,321,69,64,0.01433573
1748119825023,322,65,64,0.01526333
1748119825038,323,64,64,0.01547136
1748119825053,324,64,64,0.01550245
1748119825068,325,66,65,0.01495698
1748119825083,326,68,66,0.01459807
1748119825097,327,67,66,0.01471974
1748119825111,328,68,67,0.0144986
1748119825126,329,69,67,0.01437537
1748119825140,330,68,67,0.01468698
1748119825155,331,71,68,0.01406026
1748119825169,332,69,68,0.01437037
1748119825183,333,69,69,0.01429261
1748119825197,334,70,69,0.01424974
1748119825211,335,70,69,0.01413203
1748119825225,336,71,70,0.01389141
1748119825240,337,70,70,0.01425417
1748119825254,338,70,70,0.01426844
1748119825267,339,72,70,0.01387443
1748119825281,340,72,71,0.01376729
1748119825295,341,71,71,0.01401807
1748119825309,342,70,71,0.01411323
1748119825323,343,72,71,0.01381443
1748119825337,344,71,71,0.01399448
1748119825351,345,70,71,0.01415432
1748119825365,346,71,71,0.01390964
1748119825379,347,72,71,0.01376271
1748119825393,348,71,71,0.01396078
1748119825407,349,72,71,0.01384693
1748119825421,350,71,71,0.01390542
1748119825435,351,70,71,0.0141912
1748119825449,352,71,71,0.01401677
1748119825463,353,71,71,0.01401693
1748119825477,354,72,71,0.01379005
1748119825491,355,71,71,0.01408422
1748119825505,356,71,71,0.01394068
1748119825519,357,68,70,0.01460594
1748119825533,358,74,71,0.01341761
1748119825547,359,71,71,0.01404922
1748119825561,360,72,71,0.01388797
1748119825575,361,71,71,0.01400547
1748119825589,362,71,71,0.01401573
1748119825603,363,70,71,0.01416219
1748119825617,364,72,71,0.01383089
1748119825631,365,69,71,0.01430938
1748119825645,366,73,71,0.01356146
1748119825659,367,71,71,0.01398901
1748119825672,368,71,71,0.01392995
1748119825687,369,70,71,0.01419651
1748119825701,370,72,71,0.01373797
1748119825714,371,70,71,0.01422906
1748119825728,372,72,71,0.01370719
1748119825742,373,73,72,0.01366
1748119825756,374,71,72,0.01390917
1748119825770,375,70,71,0.01423068
1748119825784,376,71,71,0.0138999
1748119825798,377,71,71,0.01408057
1748119825812,378,73,71,0.01369047
1748119825826,379,73,72,0.01368443
1748119825840,380,70,71,0.01421026
1748119825854,381,67,70,0.01475115
1748119825867,382,74,71,0.01336849
1748119825881,383,74,72,0.01337448
1748119825895,384,70,72,0.01414709
1748119825909,385,71,71,0.01392505
1748119825923,386,67,70,0.01480813
1748119825937,387,75,71,0.01328505
1748119825951,388,72,72,0.01374188
1748119825965,389,71,71,0.01406938
1748119825979,390,71,71,0.01397599
1748119825993,391,72,71,0.01382755
1748119826008,392,72,72,0.013715
1748119826021,393,67,70,0.01484625
1748119826035,394,74,71,0.01334141
1748119826049,395,71,71,0.01392266
1748119826062,396,70,71,0.01410708
1748119826077,397,74,72,0.01335151
1748119826091,398,69,71,0.01429203
1748119826105,399,72,72,0.01379339
1748119826119,400,70,71,0.01427636
1748119826132,401,72,71,0.01383109
1748119826146,402,72,71,0.01376844
1748119826160,403,71,71,0.01407021
1748119826175,404,72,71,0.01381521
1748119826188,405,68,70,0.01467594
1748119826202,406,74,71,0.01340094
1748119826216,407,73,72,0.01353354
1748119826230,408,69,71,0.01433261
1748119826244,409,73,72,0.01366511
1748119826258,410,70,71,0.01414927
1748119826272,411,73,72,0.01362261
1748119826286,412,70,71,0.01424625
1748119826300,413,71,71,0.01393115
1748119826314,414,71,71,0.01401995
1748119826327,415,71,71,0.01391958
1748119826342,416,73,72,0.01362188
1748119826356,417,69,71,0.01434875
1748119826369,418,72,71,0.01377985
1748119826383,419,72,71,0.01385485
1748119826397,420,70,71,0.01415828
1748119826411,421,73,72,0.01352995
1748119826425,422,70,71,0.01409901
1748119826439,423,72,71,0.01382412
1748119826453,424,68,71,0.01465505
1748119826467,425,74,71,0.01346464
1748119826481,426,73,72,0.01363297
1748119826495,427,70,71,0.01409224
1748119826509,428,72,72,0.01382792
1748119826523,429,69,71,0.0142975
1748119826537,430,72,71,0.01370667
1748119826551,431,69,71,0.01428672
1748119826564,432,72,71,0.01379214
1748119826578,433,72,71,0.01377453
1748119826592,434,71,71,0.01392011
1748119826607,435,73,72,0.013665
1748119826620,436,65,70,0.01523599
1748119826634,437,75,71,0.01318078
1748119826648,438,72,72,0.01370948
1748119826662,439,73,72,0.01365766
1748119826676,440,72,72,0.01378115
1748119826690,441,70,72,0.01413359
1748119826704,442,70,71,0.01410281
1748119826718,443,71,71,0.01398406
1748119826732,444,72,71,0.01383151
1748119826746,445,71,71,0.01388901
1748119826759,446,71,71,0.01404573
1748119826774,447,72,71,0.0137462
1748119826787,448,68,71,0.01464667
1748119826801,449,74,71,0.01339318
1748119826815,450,72,72,0.01377714
1748119826829,451,69,71,0.01435198
1748119826843,452,73,71,0.01366834
1748119826857,453,71,71,0.0139825
1748119826871,454,72,71,0.01381755
1748119826885,455,70,71,0.01422776
1748119826899,456,70,71,0.01412927
1748119826913,457,74,72,0.01348724
1748119826927,458,72,72,0.01371245
1748119826941,459,70,71,0.01409885
1748119826955,460,68,71,0.01460651
1748119826969,461,74,71,0.01340698
1748119826982,462,71,71,0.01402182
1748119826996,463,72,72,0.01373057
1748119827010,464,71,71,0.0139725
1748119827024,465,71,71,0.01392922
1748119827038,466,71,71,0.01389146
1748119827052,467,70,71,0.01421292
1748119827066,468,73,71,0.01362776
1748119827080,469,71,71,0.01397229
1748119827094,470,71,71,0.01403886
1748119827108,471,72,71,0.01382688
1748119827122,472,69,71,0.01445021
1748119827136,473,73,71,0.01364193
1748119827150,474,72,71,0.01376438
1748119827164,475,70,71,0.01411672
1748119827177,476,73,72,0.01368234
1748119827192,477,72,72,0.01384193
1748119827206,478,70,71,0.01414896
1748119827219,479,70,71,0.01426885
1748119827233,480,73,71,0.0136374
1748119827247,481,70,71,0.01412495
1748119827261,482,74,72,0.01351073
1748119827275,483,71,72,0.01391432
1748119827289,484,70,71,0.0141237
1748119827303,485,69,71,0.01438922
1748119827317,486,74,72,0.01342162
1748119827331,487,71,71,0.01407099
1748119827345,488,73,72,0.01362599
1748119827359,489,71,72,0.0139886
1748119827372,490,72,72,0.01386776
1748119827387,491,70,71,0.01428359
1748119827401,492,72,71,0.0137362
1748119827414,493,71,71,0.01396412
1748119827428,494,72,71,0.01379334
1748119827442,495,71,71,0.0139049
1748119827456,496,71,71,0.01402922
1748119827470,497,71,71,0.01393807
1748119827484,498,71,71,0.0139374
1748119827498,499,71,71,0.01395417
1748119827512,500,72,71,0.01385766
1748119827526,501,70,71,0.01416969
1748119827540,502,72,71,0.01381203
1748119827554,503,69,71,0.01443771
1748119827567,504,74,71,0.01344307
1748119827581,505,73,72,0.01369104
1748119827595,506,70,71,0.01409203
1748119827609,507,71,71,0.01393063
1748119827623,508,72,71,0.01387219
1748119827637,509,71,71,0.01402615
1748119827651,510,72,71,0.0138011
1748119827665,511,71,71,0.01403844
1748119827679,512,71,71,0.01388927
1748119827693,513,71,71,0.01392667
1748119827707,514,72,71,0.01379297
1748119827721,515,68,71,0.01457646
1748119827735,516,73,71,0.01358797
1748119827749,517,72,71,0.01387396
1748119827762,518,71,71,0.013975
1748119827777,519,73,72,0.01359885
1748119827791,520,70,71,0.01417261
1748119827805,521,71,71,0.01400224
1748119827818,522,71,71,0.01402698
1748119827832,523,72,71,0.01378406
1748119827846,524,73,72,0.01362516
1748119827860,525,70,71,0.01416938
1748119827875,526,70,71,0.01420083
1748119827888,527,70,71,0.01414135
1748119827902,528,74,72,0.01344563
1748119827916,529,72,72,0.01387042
1748119827930,530,69,71,0.0143286
1748119827944,531,74,72,0.01343156
1748119827957,532,71,72,0.01392099
1748119827972,533,72,72,0.01385188
1748119827986,534,69,71,0.01428714
1748119827999,535,69,71,0.0144138
1748119828013,536,74,71,0.01340031
1748119828027,537,72,72,0.01385542
1748119828042,538,72,72,0.01379625
1748119828055,539,68,71,0.01464641
1748119828069,540,73,71,0.01358391
1748119828083,541,72,72,0.01374318
1748119828097,542,72,72,0.0138575
1748119828111,543,71,71,0.01400547
1748119828125,544,72,71,0.0138863
1748119828139,545,70,71,0.01411094
1748119828153,546,71,71,0.01404448
1748119828167,547,73,72,0.01353172
1748119828180,548,70,71,0.014085
1748119828194,549,72,71,0.01384651
1748119828209,550,72,72,0.01380808
1748119828222,551,69,71,0.01432136
1748119828236,552,73,71,0.01364349
1748119828250,553,70,71,0.01424422
1748119828264,554,72,71,0.01388391
1748119828278,555,73,72,0.0135462
1748119828292,556,71,72,0.01395255
1748119828306,557,70,71,0.01410771
1748119828320,558,70,71,0.01419063
1748119828334,559,70,71,0.01424344
1748119828347,560,75,72,0.01324443
1748119828361,561,73,72,0.01368563
1748119828376,562,70,72,0.01408479
1748119828389,563,70,71,0.01427385
1748119828403,564,72,71,0.01374182
1748119828417,565,71,71,0.0139187
1748119828431,566,72,71,0.01382735
1748119828445,567,71,71,0.01401198
1748119828459,568,70,71,0.01415469
1748119828473,569,72,71,0.01376
1748119828487,570,70,71,0.014225
1748119828501,571,73,71,0.01358318
1748119828515,572,71,71,0.01391516
1748119828529,573,71,71,0.01390323
1748119828542,574,71,71,0.01405682
1748119828557,575,72,72,0.01373412
1748119828571,576,70,71,0.01426448
1748119828585,577,71,71,0.01401083
1748119828598,578,72,71,0.01375797
1748119828612,579,72,72,0.01373844
1748119828626,580,72,72,0.01380802
1748119828640,581,70,71,0.01422609
1748119828654,582,69,71,0.0143475
1748119828668,583,74,71,0.01345917
1748119828682,584,70,71,0.01419136
1748119828696,585,73,71,0.01369214
1748119828710,586,72,72,0.01383396
1748119828724,587,71,71,0.01394458
1748119828738,588,71,71,0.01401307
1748119828752,589,71,71,0.01397677
1748119828765,590,72,71,0.01381172
1748119828779,591,71,71,0.01394708
1748119828793,592,71,71,0.01394974
1748119828808,593,72,71,0.01387943
1748119828821,594,70,71,0.01420464
1748119828835,595,73,71,0.01368844
1748119828849,596,71,71,0.01407203
1748119828863,597,71,71,0.01392287
1748119828877,598,73,72,0.01363828
1748119828891,599,72,72,0.01374037
1748119828905,600,70,71,0.01415255
1748119828919,601,70,71,0.01420828
1748119828932,602,72,71,0.01372318
1748119828947,603,73,72,0.01364307
1748119828961,604,70,71,0.01410453
1748119828975,605,71,71,0.01404646
1748119828988,606,69,71,0.01436922
1748119829002,607,74,71,0.0134486
1748119829016,608,73,72,0.01358594
1748119829030,609,69,71,0.01433537
1748119829044,610,72,71,0.01385099
1748119829058,611,71,71,0.01395974
1748119829072,612,72,71,0.01382068
1748119829086,613,70,71,0.01415261
1748119829100,614,71,71,0.01398906
1748119829114,615,72,71,0.01376667
1748119829128,616,72,72,0.01377057
1748119829142,617,71,71,0.01401406
1748119829156,618,70,71,0.01419422
1748119829169,619,72,71,0.01381281
1748119829183,620,72,71,0.01386151
1748119829197,621,71,71,0.01397052
1748119829211,622,71,71,0.01399948
1748119829225,623,73,72,0.01352922
1748119829239,624,70,71,0.01417714
1748119829253,625,69,71,0.01443729
1748119829267,626,73,71,0.01357255
1748119829281,627,73,72,0.01355031
1748119829295,628,71,72,0.0140037
1748119829309,629,71,72,0.01391104
1748119829322,630,69,71,0.0143999
1748119829336,631,74,72,0.01339276
1748119829350,632,71,72,0.01399563
1748119829364,633,71,71,0.01392344
1748119829378,634,69,71,0.0143137
1748119829392,635,74,72,0.01350323
1748119829406,636,73,72,0.01367083
1748119829420,637,67,71,0.01476729
1748119829434,638,74,72,0.01339198
1748119829448,639,71,71,0.01397521
1748119829462,640,72,72,0.01376276
1748119829476,641,71,71,0.01395885
1748119829490,642,70,71,0.01409333
1748119829504,643,72,71,0.01383208
1748119829518,644,70,71,0.01424073
1748119829531,645,72,71,0.01379011
1748119829545,646,72,71,0.01379531
1748119829559,647,71,71,0.01401349
1748119829574,648,72,71,0.01383453
1748119829587,649,68,71,0.01457162
1748119829601,650,75,72,0.01320198
1748119829615,651,71,72,0.01395063
1748119829629,652,70,71,0.01408906
1748119829643,653,72,71,0.01381448
1748119829657,654,71,71,0.01395511
1748119829671,655,71,71,0.01406099
1748119829685,656,71,71,0.01393375
1748119829699,657,72,71,0.0138113
1748119829712,658,71,71,0.01392761
1748119829726,659,72,71,0.01384464
1748119829741,660,71,71,0.01396391
1748119829754,661,68,71,0.01450511
1748119829768,662,74,71,0.01341261
1748119829782,663,70,71,0.01411667
1748119829796,664,73,72,0.0136413
1748119829810,665,72,72,0.0138725
1748119829824,666,71,71,0.01401735
1748119829838,667,71,71,0.0139375
1748119829852,668,70,71,0.01409563
1748119829866,669,71,71,0.01392151
1748119829880,670,72,71,0.01375807
1748119829894,671,71,71,0.01397948
1748119829908,672,72,71,0.01383922
1748119829922,673,69,71,0.01437193
1748119829935,674,73,71,0.01355052
1748119829949,675,72,72,0.01377735
1748119829963,676,69,71,0.01432875
1748119829977,677,73,72,0.01361542
1748119829991,678,72,72,0.01382828
1748119830005,679,71,71,0.01403651
1748119830019,680,70,71,0.01420287
1748119830033,681,73,71,0.01368745
1748119830047,682,72,72,0.01382422
1748119830061,683,71,71,0.0140612
1748119830075,684,69,71,0.01430224
1748119830089,685,72,71,0.01384797
1748119830102,686,73,72,0.01358057
1748119830117,687,72,72,0.01374677
1748119830130,688,69,71,0.01446318
1748119830144,689,73,72,0.01354354
1748119830158,690,72,72,0.013875
1748119830172,691,72,72,0.01372615
1748119830186,692,67,71,0.01475453
1748119830200,693,73,71,0.01359677
1748119830214,694,73,72,0.01369245
1748119830228,695,71,72,0.01390141
1748119830242,696,73,72,0.01366177
1748119830256,697,68,71,0.01460109
1748119830270,698,73,71,0.01360318
1748119830284,699,71,71,0.01390479
1748119830297,700,71,71,0.01396396
1748119830311,701,73,72,0.01355886
1748119830325,702,70,71,0.0141988
1748119830339,703,71,71,0.01397542
1748119830354,704,68,70,0.01466771
1748119830367,705,73,71,0.01360667
1748119830381,706,74,72,0.01345011
1748119830395,707,72,72,0.01384766
1748119830409,708,72,72,0.01381703
1748119830422,709,69,71,0.01430182
1748119830437,710,73,72,0.01353156
1748119830451,711,69,71,0.01436912
1748119830464,712,72,71,0.01384276
1748119830478,713,72,71,0.01375703
1748119830492,714,72,72,0.01384406
1748119830506,715,72,72,0.01376584
1748119830520,716,66,70,0.01496406
1748119830534,717,75,71,0.01330104
1748119830548,718,72,72,0.01369891
1748119830562,719,72,72,0.01378636
1748119830576,720,71,72,0.01400844
1748119830590,721,70,71,0.01419636
1748119830604,722,72,71,0.01379552
1748119830618,723,70,71,0.01421505
1748119830631,724,73,72,0.01359636
1748119830646,725,71,71,0.01391042
1748119830659,726,71,71,0.01402787
1748119830674,727,72,71,0.01381734
1748119830687,728,69,71,0.01449261
1748119830701,729,75,72,0.01315828
1748119830715,730,70,72,0.01409359
1748119830729,731,70,71,0.01422771
1748119830743,732,73,72,0.01361057
1748119830757,733,72,72,0.01379755
1748119830771,734,69,71,0.01449011
1748119830785,735,72,71,0.01370125
1748119830799,736,72,71,0.01385052
1748119830812,737,72,72,0.01376818
1748119830826,738,72,72,0.01381495
1748119830841,739,71,71,0.01404198
1748119830855,740,68,70,0.01466219
1748119830868,741,74,71,0.01339209
1748119830882,742,73,72,0.01358359
1748119830896,743,71,72,0.0139962
1748119830910,744,71,71,0.0139663
1748119830924,745,70,71,0.01410427
1748119830938,746,72,71,0.01374396
1748119830952,747,71,71,0.01407089
1748119830966,748,72,71,0.01387823
1748119830980,749,71,71,0.01392219
1748119830993,750,71,71,0.01394604
1748119831008,751,72,72,0.0137612
1748119831021,752,68,71,0.01456563
1748119831035,753,74,72,0.01338198
1748119831049,754,71,71,0.01408005
1748119831063,755,71,71,0.01397646
1748119831077,756,73,72,0.0135262
1748119831091,757,72,72,0.01380344
1748119831105,758,70,71,0.01411089
1748119831119,759,70,71,0.01416375
1748119831133,760,71,71,0.01394938
1748119831147,761,71,71,0.01390443
1748119831161,762,72,71,0.01380281
1748119831175,763,71,71,0.0138988
1748119831189,764,68,71,0.01458412
1748119831202,765,74,71,0.01346573
1748119831216,766,73,72,0.0135449
1748119831230,767,70,71,0.0141712
1748119831244,768,72,72,0.01381547
1748119831258,769,71,71,0.01401052
1748119831272,770,72,71,0.01381932
1748119831286,771,71,71,0.01405276
1748119831300,772,71,71,0.01390693
1748119831314,773,70,71,0.01420005
1748119831328,774,71,71,0.01396188
1748119831342,775,73,72,0.01354344
1748119831356,776,70,71,0.0141674
1748119831369,777,72,71,0.01379261
1748119831383,778,72,72,0.01380182
1748119831397,779,71,71,0.01406625
1748119831411,780,73,72,0.0135611
1748119831425,781,71,71,0.01406406
1748119831439,782,71,71,0.01389583
1748119831454,783,68,71,0.01456922
1748119831467,784,71,71,0.01406797
1748119831481,785,76,72,0.01311651
1748119831495,786,71,72,0.01401151
1748119831509,787,72,72,0.01376693
1748119831523,788,68,71,0.01452037
1748119831537,789,74,72,0.01338193
1748119831551,790,71,71,0.01407797
1748119831564,791,71,71,0.01393031
1748119831578,792,71,71,0.01390547
1748119831592,793,72,71,0.0138738
1748119831606,794,72,72,0.01372052
1748119831620,795,67,70,0.01486068
1748119831634,796,74,71,0.01336443
1748119831648,797,71,71,0.0139375
1748119831662,798,72,72,0.01375068
1748119831676,799,73,72,0.01363042
1748119831690,800,69,71,0.01436333
