unix_ms,frame,current_fps,smoothed_fps,dt
1748121002810,315,71,17,0.01390172
1748121002820,316,1,13,0.6199915
1748121002833,317,143,46,0.006977501
1748121002848,318,74,53,0.013505
1748121002864,319,67,56,0.01476709
1748121002879,320,64,58,0.01548641
1748121002894,321,65,60,0.01528354
1748121002909,322,65,61,0.01515365
1748121002924,323,67,63,0.01479896
1748121002938,324,67,64,0.01474287
1748121002953,325,68,65,0.01462641
1748121002967,326,68,66,0.01470182
1748121002982,327,68,66,0.01458375
1748121002996,328,71,67,0.01399651
1748121003010,329,69,68,0.01431667
1748121003024,330,69,68,0.01444224
1748121003038,331,70,69,0.01416297
1748121003053,332,71,69,0.01399995
1748121003067,333,69,69,0.01432682
1748121003081,334,71,70,0.01406458
1748121003095,335,71,70,0.01404516
1748121003109,336,71,70,0.01399073
1748121003123,337,71,70,0.01397698
1748121003137,338,71,71,0.01399203
1748121003151,339,71,71,0.01398146
1748121003165,340,71,71,0.01400734
1748121003179,341,71,71,0.01396083
1748121003193,342,72,71,0.01380438
1748121003207,343,71,71,0.01401094
1748121003220,344,71,71,0.01406927
1748121003234,345,73,71,0.01368365
1748121003248,346,71,71,0.01400349
1748121003262,347,71,71,0.01402719
1748121003276,348,72,71,0.01386089
1748121003290,349,71,71,0.01399318
1748121003304,350,71,71,0.01392354
1748121003318,351,71,71,0.01400193
1748121003332,352,71,71,0.01406375
1748121003346,353,71,71,0.01393896
1748121003360,354,71,71,0.01392
1748121003374,355,71,71,0.01396583
1748121003388,356,70,71,0.01413333
1748121003402,357,71,71,0.01395865
1748121003416,358,72,71,0.01386698
1748121003430,359,71,71,0.01403995
1748121003444,360,70,71,0.01425974
1748121003458,361,73,71,0.01366203
1748121003472,362,71,71,0.01406406
1748121003486,363,72,71,0.01377146
1748121003500,364,69,71,0.01443344
1748121003514,365,71,71,0.01401412
1748121003528,366,71,71,0.01400141
1748121003542,367,73,71,0.01353677
1748121003556,368,72,71,0.01386109
1748121003569,369,70,71,0.0142013
1748121003584,370,73,72,0.01353891
1748121003598,371,69,71,0.01443307
1748121003611,372,68,70,0.01456547
1748121003625,373,76,72,0.01301412
1748121003639,374,72,72,0.01371516
1748121003653,375,71,72,0.01388964
1748121003667,376,69,71,0.01435708
1748121003681,377,72,71,0.01384354
1748121003695,378,72,72,0.0137438
1748121003709,379,70,71,0.01413037
1748121003723,380,72,71,0.01374854
1748121003737,381,70,71,0.01412276
1748121003751,382,72,71,0.01388865
1748121003765,383,69,71,0.01435969
1748121003779,384,71,71,0.01394792
1748121003792,385,75,72,0.01329828
1748121003806,386,71,72,0.01398412
1748121003820,387,71,71,0.01402261
1748121003834,388,71,71,0.01398271
1748121003848,389,73,72,0.01358854
1748121003862,390,69,71,0.01430839
1748121003876,391,72,71,0.01370823
1748121003890,392,71,71,0.01396563
1748121003905,393,71,71,0.01401073
1748121003918,394,67,70,0.01486255
1748121003932,395,73,71,0.01360047
1748121003946,396,72,71,0.01382422
1748121003959,397,74,72,0.01339438
1748121003974,398,73,72,0.01368797
1748121003988,399,70,72,0.01418193
1748121004002,400,70,71,0.0142499
1748121004016,401,71,71,0.01405323
1748121004029,402,72,71,0.01385068
1748121004043,403,74,72,0.01346136
1748121004057,404,70,71,0.01410589
1748121004071,405,71,71,0.01400709
1748121004085,406,71,71,0.01392984
1748121004100,407,70,71,0.01409615
1748121004113,408,67,70,0.0147462
1748121004127,409,77,72,0.01296797
1748121004141,410,72,72,0.01376349
1748121004155,411,70,71,0.01416771
1748121004169,412,73,72,0.01369708
1748121004183,413,71,71,0.01403964
1748121004197,414,70,71,0.01424677
1748121004210,415,72,71,0.01371016
1748121004224,416,72,72,0.01375865
1748121004238,417,72,72,0.01372646
1748121004252,418,70,71,0.01411052
1748121004267,419,70,71,0.01423875
1748121004280,420,71,71,0.01402349
1748121004294,421,73,71,0.01359964
1748121004308,422,71,71,0.0139149
1748121004322,423,71,71,0.01401193
1748121004336,424,71,71,0.01395886
1748121004350,425,71,71,0.01389729
1748121004364,426,71,71,0.01406583
1748121004378,427,71,71,0.01389292
1748121004392,428,72,71,0.01383719
1748121004406,429,71,71,0.01399808
1748121004420,430,72,71,0.01385229
1748121004434,431,68,71,0.01460042
1748121004447,432,74,71,0.01350724
1748121004461,433,72,71,0.01376297
1748121004475,434,71,71,0.01394505
1748121004489,435,72,72,0.01380682
1748121004503,436,71,71,0.01401568
1748121004517,437,71,71,0.01392589
1748121004531,438,70,71,0.01419047
1748121004545,439,70,71,0.01420068
1748121004559,440,75,72,0.01329901
1748121004573,441,72,72,0.01384688
1748121004587,442,71,72,0.01401766
1748121004601,443,70,71,0.01413401
1748121004614,444,72,71,0.01385344
1748121004628,445,72,71,0.01383698
1748121004642,446,71,71,0.01390599
1748121004656,447,69,71,0.01443229
1748121004670,448,73,71,0.01352724
1748121004684,449,71,71,0.01391307
1748121004698,450,70,71,0.01419839
1748121004712,451,70,71,0.01428568
1748121004726,452,75,72,0.01327479
1748121004740,453,72,72,0.01383365
1748121004754,454,71,72,0.0138911
1748121004768,455,70,71,0.01410339
1748121004782,456,71,71,0.01399281
1748121004796,457,71,71,0.01400485
1748121004809,458,71,71,0.01394766
1748121004824,459,73,72,0.01363037
1748121004838,460,70,71,0.0141937
1748121004852,461,72,71,0.01386219
1748121004866,462,70,71,0.01416776
1748121004879,463,70,71,0.01410469
1748121004893,464,75,72,0.01330958
1748121004907,465,70,71,0.01411943
1748121004921,466,71,71,0.01389568
1748121004935,467,70,71,0.01414672
1748121004949,468,73,72,0.01353281
1748121004963,469,69,71,0.01445188
1748121004977,470,73,71,0.01368625
1748121004991,471,72,72,0.01379787
1748121005005,472,70,71,0.01416537
1748121005019,473,73,72,0.01366521
1748121005033,474,70,71,0.0142349
1748121005047,475,69,71,0.01433568
1748121005060,476,74,71,0.0134075
1748121005074,477,72,72,0.01384052
1748121005088,478,71,71,0.01393584
1748121005102,479,71,71,0.01402396
1748121005116,480,71,71,0.01389016
1748121005130,481,70,71,0.01409542
1748121005144,482,71,71,0.01403766
1748121005158,483,74,72,0.01342656
1748121005172,484,70,71,0.01411297
1748121005186,485,71,71,0.01389464
1748121005200,486,70,71,0.01410953
1748121005214,487,69,71,0.0143288
1748121005228,488,73,71,0.01362026
1748121005242,489,72,72,0.01369932
1748121005255,490,71,72,0.01392412
1748121005269,491,71,71,0.01394339
1748121005283,492,72,72,0.01376813
1748121005297,493,70,71,0.01422953
1748121005311,494,69,71,0.01432094
1748121005325,495,74,71,0.01347375
1748121005339,496,73,72,0.01363787
1748121005353,497,71,71,0.01407761
1748121005367,498,70,71,0.01420552
1748121005381,499,70,71,0.01413354
1748121005395,500,73,71,0.01358839
1748121005409,501,69,71,0.01445297
1748121005423,502,74,72,0.01334198
1748121005437,503,71,71,0.01399182
1748121005451,504,71,71,0.0139125
1748121005464,505,70,71,0.01419443
1748121005478,506,70,71,0.01412464
1748121005492,507,74,72,0.01338
1748121005506,508,71,71,0.01403719
1748121005520,509,72,72,0.01384901
1748121005534,510,72,72,0.013885
1748121005548,511,71,71,0.01402651
1748121005562,512,71,71,0.01404266
1748121005576,513,72,71,0.01381365
1748121005590,514,71,71,0.01393917
1748121005604,515,71,71,0.01392656
1748121005618,516,71,71,0.01393635
1748121005632,517,70,71,0.01422104
1748121005646,518,69,70,0.01438292
1748121005659,519,75,72,0.0131799
1748121005673,520,73,72,0.01365167
1748121005687,521,70,71,0.01417708
1748121005701,522,71,71,0.01407849
