unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748121429470,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429471,333,Left,2.106647,355.3738,359.5153,0.9980469
1748121429506,334,Left,2.112867,355.864,359.491,0.9980469
1748121429506,334,Left,2.112867,355.864,359.491,0.9980469
1748121429506,334,Left,2.112867,355.864,359.491,0.9980469
1748121429507,334,Left,2.112867,355.864,359.491,0.9980469
1748121429507,334,Left,2.112867,355.864,359.491,0.9980469
1748121429507,334,Left,2.112867,355.864,359.491,0.9980469
1748121429507,334,Left,2.112867,355.864,359.491,0.9980469
1748121429546,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429547,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429547,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429547,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429547,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429547,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429547,335,Left,3.351803,356.3902,359.4406,0.9980469
1748121429588,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429588,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429588,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429588,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429589,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429589,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429589,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429589,336,Left,3.345945,355.9774,359.4568,0.9980469
1748121429629,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429630,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429630,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429630,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429630,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429630,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429630,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429631,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429631,337,Left,3.311297,356.305,359.4449,0.9980469
1748121429671,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429671,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429672,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429672,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429672,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429672,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429672,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429672,338,Left,3.23401,356.3499,359.445,0.9980469
1748121429706,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429707,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429707,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429707,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429707,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429708,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429708,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429708,339,Left,3.234202,356.3499,359.4449,0.9980469
1748121429743,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429743,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429743,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429744,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429744,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429744,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429744,340,Left,3.705032,356.3419,359.4354,0.9980469
1748121429782,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429782,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429782,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429783,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429783,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429784,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429784,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429784,341,Left,2.966233,356.5206,359.4427,0.9980469
1748121429824,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429824,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429824,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429825,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429825,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429825,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429825,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429825,342,Left,2.787897,356.5235,359.4463,0.9980469
1748121429866,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429866,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429866,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429866,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429867,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429867,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429867,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429867,343,Left,2.46963,356.2483,359.4645,0.9980469
1748121429907,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429907,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429908,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429908,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429908,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429908,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429908,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429908,344,Left,2.823558,356.0619,359.4657,0.9980469
1748121429949,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429949,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429949,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429949,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429949,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429950,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429950,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429950,345,Left,2.823485,356.0629,359.4656,0.9980469
1748121429991,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429991,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429991,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429991,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429991,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429992,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429992,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429992,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121429992,346,Left,2.515333,356.3288,359.4608,0.9980469
1748121430033,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430033,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430033,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430034,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430034,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430034,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430034,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430034,347,Left,2.51492,356.3287,359.4603,0.9980469
1748121430074,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430075,348,Left,2.341779,355.974,359.4807,0.9980469
1748121430076,348,Left,2.341779,355.974,359.4807,0.9980469
