unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748119903552,360,Left,358.4121,359.894,356.5501,0.9980469
1748119903552,360,Left,358.4121,359.894,356.5501,0.9980469
1748119903553,360,Left,358.4121,359.894,356.5501,0.9980469
1748119903566,361,Left,358.4121,359.894,356.5501,0.9980469
1748119903566,361,Left,358.4121,359.894,356.5501,0.9980469
1748119903567,361,Left,358.4121,359.894,356.5501,0.9980469
1748119903580,362,Left,356.381,1.81681,356.4168,0.9980469
1748119903581,362,Left,356.381,1.81681,356.4168,0.9980469
1748119903594,363,Left,356.381,1.81681,356.4168,0.9980469
1748119903594,363,Left,356.381,1.81681,356.4168,0.9980469
1748119903594,363,Left,356.381,1.81681,356.4168,0.9980469
1748119903608,364,Left,356.381,1.81681,356.4168,0.9980469
1748119903608,364,Left,356.381,1.81681,356.4168,0.9980469
1748119903609,364,Left,356.381,1.81681,356.4168,0.9980469
1748119903622,365,Left,355.6542,1.855413,356.421,0.9980469
1748119903622,365,Left,355.6542,1.855413,356.421,0.9980469
1748119903622,365,Left,355.6542,1.855413,356.421,0.9980469
1748119903636,366,Left,355.6542,1.855413,356.421,0.9980469
1748119903636,366,Left,355.6542,1.855413,356.421,0.9980469
1748119903636,366,Left,355.6542,1.855413,356.421,0.9980469
1748119903650,367,Left,355.3502,1.423667,356.4717,0.9980469
1748119903650,367,Left,355.3502,1.423667,356.4717,0.9980469
1748119903664,368,Left,355.3502,1.423667,356.4717,0.9980469
1748119903664,368,Left,355.3502,1.423667,356.4717,0.9980469
1748119903664,368,Left,355.3502,1.423667,356.4717,0.9980469
1748119903678,369,Left,355.3682,1.373514,356.497,0.9980469
1748119903678,369,Left,355.3682,1.373514,356.497,0.9980469
1748119903678,369,Left,355.3682,1.373514,356.497,0.9980469
1748119903691,370,Left,355.3682,1.373514,356.497,0.9980469
1748119903692,370,Left,355.3682,1.373514,356.497,0.9980469
1748119903692,370,Left,355.3682,1.373514,356.497,0.9980469
1748119903705,371,Left,355.3682,1.373514,356.497,0.9980469
1748119903706,371,Left,355.3682,1.373514,356.497,0.9980469
1748119903719,372,Left,355.3882,1.243945,356.5424,0.9980469
1748119903720,372,Left,355.3882,1.243945,356.5424,0.9980469
1748119903720,372,Left,355.3882,1.243945,356.5424,0.9980469
1748119903733,373,Left,355.3882,1.243945,356.5424,0.9980469
1748119903734,373,Left,355.3882,1.243945,356.5424,0.9980469
1748119903734,373,Left,355.3882,1.243945,356.5424,0.9980469
1748119903747,374,Left,355.401,1.157046,356.6143,0.9980469
1748119903748,374,Left,355.401,1.157046,356.6143,0.9980469
1748119903748,374,Left,355.401,1.157046,356.6143,0.9980469
1748119903761,375,Left,355.401,1.157046,356.6143,0.9980469
1748119903761,375,Left,355.401,1.157046,356.6143,0.9980469
1748119903762,375,Left,355.401,1.157046,356.6143,0.9980469
1748119903775,376,Left,355.401,1.157046,356.6143,0.9980469
1748119903775,376,Left,355.401,1.157046,356.6143,0.9980469
1748119903789,377,Left,355.7971,1.160377,356.7047,0.9980469
1748119903789,377,Left,355.7971,1.160377,356.7047,0.9980469
1748119903789,377,Left,355.7971,1.160377,356.7047,0.9980469
1748119903803,378,Left,355.7971,1.160377,356.7047,0.9980469
1748119903803,378,Left,355.7971,1.160377,356.7047,0.9980469
1748119903804,378,Left,355.7971,1.160377,356.7047,0.9980469
1748119903817,379,Left,355.7684,0.8061953,356.8088,0.9980469
1748119903817,379,Left,355.7684,0.8061953,356.8088,0.9980469
1748119903818,379,Left,355.7684,0.8061953,356.8088,0.9980469
1748119903831,380,Left,355.7684,0.8061953,356.8088,0.9980469
1748119903831,380,Left,355.7684,0.8061953,356.8088,0.9980469
1748119903831,380,Left,355.7684,0.8061953,356.8088,0.9980469
1748119903845,381,Left,355.7808,0.6054474,356.83,0.9980469
1748119903845,381,Left,355.7808,0.6054474,356.83,0.9980469
1748119903859,382,Left,355.7808,0.6054474,356.83,0.9980469
1748119903859,382,Left,355.7808,0.6054474,356.83,0.9980469
1748119903859,382,Left,355.7808,0.6054474,356.83,0.9980469
1748119903873,383,Left,355.7808,0.6054474,356.83,0.9980469
1748119903873,383,Left,355.7808,0.6054474,356.83,0.9980469
1748119903873,383,Left,355.7808,0.6054474,356.83,0.9980469
1748119903887,384,Left,355.7556,359.9046,356.8393,0.9980469
1748119903887,384,Left,355.7556,359.9046,356.8393,0.9980469
1748119903887,384,Left,355.7556,359.9046,356.8393,0.9980469
1748119903900,385,Left,355.7556,359.9046,356.8393,0.9980469
1748119903901,385,Left,355.7556,359.9046,356.8393,0.9980469
1748119903914,386,Left,355.9811,0.2125034,356.7634,0.9980469
1748119903915,386,Left,355.9811,0.2125034,356.7634,0.9980469
1748119903916,386,Left,355.9811,0.2125034,356.7634,0.9980469
1748119903928,387,Left,355.9811,0.2125034,356.7634,0.9980469
1748119903929,387,Left,355.9811,0.2125034,356.7634,0.9980469
