unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748119824944,317,Left,358.1529,358.6505,357.524,0.9980469
1748119824945,317,Left,358.1529,358.6505,357.524,0.9980469
1748119824945,317,Left,358.1529,358.6505,357.524,0.9980469
1748119824977,319,Left,358.155,358.638,357.4897,0.9980469
1748119824977,319,Left,358.155,358.638,357.4897,0.9980469
1748119824977,319,Left,358.155,358.638,357.4897,0.9980469
1748119824977,319,Left,358.155,358.638,357.4897,0.9980469
1748119824991,320,Left,358.1652,358.6314,357.4784,0.9980469
1748119824992,320,Left,358.1652,358.6314,357.4784,0.9980469
1748119825588,362,Left,358.2631,358.5742,357.7119,0.9980469
1748119825588,362,Left,358.2631,358.5742,357.7119,0.9980469
1748119825589,362,Left,358.2631,358.5742,357.7119,0.9980469
1748119825602,363,Left,358.2631,358.5742,357.7119,0.9980469
1748119825602,363,Left,358.2631,358.5742,357.7119,0.9980469
1748119825616,364,Left,356.6479,358.9735,357.6729,0.9980469
1748119825617,364,Left,356.6479,358.9735,357.6729,0.9980469
1748119825617,364,Left,356.6479,358.9735,357.6729,0.9980469
1748119825630,365,Left,356.6479,358.9735,357.6729,0.9980469
1748119825630,365,Left,356.6479,358.9735,357.6729,0.9980469
1748119825630,365,Left,356.6479,358.9735,357.6729,0.9980469
1748119825644,366,Left,355.7605,359.0154,357.6546,0.9980469
1748119825644,366,Left,355.7605,359.0154,357.6546,0.9980469
1748119825644,366,Left,355.7605,359.0154,357.6546,0.9980469
1748119825658,367,Left,355.7605,359.0154,357.6546,0.9980469
1748119825658,367,Left,355.7605,359.0154,357.6546,0.9980469
1748119825658,367,Left,355.7605,359.0154,357.6546,0.9980469
1748119825672,368,Left,355.7605,359.0154,357.6546,0.9980469
1748119825672,368,Left,355.7605,359.0154,357.6546,0.9980469
1748119825686,369,Left,356.2995,358.6767,357.6575,0.9980469
1748119825686,369,Left,356.2995,358.6767,357.6575,0.9980469
1748119825686,369,Left,356.2995,358.6767,357.6575,0.9980469
1748119825700,370,Left,356.2995,358.6767,357.6575,0.9980469
1748119825700,370,Left,356.2995,358.6767,357.6575,0.9980469
1748119825700,370,Left,356.2995,358.6767,357.6575,0.9980469
1748119825714,371,Left,356.2805,358.297,357.6615,0.9980469
1748119825714,371,Left,356.2805,358.297,357.6615,0.9980469
1748119825714,371,Left,356.2805,358.297,357.6615,0.9980469
1748119825727,372,Left,356.2805,358.297,357.6615,0.9980469
1748119825728,372,Left,356.2805,358.297,357.6615,0.9980469
1748119825728,372,Left,356.2805,358.297,357.6615,0.9980469
1748119825741,373,Left,356.2805,358.297,357.6615,0.9980469
1748119825742,373,Left,356.2805,358.297,357.6615,0.9980469
1748119825755,374,Left,356.3667,358.4745,357.6299,0.9980469
1748119825756,374,Left,356.3667,358.4745,357.6299,0.9980469
1748119825756,374,Left,356.3667,358.4745,357.6299,0.9980469
1748119825769,375,Left,356.3667,358.4745,357.6299,0.9980469
1748119825769,375,Left,356.3667,358.4745,357.6299,0.9980469
1748119825770,375,Left,356.3667,358.4745,357.6299,0.9980469
1748119825783,376,Left,356.4783,358.2952,357.6283,0.9980469
1748119825784,376,Left,356.4783,358.2952,357.6283,0.9980469
1748119825784,376,Left,356.4783,358.2952,357.6283,0.9980469
1748119825797,377,Left,356.4783,358.2952,357.6283,0.9980469
1748119825797,377,Left,356.4783,358.2952,357.6283,0.9980469
1748119825798,377,Left,356.4783,358.2952,357.6283,0.9980469
1748119825811,378,Left,356.4727,358.2673,357.6138,0.9980469
1748119825811,378,Left,356.4727,358.2673,357.6138,0.9980469
1748119825825,379,Left,356.4727,358.2673,357.6138,0.9980469
1748119825825,379,Left,356.4727,358.2673,357.6138,0.9980469
1748119825825,379,Left,356.4727,358.2673,357.6138,0.9980469
1748119825839,380,Left,356.4727,358.2673,357.6138,0.9980469
1748119825839,380,Left,356.4727,358.2673,357.6138,0.9980469
1748119825839,380,Left,356.4727,358.2673,357.6138,0.9980469
1748119825853,381,Left,356.3877,358.2807,357.5969,0.9980469
1748119825853,381,Left,356.3877,358.2807,357.5969,0.9980469
1748119825854,381,Left,356.3877,358.2807,357.5969,0.9980469
1748119825867,382,Left,356.3877,358.2807,357.5969,0.9980469
1748119825867,382,Left,356.3877,358.2807,357.5969,0.9980469
1748119825881,383,Left,356.2469,358.29,357.5876,0.9980469
1748119825881,383,Left,356.2469,358.29,357.5876,0.9980469
1748119825881,383,Left,356.2469,358.29,357.5876,0.9980469
1748119825894,384,Left,356.2469,358.29,357.5876,0.9980469
1748119825895,384,Left,356.2469,358.29,357.5876,0.9980469
1748119825895,384,Left,356.2469,358.29,357.5876,0.9980469
1748119825909,385,Left,356.2469,358.29,357.5876,0.9980469
1748119825909,385,Left,356.2469,358.29,357.5876,0.9980469
1748119825909,385,Left,356.2469,358.29,357.5876,0.9980469
1748119825922,386,Left,356.1855,358.4556,357.5808,0.9980469
1748119825923,386,Left,356.1855,358.4556,357.5808,0.9980469
1748119825923,386,Left,356.1855,358.4556,357.5808,0.9980469
1748119825936,387,Left,356.1855,358.4556,357.5808,0.9980469
1748119825937,387,Left,356.1855,358.4556,357.5808,0.9980469
1748119825950,388,Left,356.1923,358.3529,357.598,0.9980469
1748119825951,388,Left,356.1923,358.3529,357.598,0.9980469
1748119825951,388,Left,356.1923,358.3529,357.598,0.9980469
1748119825964,389,Left,356.1923,358.3529,357.598,0.9980469
1748119825965,389,Left,356.1923,358.3529,357.598,0.9980469
1748119825965,389,Left,356.1923,358.3529,357.598,0.9980469
1748119825978,390,Left,356.1813,358.4436,357.6004,0.9980469
1748119825979,390,Left,356.1813,358.4436,357.6004,0.9980469
1748119825979,390,Left,356.1813,358.4436,357.6004,0.9980469
1748119825992,391,Left,356.1813,358.4436,357.6004,0.9980469
1748119825992,391,Left,356.1813,358.4436,357.6004,0.9980469
1748119826006,392,Left,356.1813,358.4436,357.6004,0.9980469
1748119826007,392,Left,356.1813,358.4436,357.6004,0.9980469
1748119826007,392,Left,356.1813,358.4436,357.6004,0.9980469
1748119826020,393,Left,356.4861,358.6535,357.5959,0.9980469
1748119826020,393,Left,356.4861,358.6535,357.5959,0.9980469
1748119826021,393,Left,356.4861,358.6535,357.5959,0.9980469
1748119826034,394,Left,356.4861,358.6535,357.5959,0.9980469
1748119826034,394,Left,356.4861,358.6535,357.5959,0.9980469
1748119826035,394,Left,356.4861,358.6535,357.5959,0.9980469
1748119826048,395,Left,356.6023,358.6484,357.6064,0.9980469
1748119826048,395,Left,356.6023,358.6484,357.6064,0.9980469
1748119826048,395,Left,356.6023,358.6484,357.6064,0.9980469
1748119826062,396,Left,356.6023,358.6484,357.6064,0.9980469
1748119826062,396,Left,356.6023,358.6484,357.6064,0.9980469
1748119826076,397,Left,356.6023,358.6484,357.6064,0.9980469
1748119826076,397,Left,356.6023,358.6484,357.6064,0.9980469
1748119826076,397,Left,356.6023,358.6484,357.6064,0.9980469
1748119826090,398,Left,356.5928,358.6032,357.6169,0.9980469
1748119826090,398,Left,356.5928,358.6032,357.6169,0.9980469
1748119826090,398,Left,356.5928,358.6032,357.6169,0.9980469
1748119826104,399,Left,356.5928,358.6032,357.6169,0.9980469
1748119826104,399,Left,356.5928,358.6032,357.6169,0.9980469
1748119826104,399,Left,356.5928,358.6032,357.6169,0.9980469
1748119826118,400,Left,356.263,358.4124,357.6344,0.9980469
1748119826118,400,Left,356.263,358.4124,357.6344,0.9980469
1748119826118,400,Left,356.263,358.4124,357.6344,0.9980469
1748119826131,401,Left,356.263,358.4124,357.6344,0.9980469
1748119826132,401,Left,356.263,358.4124,357.6344,0.9980469
1748119826145,402,Left,356.2439,358.2257,357.649,0.9980469
1748119826146,402,Left,356.2439,358.2257,357.649,0.9980469
1748119826146,402,Left,356.2439,358.2257,357.649,0.9980469
1748119826159,403,Left,356.2439,358.2257,357.649,0.9980469
1748119826160,403,Left,356.2439,358.2257,357.649,0.9980469
1748119826160,403,Left,356.2439,358.2257,357.649,0.9980469
1748119826174,404,Left,356.2439,358.2257,357.649,0.9980469
1748119826174,404,Left,356.2439,358.2257,357.649,0.9980469
1748119826174,404,Left,356.2439,358.2257,357.649,0.9980469
1748119826187,405,Left,356.6023,358.1118,357.6627,0.9980469
1748119826188,405,Left,356.6023,358.1118,357.6627,0.9980469
1748119826188,405,Left,356.6023,358.1118,357.6627,0.9980469
1748119826201,406,Left,356.6023,358.1118,357.6627,0.9980469
1748119826201,406,Left,356.6023,358.1118,357.6627,0.9980469
1748119826215,407,Left,356.6123,358.0316,357.6769,0.9980469
1748119826215,407,Left,356.6123,358.0316,357.6769,0.9980469
1748119826216,407,Left,356.6123,358.0316,357.6769,0.9980469
