unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748119903552,360,Right,358.226,356.7986,356.7592,0.9980469
1748119903552,360,Right,358.226,356.7986,356.7592,0.9980469
1748119903553,360,Right,358.226,356.7986,356.7592,0.9980469
1748119903566,361,Right,358.226,356.7986,356.7592,0.9980469
1748119903566,361,Right,358.226,356.7986,356.7592,0.9980469
1748119903567,361,Right,358.226,356.7986,356.7592,0.9980469
1748119903580,362,Right,356.1933,358.7135,356.6778,0.9980469
1748119903581,362,Right,356.1933,358.7135,356.6778,0.9980469
1748119903594,363,Right,356.1933,358.7135,356.6778,0.9980469
1748119903594,363,Right,356.1933,358.7135,356.6778,0.9980469
1748119903594,363,Right,356.1933,358.7135,356.6778,0.9980469
1748119903608,364,Right,356.1933,358.7135,356.6778,0.9980469
1748119903608,364,Right,356.1933,358.7135,356.6778,0.9980469
1748119903609,364,Right,356.1933,358.7135,356.6778,0.9980469
1748119903622,365,Right,355.4676,358.7492,356.7015,0.9980469
1748119903622,365,Right,355.4676,358.7492,356.7015,0.9980469
1748119903622,365,Right,355.4676,358.7492,356.7015,0.9980469
1748119903636,366,Right,355.4676,358.7492,356.7015,0.9980469
1748119903636,366,Right,355.4676,358.7492,356.7015,0.9980469
1748119903636,366,Right,355.4676,358.7492,356.7015,0.9980469
1748119903650,367,Right,355.1664,358.3164,356.761,0.9980469
1748119903650,367,Right,355.1664,358.3164,356.761,0.9980469
1748119903664,368,Right,355.1664,358.3164,356.761,0.9980469
1748119903664,368,Right,355.1664,358.3164,356.761,0.9980469
1748119903664,368,Right,355.1664,358.3164,356.761,0.9980469
1748119903678,369,Right,355.1858,358.2663,356.7853,0.9980469
1748119903678,369,Right,355.1858,358.2663,356.7853,0.9980469
1748119903678,369,Right,355.1858,358.2663,356.7853,0.9980469
1748119903691,370,Right,355.1858,358.2663,356.7853,0.9980469
1748119903692,370,Right,355.1858,358.2663,356.7853,0.9980469
1748119903692,370,Right,355.1858,358.2663,356.7853,0.9980469
1748119903705,371,Right,355.1858,358.2663,356.7853,0.9980469
1748119903706,371,Right,355.1858,358.2663,356.7853,0.9980469
1748119903719,372,Right,355.2081,358.1368,356.8296,0.9980469
1748119903720,372,Right,355.2081,358.1368,356.8296,0.9980469
1748119903720,372,Right,355.2081,358.1368,356.8296,0.9980469
1748119903733,373,Right,355.2081,358.1368,356.8296,0.9980469
1748119903734,373,Right,355.2081,358.1368,356.8296,0.9980469
1748119903734,373,Right,355.2081,358.1368,356.8296,0.9980469
1748119903747,374,Right,355.2247,358.0497,356.9006,0.9980469
1748119903748,374,Right,355.2247,358.0497,356.9006,0.9980469
1748119903748,374,Right,355.2247,358.0497,356.9006,0.9980469
1748119903761,375,Right,355.2247,358.0497,356.9006,0.9980469
1748119903761,375,Right,355.2247,358.0497,356.9006,0.9980469
1748119903762,375,Right,355.2247,358.0497,356.9006,0.9980469
1748119903775,376,Right,355.2247,358.0497,356.9006,0.9980469
1748119903775,376,Right,355.2247,358.0497,356.9006,0.9980469
1748119903789,377,Right,355.6254,358.0542,356.9802,0.9980469
1748119903789,377,Right,355.6254,358.0542,356.9802,0.9980469
1748119903790,377,Right,355.6254,358.0542,356.9802,0.9980469
1748119903803,378,Right,355.6254,358.0542,356.9802,0.9980469
1748119903803,378,Right,355.6254,358.0542,356.9802,0.9980469
1748119903804,378,Right,355.6254,358.0542,356.9802,0.9980469
1748119903817,379,Right,355.6024,357.6996,357.086,0.9980469
1748119903817,379,Right,355.6024,357.6996,357.086,0.9980469
1748119903818,379,Right,355.6024,357.6996,357.086,0.9980469
1748119903831,380,Right,355.6024,357.6996,357.086,0.9980469
1748119903831,380,Right,355.6024,357.6996,357.086,0.9980469
1748119903831,380,Right,355.6024,357.6996,357.086,0.9980469
1748119903845,381,Right,355.6161,357.4985,357.1064,0.9980469
1748119903845,381,Right,355.6161,357.4985,357.1064,0.9980469
1748119903859,382,Right,355.6161,357.4985,357.1064,0.9980469
1748119903859,382,Right,355.6161,357.4985,357.1064,0.9980469
1748119903859,382,Right,355.6161,357.4985,357.1064,0.9980469
1748119903873,383,Right,355.6161,357.4985,357.1064,0.9980469
1748119903873,383,Right,355.6161,357.4985,357.1064,0.9980469
1748119903873,383,Right,355.6161,357.4985,357.1064,0.9980469
1748119903887,384,Right,355.5916,356.7975,357.1147,0.9980469
1748119903887,384,Right,355.5916,356.7975,357.1147,0.9980469
1748119903887,384,Right,355.5916,356.7975,357.1147,0.9980469
1748119903900,385,Right,355.5916,356.7975,357.1147,0.9980469
1748119903901,385,Right,355.5916,356.7975,357.1147,0.9980469
1748119903915,386,Right,355.8134,357.1065,357.0267,0.9980469
1748119903915,386,Right,355.8134,357.1065,357.0267,0.9980469
1748119903916,386,Right,355.8134,357.1065,357.0267,0.9980469
1748119903928,387,Right,355.8134,357.1065,357.0267,0.9980469
1748119903929,387,Right,355.8134,357.1065,357.0267,0.9980469
1748119903929,387,Right,355.8134,357.1065,357.0267,0.9980469
1748119903942,388,Right,355.8134,357.1065,357.0267,0.9980469
1748119903942,388,Right,355.8134,357.1065,357.0267,0.9980469
1748119903943,388,Right,355.8134,357.1065,357.0267,0.9980469
1748119903956,389,Right,356.7475,356.4698,357.0463,0.9980469
1748119903956,389,Right,356.7475,356.4698,357.0463,0.9980469
