unix_ms,frame,current_fps,smoothed_fps,dt
1748121115016,316,71,17,0.01402406
1748121115024,317,1,13,0.6215407
1748121115037,318,196,59,0.005092813
1748121115052,319,78,64,0.01266266
1748121115067,320,68,65,0.01460047
1748121115083,321,65,65,0.01532104
1748121115098,322,64,65,0.01556667
1748121115113,323,65,65,0.01522953
1748121115128,324,66,65,0.01502156
1748121115142,325,67,66,0.01482089
1748121115157,326,68,66,0.01456589
1748121115171,327,68,67,0.0146963
1748121115186,328,69,67,0.01447234
1748121115200,329,69,67,0.01447021
1748121115214,330,71,68,0.01406917
1748121115229,331,69,68,0.01447261
1748121115243,332,69,69,0.01433438
1748121115257,333,70,69,0.01410464
1748121115271,334,70,69,0.01426104
1748121115285,335,72,70,0.01388656
1748121115299,336,70,70,0.01419958
1748121115313,337,70,70,0.01408912
1748121115327,338,70,70,0.01426021
1748121115341,339,72,70,0.01387146
1748121115355,340,72,71,0.01380761
1748121115369,341,71,71,0.01394547
1748121115383,342,72,71,0.01384516
1748121115397,343,70,71,0.01421453
1748121115411,344,71,71,0.01389151
1748121115425,345,70,71,0.01414781
1748121115439,346,73,71,0.01368896
1748121115453,347,72,71,0.01379688
1748121115467,348,70,71,0.0141186
1748121115481,349,69,71,0.01440682
1748121115495,350,74,71,0.01350547
1748121115509,351,71,71,0.01401344
1748121115523,352,72,71,0.01385422
1748121115537,353,71,71,0.01404787
1748121115551,354,71,71,0.01395547
1748121115564,355,71,71,0.01403016
1748121115578,356,72,71,0.01378854
1748121115593,357,70,71,0.01414193
1748121115606,358,71,71,0.01400672
1748121115620,359,71,71,0.01394453
1748121115634,360,71,71,0.01400125
1748121115648,361,72,71,0.01385552
1748121115662,362,70,71,0.01414302
1748121115677,363,71,71,0.01395516
1748121115691,364,69,71,0.01429667
1748121115704,365,71,71,0.01390771
1748121115718,366,73,71,0.01366521
1748121115733,367,71,71,0.01403703
1748121115746,368,67,70,0.0148362
1748121115760,369,75,71,0.01326953
1748121115774,370,72,71,0.0138075
1748121115788,371,74,72,0.01339922
1748121115802,372,69,71,0.0144112
1748121115816,373,71,71,0.01393396
1748121115830,374,70,71,0.0142613
1748121115843,375,75,72,0.01330604
1748121115858,376,72,72,0.01373948
1748121115872,377,70,71,0.01422005
1748121115886,378,71,71,0.01404834
1748121115900,379,71,71,0.01396031
1748121115914,380,69,71,0.01431521
1748121115927,381,72,71,0.01382136
1748121115941,382,73,71,0.01365156
1748121115955,383,71,71,0.01398594
1748121115969,384,72,71,0.01387057
1748121115983,385,72,72,0.01371709
1748121115997,386,70,71,0.01421495
1748121116011,387,71,71,0.01404917
1748121116025,388,71,71,0.01399354
1748121116039,389,72,71,0.01373063
1748121116053,390,72,72,0.01371057
1748121116067,391,67,70,0.01490484
1748121116081,392,74,71,0.01343495
1748121116094,393,71,71,0.01398349
1748121116108,394,72,71,0.01373552
1748121116122,395,73,72,0.01366917
1748121116136,396,71,72,0.01401229
1748121116150,397,70,71,0.0140888
1748121116164,398,70,71,0.01412662
1748121116178,399,71,71,0.01398667
1748121116192,400,73,72,0.01357901
1748121116206,401,71,71,0.01397709
1748121116220,402,72,71,0.0138488
1748121116234,403,69,71,0.01431854
1748121116248,404,73,71,0.01366005
1748121116262,405,70,71,0.01410505
1748121116276,406,72,71,0.01378714
1748121116289,407,72,72,0.01379334
1748121116304,408,72,72,0.01379432
1748121116318,409,70,71,0.01417047
1748121116332,410,70,71,0.01411808
1748121116345,411,67,70,0.01486698
1748121116359,412,77,72,0.01293995
1748121116373,413,73,72,0.01355959
1748121116387,414,71,72,0.01407833
1748121116401,415,70,71,0.01414672
1748121116415,416,71,71,0.01403568
1748121116429,417,72,71,0.01388797
1748121116443,418,72,71,0.0137513
1748121116457,419,72,71,0.01388724
1748121116471,420,70,71,0.01425151
1748121116485,421,73,71,0.01368354
1748121116499,422,71,71,0.01395307
1748121116513,423,67,70,0.01479755
1748121116526,424,76,72,0.01307136
1748121116540,425,72,72,0.01381281
1748121116554,426,71,72,0.01398349
1748121116569,427,71,72,0.01392005
1748121116582,428,70,71,0.01427599
1748121116596,429,71,71,0.01394771
1748121116610,430,71,71,0.01391818
1748121116624,431,72,71,0.01379531
1748121116638,432,72,72,0.01373188
1748121116652,433,71,71,0.01395578
1748121116667,434,71,71,0.01408412
1748121116680,435,67,70,0.01482391
1748121116694,436,77,72,0.01288683
1748121116708,437,70,71,0.01424198
1748121116722,438,73,72,0.01366953
1748121116735,439,72,72,0.01388552
1748121116749,440,71,72,0.01389422
1748121116763,441,69,71,0.01442505
1748121116777,442,73,71,0.01364714
1748121116791,443,72,72,0.01372375
1748121116805,444,71,71,0.01407557
1748121116819,445,72,71,0.01385516
1748121116834,446,71,71,0.01389703
1748121116847,447,66,70,0.01513412
1748121116861,448,76,72,0.01299401
1748121116875,449,73,72,0.01366109
1748121116889,450,72,72,0.01370151
1748121116903,451,70,72,0.01419307
1748121116917,452,71,71,0.0139824
1748121116931,453,70,71,0.01411922
1748121116944,454,72,71,0.01386099
1748121116958,455,73,72,0.01353583
1748121116972,456,71,72,0.01405083
1748121116986,457,71,71,0.0139712
1748121117001,458,70,71,0.01410844
1748121117014,459,69,70,0.01448714
1748121117028,460,73,71,0.01352141
1748121117042,461,72,71,0.01375162
1748121117056,462,72,72,0.01385948
1748121117070,463,72,72,0.01382886
1748121117084,464,72,72,0.0137787
1748121117098,465,69,71,0.01430292
1748121117112,466,69,71,0.01433412
1748121117125,467,75,72,0.01332906
1748121117140,468,72,72,0.01375188
1748121117153,469,69,71,0.01435235
1748121117168,470,72,71,0.01382224
1748121117181,471,69,71,0.01431438
1748121117195,472,74,72,0.01344349
1748121117209,473,72,72,0.01384505
1748121117223,474,72,72,0.01376297
1748121117237,475,71,72,0.01403745
1748121117251,476,71,71,0.01399125
1748121117265,477,70,71,0.01419969
1748121117279,478,68,70,0.01461781
1748121117293,479,77,72,0.01288422
1748121117306,480,71,72,0.01404693
1748121117320,481,72,72,0.01387438
1748121117334,482,71,71,0.01397281
1748121117349,483,71,71,0.01393042
1748121117362,484,69,71,0.01431734
1748121117376,485,73,71,0.01365943
1748121117390,486,72,72,0.01380349
1748121117404,487,69,71,0.01429349
1748121117418,488,73,72,0.01353479
1748121117432,489,71,71,0.01407537
1748121117446,490,68,70,0.01468828
1748121117460,491,72,71,0.01375953
1748121117474,492,75,72,0.01330474
1748121117488,493,72,72,0.01371589
1748121117502,494,70,71,0.0142237
1748121117516,495,71,71,0.01396443
1748121117529,496,71,71,0.01396959
1748121117543,497,73,72,0.01353047
1748121117557,498,70,71,0.01411391
1748121117571,499,71,71,0.01405547
1748121117585,500,71,71,0.01394901
1748121117600,501,71,71,0.01407505
1748121117613,502,68,70,0.01449297
1748121117627,503,74,71,0.01334995
1748121117641,504,72,72,0.01371245
1748121117655,505,72,72,0.01385057
1748121117669,506,72,72,0.01376292
1748121117683,507,70,71,0.01419005
1748121117697,508,71,71,0.01404896
1748121117711,509,71,71,0.01389359
1748121117724,510,72,71,0.01387104
1748121117739,511,72,71,0.01383344
1748121117753,512,71,71,0.01405021
1748121117767,513,71,71,0.01403156
1748121117780,514,67,70,0.01488287
1748121117794,515,76,72,0.01306714
1748121117808,516,73,72,0.01352766
1748121117822,517,70,72,0.01414885
1748121117836,518,71,71,0.01393807
1748121117850,519,71,71,0.01394063
1748121117864,520,70,71,0.01412208
1748121117878,521,72,71,0.01377323
1748121117892,522,72,71,0.01388792
1748121117906,523,71,71,0.01390469
1748121117919,524,71,71,0.0139163
1748121117934,525,72,72,0.01381729
1748121117948,526,67,70,0.01475401
1748121117961,527,74,71,0.01350182
1748121117975,528,72,71,0.01381807
1748121117989,529,73,72,0.01368729
1748121118003,530,72,72,0.01381667
1748121118017,531,70,71,0.01412891
1748121118031,532,69,71,0.01438625
1748121118045,533,70,71,0.01414641
1748121118059,534,75,72,0.01326068
1748121118073,535,73,72,0.01355917
1748121118087,536,70,72,0.0142199
1748121118101,537,68,71,0.01465573
1748121118114,538,75,72,0.01332615
1748121118128,539,72,72,0.01371875
1748121118142,540,71,72,0.01392563
1748121118157,541,71,71,0.01403089
1748121118170,542,68,71,0.01455318
1748121118184,543,74,71,0.01343136
1748121118198,544,72,72,0.01378953
1748121118212,545,68,71,0.01469349
1748121118226,546,75,72,0.01319089
