unix_ms,frame,current_fps,smoothed_fps,dt
1748121535511,316,71,17,0.01398146
1748121535555,317,1,13,0.6614233
1748121535590,318,24,16,0.04006501
1748121535628,319,28,19,0.0348575
1748121535663,320,26,21,0.03808797
1748121535699,321,28,23,0.03479537
1748121535734,322,27,24,0.03644954
1748121535769,323,28,25,0.0350599
1748121535805,324,28,26,0.03507287
1748121535840,325,27,26,0.03604698
1748121535881,326,28,27,0.03502282
1748121535916,327,24,26,0.04049527
1748121535951,328,28,26,0.03492646
1748121535986,329,28,27,0.03532584
1748121536021,330,28,27,0.03480605
1748121536056,331,28,27,0.03464209
1748121536091,332,28,28,0.03486427
1748121536126,333,28,28,0.03518834
1748121536161,334,28,28,0.03516302
1748121536197,335,28,28,0.03534469
1748121536233,336,27,28,0.03573526
1748121536272,337,27,27,0.03685386
1748121536307,338,26,27,0.03798573
1748121536343,339,28,27,0.03544891
1748121536383,340,28,27,0.03566459
1748121536420,341,24,27,0.04035131
1748121536455,342,27,27,0.03637115
1748121536494,343,28,27,0.03541031
1748121536530,344,25,26,0.03929552
1748121536566,345,27,27,0.03577959
1748121536606,346,27,27,0.03671167
1748121536647,347,25,26,0.03875438
1748121536689,348,23,26,0.04167125
1748121536731,349,23,25,0.04199959
1748121536772,350,23,25,0.04204771
1748121536814,351,24,24,0.04113443
1748121536856,352,23,24,0.04180875
1748121536898,353,23,24,0.04167506
1748121536939,354,23,24,0.04220662
1748121536980,355,24,24,0.04135329
1748121537022,356,24,24,0.04110193
1748121537064,357,23,24,0.04243302
1748121537106,358,23,24,0.04185636
1748121537147,359,24,24,0.04102334
1748121537189,360,23,24,0.04186198
1748121537236,361,23,24,0.04185974
1748121537277,362,21,23,0.04697745
1748121537319,363,24,23,0.04059136
1748121537361,364,23,23,0.04214261
1748121537403,365,23,23,0.04219797
1748121537444,366,24,23,0.04135725
1748121537486,367,24,23,0.04158287
1748121537528,368,23,23,0.04202813
1748121537570,369,24,23,0.04162927
1748121537611,370,23,23,0.04193011
1748121537653,371,24,23,0.04122297
1748121537695,372,23,23,0.04192615
1748121537737,373,23,23,0.04224964
1748121537778,374,23,23,0.04172756
1748121537820,375,24,23,0.04153969
1748121537862,376,23,23,0.04218495
1748121537904,377,23,23,0.04166698
1748121537946,378,23,23,0.04190797
1748121537988,379,24,23,0.04152209
1748121538029,380,23,23,0.04214037
1748121538071,381,24,24,0.04099662
1748121538112,382,23,23,0.04180021
1748121538154,383,23,23,0.0419198
1748121538196,384,23,23,0.04239792
1748121538238,385,24,23,0.04143823
1748121538280,386,23,23,0.04193287
1748121538321,387,24,23,0.0413036
1748121538363,388,23,23,0.04173521
1748121538405,389,24,24,0.04146126
1748121538447,390,23,23,0.04236162
1748121538488,391,24,23,0.04148636
1748121538530,392,23,23,0.04187078
1748121538572,393,23,23,0.04216657
1748121538614,394,24,23,0.04149172
1748121538656,395,24,23,0.04142511
1748121538697,396,23,23,0.04239229
1748121538741,397,24,23,0.04142917
1748121538781,398,23,23,0.04321631
1748121538823,399,24,23,0.04052396
1748121538865,400,23,23,0.04215078
1748121538906,401,24,24,0.0411599
1748121538948,402,24,24,0.04159469
1748121538990,403,23,23,0.04203521
1748121539032,404,24,23,0.04154886
1748121539073,405,23,23,0.04168985
1748121539115,406,23,23,0.04200797
1748121539157,407,24,23,0.04155802
1748121539199,408,23,23,0.04226532
1748121539240,409,23,23,0.04212896
1748121539282,410,24,23,0.04138141
1748121539324,411,23,23,0.04170896
1748121539366,412,24,24,0.04092855
1748121539407,413,23,23,0.04234464
1748121539449,414,24,24,0.04134141
1748121539491,415,23,23,0.0419937
1748121539533,416,23,23,0.04206178
1748121539575,417,23,23,0.04227042
1748121539616,418,24,23,0.04135641
1748121539657,419,24,24,0.04125365
1748121539699,420,24,24,0.04135584
1748121539741,421,23,23,0.04269256
1748121539783,422,24,23,0.04128485
1748121539825,423,23,23,0.0418912
1748121539866,424,24,24,0.04135959
1748121539909,425,23,23,0.0433836
1748121539950,426,24,23,0.04078985
1748121539992,427,23,23,0.04176662
1748121540034,428,24,24,0.04122933
1748121540075,429,23,23,0.04297136
1748121540117,430,24,24,0.04036703
1748121540159,431,23,24,0.04180313
1748121540201,432,23,23,0.04187448
1748121540242,433,23,23,0.04251282
1748121540284,434,24,24,0.04086261
1748121540326,435,24,24,0.04158511
1748121540368,436,23,23,0.04219224
1748121540410,437,23,23,0.04240136
1748121540451,438,24,23,0.04165078
1748121540493,439,24,23,0.04121662
1748121540535,440,24,24,0.04155662
