unix_ms,frame,current_fps,smoothed_fps,dt
1748120167934,315,71,17,0.01389089
1748120167943,316,1,13,0.6213074
1748120167955,317,178,54,0.005611823
1748120167970,318,80,61,0.01238781
1748120167985,319,69,63,0.0144587
1748120168001,320,63,63,0.01574901
1748120168016,321,64,63,0.01544313
1748120168031,322,65,64,0.01524401
1748120168046,323,66,64,0.01510313
1748120168060,324,67,65,0.01473344
1748120168075,325,68,66,0.01457349
1748120168089,326,68,66,0.01452214
1748120168104,327,69,67,0.01446927
1748120168118,328,69,68,0.01430406
1748120168132,329,70,68,0.01423287
1748120168146,330,69,68,0.01430927
1748120168161,331,70,69,0.01415443
1748120168175,332,69,69,0.01440901
1748120168189,333,70,69,0.01414688
1748120168203,334,70,69,0.01421094
1748120168217,335,72,70,0.01388281
1748120168231,336,71,70,0.01399182
1748120168245,337,70,70,0.01414203
1748120168259,338,72,71,0.01388844
1748120168273,339,71,71,0.01398412
1748120168287,340,72,71,0.01386719
1748120168301,341,71,71,0.0139726
1748120168315,342,72,71,0.01385151
1748120168329,343,71,71,0.01402839
1748120168343,344,69,71,0.01434052
1748120168357,345,72,71,0.01372906
1748120168371,346,70,71,0.01420693
1748120168385,347,73,71,0.01352766
1748120168399,348,70,71,0.0141811
1748120168413,349,70,71,0.01414734
1748120168427,350,69,70,0.01434464
1748120168441,351,73,71,0.01366172
1748120168455,352,72,71,0.01371307
1748120168469,353,71,71,0.01400714
1748120168483,354,71,71,0.01390755
1748120168497,355,71,71,0.01405005
1748120168511,356,71,71,0.0140638
1748120168525,357,72,71,0.01388443
1748120168538,358,70,71,0.01415698
1748120168552,359,72,71,0.01382594
1748120168566,360,71,71,0.01394104
1748120168581,361,71,71,0.01401537
1748120168595,362,68,70,0.01467505
1748120168609,363,73,71,0.01357193
1748120168622,364,70,71,0.01426495
1748120168636,365,75,72,0.01332552
1748120168650,366,70,71,0.01417865
1748120168664,367,74,72,0.01342469
1748120168678,368,70,71,0.01413724
1748120168692,369,71,71,0.01396953
1748120168706,370,71,71,0.01394719
1748120168720,371,72,71,0.01381761
1748120168734,372,71,71,0.01393026
1748120168748,373,71,71,0.01401719
1748120168762,374,71,71,0.01391401
1748120168776,375,71,71,0.01393792
1748120168789,376,69,71,0.0144212
1748120168803,377,74,71,0.01348568
1748120168817,378,72,71,0.01386693
1748120168831,379,72,71,0.01387802
1748120168845,380,71,71,0.01401073
1748120168859,381,70,71,0.01420026
1748120168873,382,72,71,0.01382188
1748120168887,383,69,71,0.01435943
1748120168901,384,74,72,0.01337052
1748120168915,385,72,72,0.01371464
1748120168929,386,70,71,0.01420209
1748120168943,387,70,71,0.01411313
1748120168957,388,70,71,0.01417354
1748120168971,389,69,70,0.01443459
1748120168984,390,77,72,0.01295568
1748120168998,391,73,72,0.01365328
1748120169013,392,70,72,0.01418474
1748120169026,393,71,71,0.01406136
1748120169040,394,71,71,0.01391938
1748120169054,395,71,71,0.01406292
1748120169068,396,72,71,0.01371427
1748120169082,397,71,71,0.01393412
1748120169096,398,71,71,0.01402521
1748120169110,399,72,71,0.01377729
1748120169124,400,69,71,0.01434516
1748120169138,401,72,71,0.01384787
1748120169152,402,72,71,0.01377625
1748120169166,403,72,72,0.0137526
1748120169180,404,71,71,0.01402552
1748120169194,405,70,71,0.01422318
1748120169208,406,72,71,0.01386235
1748120169222,407,68,70,0.01468089
1748120169235,408,75,72,0.01316281
1748120169249,409,72,72,0.01370573
