unix_ms,frame,current_fps,smoothed_fps,dt
1748120098147,314,70,17,0.01413078
1748120098156,315,1,13,0.6214027
1748120098169,316,177,54,0.005648698
1748120098183,317,78,60,0.0127699
1748120098199,318,68,62,0.014565
1748120098214,319,65,63,0.01535901
1748120098230,320,63,63,0.01568235
1748120098244,321,65,63,0.0153562
1748120098259,322,67,64,0.01480479
1748120098274,323,67,65,0.01477115
1748120098288,324,67,66,0.01472089
1748120098303,325,69,67,0.0143163
1748120098317,326,67,67,0.01472459
1748120098332,327,69,67,0.01439438
1748120098346,328,69,68,0.01445557
1748120098360,329,70,68,0.01412552
1748120098374,330,70,69,0.01427766
1748120098388,331,70,69,0.01427589
1748120098403,332,72,70,0.01382
1748120098417,333,63,68,0.01568344
1748120098431,334,78,70,0.01280797
1748120098445,335,71,71,0.01394094
1748120098458,336,72,71,0.01375484
1748120098473,337,71,71,0.01389807
1748120098486,338,70,71,0.01409047
1748120098501,339,71,71,0.01389031
1748120098515,340,70,71,0.01421672
1748120098528,341,71,71,0.01389151
1748120098543,342,71,71,0.01394886
1748120098556,343,69,71,0.01435735
1748120098570,344,73,71,0.01358156
1748120098584,345,71,71,0.01402948
1748120098598,346,71,71,0.0139226
1748120098612,347,71,71,0.01399828
1748120098626,348,71,71,0.01403037
1748120098641,349,70,71,0.01408474
1748120098654,350,70,71,0.01408729
1748120098668,351,71,71,0.01391745
1748120098682,352,71,71,0.0139263
1748120098697,353,71,71,0.01401922
1748120098710,354,69,71,0.01429333
1748120098724,355,72,71,0.01383813
1748120098738,356,72,71,0.01382552
1748120098752,357,72,71,0.01385182
1748120098766,358,71,71,0.01395604
1748120098781,359,70,71,0.01417453
1748120098794,360,69,70,0.01437011
1748120098809,361,72,71,0.01381734
1748120098822,362,70,70,0.01428255
1748120098836,363,74,71,0.01334662
1748120098850,364,71,71,0.0140238
1748120098864,365,72,71,0.01381672
1748120098878,366,70,71,0.0141461
1748120098892,367,73,72,0.01366412
1748120098906,368,71,71,0.01403287
1748120098920,369,71,71,0.01403328
1748120098933,370,72,71,0.01377719
1748120098948,371,72,72,0.01371599
1748120098962,372,70,71,0.01425604
1748120098976,373,71,71,0.01394281
1748120098989,374,68,70,0.01451677
1748120099003,375,76,72,0.01311932
1748120099017,376,72,72,0.01387891
1748120099031,377,71,72,0.01401667
1748120099045,378,70,71,0.01418052
1748120099059,379,71,71,0.01390719
1748120099073,380,72,71,0.01387099
1748120099087,381,71,71,0.01394068
1748120099101,382,72,71,0.01379052
1748120099115,383,70,71,0.01420787
1748120099129,384,72,71,0.01386511
1748120099143,385,70,71,0.01427344
1748120099157,386,72,71,0.01380583
1748120099170,387,69,70,0.01444896
1748120099184,388,76,72,0.01312271
1748120099198,389,72,72,0.01380281
1748120099212,390,72,72,0.01375031
1748120099226,391,70,71,0.01418943
1748120099240,392,70,71,0.01408813
1748120099254,393,69,71,0.014315
1748120099268,394,74,72,0.01346136
1748120099282,395,72,72,0.01375922
1748120099296,396,69,71,0.01434755
1748120099310,397,72,71,0.01381609
1748120099324,398,71,71,0.01398891
1748120099337,399,72,71,0.01383859
1748120099352,400,72,71,0.01379688
1748120099366,401,71,71,0.01392813
1748120099380,402,70,71,0.01417714
1748120099393,403,70,71,0.01416318
1748120099408,404,74,72,0.01344984
1748120099422,405,67,70,0.01486474
1748120099435,406,75,71,0.01330136
1748120099449,407,72,72,0.01374068
1748120099463,408,70,71,0.0140887
1748120099477,409,71,71,0.01389141
1748120099491,410,71,71,0.01390162
1748120099505,411,71,71,0.01394125
1748120099519,412,70,71,0.01415896
1748120099533,413,73,72,0.01358391
1748120099547,414,72,72,0.01378391
1748120099561,415,68,71,0.01467578
1748120099575,416,73,71,0.01356755
1748120099589,417,68,70,0.01463886
1748120099602,418,76,72,0.01309333
1748120099617,419,73,72,0.01368099
1748120099631,420,70,71,0.01421557
1748120099645,421,69,71,0.01428802
1748120099658,422,72,71,0.01379459
1748120099672,423,73,72,0.01360224
1748120099686,424,70,71,0.01411495
1748120099700,425,71,71,0.01406589
1748120099714,426,71,71,0.01392927
1748120099728,427,72,71,0.01382792
1748120099742,428,72,72,0.01374526
1748120099756,429,68,71,0.01451386
1748120099770,430,74,72,0.01347089
1748120099784,431,70,71,0.01410464
1748120099798,432,71,71,0.01396938
1748120099812,433,72,71,0.01383396
1748120099825,434,71,71,0.01393776
1748120099840,435,71,71,0.01391485
1748120099853,436,70,71,0.01422021
1748120099867,437,71,71,0.01389828
1748120099881,438,74,72,0.01344021
1748120099895,439,70,71,0.01408609
1748120099909,440,72,71,0.01388537
1748120099923,441,69,71,0.01431391
1748120099937,442,74,72,0.01336443
1748120099951,443,70,71,0.01413464
1748120099965,444,71,71,0.01395854
1748120099979,445,71,71,0.01403547
1748120099993,446,71,71,0.01403323
1748120100007,447,72,71,0.01381578
1748120100021,448,70,71,0.01423995
1748120100035,449,73,71,0.01363094
1748120100048,450,72,71,0.01387979
1748120100062,451,72,72,0.0138061
1748120100077,452,70,71,0.01427328
1748120100090,453,71,71,0.0139163
1748120100104,454,72,71,0.01371229
1748120100118,455,71,71,0.01404688
1748120100132,456,72,71,0.01377401
1748120100146,457,70,71,0.01409615
1748120100160,458,71,71,0.01391026
1748120100174,459,71,71,0.01405229
1748120100188,460,69,70,0.01446365
1748120100202,461,76,72,0.01306469
1748120100216,462,70,71,0.01411333
1748120100230,463,71,71,0.01402083
1748120100244,464,70,71,0.01411333
1748120100258,465,73,71,0.0136937
1748120100271,466,71,71,0.01406386
1748120100285,467,73,72,0.01369568
1748120100299,468,71,72,0.0138986
1748120100313,469,71,71,0.01401557
1748120100327,470,72,71,0.01387307
1748120100342,471,71,71,0.01393432
1748120100355,472,66,70,0.01496099
1748120100369,473,76,72,0.01306266
1748120100383,474,72,72,0.01383511
1748120100397,475,71,72,0.01394828
1748120100411,476,71,71,0.01396031
1748120100425,477,72,72,0.01382432
1748120100438,478,71,71,0.01401292
1748120100453,479,72,72,0.01379526
1748120100467,480,68,71,0.0146561
1748120100480,481,74,71,0.01341448
1748120100494,482,71,71,0.01395906
1748120100509,483,72,71,0.01386302
1748120100522,484,68,71,0.01452589
1748120100536,485,75,72,0.01322557
1748120100550,486,71,72,0.01398307
1748120100564,487,69,71,0.0143088
1748120100578,488,73,71,0.01363255
1748120100592,489,72,72,0.01374297
1748120100606,490,71,71,0.01407208
1748120100620,491,71,71,0.01389807
1748120100634,492,70,71,0.01417
1748120100648,493,73,71,0.0136662
1748120100661,494,71,71,0.0139924
1748120100676,495,71,71,0.01389985
1748120100689,496,68,71,0.01456068
1748120100703,497,75,72,0.01320662
1748120100717,498,70,71,0.01413297
1748120100731,499,71,71,0.01395896
1748120100745,500,72,71,0.01380662
1748120100759,501,70,71,0.01425969
1748120100773,502,72,71,0.01374302
1748120100787,503,72,72,0.01375484
1748120100801,504,71,71,0.01396813
1748120100815,505,71,71,0.01391521
1748120100829,506,71,71,0.01394359
1748120100843,507,72,71,0.01384115
1748120100857,508,68,71,0.01451943
1748120100870,509,74,71,0.01344875
1748120100884,510,72,72,0.0137924
1748120100898,511,70,71,0.01409073
1748120100912,512,72,72,0.01374683
1748120100926,513,71,71,0.01406875
1748120100940,514,71,71,0.0139412
1748120100954,515,67,70,0.01472636
1748120100968,516,76,72,0.01306089
1748120100982,517,72,72,0.01379792
1748120100996,518,70,71,0.01412276
1748120101010,519,70,71,0.01413708
1748120101023,520,72,71,0.01386917
1748120101038,521,73,72,0.01357974
1748120101052,522,70,71,0.01421662
1748120101066,523,71,71,0.01391328
1748120101080,524,72,71,0.0138675
1748120101093,525,70,71,0.01410443
1748120101108,526,71,71,0.0139163
1748120101121,527,69,71,0.0143786
1748120101135,528,74,72,0.01338547
1748120101149,529,71,71,0.01391682
1748120101163,530,72,72,0.01387834
1748120101177,531,71,71,0.01400688
1748120101191,532,70,71,0.01415349
1748120101205,533,73,72,0.01357459
1748120101219,534,71,71,0.01401755
1748120101233,535,72,72,0.01374224
1748120101247,536,71,71,0.01406057
1748120101261,537,69,71,0.01437193
1748120101275,538,74,71,0.01350828
1748120101288,539,69,71,0.01437636
1748120101302,540,75,72,0.01328849
1748120101316,541,70,71,0.01411974
1748120101330,542,71,71,0.01399438
1748120101344,543,71,71,0.01395031
1748120101358,544,71,71,0.01394042
1748120101372,545,73,72,0.01362917
1748120101386,546,70,71,0.01412068
1748120101400,547,71,71,0.01401068
1748120101414,548,71,71,0.01397
1748120101428,549,72,72,0.0137024
1748120101442,550,70,71,0.01416677
1748120101456,551,67,70,0.01476656
1748120101469,552,76,72,0.01309859
1748120101483,553,72,72,0.01377349
1748120101498,554,71,72,0.01400693
1748120101511,555,70,71,0.01415818
1748120101525,556,72,71,0.01373359
1748120101539,557,71,71,0.01393547
1748120101553,558,72,71,0.0138412
1748120101567,559,72,72,0.01385063
1748120101581,560,71,71,0.01401484
1748120101595,561,70,71,0.01413245
1748120101609,562,71,71,0.0139061
1748120101623,563,68,71,0.01449458
1748120101637,564,76,72,0.01305052
1748120101651,565,71,72,0.01407599
1748120101665,566,71,72,0.0139099
1748120101678,567,70,71,0.01418885
1748120101692,568,73,72,0.01367172
1748120101706,569,70,71,0.01411391
1748120101720,570,71,71,0.01407511
1748120101734,571,73,71,0.01367938
1748120101748,572,72,72,0.01381125
1748120101762,573,72,72,0.01380453
1748120101776,574,70,71,0.01424537
1748120101790,575,69,71,0.01434266
1748120101804,576,75,72,0.01330953
1748120101818,577,72,72,0.01379479
1748120101832,578,71,72,0.01403276
1748120101846,579,70,71,0.01412406
1748120101859,580,72,71,0.01384609
1748120101873,581,72,71,0.01385755
1748120101888,582,70,71,0.01415849
1748120101901,583,71,71,0.0139174
1748120101915,584,73,72,0.01366094
1748120101929,585,71,71,0.01391807
1748120101943,586,71,71,0.01408141
1748120101957,587,72,71,0.01375167
1748120101971,588,69,71,0.01435547
1748120101985,589,73,71,0.01364854
1748120101999,590,72,71,0.01387412
1748120102013,591,72,72,0.01380151
1748120102027,592,71,71,0.01404781
1748120102041,593,70,71,0.01412781
1748120102054,594,66,70,0.01504011
1748120102068,595,79,72,0.01261922
1748120102082,596,73,72,0.01358854
1748120102096,597,71,72,0.01404932
1748120102110,598,69,71,0.0143813
1748120102124,599,71,71,0.01396115
1748120102138,600,73,72,0.01363453
1748120102152,601,72,72,0.01378625
1748120102166,602,71,71,0.01402667
1748120102180,603,71,71,0.01406281
1748120102194,604,71,71,0.01397203
1748120102208,605,73,72,0.01363432
1748120102221,606,68,71,0.01463172
1748120102235,607,75,72,0.01329719
1748120102249,608,71,71,0.01404318
1748120102263,609,72,71,0.01388771
1748120102277,610,72,71,0.01387787
1748120102291,611,71,71,0.01397063
1748120102305,612,71,71,0.01392849
1748120102319,613,71,71,0.01394141
1748120102333,614,71,71,0.01390771
1748120102347,615,72,72,0.01378511
1748120102361,616,71,71,0.01402656
1748120102375,617,70,71,0.01410068
1748120102389,618,68,70,0.01460599
1748120102402,619,75,72,0.01316479
1748120102416,620,72,72,0.01373287
1748120102431,621,71,72,0.01404568
1748120102444,622,68,71,0.01469714
1748120102458,623,74,71,0.01336323
1748120102472,624,73,72,0.01366224
1748120102486,625,71,72,0.01400995
1748120102500,626,70,71,0.01408547
1748120102514,627,72,71,0.01387443
1748120102528,628,72,72,0.01372484
1748120102542,629,71,71,0.01396943
1748120102556,630,69,71,0.01445943
1748120102570,631,74,72,0.01334703
1748120102583,632,71,71,0.01405261
1748120102598,633,72,72,0.01370834
1748120102612,634,70,71,0.01423995
1748120102625,635,72,71,0.01385636
1748120102639,636,70,71,0.01418292
1748120102653,637,72,71,0.01382318
1748120102667,638,72,71,0.01387104
1748120102681,639,73,72,0.01365714
1748120102695,640,71,71,0.01402146
1748120102709,641,71,71,0.01395662
1748120102723,642,69,71,0.01434068
1748120102737,643,74,72,0.01345083
1748120102751,644,71,72,0.01392011
1748120102765,645,71,71,0.01394484
1748120102779,646,70,71,0.01427115
1748120102792,647,72,71,0.0137025
1748120102807,648,72,71,0.01383193
1748120102820,649,70,71,0.01426438
1748120102834,650,73,71,0.0136475
1748120102848,651,71,71,0.0139149
1748120102862,652,73,72,0.01361651
1748120102876,653,68,71,0.01454672
1748120102890,654,72,71,0.01385563
1748120102904,655,72,71,0.0137674
1748120102918,656,72,71,0.01387979
1748120102932,657,73,72,0.01355026
1748120102946,658,69,71,0.0143601
1748120102960,659,72,71,0.0138462
1748120102974,660,71,71,0.01405589
1748120102988,661,69,71,0.01436083
1748120103001,662,74,71,0.01341531
1748120103015,663,72,72,0.01386375
1748120103029,664,72,72,0.01376485
1748120103043,665,69,71,0.01442578
1748120103057,666,72,71,0.01372104
1748120103071,667,72,71,0.01382099
1748120103085,668,72,72,0.01380714
1748120103099,669,71,71,0.01397703
1748120103113,670,71,71,0.01408297
1748120103127,671,72,71,0.01382193
1748120103141,672,71,71,0.01397073
1748120103155,673,68,70,0.01459281
1748120103168,674,76,72,0.01313078
1748120103182,675,72,72,0.01374761
1748120103197,676,70,71,0.0142812
1748120103210,677,70,71,0.01410906
1748120103224,678,72,71,0.01375745
1748120103238,679,71,71,0.01398625
1748120103252,680,74,72,0.01347505
1748120103266,681,70,71,0.01412776
1748120103280,682,71,71,0.01406005
1748120103294,683,72,71,0.01383859
1748120103308,684,71,71,0.01407016
1748120103322,685,68,70,0.01458433
1748120103336,686,76,72,0.01308589
1748120103349,687,71,72,0.01398287
1748120103364,688,70,71,0.01416807
1748120103378,689,71,71,0.01393297
1748120103391,690,72,71,0.01382068
1748120103405,691,72,71,0.01388011
1748120103419,692,72,72,0.01381443
1748120103433,693,72,72,0.01376266
1748120103447,694,71,72,0.01397703
1748120103461,695,70,71,0.0141162
1748120103475,696,71,71,0.01389938
1748120103489,697,68,70,0.01461615
1748120103502,698,75,72,0.01321292
1748120103517,699,73,72,0.01360516
1748120103531,700,70,72,0.01416542
1748120103545,701,70,71,0.01410641
1748120103559,702,72,71,0.01381432
1748120103572,703,70,71,0.01426771
1748120103586,704,73,72,0.01356776
1748120103600,705,72,72,0.01385927
1748120103614,706,71,71,0.01393729
1748120103628,707,71,71,0.01390438
1748120103643,708,71,71,0.01399229
1748120103656,709,67,70,0.01474651
1748120103670,710,76,72,0.0130536
1748120103684,711,72,72,0.0138299
1748120103698,712,72,72,0.01388307
1748120103712,713,69,71,0.01433453
1748120103726,714,72,71,0.01371469
1748120103739,715,71,71,0.01402891
1748120103753,716,71,71,0.01398938
1748120103767,717,74,72,0.01343537
1748120103781,718,70,71,0.01417839
1748120103795,719,71,71,0.0139713
1748120103809,720,70,71,0.01418735
1748120103823,721,71,71,0.01403094
1748120103837,722,74,72,0.01337047
1748120103851,723,70,71,0.01408891
1748120103865,724,72,72,0.01380016
1748120103879,725,71,71,0.01407724
1748120103893,726,73,72,0.01368839
1748120103907,727,70,71,0.01412297
1748120103920,728,69,71,0.01432813
1748120103934,729,74,72,0.01348776
1748120103948,730,72,72,0.01383656
1748120103962,731,72,72,0.01385375
1748120103977,732,69,71,0.01434922
1748120103990,733,70,71,0.01416078
1748120104004,734,74,72,0.0134461
1748120104018,735,71,71,0.01401339
1748120104032,736,72,72,0.01379318
1748120104046,737,71,71,0.0140513
1748120104060,738,69,71,0.01438115
1748120104074,739,74,72,0.01343078
1748120104088,740,69,71,0.01441511
1748120104101,741,73,71,0.0136963
1748120104115,742,73,72,0.01358735
1748120104129,743,71,72,0.01402016
1748120104143,744,70,71,0.01412443
1748120104157,745,73,72,0.01365813
1748120104171,746,71,72,0.01390448
1748120104185,747,70,71,0.01411563
1748120104199,748,72,72,0.01373287
1748120104213,749,70,71,0.01417235
1748120104227,750,72,71,0.01369912
1748120104241,751,70,71,0.01426599
1748120104255,752,69,71,0.01438844
1748120104268,753,76,72,0.01304776
1748120104282,754,72,72,0.01370328
1748120104297,755,70,71,0.0142388
1748120104310,756,70,71,0.01419625
1748120104324,757,72,71,0.01377224
1748120104338,758,72,71,0.01384573
1748120104352,759,72,72,0.01373839
1748120104366,760,71,71,0.01405985
1748120104380,761,70,71,0.01409672
1748120104394,762,71,71,0.01398281
1748120104408,763,72,71,0.01376156
1748120104422,764,69,71,0.01440313
1748120104436,765,74,72,0.01339844
1748120104450,766,71,72,0.01391464
1748120104464,767,72,72,0.01383724
1748120104478,768,69,71,0.0143611
1748120104491,769,72,71,0.0137024
1748120104505,770,72,71,0.01386417
1748120104519,771,71,71,0.01403886
1748120104533,772,72,72,0.01371839
1748120104547,773,72,72,0.01380521
1748120104561,774,70,71,0.01423891
1748120104575,775,72,71,0.01382422
1748120104589,776,68,70,0.01461505
1748120104603,777,75,72,0.0131912
1748120104617,778,73,72,0.01365636
1748120104631,779,70,72,0.01413203
1748120104645,780,70,71,0.01421042
1748120104658,781,72,71,0.01378177
1748120104672,782,73,72,0.01365479
1748120104687,783,71,71,0.01408005
1748120104700,784,70,71,0.01421432
1748120104714,785,71,71,0.01389917
1748120104728,786,73,71,0.01367797
1748120104743,787,72,72,0.01371135
1748120104756,788,67,71,0.0147662
1748120104770,789,73,71,0.01368281
1748120104784,790,74,72,0.01339323
1748120104798,791,70,71,0.01418464
1748120104812,792,71,71,0.01395469
1748120104825,793,73,72,0.01366214
1748120104839,794,71,71,0.0140351
1748120104853,795,71,71,0.0140725
1748120104867,796,74,72,0.01347307
1748120104881,797,71,72,0.01399953
1748120104895,798,71,71,0.01407693
1748120104910,799,71,71,0.01392229
1748120104923,800,69,71,0.014375
1748120104937,801,75,72,0.01325417
1748120104951,802,70,71,0.01409396
1748120104965,803,71,71,0.01393438
1748120104979,804,70,71,0.01409667
1748120104993,805,72,71,0.01376146
1748120105007,806,71,71,0.01390599
1748120105021,807,68,70,0.01465865
1748120105034,808,74,71,0.01336047
1748120105048,809,72,72,0.01384912
1748120105062,810,72,72,0.01376276
1748120105076,811,70,71,0.01423443
1748120105090,812,71,71,0.01405469
1748120105104,813,73,72,0.01357615
1748120105118,814,71,71,0.01397984
1748120105132,815,72,71,0.01388266
1748120105146,816,72,72,0.01380891
1748120105160,817,70,71,0.01422052
1748120105174,818,71,71,0.01397948
1748120105188,819,70,71,0.01419969
1748120105201,820,72,71,0.01376479
1748120105216,821,73,72,0.01361448
1748120105229,822,71,71,0.01402276
1748120105243,823,70,71,0.0141349
1748120105257,824,73,71,0.01368031
1748120105271,825,72,72,0.01387901
1748120105285,826,71,71,0.01392813
1748120105299,827,71,71,0.01392854
1748120105313,828,71,71,0.01402677
1748120105327,829,73,72,0.01369859
1748120105342,830,71,71,0.01405057
1748120105355,831,64,70,0.01539235
1748120105368,832,80,72,0.01247104
1748120105382,833,74,73,0.01343448
1748120105396,834,70,72,0.01420563
1748120105410,835,71,72,0.01402682
1748120105424,836,71,71,0.01397354
1748120105438,837,72,72,0.01380359
1748120105452,838,72,72,0.01377334
1748120105466,839,70,71,0.01428057
1748120105480,840,69,71,0.01431073
1748120105494,841,73,71,0.01354188
1748120105508,842,72,72,0.01379198
1748120105522,843,68,71,0.01455057
1748120105536,844,75,72,0.01320104
1748120105550,845,71,72,0.01396552
1748120105563,846,70,71,0.01413057
1748120105578,847,72,71,0.0138724
1748120105591,848,71,71,0.01399115
1748120105605,849,72,71,0.01387771
1748120105619,850,72,71,0.01382328
1748120105633,851,71,71,0.0139338
1748120105647,852,72,72,0.0138424
1748120105661,853,70,71,0.01409802
1748120105675,854,71,71,0.01391953
1748120105689,855,69,71,0.01441125
1748120105703,856,74,72,0.01333662
1748120105717,857,72,72,0.01376078
1748120105731,858,71,72,0.01403599
1748120105745,859,71,71,0.01401667
1748120105758,860,72,71,0.01386021
1748120105772,861,72,71,0.01386849
1748120105786,862,71,71,0.01402266
1748120105800,863,71,71,0.01389943
1748120105814,864,71,71,0.01399339
1748120105828,865,71,71,0.01392203
1748120105842,866,73,72,0.01357979
1748120105856,867,67,70,0.01492271
1748120105870,868,75,72,0.01328917
1748120105884,869,72,72,0.01377391
1748120105898,870,72,72,0.01382516
1748120105911,871,71,71,0.01406886
1748120105925,872,72,72,0.01379385
1748120105939,873,71,72,0.01389453
1748120105953,874,71,71,0.01398412
1748120105967,875,72,72,0.01371901
1748120105981,876,70,71,0.01415203
1748120105995,877,71,71,0.01397031
1748120106009,878,70,71,0.01412208
1748120106023,879,70,71,0.01414422
1748120106037,880,76,72,0.01314474
1748120106051,881,70,72,0.01414646
1748120106065,882,71,71,0.0140724
1748120106078,883,71,71,0.01394224
1748120106093,884,73,72,0.01366594
1748120106106,885,70,71,0.01422266
1748120106120,886,71,71,0.01401927
1748120106134,887,72,71,0.01381667
1748120106148,888,72,72,0.01374443
1748120106162,889,72,72,0.01374714
1748120106177,890,70,71,0.0141474
1748120106190,891,67,70,0.01488943
1748120106204,892,77,72,0.01291453
1748120106218,893,73,72,0.01360583
1748120106232,894,68,71,0.01464344
1748120106246,895,73,71,0.01365182
1748120106259,896,72,72,0.01377823
1748120106273,897,72,72,0.01381646
1748120106287,898,70,71,0.01425615
1748120106301,899,73,72,0.01361412
1748120106315,900,71,72,0.01391141
1748120106329,901,71,71,0.01397432
1748120106343,902,71,71,0.01407375
