unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748121115676,363,Left,3.779139,0.5441568,359.3347,0.9980469
1748121115676,363,Left,3.779139,0.5441568,359.3347,0.9980469
1748121115676,363,Left,3.779139,0.5441568,359.3347,0.9980469
1748121115690,364,Left,3.779139,0.5441568,359.3347,0.9980469
1748121115690,364,Left,3.779139,0.5441568,359.3347,0.9980469
1748121115690,364,Left,3.779139,0.5441568,359.3347,0.9980469
1748121115704,365,Left,3.830047,3.709937,359.2245,0.9980469
1748121115704,365,Left,3.830047,3.709937,359.2245,0.9980469
1748121115718,366,Left,3.830047,3.709937,359.2245,0.9980469
1748121115718,366,Left,3.830047,3.709937,359.2245,0.9980469
1748121115718,366,Left,3.830047,3.709937,359.2245,0.9980469
1748121115732,367,Left,3.830047,3.709937,359.2245,0.9980469
1748121115732,367,Left,3.830047,3.709937,359.2245,0.9980469
1748121115732,367,Left,3.830047,3.709937,359.2245,0.9980469
1748121115745,368,Left,2.34577,3.726975,359.1806,0.9980469
1748121115746,368,Left,2.34577,3.726975,359.1806,0.9980469
1748121115746,368,Left,2.34577,3.726975,359.1806,0.9980469
1748121115759,369,Left,2.34577,3.726975,359.1806,0.9980469
1748121115760,369,Left,2.34577,3.726975,359.1806,0.9980469
1748121115760,369,Left,2.34577,3.726975,359.1806,0.9980469
1748121115773,370,Left,2.506128,357.5122,359.4725,0.9980469
1748121115773,370,Left,2.506128,357.5122,359.4725,0.9980469
1748121115787,371,Left,2.506128,357.5122,359.4725,0.9980469
1748121115787,371,Left,2.506128,357.5122,359.4725,0.9980469
1748121115788,371,Left,2.506128,357.5122,359.4725,0.9980469
1748121115801,372,Left,2.506128,357.5122,359.4725,0.9980469
1748121115801,372,Left,2.506128,357.5122,359.4725,0.9980469
1748121115802,372,Left,2.506128,357.5122,359.4725,0.9980469
1748121115815,373,Left,2.140804,356.8556,359.5137,0.9980469
1748121115816,373,Left,2.140804,356.8556,359.5137,0.9980469
1748121115816,373,Left,2.140804,356.8556,359.5137,0.9980469
1748121115829,374,Left,2.140804,356.8556,359.5137,0.9980469
1748121115829,374,Left,2.140804,356.8556,359.5137,0.9980469
1748121115829,374,Left,2.140804,356.8556,359.5137,0.9980469
1748121115843,375,Left,2.2243,356.8582,359.5112,0.9980469
1748121115843,375,Left,2.2243,356.8582,359.5112,0.9980469
1748121115857,376,Left,2.2243,356.8582,359.5112,0.9980469
1748121115857,376,Left,2.2243,356.8582,359.5112,0.9980469
1748121115857,376,Left,2.2243,356.8582,359.5112,0.9980469
1748121115871,377,Left,2.137042,357.4814,359.4831,0.9980469
1748121115871,377,Left,2.137042,357.4814,359.4831,0.9980469
1748121115871,377,Left,2.137042,357.4814,359.4831,0.9980469
1748121115885,378,Left,2.137042,357.4814,359.4831,0.9980469
1748121115885,378,Left,2.137042,357.4814,359.4831,0.9980469
1748121115885,378,Left,2.137042,357.4814,359.4831,0.9980469
1748121115899,379,Left,2.137042,357.4814,359.4831,0.9980469
1748121115899,379,Left,2.137042,357.4814,359.4831,0.9980469
1748121115913,380,Left,2.134094,357.4819,359.4836,0.9980469
1748121115913,380,Left,2.134094,357.4819,359.4836,0.9980469
1748121115913,380,Left,2.134094,357.4819,359.4836,0.9980469
1748121115927,381,Left,2.134094,357.4819,359.4836,0.9980469
1748121115927,381,Left,2.134094,357.4819,359.4836,0.9980469
1748121115927,381,Left,2.134094,357.4819,359.4836,0.9980469
1748121115940,382,Left,1.834473,357.4983,359.4914,0.9980469
1748121115941,382,Left,1.834473,357.4983,359.4914,0.9980469
1748121115941,382,Left,1.834473,357.4983,359.4914,0.9980469
1748121115954,383,Left,1.834473,357.4983,359.4914,0.9980469
1748121115955,383,Left,1.834473,357.4983,359.4914,0.9980469
1748121115955,383,Left,1.834473,357.4983,359.4914,0.9980469
1748121115968,384,Left,1.562153,358.011,359.47,0.9980469
1748121115969,384,Left,1.562153,358.011,359.47,0.9980469
1748121115982,385,Left,1.562153,358.011,359.47,0.9980469
1748121115983,385,Left,1.562153,358.011,359.47,0.9980469
1748121115983,385,Left,1.562153,358.011,359.47,0.9980469
1748121115996,386,Left,1.562153,358.011,359.47,0.9980469
1748121115997,386,Left,1.562153,358.011,359.47,0.9980469
1748121115997,386,Left,1.562153,358.011,359.47,0.9980469
1748121116010,387,Left,1.611753,358.0099,359.4691,0.9980469
1748121116011,387,Left,1.611753,358.0099,359.4691,0.9980469
1748121116011,387,Left,1.611753,358.0099,359.4691,0.9980469
1748121116024,388,Left,1.611753,358.0099,359.4691,0.9980469
1748121116024,388,Left,1.611753,358.0099,359.4691,0.9980469
1748121116025,388,Left,1.611753,358.0099,359.4691,0.9980469
1748121116038,389,Left,1.453068,357.5582,359.498,0.9980469
1748121116038,389,Left,1.453068,357.5582,359.498,0.9980469
1748121116052,390,Left,1.453068,357.5582,359.498,0.9980469
1748121116052,390,Left,1.453068,357.5582,359.498,0.9980469
1748121116052,390,Left,1.453068,357.5582,359.498,0.9980469
1748121116066,391,Left,1.453068,357.5582,359.498,0.9980469
1748121116066,391,Left,1.453068,357.5582,359.498,0.9980469
1748121116067,391,Left,1.453068,357.5582,359.498,0.9980469
1748121116080,392,Left,1.60552,357.555,359.4941,0.9980469
1748121116080,392,Left,1.60552,357.555,359.4941,0.9980469
1748121116080,392,Left,1.60552,357.555,359.4941,0.9980469
1748121116094,393,Left,1.60552,357.555,359.4941,0.9980469
1748121116094,393,Left,1.60552,357.555,359.4941,0.9980469
1748121116094,393,Left,1.60552,357.555,359.4941,0.9980469
1748121116108,394,Left,1.454418,357.5558,359.4979,0.9980469
1748121116108,394,Left,1.454418,357.5558,359.4979,0.9980469
1748121116122,395,Left,1.454418,357.5558,359.4979,0.9980469
1748121116122,395,Left,1.454418,357.5558,359.4979,0.9980469
1748121116122,395,Left,1.454418,357.5558,359.4979,0.9980469
1748121116136,396,Left,1.855465,357.4526,359.494,0.9980469
1748121116136,396,Left,1.855465,357.4526,359.494,0.9980469
1748121116136,396,Left,1.855465,357.4526,359.494,0.9980469
1748121116150,397,Left,1.855465,357.4526,359.494,0.9980469
1748121116150,397,Left,1.855465,357.4526,359.494,0.9980469
1748121116150,397,Left,1.855465,357.4526,359.494,0.9980469
1748121116163,398,Left,1.855465,357.4526,359.494,0.9980469
1748121116164,398,Left,1.855465,357.4526,359.494,0.9980469
1748121116177,399,Left,1.847687,356.3798,359.5496,0.9980469
1748121116178,399,Left,1.847687,356.3798,359.5496,0.9980469
1748121116178,399,Left,1.847687,356.3798,359.5496,0.9980469
1748121116191,400,Left,1.847687,356.3798,359.5496,0.9980469
1748121116192,400,Left,1.847687,356.3798,359.5496,0.9980469
1748121116192,400,Left,1.847687,356.3798,359.5496,0.9980469
1748121116205,401,Left,2.079965,357.4442,359.4881,0.9980469
1748121116206,401,Left,2.079965,357.4442,359.4881,0.9980469
1748121116206,401,Left,2.079965,357.4442,359.4881,0.9980469
1748121116219,402,Left,2.079965,357.4442,359.4881,0.9980469
1748121116220,402,Left,2.079965,357.4442,359.4881,0.9980469
1748121116220,402,Left,2.079965,357.4442,359.4881,0.9980469
1748121116233,403,Left,2.079965,357.4442,359.4881,0.9980469
1748121116234,403,Left,2.079965,357.4442,359.4881,0.9980469
1748121116247,404,Left,2.314876,357.9717,359.4565,0.9980469
1748121116247,404,Left,2.314876,357.9717,359.4565,0.9980469
1748121116248,404,Left,2.314876,357.9717,359.4565,0.9980469
1748121116261,405,Left,2.314876,357.9717,359.4565,0.9980469
1748121116261,405,Left,2.314876,357.9717,359.4565,0.9980469
1748121116261,405,Left,2.314876,357.9717,359.4565,0.9980469
1748121116275,406,Left,2.312374,357.9715,359.4563,0.9980469
1748121116275,406,Left,2.312374,357.9715,359.4563,0.9980469
1748121116275,406,Left,2.312374,357.9715,359.4563,0.9980469
1748121116289,407,Left,2.312374,357.9715,359.4563,0.9980469
1748121116289,407,Left,2.312374,357.9715,359.4563,0.9980469
1748121116303,408,Left,2.267045,358.515,359.4309,0.9980469
1748121116303,408,Left,2.267045,358.515,359.4309,0.9980469
1748121116303,408,Left,2.267045,358.515,359.4309,0.9980469
1748121116317,409,Left,2.267045,358.515,359.4309,0.9980469
1748121116317,409,Left,2.267045,358.515,359.4309,0.9980469
1748121116317,409,Left,2.267045,358.515,359.4309,0.9980469
1748121116331,410,Left,2.267045,358.515,359.4309,0.9980469
