unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748120168594,362,Left,0.9125142,1.966921,355.7909,0.9980469
1748120168594,362,Left,0.9125142,1.966921,355.7909,0.9980469
1748120168594,362,Left,0.9125142,1.966921,355.7909,0.9980469
1748120168608,363,Left,0.9125142,1.966921,355.7909,0.9980469
1748120168608,363,Left,0.9125142,1.966921,355.7909,0.9980469
1748120168609,363,Left,0.9125142,1.966921,355.7909,0.9980469
1748120168621,364,Left,359.0947,3.167917,355.8097,0.9980469
1748120168622,364,Left,359.0947,3.167917,355.8097,0.9980469
1748120168622,364,Left,359.0947,3.167917,355.8097,0.9980469
1748120168635,365,Left,359.0947,3.167917,355.8097,0.9980469
1748120168636,365,Left,359.0947,3.167917,355.8097,0.9980469
1748120168636,365,Left,359.0947,3.167917,355.8097,0.9980469
1748120168649,366,Left,358.4442,4.3495,355.8054,0.9980469
1748120168649,366,Left,358.4442,4.3495,355.8054,0.9980469
1748120168663,367,Left,358.4442,4.3495,355.8054,0.9980469
1748120168663,367,Left,358.4442,4.3495,355.8054,0.9980469
1748120168664,367,Left,358.4442,4.3495,355.8054,0.9980469
1748120168677,368,Left,358.6172,4.663983,355.8438,0.9980469
1748120168677,368,Left,358.6172,4.663983,355.8438,0.9980469
1748120168678,368,Left,358.6172,4.663983,355.8438,0.9980469
1748120168691,369,Left,358.6172,4.663983,355.8438,0.9980469
1748120168691,369,Left,358.6172,4.663983,355.8438,0.9980469
1748120168692,369,Left,358.6172,4.663983,355.8438,0.9980469
1748120168705,370,Left,358.6172,4.663983,355.8438,0.9980469
1748120168705,370,Left,358.6172,4.663983,355.8438,0.9980469
1748120168719,371,Left,358.5879,4.700785,355.9056,0.9980469
1748120168719,371,Left,358.5879,4.700785,355.9056,0.9980469
1748120168719,371,Left,358.5879,4.700785,355.9056,0.9980469
1748120168733,372,Left,358.5879,4.700785,355.9056,0.9980469
1748120168733,372,Left,358.5879,4.700785,355.9056,0.9980469
1748120168733,372,Left,358.5879,4.700785,355.9056,0.9980469
1748120168747,373,Left,358.5938,4.63519,355.9813,0.9980469
1748120168747,373,Left,358.5938,4.63519,355.9813,0.9980469
1748120168747,373,Left,358.5938,4.63519,355.9813,0.9980469
1748120168761,374,Left,358.5938,4.63519,355.9813,0.9980469
1748120168761,374,Left,358.5938,4.63519,355.9813,0.9980469
1748120168761,374,Left,358.5938,4.63519,355.9813,0.9980469
1748120168775,375,Left,358.5938,4.63519,355.9813,0.9980469
1748120168776,375,Left,358.5938,4.63519,355.9813,0.9980469
1748120168789,376,Left,358.646,4.883092,356.056,0.9980469
1748120168789,376,Left,358.646,4.883092,356.056,0.9980469
1748120168789,376,Left,358.646,4.883092,356.056,0.9980469
1748120168802,377,Left,358.646,4.883092,356.056,0.9980469
1748120168803,377,Left,358.646,4.883092,356.056,0.9980469
1748120168803,377,Left,358.646,4.883092,356.056,0.9980469
1748120168816,378,Left,358.6778,4.826124,356.1422,0.9980469
1748120168817,378,Left,358.6778,4.826124,356.1422,0.9980469
1748120168817,378,Left,358.6778,4.826124,356.1422,0.9980469
1748120168830,379,Left,358.6778,4.826124,356.1422,0.9980469
1748120168831,379,Left,358.6778,4.826124,356.1422,0.9980469
1748120168844,380,Left,358.6941,4.724657,356.2236,0.9980469
1748120168845,380,Left,358.6941,4.724657,356.2236,0.9980469
1748120168845,380,Left,358.6941,4.724657,356.2236,0.9980469
1748120168858,381,Left,358.6941,4.724657,356.2236,0.9980469
1748120168859,381,Left,358.6941,4.724657,356.2236,0.9980469
1748120168859,381,Left,358.6941,4.724657,356.2236,0.9980469
1748120168872,382,Left,358.6941,4.724657,356.2236,0.9980469
1748120168873,382,Left,358.6941,4.724657,356.2236,0.9980469
1748120168873,382,Left,358.6941,4.724657,356.2236,0.9980469
1748120168886,383,Left,358.6393,4.645093,356.2942,0.9980469
1748120168886,383,Left,358.6393,4.645093,356.2942,0.9980469
1748120168887,383,Left,358.6393,4.645093,356.2942,0.9980469
1748120168900,384,Left,358.6393,4.645093,356.2942,0.9980469
1748120168900,384,Left,358.6393,4.645093,356.2942,0.9980469
1748120168914,385,Left,358.548,4.669549,356.3407,0.9980469
1748120168914,385,Left,358.548,4.669549,356.3407,0.9980469
1748120168915,385,Left,358.548,4.669549,356.3407,0.9980469
1748120168928,386,Left,358.548,4.669549,356.3407,0.9980469
1748120168928,386,Left,358.548,4.669549,356.3407,0.9980469
1748120168929,386,Left,358.548,4.669549,356.3407,0.9980469
1748120168942,387,Left,358.548,4.669549,356.3407,0.9980469
1748120168942,387,Left,358.548,4.669549,356.3407,0.9980469
1748120168943,387,Left,358.548,4.669549,356.3407,0.9980469
1748120168956,388,Left,358.5654,4.504663,356.3761,0.9980469
1748120168956,388,Left,358.5654,4.504663,356.3761,0.9980469
1748120168956,388,Left,358.5654,4.504663,356.3761,0.9980469
1748120168970,389,Left,358.5654,4.504663,356.3761,0.9980469
1748120168970,389,Left,358.5654,4.504663,356.3761,0.9980469
1748120168970,389,Left,358.5654,4.504663,356.3761,0.9980469
1748120168984,390,Left,358.8023,4.00312,356.4075,0.9980469
1748120168984,390,Left,358.8023,4.00312,356.4075,0.9980469
1748120168998,391,Left,358.8023,4.00312,356.4075,0.9980469
1748120168998,391,Left,358.8023,4.00312,356.4075,0.9980469
1748120168998,391,Left,358.8023,4.00312,356.4075,0.9980469
1748120169012,392,Left,359.0548,3.976918,356.4438,0.9980469
1748120169012,392,Left,359.0548,3.976918,356.4438,0.9980469
1748120169012,392,Left,359.0548,3.976918,356.4438,0.9980469
