unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748120098794,360,Left,359.6373,0.1941289,356.3194,0.9980469
1748120098794,360,Left,359.6373,0.1941289,356.3194,0.9980469
1748120098794,360,Left,359.6373,0.1941289,356.3194,0.9980469
1748120098808,361,Left,359.6373,0.1941289,356.3194,0.9980469
1748120098808,361,Left,359.6373,0.1941289,356.3194,0.9980469
1748120098821,362,Left,358.8124,0.7056598,356.295,0.9980469
1748120098822,362,Left,358.8124,0.7056598,356.295,0.9980469
1748120098822,362,Left,358.8124,0.7056598,356.295,0.9980469
1748120098835,363,Left,358.8124,0.7056598,356.295,0.9980469
1748120098836,363,Left,358.8124,0.7056598,356.295,0.9980469
1748120098836,363,Left,358.8124,0.7056598,356.295,0.9980469
1748120098849,364,Left,358.2175,1.206936,356.2641,0.9980469
1748120098849,364,Left,358.2175,1.206936,356.2641,0.9980469
1748120098850,364,Left,358.2175,1.206936,356.2641,0.9980469
1748120098863,365,Left,358.2175,1.206936,356.2641,0.9980469
1748120098863,365,Left,358.2175,1.206936,356.2641,0.9980469
1748120098864,365,Left,358.2175,1.206936,356.2641,0.9980469
1748120098877,366,Left,358.2432,1.333521,356.258,0.9980469
1748120098877,366,Left,358.2432,1.333521,356.258,0.9980469
1748120098891,367,Left,358.2432,1.333521,356.258,0.9980469
1748120098891,367,Left,358.2432,1.333521,356.258,0.9980469
1748120098891,367,Left,358.2432,1.333521,356.258,0.9980469
1748120098905,368,Left,358.2432,1.333521,356.258,0.9980469
1748120098905,368,Left,358.2432,1.333521,356.258,0.9980469
1748120098905,368,Left,358.2432,1.333521,356.258,0.9980469
1748120098919,369,Left,357.9721,1.352846,356.2558,0.9980469
1748120098919,369,Left,357.9721,1.352846,356.2558,0.9980469
1748120098919,369,Left,357.9721,1.352846,356.2558,0.9980469
1748120098933,370,Left,357.9721,1.352846,356.2558,0.9980469
1748120098933,370,Left,357.9721,1.352846,356.2558,0.9980469
1748120098947,371,Left,357.9813,1.194541,356.2735,0.9980469
1748120098947,371,Left,357.9813,1.194541,356.2735,0.9980469
1748120098947,371,Left,357.9813,1.194541,356.2735,0.9980469
1748120098961,372,Left,357.9813,1.194541,356.2735,0.9980469
1748120098961,372,Left,357.9813,1.194541,356.2735,0.9980469
1748120098961,372,Left,357.9813,1.194541,356.2735,0.9980469
1748120098975,373,Left,357.9813,1.194541,356.2735,0.9980469
1748120098975,373,Left,357.9813,1.194541,356.2735,0.9980469
1748120098976,373,Left,357.9813,1.194541,356.2735,0.9980469
