unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748121536160,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536160,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536160,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536161,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536161,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536161,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536161,334,Left,6.325589,5.644868,359.2793,0.9980469
1748121536195,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536196,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536196,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536196,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536196,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536196,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536196,335,Left,5.602232,6.089779,359.2119,0.9980469
1748121536231,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536231,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536232,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536232,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536232,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536232,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536232,336,Left,6.060078,5.710032,359.2573,0.9980469
1748121536271,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536271,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536271,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536271,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536271,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536272,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536272,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536272,337,Left,5.3635,5.706207,359.201,0.9980469
1748121536306,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536306,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536306,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536306,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536307,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536307,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536307,338,Left,5.361928,5.918635,359.1964,0.9980469
1748121536341,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536342,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536342,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536342,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536342,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536342,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536343,339,Left,5.980876,6.052363,359.2469,0.9980469
1748121536382,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536382,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536382,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536382,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536383,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536383,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536383,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536383,340,Left,5.981519,5.952013,359.2488,0.9980469
1748121536417,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536418,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536418,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536418,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536418,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536418,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536418,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536419,341,Left,5.982909,6.054698,359.2473,0.9980469
1748121536454,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536454,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536454,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536454,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536455,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536455,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536455,342,Left,6.501448,5.952272,359.2928,0.9980469
1748121536493,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536493,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536493,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536494,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536494,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536494,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536494,343,Left,6.500263,6.06908,359.2919,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536529,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536530,344,Left,5.753418,5.364226,359.2399,0.9980469
1748121536564,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536565,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536565,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536565,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536565,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536565,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536565,345,Left,5.751953,5.562287,359.2362,0.9980469
1748121536604,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536605,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536605,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536605,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536605,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536605,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536605,346,Left,5.484985,5.574266,359.214,0.9980469
1748121536646,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536646,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536646,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536646,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536646,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536647,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536647,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536647,347,Left,5.483465,5.773329,359.2097,0.9980469
1748121536688,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536688,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536688,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536688,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536688,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536688,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536689,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536689,348,Left,5.400365,5.129903,359.2155,0.9980469
1748121536729,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536730,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536731,349,Left,5.586747,5.71535,359.2193,0.9980469
1748121536771,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536771,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536771,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536772,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536772,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536772,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536772,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536772,350,Left,5.859437,5.712813,359.2421,0.9980469
1748121536812,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536813,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536813,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536813,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536813,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536813,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536813,351,Left,6.142312,5.660481,359.2661,0.9980469
1748121536814,351,Left,6.142312,5.660481,359.2661,0.9980469
