unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748120238814,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238815,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238816,332,Left,3.710782,12.12403,356.2949,0.9980469
1748120238856,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238856,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238856,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238856,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238857,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238857,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238857,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238857,333,Left,6.775246,11.88247,356.6293,0.9980469
1748120238898,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238898,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238898,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238898,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238898,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238898,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238899,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238899,334,Left,7.377704,10.28141,356.6347,0.9980469
1748120238939,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238940,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238940,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238940,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238940,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238940,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238940,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238941,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238941,335,Left,7.394355,9.98134,356.6241,0.9980469
1748120238981,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238981,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238981,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238981,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238981,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238982,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238982,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120238982,336,Left,8.056913,9.613309,356.6669,0.9980469
1748120239022,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239023,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239023,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239023,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239023,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239023,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239023,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239024,337,Left,8.148686,9.608454,356.6642,0.9980469
1748120239058,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239058,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239058,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239058,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239059,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239059,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239059,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239060,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239060,338,Left,8.150735,9.589728,356.6574,0.9980469
1748120239095,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239095,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239095,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239095,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239096,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239096,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239096,339,Left,8.159702,9.591877,356.6622,0.9980469
1748120239134,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239134,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239134,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239134,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239135,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239135,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239135,340,Left,8.200852,9.576956,356.6741,0.9980469
1748120239169,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239170,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239170,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239170,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239170,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239170,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239170,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239171,341,Left,8.545355,9.35798,356.7014,0.9980469
1748120239205,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239206,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239206,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239206,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239206,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239207,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239207,342,Left,10.02312,5.97473,356.6095,0.9980469
1748120239246,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239246,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239246,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239246,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239246,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239247,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239247,343,Left,14.24249,352.068,355.3997,0.9980469
1748120239287,344,Left,15.45985,345.8398,354.592,0.9980469
1748120239287,344,Left,15.45985,345.8398,354.592,0.9980469
