unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748121115676,363,Right,3.739195,357.4357,359.4449,0.9980469
1748121115676,363,Right,3.739195,357.4357,359.4449,0.9980469
1748121115676,363,Right,3.739195,357.4357,359.4449,0.9980469
1748121115690,364,Right,3.739195,357.4357,359.4449,0.9980469
1748121115690,364,Right,3.739195,357.4357,359.4449,0.9980469
1748121115690,364,Right,3.739195,357.4357,359.4449,0.9980469
1748121115704,365,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115704,365,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115718,366,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115718,366,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115718,366,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115732,367,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115732,367,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115732,367,Right,3.801424,0.6021242,359.3322,0.9980469
1748121115745,368,Right,2.314509,0.6235152,359.3282,0.9980469
1748121115746,368,Right,2.314509,0.6235152,359.3282,0.9980469
1748121115746,368,Right,2.314509,0.6235152,359.3282,0.9980469
1748121115759,369,Right,2.314509,0.6235152,359.3282,0.9980469
1748121115760,369,Right,2.314509,0.6235152,359.3282,0.9980469
1748121115760,369,Right,2.314509,0.6235152,359.3282,0.9980469
1748121115773,370,Right,2.460585,354.4156,359.6181,0.9980469
1748121115773,370,Right,2.460585,354.4156,359.6181,0.9980469
1748121115787,371,Right,2.460585,354.4156,359.6181,0.9980469
1748121115787,371,Right,2.460585,354.4156,359.6181,0.9980469
1748121115788,371,Right,2.460585,354.4156,359.6181,0.9980469
1748121115801,372,Right,2.460585,354.4156,359.6181,0.9980469
1748121115801,372,Right,2.460585,354.4156,359.6181,0.9980469
1748121115802,372,Right,2.460585,354.4156,359.6181,0.9980469
1748121115815,373,Right,2.095428,353.7626,359.6693,0.9980469
1748121115816,373,Right,2.095428,353.7626,359.6693,0.9980469
1748121115816,373,Right,2.095428,353.7626,359.6693,0.9980469
1748121115829,374,Right,2.095428,353.7626,359.6693,0.9980469
1748121115829,374,Right,2.095428,353.7626,359.6693,0.9980469
1748121115829,374,Right,2.095428,353.7626,359.6693,0.9980469
1748121115843,375,Right,2.178538,353.7651,359.6646,0.9980469
1748121115843,375,Right,2.178538,353.7651,359.6646,0.9980469
1748121115857,376,Right,2.178538,353.7651,359.6646,0.9980469
1748121115857,376,Right,2.178538,353.7651,359.6646,0.9980469
1748121115857,376,Right,2.178538,353.7651,359.6646,0.9980469
1748121115871,377,Right,2.092927,354.3857,359.6385,0.9980469
1748121115871,377,Right,2.092927,354.3857,359.6385,0.9980469
1748121115871,377,Right,2.092927,354.3857,359.6385,0.9980469
1748121115885,378,Right,2.092927,354.3857,359.6385,0.9980469
1748121115885,378,Right,2.092927,354.3857,359.6385,0.9980469
1748121115885,378,Right,2.092927,354.3857,359.6385,0.9980469
1748121115899,379,Right,2.092927,354.3857,359.6385,0.9980469
1748121115899,379,Right,2.092927,354.3857,359.6385,0.9980469
1748121115913,380,Right,2.090017,354.3862,359.6391,0.9980469
1748121115913,380,Right,2.090017,354.3862,359.6391,0.9980469
1748121115913,380,Right,2.090017,354.3862,359.6391,0.9980469
1748121115927,381,Right,2.090017,354.3862,359.6391,0.9980469
1748121115927,381,Right,2.090017,354.3862,359.6391,0.9980469
1748121115927,381,Right,2.090017,354.3862,359.6391,0.9980469
1748121115940,382,Right,1.791701,354.4031,359.6549,0.9980469
1748121115941,382,Right,1.791701,354.4031,359.6549,0.9980469
1748121115941,382,Right,1.791701,354.4031,359.6549,0.9980469
1748121115954,383,Right,1.791701,354.4031,359.6549,0.9980469
1748121115955,383,Right,1.791701,354.4031,359.6549,0.9980469
1748121115955,383,Right,1.791701,354.4031,359.6549,0.9980469
1748121115968,384,Right,1.521219,354.9143,359.6406,0.9980469
1748121115969,384,Right,1.521219,354.9143,359.6406,0.9980469
1748121115982,385,Right,1.521219,354.9143,359.6406,0.9980469
1748121115983,385,Right,1.521219,354.9143,359.6406,0.9980469
1748121115983,385,Right,1.521219,354.9143,359.6406,0.9980469
1748121115996,386,Right,1.521219,354.9143,359.6406,0.9980469
1748121115997,386,Right,1.521219,354.9143,359.6406,0.9980469
1748121115997,386,Right,1.521219,354.9143,359.6406,0.9980469
1748121116010,387,Right,1.57065,354.9131,359.6384,0.9980469
1748121116011,387,Right,1.57065,354.9131,359.6384,0.9980469
1748121116011,387,Right,1.57065,354.9131,359.6384,0.9980469
1748121116024,388,Right,1.57065,354.9131,359.6384,0.9980469
1748121116024,388,Right,1.57065,354.9131,359.6384,0.9980469
1748121116025,388,Right,1.57065,354.9131,359.6384,0.9980469
1748121116038,389,Right,1.411948,354.4633,359.6717,0.9980469
1748121116038,389,Right,1.411948,354.4633,359.6717,0.9980469
1748121116052,390,Right,1.411948,354.4633,359.6717,0.9980469
1748121116052,390,Right,1.411948,354.4633,359.6717,0.9980469
1748121116052,390,Right,1.411948,354.4633,359.6717,0.9980469
1748121116066,391,Right,1.411948,354.4633,359.6717,0.9980469
1748121116066,391,Right,1.411948,354.4633,359.6717,0.9980469
1748121116067,391,Right,1.411948,354.4633,359.6717,0.9980469
1748121116080,392,Right,1.563773,354.4599,359.6637,0.9980469
1748121116080,392,Right,1.563773,354.4599,359.6637,0.9980469
1748121116080,392,Right,1.563773,354.4599,359.6637,0.9980469
1748121116094,393,Right,1.563773,354.4599,359.6637,0.9980469
1748121116094,393,Right,1.563773,354.4599,359.6637,0.9980469
1748121116094,393,Right,1.563773,354.4599,359.6637,0.9980469
1748121116108,394,Right,1.413284,354.4609,359.6715,0.9980469
1748121116108,394,Right,1.413284,354.4609,359.6715,0.9980469
1748121116122,395,Right,1.413284,354.4609,359.6715,0.9980469
1748121116122,395,Right,1.413284,354.4609,359.6715,0.9980469
1748121116122,395,Right,1.413284,354.4609,359.6715,0.9980469
1748121116136,396,Right,1.812566,354.3576,359.657,0.9980469
1748121116136,396,Right,1.812566,354.3576,359.657,0.9980469
1748121116136,396,Right,1.812566,354.3576,359.657,0.9980469
1748121116150,397,Right,1.812566,354.3576,359.657,0.9980469
1748121116150,397,Right,1.812566,354.3576,359.657,0.9980469
1748121116150,397,Right,1.812566,354.3576,359.657,0.9980469
1748121116164,398,Right,1.812566,354.3576,359.657,0.9980469
1748121116164,398,Right,1.812566,354.3576,359.657,0.9980469
1748121116177,399,Right,1.802966,353.2898,359.7131,0.9980469
1748121116178,399,Right,1.802966,353.2898,359.7131,0.9980469
1748121116178,399,Right,1.802966,353.2898,359.7131,0.9980469
1748121116191,400,Right,1.802966,353.2898,359.7131,0.9980469
1748121116192,400,Right,1.802966,353.2898,359.7131,0.9980469
1748121116192,400,Right,1.802966,353.2898,359.7131,0.9980469
1748121116205,401,Right,2.03609,354.3487,359.6451,0.9980469
1748121116206,401,Right,2.03609,354.3487,359.6451,0.9980469
1748121116206,401,Right,2.03609,354.3487,359.6451,0.9980469
1748121116219,402,Right,2.03609,354.3487,359.6451,0.9980469
1748121116220,402,Right,2.03609,354.3487,359.6451,0.9980469
1748121116220,402,Right,2.03609,354.3487,359.6451,0.9980469
1748121116233,403,Right,2.03609,354.3487,359.6451,0.9980469
1748121116234,403,Right,2.03609,354.3487,359.6451,0.9980469
1748121116247,404,Right,2.271142,354.8737,359.6071,0.9980469
1748121116247,404,Right,2.271142,354.8737,359.6071,0.9980469
1748121116248,404,Right,2.271142,354.8737,359.6071,0.9980469
