unix_ms,frame,id,rotation_x,rotation_y,rotation_z,confidence
1748120098794,360,Right,359.4388,357.0988,356.4143,0.9980469
1748120098794,360,Right,359.4388,357.0988,356.4143,0.9980469
1748120098794,360,Right,359.4388,357.0988,356.4143,0.9980469
1748120098808,361,Right,359.4388,357.0988,356.4143,0.9980469
1748120098808,361,Right,359.4388,357.0988,356.4143,0.9980469
1748120098821,362,Right,358.6141,357.609,356.4118,0.9980469
1748120098822,362,Right,358.6141,357.609,356.4118,0.9980469
1748120098822,362,Right,358.6141,357.609,356.4118,0.9980469
1748120098835,363,Right,358.6141,357.609,356.4118,0.9980469
1748120098836,363,Right,358.6141,357.609,356.4118,0.9980469
1748120098836,363,Right,358.6141,357.609,356.4118,0.9980469
1748120098849,364,Right,358.0186,358.1091,356.3962,0.9980469
1748120098849,364,Right,358.0186,358.1091,356.3962,0.9980469
1748120098850,364,Right,358.0186,358.1091,356.3962,0.9980469
1748120098863,365,Right,358.0186,358.1091,356.3962,0.9980469
1748120098864,365,Right,358.0186,358.1091,356.3962,0.9980469
1748120098864,365,Right,358.0186,358.1091,356.3962,0.9980469
1748120098877,366,Right,358.0439,358.2357,356.3887,0.9980469
1748120098877,366,Right,358.0439,358.2357,356.3887,0.9980469
1748120098891,367,Right,358.0439,358.2357,356.3887,0.9980469
1748120098891,367,Right,358.0439,358.2357,356.3887,0.9980469
1748120098891,367,Right,358.0439,358.2357,356.3887,0.9980469
1748120098905,368,Right,358.0439,358.2357,356.3887,0.9980469
1748120098905,368,Right,358.0439,358.2357,356.3887,0.9980469
1748120098905,368,Right,358.0439,358.2357,356.3887,0.9980469
1748120098919,369,Right,357.7729,358.2545,356.3932,0.9980469
1748120098919,369,Right,357.7729,358.2545,356.3932,0.9980469
1748120098919,369,Right,357.7729,358.2545,356.3932,0.9980469
1748120098933,370,Right,357.7729,358.2545,356.3932,0.9980469
1748120098933,370,Right,357.7729,358.2545,356.3932,0.9980469
1748120098947,371,Right,357.7831,358.0962,356.4104,0.9980469
1748120098947,371,Right,357.7831,358.0962,356.4104,0.9980469
1748120098947,371,Right,357.7831,358.0962,356.4104,0.9980469
1748120098961,372,Right,357.7831,358.0962,356.4104,0.9980469
1748120098961,372,Right,357.7831,358.0962,356.4104,0.9980469
1748120098961,372,Right,357.7831,358.0962,356.4104,0.9980469
1748120098975,373,Right,357.7831,358.0962,356.4104,0.9980469
1748120098975,373,Right,357.7831,358.0962,356.4104,0.9980469
1748120098976,373,Right,357.7831,358.0962,356.4104,0.9980469
1748120098988,374,Right,357.7952,358.0787,356.4149,0.9980469
1748120098989,374,Right,357.7952,358.0787,356.4149,0.9980469
1748120098989,374,Right,357.7952,358.0787,356.4149,0.9980469
1748120099002,375,Right,357.7952,358.0787,356.4149,0.9980469
1748120099003,375,Right,357.7952,358.0787,356.4149,0.9980469
1748120099016,376,Right,357.8167,358.2722,356.4116,0.9980469
1748120099017,376,Right,357.8167,358.2722,356.4116,0.9980469
1748120099017,376,Right,357.8167,358.2722,356.4116,0.9980469
1748120099030,377,Right,357.8167,358.2722,356.4116,0.9980469
1748120099031,377,Right,357.8167,358.2722,356.4116,0.9980469
1748120099031,377,Right,357.8167,358.2722,356.4116,0.9980469
1748120099044,378,Right,357.6856,358.2602,356.4388,0.9980469
1748120099045,378,Right,357.6856,358.2602,356.4388,0.9980469
1748120099045,378,Right,357.6856,358.2602,356.4388,0.9980469
1748120099058,379,Right,357.6856,358.2602,356.4388,0.9980469
1748120099058,379,Right,357.6856,358.2602,356.4388,0.9980469
1748120099059,379,Right,357.6856,358.2602,356.4388,0.9980469
1748120099072,380,Right,357.6856,358.2602,356.4388,0.9980469
1748120099072,380,Right,357.6856,358.2602,356.4388,0.9980469
1748120099086,381,Right,357.6949,358.1958,356.4762,0.9980469
1748120099086,381,Right,357.6949,358.1958,356.4762,0.9980469
1748120099086,381,Right,357.6949,358.1958,356.4762,0.9980469
1748120099100,382,Right,357.6949,358.1958,356.4762,0.9980469
